User,Reter,Comment,Votes,Time
@司徒韵音,,陈老师的酒量如何？,0,2019-10-12 13:33
@情感挽回帮666,,必须赞,0,2019-10-13 02:03
@严婷挺严,,,0,2019-10-13 00:53
@蔡佩辰,,好酒三分度，切莫贪杯伤身,0,2019-10-12 21:03
@滕筹仙,,认识到酒了啊,0,2019-10-12 18:57
@滕筹仙,,善良的人总会幸运的,0,2019-10-12 18:57
@开心母婴,,酒真的可以让人助兴。,0,2019-10-12 18:46
@嘉翠竹,,一定要多积累一些人品和善良。,0,2019-10-12 18:41
@心涂如烟,,酒是好东西解说的很不错。,0,2019-10-12 18:36
@勾股财经,,分析的很到位啊,0,2019-10-12 18:29
@北京小贾,,酒真的很不错的啊,0,2019-10-12 18:22
@超甜美妆,,没事可以少喝点啊,0,2019-10-12 18:16
@塑美徐静,,做人做事看酒力,0,2019-10-12 18:11
@新媒体大王,,酒虽好，可不能贪杯啊,0,2019-10-12 17:29
@小柏心,,做最好的自己吧,0,2019-10-12 17:15
@斑竹教棍,,来点个赞哦,0,2019-10-12 15:28
@珍珠摩天大楼,,不开心了就喝点,0,2019-10-12 15:09
@程雯文,,很不错的文章,0,2019-10-12 14:55
@唐三娘,,酒是好东西哦,0,2019-10-12 14:42
@芊芊封底手,,还是很不错的哈,0,2019-10-12 14:21
@弦艺舞风,,每天都有好运气,0,2019-10-12 14:18
@冬凌草儿,,很善良的哈,0,2019-10-12 14:10
@神农草堂,,借酒消愁,0,2019-10-12 14:07
@美巢房屋设计,,很不错的哈,0,2019-10-12 14:03
@妍素妆,,打造微博影响力，让全天下人知道你,0,2019-10-12 13:37
@梦忧情深,,喝多了伤身体，适量就行,0,2019-10-12 13:36
@浅心涵,,滴酒不喝无情又无义,0,2019-10-12 13:34
@贝婴滋,,我还没有喝醉过。,0,2019-10-12 13:31
@成诗雯,,真是佩服你的才啊,0,2019-10-12 13:28
@糯米团子健康酱,,没事的时候可以喝一点也是不错的,0,2019-10-12 13:26
@罗小雨,,人多可以助兴,0,2019-10-12 13:26
@燕公子-S,,酒可以适当的喝一点,0,2019-10-12 13:24
@壹线时尚,,陈老师的才华真是太棒了,0,2019-10-12 13:24
@孙念洲,,做什么都要说适度,0,2019-10-12 13:21
@邓小凌,,适量的喝酒也不错啊,0,2019-10-12 13:20
@小韩美妆,,一醉解千愁啊,0,2019-10-12 13:20
@小芯快乐,,多多分享非常棒,0,2019-10-12 13:19
@小淑之窝,,喝酒可不要贪杯哦,0,2019-10-12 13:13
@野蛮小妞,,中国的酒文化历史悠久,0,2019-10-12 13:12
@浪里伊人妆,,偶尔喝点酒也是可以的呀。,0,2019-10-12 13:12
@宇芳笔,,真的是很特别的,0,2019-10-12 13:11
@胖哥无悔,,一定要少喝酒啊,0,2019-10-12 13:09
@野蛮老娘,,非常棒的作品,0,2019-10-12 13:08
@小沙灰,,还是要好好的积累自己的好运气。,0,2019-10-12 13:08
@丁越超,,说的确实很在理,0,2019-10-12 13:06
@青春俊仔,,真的是真理啊,0,2019-10-12 13:05
@时尚秘书,,一定要酌情合理饮酒,0,2019-10-12 13:04
@小年糕糯糯,,老师的文才可真好呀！,0,2019-10-12 12:52
@高原小太,,酒这个东西还是少点喝吧。,0,2019-10-12 12:48
@乐小荣,,没事儿还是少喝点酒吧。,0,2019-10-12 12:41
@阿聚儿,,就是这样啊 支持,0,2019-10-12 12:11
@蜜尔朵朵,,少喝点就行，多了对身体不好,0,2019-10-12 12:06
@小妹精灵,,真的太对了 就是这样,0,2019-10-12 12:03
@开开秀,,读起来非常朗朗上口,0,2019-10-12 11:58
@少女爱健身,,酒精可以麻醉自己,0,2019-10-12 11:52
@广西凉子,,老师真的是太优秀了。,0,2019-10-12 11:51
@琉璃女神,,很喜欢看老师的分享。,0,2019-10-12 11:51
@财运水晶说,,酒可以喝，但一定要量力而为,0,2019-10-12 11:51
@李晓露,,为老师竖起大拇指。,0,2019-10-12 11:50
@王子嵘,,老师真的是才华横溢。,0,2019-10-12 11:50
@我是安娜吖_,,我逢年过节经常送酒,0,2019-10-12 11:49
@兰夏香,,一定要为老师点个赞。,0,2019-10-12 11:49
@睡公主儿,,好像大部分时候都离不开酒,0,2019-10-12 11:49
@腻爱人,,优秀的老师值得称赞。,0,2019-10-12 11:48
@书说世界,,你写的挺好的,0,2019-10-12 11:48
@爱已离线,,老师真的是太有才了。,0,2019-10-12 11:47
@寒冷夏天,,感谢老师优秀的分享。,0,2019-10-12 11:46
@夏雨歌,,老师写的真是太好了。,0,2019-10-12 11:46
@酷炫一生,,老师真的写的太棒了,0,2019-10-12 11:35
@策蔓,,很欣赏你的才华,0,2019-10-12 11:34
@动感旋律创作,,酒确实是一个好东西,0,2019-10-12 11:29
@cm橙子味的小仙女,,酒可以活血化瘀的,0,2019-10-12 11:27
@恋晨雪,,酒确实不错呢 哈哈,0,2019-10-12 11:22
@傅苗筠,,老师写的太棒了,0,2019-10-12 11:21
@幸福阿梅,,酒可以让人忘掉烦恼释放压力,0,2019-10-12 11:21
@陌贞话情感,,小饮怡情 大饮伤身呀,0,2019-10-12 11:20
@文轩析金,,酒可以让人暂时忘却烦恼,0,2019-10-12 11:19
@香草庐,,老师说的很有道理啊,0,2019-10-12 11:19
@Etton禧佟,,借酒消愁愁更愁啊,0,2019-10-12 11:19
@天蝎小J睛,,每逢佳节都会喝酒,0,2019-10-12 11:19
@尚美宝贝,,酒虽说是好东西 但是也伤身啊,0,2019-10-12 11:18
@秦义,,陈总，太有才了……写得太好了,0,2019-10-12 10:26
@王平xp,,借酒消愁愁更愁,0,2019-10-12 10:00
@陈尚辉,,回复@BTS专属的米啊 的表态,0,2019-10-17 19:08
@陈尚辉,,回复@迷人的亲亲宝贝-2 的表态,0,2019-10-13 07:39
@陈尚辉,,回复@超凡脱俗的天天约惠 的表态,0,2019-10-12 21:48
@陈尚辉,,回复@蔡佩辰 的表态,0,2019-10-12 21:04
@陈尚辉,,回复@小柏心 的表态,0,2019-10-12 17:20
