User,Reter,Comment,Votes,Time
@宝宝鱼LJ,,来参加！@M鹿M 评论配图,499,2019-10-12 10:02
@w女喬ww,,吃吃吃！！,337,2019-10-12 10:01
@鹿糖呐,,王者鹿，我来了！周末必须吃起来！,318,2019-10-12 10:01
@L·鹿先生·U,,#天生翅粉#   当然是演唱会啊，超稳的,269,2019-10-12 10:01
@流星7号777777,,图片评论 评论配图,247,2019-10-12 10:04
@执鹿酌色,,吃！！,219,2019-10-12 10:01
@Neverland七,,#鹿晗[超话]#   每次舞台都超惊艳@M鹿M ,184,2019-10-12 10:04
@kenankiki,,签名照！,138,2019-10-12 10:03
@一曲花间醉,,好的，吃起来,130,2019-10-12 10:09
@单眼皮吃货,,翅尖回来了,116,2019-10-12 10:00
@元气靓鹿男,,#鹿晗[超话]# ,95,2019-10-12 10:02
@意中人是阿鹿,,来啦！下单！,83,2019-10-12 10:08
@江户川·鹿柯晗南7,,呦呦,83,2019-10-12 10:04
@deer陌晴,,哇哦，来了,74,2019-10-12 10:08
@用户娜一年花谢,,#天生翅粉#,70,2019-10-12 10:05
@篱落reed,,转发微博,59,2019-10-12 10:01
@IM鹿MI,,#鹿晗[超话]#王炸归来@M鹿M [舔屏],60,2019-10-12 10:25
@保护鹿晗鸭,,冲！,55,2019-10-12 10:23
@遇见夏天LH,,鹿5晗的舞台都是他的王炸时刻,61,2019-10-12 10:17
@追鹿蒹葭数据群,,#鹿晗[超话]# hold住全场的实力派选手@M鹿M 唱跳兼具的live王者，#天生翅粉#，晒肯德基王炸双子桶，写下你心中#鹿晗[超话]# 赢独家限定鹿晗海报！,42,2019-10-12 10:23
@尼尼尼尼尼桑er,,买买买,39,2019-10-12 10:20
@M沫M7love,,我来啦我来啦，中午就去吃,35,2019-10-12 10:36
@有点儿意思啊鹿晗,,啊啊我来啦,34,2019-10-12 10:21
@鸟悄地憋吱声,,哈哈哈王炸,32,2019-10-12 10:19
@鱼鱼鱼鱼鱼娃娃-,,咯咯咯 我来了,30,2019-10-12 10:19
@That_GGood,,#鹿晗[超话]# 吃起来！王炸时刻可太多了！舞台上的都是！,25,2019-10-12 10:09
@狍星语_,,#鹿晗[超话]# 好的，来了！！！,23,2019-10-12 10:11
@M甜心鹿LH7,,来参与了 http://t.cn/AiuKmWsk,20,2019-10-12 10:06
@鹿晗实事群,,#鹿晗[超话]# @M鹿M  带#天生翅粉#，晒肯德基王炸双子桶，写下你心中小鹿的神级live现场，赢独家限定鹿晗海报哦[来],11,2019-10-12 10:04
@小红Diane,,我来了我来了@M鹿M,15,2019-10-12 10:01
@小晗超Ade,,买买买！,11,2019-10-12 10:02
@只爱阳光777,,#天生翅粉#  @肯德基  不论台上或是台下，戏里还是戏外，@M鹿M  出场，必定立马hold住全场，一秒就能抓住所有人的眼球，我亲身感受最深的，就是二巡演唱会北京场，歌手鹿开场连续唱跳的三首歌,5,2019-10-14 18:14
@旅途的追随Love,,#鹿晗[超话]#来了来了,5,2019-10-12 10:50
@北京鹿纯爷们儿,,周末必须买！！！！,9,2019-10-12 10:03
@拥鹿Lu,,我来了！！！,4,2019-10-12 10:56
@十一夜7晨,,来啦！,4,2019-10-12 10:54
@一鹿随同,,吃起来,4,2019-10-12 10:50
@鹿晗吧_LuhanBar,,#鹿晗[超话]#所谓王炸，就是在此刻做个#天生翅粉#，再点一份肯德基王炸双子桶,3,2019-10-12 22:33
@葫芦娃喜欢7,,#天生翅粉# 鹿晗二巡！！！,3,2019-10-12 18:24
@鹿晗姐姐团,,#鹿晗[超话]# 曾经为之疯狂的舞台鹿，实力与颜值并存的舞台鹿，给你带来震撼全场的音乐盛宴舞台鹿！现在带话题#天生翅粉#写下你眼中鹿晗的神级live现场并且晒出王炸双子桶，就有机会获得鹿晗限量签名海报,5,2019-10-12 13:42
@奋斗的幸福LH7,,#鹿晗[超话]#来参加了,4,2019-10-12 12:21
@赵彬彬的白大褂,,酷炸了,5,2019-10-12 11:12
@对面的莹哥哥,,#天生翅粉# 这次一定要买！！！！！！！,6,2019-10-12 10:03
@老鹿很ok,,吃！！,5,2019-10-12 10:01
@L兮儿7,,贴秋膘过冬啦！吃吃吃,4,2019-10-12 10:32
@Seven-deereed,,吃！,6,2019-10-12 10:01
@大大小丸孑,,来了来了，我的鹿鹿鹿。,2,2019-10-12 16:40
@路2鹿,,,4,2019-10-12 10:00
@抱紧鹿狍儿,,#鹿晗[超话]#今晚就吃这个[兔子],2,2019-10-12 15:34
@这个天使太磨人,,又。。。。。。鹿晗呢,2,2019-10-12 14:52
@何兮难兮,,#鹿晗[超话]#来了来了,3,2019-10-12 11:32
@是甜甜饼呀,,我来了！18年鹿晗北京演唱会skintoskin,3,2019-10-12 10:38
@Deer甜reeD,,#天生翅粉# 神级live现场当属二巡杭州场的勋章！,4,2019-10-12 10:07
@暖色如初阳,,,1,2019-10-12 23:13
@rosemarylu-,,,1,2019-10-12 23:11
@M张方的咖啡牛奶M,,#鹿晗[超话]#参与活动，赢独家限定鹿晗@M鹿M 海报[好喜欢],1,2019-10-12 23:06
@媚儿0420,,转发微博,1,2019-10-12 22:58
@midooo,,抽,1,2019-10-12 22:00
@壮实LH7鹿,,#天生翅粉# 舞台鹿 燃炸,1,2019-10-12 11:35
@幸福和菓子,,#鹿晗[超话]# 簽名海報[好喜歡][好喜歡][好喜歡],1,2019-10-12 11:28
@鹿过阳光就灿烂,,鹿晗[加油][加油],1,2019-10-12 15:04
@鹿过你时光,,#鹿晗[超话]# 吃吃吃,1,2019-10-12 12:49
@今兮何兮love,,#鹿晗[超话]#来了[好喜欢],1,2019-10-12 12:45
@用户林空鹿饮溪,,吃起来，我喜欢,1,2019-10-12 11:12
@向阳深处的牧神,,#天生翅粉# 升级现场就是二巡杭州场的夜行记，我要海报,0,2019-10-17 21:37
@M-狍狍狍-M,,#天生翅粉# 肯爷爷，我踩着活动结束的尾巴来参加活动咯,0,2019-10-17 21:00
@你太甜啦比我的牛奶还甜,,#鹿晗[超话]#,0,2019-10-17 16:57
@鱼鱼鱼鱼鱼娃娃-,,亲签看看我呀,1,2019-10-17 11:28
@鱼鱼鱼鱼鱼娃娃-,,肯爷爷 我参加啦,0,2019-10-17 11:28
@鱼鱼鱼鱼鱼娃娃-,,来了来了,0,2019-10-17 11:28
@鹿MnanM777,,哇，好帅,0,2019-10-16 20:06
@曼达林·鹿,,#天生翅粉#  去年跨年晚会上的口罩舞是至今最震撼我的现场，虽然没有去到现场，但是我能感受到我的心跳和脉搏极速跳动，应该是久违了的心动时刻了,0,2019-10-16 19:53
@想和他去承天门,,#天生翅粉# 感受最深的就是演唱会啊！,0,2019-10-14 18:54
@想和他去承天门,,#天生翅粉# 必须演唱啊！坐等三巡,0,2019-10-14 18:52
@酒心大婶,,今天去吃忘啦分享啦，海报我也可以拥有吗 评论配图,0,2019-10-13 21:08
@原生态鹿,,#鹿晗[超话]# ,0,2019-10-13 20:28
@曺嘻嘻,,希望肯爸爸多出一些买多少送海报的活动 不求签名 海报也好的,0,2019-10-13 19:17
@是小王子鹿晗啊,,鹿晗啊,0,2019-10-13 11:08
@鹿哥燥起来,,来了来啦,0,2019-10-13 09:43
@卡卡塔塔C,,#天生翅粉# 中午点个王炸桶。@M鹿M 是天生的舞台王者！ 评论配图,0,2019-10-13 09:18
@ReedCommunity,,#鹿晗[超话]# ,0,2019-10-13 08:30
@Deer_Of_The_Dawn,,#鹿晗[超话]#,0,2019-10-13 02:44
@小橘子辰,,天亮就出发,0,2019-10-13 01:19
@绝世小辣椒i,,等我吃！！！,0,2019-10-13 00:28
@酒心大婶,,我今天就来吃,0,2019-10-13 00:21
@Z春雨LH,,,0,2019-10-13 00:12
@_YiliOu,,优秀,0,2019-10-13 00:02
@唯爱鹿爷鹿7,,来了,0,2019-10-12 23:43
@鹿途·Seven洋,,#鹿晗[超话]# 参加！,0,2019-10-12 23:24
@cathy7L,,来了来啦,0,2019-10-12 23:19
@醉橘夏,,我要参加！！！,0,2019-10-12 23:15
@小泉玲奈子,,明天吃！,0,2019-10-12 23:14
@7_luHanhan,,王炸了#天生翅粉#,0,2019-10-12 23:05
@鹿鹿一定要幸福,,爱你哦,0,2019-10-12 22:55
@是鹿哥的橘子女孩,,#鹿晗[超话]#哇偶，魅力四射鹿鹿鹿,0,2019-10-12 22:49
@7777芦苇,,好的,0,2019-10-12 22:40
@吃益达会胖,,来了,0,2019-10-12 22:39
@偌卿晗,,好的好的明天吃,0,2019-10-12 22:39
@Minnnnnnna_,,转发微博,0,2019-10-12 22:36
@M1229M,,#鹿晗[超话]# [米奇比心]@M鹿M,0,2019-10-12 22:36
@LH7xCuCu,,#鹿晗[超话]#翅桶来啦,0,2019-10-12 22:35
@捧花少年呆萌鹿,,晚上好,0,2019-10-12 22:33
@爱幻想的小飞象,,#鹿晗[超话]#为天生王者鹿boss打call[加油][加油][加油],0,2019-10-12 22:02
@midooo,,抽奖 来了,0,2019-10-12 22:00
@爱幻想的小飞象,,#鹿晗[超话]#为天生王者鹿boss打call[加油][加油][加油],0,2019-10-12 21:47
@若-li,,啊啊啊啊啊啊啊啊啊，我是双子的,0,2019-10-12 21:22
@善良的泡沫冰,,吃吃吃,0,2019-10-12 20:55
@钮钴禄木辛,,在我心里，每场都是,0,2019-10-12 20:25
@玖柒壹零,,hold住全场实力派鹿晗，天生翅粉 ,0,2019-10-12 20:14
@妖精大人夜行记,,王炸双子桶？哇！一定要尝尝！,0,2019-10-12 19:27
@甜美系欧尼,,等鹿鹿出关,0,2019-10-12 19:06
@星光点点灿烂LH,,#鹿晗[超话]#lh,0,2019-10-12 18:31
@米鹿米7,,吃起来,0,2019-10-12 18:21
@星光点点灿烂LH,,#鹿晗[超话]#,0,2019-10-12 18:19
@两万米高空的烟花,,#鹿晗[超话]#我才来！,0,2019-10-12 18:14
@M瑞Cyr,,吃起来#鹿晗[超话]#,0,2019-10-12 17:31
@鹿ging,,要要要,0,2019-10-12 17:22
@7号卜卜酱,,#天生翅粉#  鹿哥一人震住全场当然是二巡平均每场3万+人的演唱会啦！！！！！！@肯德基  看我吃的翅桶套餐！ 查看图片,0,2019-10-12 17:20
@虾米啊啊QQ,,期待跨年能看到王炸鹿的唱跳舞台,0,2019-10-12 17:08
@LUHAN的鹿千年,,#鹿晗[超话]#锁定工作餐[给你小心心],0,2019-10-12 16:49
@不羁的阿鹿,,#鹿晗[超话]#安排起来,0,2019-10-12 16:16
@鹿先生的憨阿七,,跟着鹿店长参与起来,0,2019-10-12 16:12
@鹿鹿一定要幸福,,王炸鹿晗,0,2019-10-12 16:01
@LH-HLX,,#鹿晗[超话]#王炸！@M鹿M,0,2019-10-12 15:57
@梅子鹿心语,,胃口打开了,0,2019-10-12 15:39
@抱紧鹿狍儿,,吃,0,2019-10-12 15:36
@7宝贝儿要开心,,9,0,2019-10-12 15:32
@7宝贝儿要开心,,8,0,2019-10-12 15:32
@西瓜橙子小炒肉,,,0,2019-10-12 15:30
@7宝贝儿要开心,,7,0,2019-10-12 15:29
@7宝贝儿要开心,,6,0,2019-10-12 15:29
@二十一点五十7分,,#鹿晗[超话]#代言人鹿晗好帅,0,2019-10-12 15:27
@-柒號床-,,,0,2019-10-12 15:24
@hongliu3000改个ID鹿777,,,0,2019-10-12 15:21
@7宝贝儿要开心,,5,0,2019-10-12 15:20
@7宝贝儿要开心,,4,0,2019-10-12 15:20
@MMM枕头,,来辣来辣来辣来辣,0,2019-10-12 15:17
@M_枕头_M,,哇哇哇哇哇哇哇哇,0,2019-10-12 15:15
@鹿晗不出关不改名,,我来了,0,2019-10-12 15:13
@鹿爷缺的枕头在这,,来了,0,2019-10-12 15:12
@做鹿的钢铁侠xx,,#鹿晗[超话]#,0,2019-10-12 14:55
@墨墨哒哒鹿,,吃吃吃@M鹿M,0,2019-10-12 14:51
@可盐可甜鹿憨憨,,#鹿晗#,0,2019-10-12 14:38
@LH7yen,,周末就是要吃炸双子桶,0,2019-10-12 14:29
@7_LH7,,#鹿晗[超话]#啊啊啊，王炸的鹿店长太帅了,0,2019-10-12 14:25
@抹茶系LH7,,昨天点了忘记拍照,0,2019-10-12 14:21
