User,Reter,Comment,Votes,Time
@颜宴,,能同一时间，这么自然而然的得罪2个领导人，川建国，手段果然了得,26619,2019-10-09 15:33
@枸橼酸,,安倍:他没错 我明天就把生日改了,24840,2019-10-09 16:12
@佩奇炖粉条儿,,安倍39？？？特朗普天天在搞笑吗,7205,2019-10-09 15:32
@这就很难受了呀,,玩尬的？,2491,2019-10-09 15:32
@佩奇炖粉条儿,,普京：你看不到我？？？,1686,2019-10-09 15:33
@iHenryLee,,没仔细看还以为安倍晋三长得这么显老呢,1504,2019-10-09 15:42
@陌唯尘苒,,川普怎么感觉一直都是喝大的状态,1493,2019-10-09 15:46
@Lucie_多多,,emmmm…强行送祝福？…,717,2019-10-09 15:34
@一只爱投资的小哥哥,,"木子洋洋走了，走得很痛苦，火化的时候还诈了尸，一直喊我没有死，最后用铁链绑着烧完的。火很旺，烧得嘎吱响，烧了三天三夜，家属很坚强，一个哭的都没，还有一个忍不住笑出了声，那晚风很大，运骨灰路上还翻了车，把骨灰盒摔碎了，刚要捧点儿骨灰，来了辆洒水车,车上唱着今天是个好日子",511,2019-10-09 16:15
@如果我hui飞就好了,,会还是他会,352,2019-10-09 15:32
@我是安安的老父亲,,川普：我是你爸爸，说你啥时候生就是啥时候生！,236,2019-10-09 15:36
@桃仙仙,,川普同志真是我的快乐源泉,266,2019-10-09 15:42
@安了个湫,,还是牛逼 安倍咋看都不像39岁的人,182,2019-10-09 15:40
@我在宿舍吃汉堡我牛逼吗,,我心里全是你,179,2019-10-09 15:33
@染冉Gloria人形吐槽机,,“从背后抱你的时候，期待的却是他的面容。”,138,2019-10-09 20:40
@宇宙第一大神医,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 我的心里只有你没有他！,126,2019-10-09 15:46
@_JOEE,,川建国 不愧是你！,94,2019-10-09 15:51
@Rebellious欲燃,,他在干嘛哈哈哈哈,90,2019-10-09 15:33
@郭芙蓉蓉蓉,,所以特朗普39岁的朋友到底是谁,70,2019-10-09 15:38
@带带小太爷,,糟糕！川建国同志暴露了,75,2019-10-09 15:55
@maycimay,,这个头顶玉米须的男人疯狂刷存在感,76,2019-10-09 18:12
@克里斯蒂亚诺罗小耳朵,,没有人比我更懂安倍,64,2019-10-09 17:14
@小脑袋v,,川建国的新闻总是这么沙雕。,49,2019-10-09 17:11
@Rosamund-木易,,年度沙雕新闻,59,2019-10-09 15:32
@偶遇小时光,,诺贝尔为啥不设立一个滑稽奖,36,2019-10-09 15:49
@大望,,跟我妈妈一样稀里糊涂的,37,2019-10-09 15:34
@今天也是小机灵鬼,,普京39岁时苏联解体,19,2019-10-09 23:05
@笑死沃利,,怎么看都像是开玩笑啊……,23,2019-10-09 15:37
@ljie2011,,其实大统领这么说只是提醒安倍：你在我这只有39岁，是我儿子,31,2019-10-09 16:10
@大阔,,安倍：我可以今天过生日也可以39岁,31,2019-10-09 15:38
@桃一二w,,说39岁是因为普京39岁的时候苏联解体了,15,2019-10-10 00:45
@_陈小华-_-,,没有人比我更懂生日了,17,2019-10-09 16:58
@寧先生的故事,,中国人民真可怜。,14,2019-10-09 15:33
@F-l-o-c,,川建国同志迷惑行为大赏,17,2019-10-09 16:28
@笨死我得了,,哈哈哈，这个39岁的人长的可真是着急,10,2019-10-09 17:06
@Agent_D,,明显是开玩笑啊  不会有人以为是真的吧,15,2019-10-09 15:41
@良家最可爱小娘子,,不愧是你，川建国,12,2019-10-09 16:21
@梵天DEVA,,老年痴呆实锤,15,2019-10-09 15:39
@艾因儿,,老了克朗普。大脑已经退化,10,2019-10-09 16:26
@机智的FC,,建国同志继续努力，美国孤立无援的日子越来越近了。,12,2019-10-09 19:15
@赫尔辛基_Mor,,只有川建国同志才能带给我真实的快乐,7,2019-10-09 22:23
@胖子喝普洱,,美国第一段子手,12,2019-10-09 15:53
@小只居从不回头看爆炸,,....特不靠谱已经不靠谱到让我怀疑他是不是西,10,2019-10-09 15:33
@HJXia缺碗杂酱面,,日本就尽情的被特朗普羞辱吧，一而再再而三,8,2019-10-09 15:57
@兔兔TUT凸兔,,川普真是的快啥国际笑话都出过了,7,2019-10-09 19:48
@科技标杆美学,,安倍晋三:大哥说的没错，明天我去中国找道士把我的时辰八字改了,7,2019-10-09 17:58
@Super悟空的控白,,能这么严肃认真的讲段子的领导人他是第一个！,5,2019-10-09 19:22
@哆啦201905,,哈哈哈，my dear friend 2b,2,2019-10-10 00:10
@钱局长本人,,特朗普言外之意：安倍太嫩（只有39岁）了，所以今天的协议，老姜（姜还是老的辣）我占了便宜！,6,2019-10-09 17:58
@moonrosey,,看来美国确实选了一个老年痴呆症的总统，时而清醒时而糊涂。,6,2019-10-09 15:44
@不机够儿,,川普可能想对安倍说，你用都是我的臭弟弟,2,2019-10-09 20:39
@刘欢欢,,亚洲人不显老,0,2019-10-09 19:51
@tammyohoh,,大川又想上热搜了,2,2019-10-09 17:31
@水喃月,,这货不当喜剧演员太可惜了哇，啊哈哈哈哈哈,4,2019-10-09 15:44
@夏末秋至__又一寂,,安倍是80后，吓死我了！,1,2019-10-10 08:50
@向这个恶意满满的世界致敬,,苏联解体的时候，普京39,1,2019-10-10 08:21
@咦你的菊花没有褶唉,,对头生日，我祝我家的狗生日快乐！听着没错啊。,1,2019-10-10 08:05
@My_prensent,,不知道说什么了，祝你生日快乐吧,1,2019-10-09 23:41
@非常曼,,主人给宠物庆生,2,2019-10-09 21:59
@我滴男孩呀,,安倍晋三9.21生日,1,2019-10-09 18:16
@潇洒吃冰不沾手,,@西盗,1,2019-10-09 18:03
@天蓝色海宁eve,,特朗普老年痴呆了？最近老犯晕(=_=),2,2019-10-09 17:30
@Slow_White,,哈哈哈哈哈哈哈哈,1,2019-10-09 21:30
@风车村的堂吉诃德,,特朗普: 我朋友小三儿说他过生日,2,2019-10-09 19:58
@左左木铃,,“没人比我更懂生日”,3,2019-10-09 18:22
@橘子西瓜吃不腻,,救命我还在上课啊！哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1,2019-10-09 18:17
@小囡我哪能噶能噶作孽额,,下届美国总统还会是他吗？我挺期待的喔。,4,2019-10-09 18:00
@Juicelike_,,@lensman_m 哈哈哈哈哈哈,1,2019-10-09 17:58
@泥泞留痕GT,,哈哈哈哈哈哈哈哈,0,2019-10-09 17:56
@xi欢谁呀,,安倍：？？？不管了，我先谢谢您嘞,1,2019-10-09 17:50
@是Troyeo,,难怪一只把安倍当儿子看啊,5,2019-10-09 17:34
@九禹妖尊,,这是喝了多少啊,1,2019-10-09 16:29
@也行也不行啊,,对暗号？,2,2019-10-09 16:15
@盆友碟子要伐,,又演小品？想上春晚就直说,5,2019-10-09 15:55
@-她比我好,,???哈哈哈哈,2,2019-10-09 15:54
@奋蹄扬戈,,老外在祝贺年龄较大的人的生日时，似乎总是说“祝你39岁生日快乐”。虽然我也不知道为什么会这样，但是我在一些文章里了解过。,5,2019-10-09 15:53
@饮风颂,,哈哈哈哈哈哈哈什么鬼,1,2019-10-09 15:42
@啾旎,,他到底想干嘛,2,2019-10-09 15:41
@可爱又迷人的反派角色峰峰疯疯疯,,又没隐藏好。,2,2019-10-09 15:41
@沐槿南樱,,哈哈哈哈哈，笑死,1,2019-10-09 15:33
@vega在那棵椰子树喔,,@元氣少女Eileen,0,2019-11-02 08:14
@Umbrellaooo,,我笑到疯掉哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-10-15 22:51
@每天都想去跳西干渠,,@撒库拉么么茶,0,2019-10-11 05:58
@胖嘟嘟的芒果a,,,0,2019-10-10 10:42
@小苜羽,,哈哈,0,2019-10-10 10:27
@lee光洙呀,,……,0,2019-10-10 10:17
