User,Reter,Comment,Votes,Time
@抖腿小生,,明显的刷单行为,2206,2019-10-09 17:45
@一只爱投资的小哥哥,,"木子洋洋走了，走得很痛苦，火化的时候还诈了尸，一直喊我没有死，最后用铁链绑着烧完的。火很旺，烧得嘎吱响，烧了三天三夜，家属很坚强，一个哭的都没，还有一个忍不住笑出了声，那晚风很大，运骨灰路上还翻了车，把骨灰盒摔碎了，刚要捧点儿骨灰，来了辆洒水车,车上唱着今天是个好日子",974,2019-10-09 17:41
@一寸灰lUncle,,可能是恐怖分子买来……,531,2019-10-09 15:54
@luozh918,,身份不明，就是自我炒作 ，不然，737 MAX飞机真的要冷了,424,2019-10-09 16:06
@会飞地熊,,波音在海外注册一家公司，再来买自己的飞机,255,2019-10-09 16:23
@每天从两百平方厘米的床上醒来,,我刷的，波音承诺给刷单费50元,228,2019-10-09 18:05
@泛舟而渔,,骗补贴的吧？,112,2019-10-09 16:28
@K歌之王中的王,,举报了，绝对是刷单！,59,2019-10-09 17:55
@V字仇杀队成员AJ,,用户真实姓名：不要命,44,2019-10-09 15:44
@神撫手,,不好意思，以为是模型，送到家里才发现这比例有点大,30,2019-10-09 17:47
@liu智博1997,,买回来做研究,16,2019-10-09 15:51
@水海雷,,有点不明白的一点：现在很多国内民航也还在用波音737，难道不是一样有风险吗？勿喷，真想弄明白这点啊，不然每次坐飞机遇到波音737都好害怕,1,2019-10-09 22:47
@全国高个子联谊,,哪个不怕死还敢买,9,2019-10-09 18:05
@锤子兮兮的,,原来这么大公司也要刷单,20,2019-10-09 17:57
@世界上再也没有人可以治愈我,,我jio得他是想上热搜,6,2019-10-09 18:02
@能上树的佩琪,,那么问题来了 挡风会破嘛,0,2019-10-09 18:08
@崽崽酷盖,,我刷的单，还要拍买家秀180的佣金,3,2019-10-09 20:55
@惠惠惠惠惠惠惠惠惠惠惠惠惠惠,,但销量1依然很难看啊...还不如没有,4,2019-10-09 18:08
@羊城龙关Willys,,除非买家不想活了,1,2019-10-09 21:28
@foolpsychostupidnoah,,刷单吗？,1,2019-10-09 20:14
@Blinhbling爱泡泡,,哪个不要命的来为波音刷单？,1,2019-10-09 19:57
@那年_那兔_那些事,,不会是印度买的吧…,3,2019-10-09 18:52
@姿视魅,,波音公司自己买的,2,2019-10-09 18:39
@烨桦的安逸小屋,,刷单的？,1,2019-10-09 17:56
@懒人国度,,不好意思，以为是模型，送到家里才发现这比例有点大,0,2019-10-18 23:38
@姑姑我们回家,,管人家干嘛，人家买卖自由，不计后果,0,2019-10-09 22:21
@我是邵邵邵邵abiao,,买去有人坐吗,0,2019-10-09 21:06
@萝袖动香,,胆子挺大啊，不怕不安全么,0,2019-10-09 18:17
@一大朵包子,,想自杀不用这样，买点安眠药不好吗,1,2019-10-09 18:04
@冰山上的茶包,,自编自导自演,2,2019-10-09 17:56
@我的家5299,,应该打算来一场轰轰烈烈912,0,2019-10-10 01:50
@陈圆圆的小德,,可能是买来在美国华尔街上空飞来飞去，指不定哪天就撞上了还不用负责任,0,2019-10-10 00:22
@來一da芥沫,,身份不明？？？？这么大的交易，像买路边摊一样付钱就走人吗？？？,0,2019-10-09 22:41
@AL丶橘子,,本拉登的转世灵童,0,2019-10-09 21:30
@摇家勋der小兔子,,买来骗保的。妥妥滴,0,2019-10-09 20:13
@假如想到此為止的話,,活该→_→,0,2019-10-09 19:26
@随缘0823,,撞美国的？,0,2019-10-09 18:16
@爱吃鸡翅的妞哦,,烈士吧哈哈哈,0,2019-10-09 18:06
@Q芒果布丁_,,买其他机型它不香吗？,1,2019-10-09 18:04
@姐姐不要那么快我不行了,,别问了是我买来，准备接特朗普回家的,3,2019-10-09 18:43
@日月重开大宋天,,印度？？,2,2019-10-09 18:20
@爱音乐的布,,911？,1,2019-10-09 22:36
@巴尔韦德不下课_我就不改名,,下单前备注 请2021年9月前交货 11号有用,1,2019-10-09 22:13
@醉殇40725,,刷单,1,2019-10-09 21:56
@也许明天也许没有明天,,美国也有刷单啊,1,2019-10-09 21:45
@我是叮当猫的小伙伴,,客户未知？那就是刷单喽！,1,2019-10-09 21:25
@喝不醉的大酒酒,,到底是谁这么大胆,1,2019-10-09 20:49
@游渔__,,可能是买来自杀的，,1,2019-10-09 20:21
@小正正呦,,商务机会用MAX？  脑子瓦特了！,1,2019-10-09 19:53
@乔治流氓钟,,烈士,1,2019-10-09 19:23
