User,Reter,Comment,Votes,Time,Count
@多肉葡萄多加葡萄肉,,久违啦 最好的凉虔锐雨零,132,2019-10-10 10:02,3
@多肉葡萄多加葡萄肉,,无论输赢 都是我心里的top1,96,2019-10-10 10:03,3
@StormYuy,,助威已经安排上了 你们好好打 我们无脑压,60,2019-10-10 10:04,2
@L-U87,,五个人不分离,43,2019-10-10 10:02,3
@CCCGD和车厘子,,过年啦嘻嘻嘻,20,2019-10-10 10:06,2
@Pabo-Jun,,我的20000暴风雨  加油干,18,2019-10-10 10:08,2
@够不着星星啦,,没啥好说的 给大家拜个早年,21,2019-10-10 10:10,2
@Abyss鹿鹿,,过年了！新年好！,17,2019-10-10 10:04,2
@瑶阿瑶呀_,,如今已经卑微到看到首发就哭了,14,2019-10-10 10:11,2
@CO刚刚好OL,,早就可以这样了！那么简单的道理就他helios不知道？上海交通卡都知道让谁上！,9,2019-10-10 10:24,2
@小鱼呀oO,,想说为了这个首发，红红我今晚等你哦,9,2019-10-10 10:03,2
@樱桃七七筱柒酱,,终于啊……太难了,7,2019-10-10 10:11,2
@这个昵称超级酷,,今天「五排新人」有终身免黑权,9,2019-10-10 10:05,2
@给我生小猫崽吗,,,6,2019-10-10 10:11,2
@虔诚的女孩oo,,最好的20000暴风雨冲鸭～ 披荆斩棘 胜利就在前方,6,2019-10-10 10:03,2
@夏日奇遇丨,,五人合体，战斗力max[加油],5,2019-10-10 10:04,2
@DeadlyNightshade717,,奇奇冲鸭你是最棒的！！！2000szd,5,2019-10-10 10:04,2
@晨星只会犯困,,最好的凉虔锐雨零！！！！！！！！！,3,2019-10-10 10:03,2
@哇俞超杰超帅,,这才是我们永不言弃的rngm！！！！！,1,2019-10-10 10:56,2
@凉虔最甜了LYF,,5排了，20000暴风雨加油！,1,2019-10-10 10:17,2
@夜夜流光皎洁w,,他们都超棒的,3,2019-10-10 10:11,2
@Helios今天滚蛋了么,,最好的凉虔锐雨零！,3,2019-10-10 10:11,2
@璐仔LuLu_,,加油，等一个漂亮的开船,2,2019-10-10 10:10,2
@南木_你是我的人,,我们最好的凉虔锐雨零！！！加油冲呀！！！,1,2019-10-10 10:10,2
@肥陈的颜粉,,今晚不管输赢如何，加油冲啊！！第一次合体尽情打就完事了,1,2019-10-10 10:09,2
@你是哪块小饼干_H,,小软冲啊！！！！！,1,2019-10-10 10:09,2
@是陈小柒呀,,五排冲呀,1,2019-10-10 10:08,2
@暴躁大青椒,,不管结果如何，今天都是过年,1,2019-10-10 10:07,2
@L洛-欣X,,啊啊啊啊啊我的凉虔锐雨零！,1,2019-10-10 10:06,2
@不问世俗琐事,,那几个男人他们终于一起首发了,1,2019-10-10 10:05,2
@糖源tyf,,奇奇加油,1,2019-10-10 10:05,2
@放逐0324,,20000暴风雨冲呀，我们RNGM回来啦,1,2019-10-10 12:07,2
@烤冷面团长O_o,,终于,1,2019-10-10 10:35,2
@Viickyyy,,不论输赢 这是我心中小软的最佳阵容！,1,2019-10-10 10:34,2
@诚玺西柚,,恭喜rngm 终于回归正轨了,1,2019-10-10 10:14,2
@阿Cccc酱吖,,我觉得我过年了,1,2019-10-10 10:11,2
@hjkl1010,,这才是真正的小软 加油啊,1,2019-10-10 10:57,2
@葛城凉c,,激动，终于五人合体了,0,2019-10-10 19:23,4
@-SSRI-,,喜大普奔过年好！,0,2019-10-10 15:38,2
@我钟情的H,,加油加油！！n,0,2019-10-10 14:43,2
@胡萝卜你在哪,,他们是最棒的！不接受反驳！,0,2019-10-10 13:45,2
@monodramamei,,我们一直在、我们一直在等、我们一直在等你们、我们一直在等你们胜利,0,2019-10-10 13:23,4
@两瓶红石榴汽水儿,,赢！,0,2019-10-10 12:51,2
@SEHUN0330,,奇奇加油！,0,2019-10-10 12:32,2
@芝士圈er,,希望今晚的首发亦是今后的首发！！！,0,2019-10-10 12:26,2
@长着獠牙的大白兔,,加油！rngm team！,0,2019-10-10 12:15,3
@救救奇奇吖,,攒到现在的竞猜币梭哈啦！！加油啊＾０＾~,0,2019-10-10 12:11,2
@弋漪Sternenhimmel,,凉虔锐雨零冲鸭,0,2019-10-10 11:57,2
@与李同行同姓同性,,五排开心冲冲冲就完事了！,0,2019-10-10 11:53,2
@monodramamei,,他、终于回来了！！,0,2019-10-10 11:43,4
