User,Reter,Comment,Votes,Time,Count
@HuangHeNan-,,吴京这脾气也太好了……,71,2019-10-12 18:35,2
@快乐男孩就是我,,图片评论 评论配图,81,2019-10-12 18:31,2
@红烧大麦茶,,这种明星夫妻平常不下厨，遇到点小矛盾不是很正常？,20,2019-10-12 18:36,2
@烈酒作伴丶,,确实，有时候你做事别人一直叨叨，烦的一批,67,2019-10-12 18:53,2
@NoahsArk_579,,下辈子我要做京的女人,63,2019-10-12 18:31,2
@十三IN,,我感觉吴京挺想发火的，在相机前强行按下去了- -,53,2019-10-12 18:55,2
@我觉得堡垒说的对,,你来做你来做，我去看电视了,30,2019-10-12 18:31,2
@带带萨戈尔,,唯一不真实的事  要是我老婆就撂挑子了,31,2019-10-12 18:41,2
@Mamba阿阿阿炮啊,,七哥也太好笑了哈哈哈哈，快走、快走、让他们继续吵,29,2019-10-12 18:52,2
@Is晨8,,谢楠态度挺好的，是念叨，但是这几分钟下来没任性啊发火啊啥的已经不错了，觉得换了别的女生估计直接“你摆脸子给谁看？”,16,2019-10-12 18:44,2
@XMQ66666,,我也想娶谢楠,21,2019-10-12 18:35,2
@我也想成为英雄呢,,这个综艺有一个画面极其让人感动，好像是在晚上，谢楠说特别喜欢吴京练武的样子，然后吴京就在河边打了一整套太极,19,2019-10-12 18:47,2
@蛤布里de太纸,,看的头皮发麻,6,2019-10-12 18:43,2
@LookMe_Z,,戚薇这个也太搞笑了吧，来来来继续吵继续吵,10,2019-10-12 19:07,2
@诚品激凸,,感觉他们夫妻俩会离婚吧,5,2019-10-12 18:35,2
@来土耳其摔跤吗,,太真实了哈哈哈 这和开车一样吧，副驾驶爱指挥…不分男女都有些毛病,7,2019-10-12 19:08,2
@岭南贱圣,,,8,2019-10-12 18:41,2
@倚楼夜听曲,,快让人家继续吵 哈哈哈,5,2019-10-12 18:36,2
@曾智顺-顺顺-SuperbMan,,@Scorpiochann_,0,2019-10-12 18:39,2
@浩叔叔s,,我现在真的真的很像跟蔡徐坤说对不起。连蔡徐坤这种人都敢和nba解约 不管他到底真的是没收到钱还是要赔偿违约金。但真的比一些nba球迷好太多了。以后我拿什么黑蔡徐坤。娘成什么样子了都。没学历没智商没脑子做什么都做不好的蔡徐坤。都比这边天天标榜自己是爷们的人强不知道几百倍,2,2019-10-12 20:08,2
@外星人派我来卧底,,看这个：谈什么恋爱结什么婚，天天吵架  看张歆艺袁弘：甜甜的恋爱什么时候轮到我,4,2019-10-12 18:47,2
@wlcn_,,特么的难道血水应该放进去？谢楠说的对,3,2019-10-12 20:38,2
@酒酒侦探,,这道菜我做的话，那你就别说话，你有异议，你做另一道菜，如果我做的不好吃，那下次我一定听你的，这就跟爷下象棋一样，你敢指指点点，爷回头就是一口老痰。,4,2019-10-12 18:48,2
