User,Reter,Comment,Votes,Time
@舆论说,,互相尊重才能成为朋友,2136,2019-10-09 21:59
@阅读手记,,“年龄越大，就对友情要求越来越高。真情假意见识多了，有时候就太容易看破一些真的假的朋友。所以，随着年龄增长，朋友们渐渐走散了，这也正常。当活得越来越清楚，就当失去了一些苍蝇掉在酱盆里的快乐。”,38,2019-10-09 22:02
@花马美酒,,双标，美国产,39,2019-10-09 21:58
@莱莱我是小水,,这么多年，我一直一直还是被巴铁感动着，巴铁这朋友真的赞，挺你老铁,33,2019-10-09 22:09
@FlashMob打假,,这个主播头好大,31,2019-10-09 22:05
@控制不住的女神经,,中国一直以来 都是有爱 有善意 讲诚信 重情义的国家  不管新朋友还是老朋友我们都欢迎  但是我没不欢迎不尊重我们的人,20,2019-10-09 22:03
@今日宝藏,,盆友并不是越多越好，重点是要精,12,2019-10-10 08:28
@晴川姐姐,,说得好,12,2019-10-09 22:09
@嘉伦有情吾有意,,朋友之间就要互相尊重的,10,2019-10-09 22:08
@鲨鱼座苏煜砚,,只要有钱朋友漫天,9,2019-10-09 22:05
@标点符号在前面,,来而不往非礼也，中国向来尊重朋友，也从不惧怕喷友,6,2019-10-09 23:22
@世界好大Da大得好可怕,,自己人坑自己人的我国人。,7,2019-10-09 21:59
@赵天天,,君子之交淡若水，小人之交甘若醴；君子淡以亲，小人甘以绝。彼无故以合者，则无故以离。,4,2019-10-09 23:36
@曼巴精神青史永留,,肖华长点心吧。给了你多少次机会了？,6,2019-10-09 23:22
@烟雨明月伴佳人,,互相尊重才能成为朋友,5,2019-10-09 21:58
@佐野日向子0805x1005,,一个中国[加油],2,2019-10-09 21:58
@Horkia-Live,,这是说捷克布拉格和北京的事吧，真的挺突然的。布拉格背信弃义！,3,2019-10-09 23:27
@web你不上我就上了,,支持！！！！,3,2019-10-09 21:58
@朝雨凉,,互相尊重，坚持正义，维护国家主权,2,2019-10-10 19:57
@张漂亮ing_Angelia,,我们够朋友，你们也得够意思，要不离友尽就不远了，哈哈，紧紧你的眉头吧,1,2019-10-10 07:52
@__不羁丶,,对，朋友是互相尊重的,1,2019-10-10 07:07
@Kize笑笑,,互相尊重，相互理解包容。才能共同成长，共同发展，共同繁荣昌盛,1,2019-10-10 05:15
@我依然喜欢你xz,,朋友是用来相互进步的，而不是互相算计的！！！,2,2019-10-10 02:30
@看着手机傻笑,,做人不能太莫雷,1,2019-10-10 01:45
@张子枫家的钢铁侠,,,2,2019-10-10 00:43
@卡布奇诺_甜,,礼尚往来来而不往非礼也,1,2019-10-10 00:23
@小五的故事199305,,,1,2019-10-09 23:50
@叹郁孤-,,你尊重我，我尊重你，大家就是好朋友,1,2019-10-09 22:59
@十染,,我们不反对言论自由，但中国有句古话叫做“道不同不相为谋”，既然志不同道不合，那我们之间还怎么合作，更谈不上做朋友了。,1,2019-10-09 22:58
@卡西西亚,,一定要重情义讲信义，朋友不是用来伤害的！！！,2,2019-10-09 22:45
@现璐星系,,互相尊重，互相理解，才能达成共赢的发展局面,1,2019-10-09 22:43
@温七安,,强大才能获得尊重，继续努力，继续加油！,1,2019-10-09 22:43
@Yomi_欣宝,,互相尊重，不触底线，希望不论是国家还是每个人，都能有越来越多的真朋友，好朋友，一起加油！,2,2019-10-09 22:31
@临沧城事,,[拍手],1,2019-10-09 22:06
@峰小赞家的悦,,朋友是用来互相进步的！,2,2019-10-09 22:05
@两双小手手,,三十年的所谓感情还真承受不了在原则问题上捅刀子,2,2019-10-09 22:05
@摩羯接话小王子,,你我帮我，我帮你，你不帮我，我还帮你，你不帮我还弄我？我…………,2,2019-10-09 22:01
@PRND21是SB,,新浪又挣了苹果一笔,2,2019-10-09 22:00
@玉琥珀55,,,0,2019-10-09 21:59
@范范范范范范范老师,,#NBA进不可靠实体清单# 莫雷发表港独言论，严重威胁我们国家安全！肖华发表声明维护莫雷的言论自由，不可靠实体清单必须把NBA加进去！,2,2019-10-09 21:59
@跑步课本007s,,所以，主播的交际圈是咋样的？,2,2019-10-09 21:59
@JePLiu,,支持央视新闻！,3,2019-10-09 21:58
@稚于初心丶修身心,,中国在世界上不会给自己树敌，可是却永远被美国为首的西方国家歪曲敌对。你们居心何在，只要每一个了解中国这个国家的外国友人都清楚的很,1,2019-10-10 00:30
@微商推广精准客源,,互相尊重才能成为朋友,1,2019-10-10 00:19
@守护星飞鱼,,朋友应该相互尊重！,1,2019-10-09 23:55
@G盅人-CWH,,中塞友好万岁!中非友好万岁!中巴友好万岁!中俄友好万岁!没有提到的友好国家也万岁!人类命运共同体要朋友之间互相守护共建!,1,2019-10-09 23:11
@藏之无忘,,我热爱的东西有很多，有对我很重要的独一无二，也有生活中酸甜苦辣咸的调味品。nba对我来说是我的兴趣，也是我生活中的调味品。一道菜里面少了一分佐料，也不会影响食物的本身营养价值，就像不放葱的宫保鸡丁，nba就是葱。国家主权不容侵犯。,1,2019-10-09 22:50
@_越野兔,,中国真的爱好和平，总是有人不想我们过得好,1,2019-10-09 22:46
@一鵝二鵝三鵝四鹅向天歌,,重情义  讲信义  老祖宗传下来的,1,2019-10-09 22:36
@水果王子关刀,,朋友来了有好酒，豺狼来了有猎枪,2,2019-10-09 22:19
@luo_zhenwei,,怎么头那么大,3,2019-10-09 22:05
@立里呐,,@_木子相心,1,2019-10-10 22:22
@Stella_YeX,,能从每次的主播说联播中学到很多 希望对我马上考公的面试有帮助,1,2019-10-10 03:14
@洱朵e,,想说主播说联播的拍摄视角每次都有点俯拍，把人的头都拉长了,2,2019-10-10 00:14
@杨杨鹿·,,我够朋友，你也够意思,1,2019-10-12 22:11
@静丫89,,现在越来越喜欢主播说联播了，每次看的是就觉主持人在身边讲话一样的亲近，赞赞赞,2,2019-10-09 23:52
@火葬场迪斯科,,米锅不听劝，执迷不悟，离友尽不远矣,2,2019-10-09 23:38
@大王Lemon,,交友之道：结交新朋友，不忘老朋友，争取更多好朋友，互利共赢，重情义，讲信义。,1,2019-10-09 23:26
@穷亼一生,,姐姐，你应该找摄影师麻烦,1,2019-10-09 23:16
@阳光下狮子座,,朋友就是当你做错的时候在背后宽慰鼓励你，在你做对的时候强烈拥护鼎力支持,1,2019-10-09 23:04
@Tao-Turboboost,,女主播的头怎么这么大 那么久了  官博都不能改进一下拍摄手法么,1,2019-10-09 23:00
@这位幸运的宝宝,,,1,2019-10-09 22:59
@方磊邮政,,只会幻想而不行动的人，永远也体会不到收获果实时的喜悦|嘲讽是一种力量，消极的力量。赞扬也是一种力量，但却是用心的力量。|目标的坚定是性格中最必要的力量源泉之一，也是成功的利器之一。没有它，天才会在矛盾无定的迷径中徒劳无功。|青春就像一只容器，装满了不安躁动青涩与偶尔的疯狂|同伴，不一,1,2019-10-09 22:33
@大水怪丁丁,,赶紧放我们海霞回去休息，直播间完了接档新闻联播，晚上还说联播，多辛苦,3,2019-10-09 22:25
@匠心独刂,,喷友？友尽不远了？懂没？？？,2,2019-10-09 22:22
@李梓淇,,拒绝“喷”友！,1,2019-10-09 22:11
@军事迷w,,说的好,1,2019-10-09 22:04
@小饭团今天变好看了吗,,nba离友尽不远了,1,2019-10-09 22:01
@世界之巅W,,礼尚往来,1,2019-10-09 21:59
@用户一鹿平安,,转发微博,0,2019-10-10 21:40
@薪火楼守门人,,够朋友,0,2019-10-10 20:15
@harrods,,转发微博,0,2019-10-10 12:06
@活络康膜,,某些塑料友谊,0,2019-10-10 10:24
@爱小丫基金,,#女生加油# 谁是我的真朋友？,0,2019-10-10 09:39
@纤涩,,最棒的祖国,0,2019-10-10 09:11
@恋上一只咩的鱼,,阿中的朋友圈越来越大了,0,2019-10-10 08:27
@你看看都不行,,互利共赢，重情义，讲信义。互相尊重，互相帮助，共同进步。,0,2019-10-10 08:12
@26eAsy,,话里有话啊！可能就中国语言的学问，有些人理解不了……,0,2019-10-10 07:33
@阿宫抖抖,,有的朋友就是很差劲还不自知,0,2019-10-10 07:19
@雪月之间_D,,朋友之间最起码的是尊重,0,2019-10-10 07:19
@柔然68725,,朋友是互相尊重的，互相成事儿的,0,2019-10-10 07:19
@lucky0312,,,0,2019-10-10 07:05
@心在路上的饭团,,交友之道在利益面前脆不可言，这样的“朋友”还是友尽的好。,0,2019-10-10 06:58
@兔的个性,,说得太对了!,0,2019-10-10 06:55
@梦想家SmileAngel,,互相尊重才能成为朋友,1,2019-10-10 06:49
@贰饼大人,,有缓,0,2019-10-10 06:48
@怡_BoBo,,朋友不是用来伤害的，更不能在一些原则问题上捅刀子。,0,2019-10-10 06:46
@蓉蓉51327,,交友就要比次相互尊重、理解！朋友也是相互的！,0,2019-10-10 06:46
