User,Reter,Comment,Votes,Time
@郑爽张恒分手没有,,听他的歌长大,58,2019-10-10 22:11
@koo_koo,,好听啊 行走的CD开玩笑的吗,48,2019-10-10 22:11
@秋秋秋裤酱,,林俊杰还好吧 去看下周杰伦的,1,2019-10-10 22:15
@yxl2288521,,#林俊杰济南演唱会# @林俊杰#想看演唱会的理由# 我特别喜欢他的歌曲，很有个性的！,29,2019-10-10 22:14
@张咕噜的时光机,,我朋友！抢到了！我在工作没给她回复！她没付钱！！！居然没付钱！！！结果就是没买到呗！！！他妈的苍了天了！！救命阿,19,2019-10-10 22:12
@Zxxxxxy_y,,求一张580,1,2019-10-10 22:17
@小丑鱼张歪歪,,刚听完天津场的，太满足了，还在回味中 评论配图,14,2019-10-10 22:20
@由希图集,,我从来没抢到过！,3,2019-10-10 22:13
@红绿灯要充电,,现场真的很带感！有钱有时间又能抢到票我愿意每场都去！！！,7,2019-10-10 22:51
@夏天儿爱吃瓜,,#林俊杰济南演唱会# 我一直喜欢听他的歌曲，我也好想去，这次看能不能抢到票 评论配图,4,2019-10-10 22:16
@桔梗花的海洋-,,#林俊杰济南演唱会# 林俊杰的演唱会每次抢票都好难啊，真的是一票难求啊！ 评论配图,5,2019-10-10 22:15
@哼我才是夕夕_,,什么时候在济南开啊,0,2019-10-10 22:38
@不掉毛的猫咪,,一个是喜欢，再就是想去发泄一下，大声喊也不会很奇怪,2,2019-10-10 22:14
@杊路,,我也听过一次,1,2019-10-10 22:30
@爱过敏的浪浪,,朋友给买的票,3,2019-10-10 23:45
@全世界最好是你林俊杰,,有品有才有颜有钱有趣有爱,3,2019-10-10 22:45
@糖醋甜甜圈Jane1121,,行走的cd是吹的吗！刚买了济南的票，今年看的林俊杰演唱会第六场走起！,3,2019-10-11 00:32
@翻斗花园的翟小灰灰,,喜欢,1,2019-10-10 23:24
@Shadowlxx,,好听,1,2019-10-10 23:23
@崔三俗,,因为我喜欢他,1,2019-10-10 22:43
@但愿人长久88899,,林俊杰的歌我特别喜欢听，想去济南看他的演唱会 评论配图,1,2019-10-10 22:16
@小丸子Miracle,,喜欢一个人，始于颜值，终于才华,0,2019-10-11 08:53
@Chu__Yue,,我的青春 我的现在  我的未来 评论配图,3,2019-10-11 01:03
@超级可爱的插班生,,没有,0,2019-10-11 00:10
@SONG宋-宋,,我林抢票可太难了,0,2019-10-10 23:29
@爱吃肉夹馍的谷利尔芙,,专业歌手的现场视听效果不是录音棚可以比的,1,2019-10-10 23:26
@Wayne圈圈,,讲真，唱的太好了,1,2019-10-10 23:04
@FJourney丶,,林俊杰是我的整个青春,1,2019-10-10 22:55
@板凳凳凳凳,,朋友圈反馈，济南的不难抢,0,2019-10-10 23:03
@陳贰十叁,,还有23天,0,2019-10-10 22:27
@椰子少女babeQ,,@乡下人_V 来这里发布一下,0,2019-10-10 22:26
@雪宝正房,,我老公林俊杰冲冲冲,0,2019-10-10 22:22
@刘一帆Silvia,,因为没看过,0,2019-10-10 22:19
