User,Reter,Comment,Votes,Time
@umbrellaop,,弱弱的问一下，有用美菱的吗？用了10多年了，没出过毛病。还在坚挺着。。。。。。。。,78,2019-10-10 17:28
@阳阳是好人嘿,,容声有吗？,84,2019-10-10 17:37
@被强煎的荷包蛋,,美的呢,60,2019-10-10 17:40
@樱木花道DW3,,小米没冰箱吧！！！,6,2019-10-10 18:01
@树根的皮,,松下,13,2019-10-10 17:27
@梦入玄机,,新飞,20,2019-10-10 17:31
@家居家具迷,,西门子，利勃海尔,0,2019-10-10 17:42
@忘了时间的钟V,,海尔海信,14,2019-10-10 17:29
@3横-1竖,,为什么没有海信?份额不够?,3,2019-10-10 17:41
@镜samsara,,冰箱公认的最好品牌 应该是日立,0,2019-10-10 18:02
@Super博,,海尔的吧,5,2019-10-10 17:26
@唇语大师溜溜,,谁他妈买小米,6,2019-10-10 17:51
@迪老太爺,,Panasonic,3,2019-10-10 18:06
@敬亭山上有白鸽啵,,康佳一个都没有吗？,2,2019-10-10 17:47
@吃了甜甜的糖果,,海尔,4,2019-10-10 17:26
@哎哎哎吖我去,,倍科,1,2019-10-10 17:48
@KHLooo,,没人知道容声？,6,2019-10-10 17:33
@长路漫漫94354266364,,海尔和美的,2,2019-10-10 17:31
@望崽小籠包Berry,,法拉利,0,2019-10-10 21:59
@威廉弟弟一,,西门子,0,2019-10-10 21:43
@美菱,,我来找我家粉丝了,2,2019-10-11 13:57
@刘亦菲是我女神我很喜欢你,,海尔兄弟，我的童年,2,2019-10-10 17:58
@这里有一只阳,,容声冰箱好,3,2019-10-10 17:44
@Haloooocc,,伊莱克斯,1,2019-10-10 21:26
@伊凡Ivan-Gallynov,,Bosch,1,2019-10-10 19:21
@鲁能泰山陕西古橙球迷会,,西门子，白家电都是用的西门子,0,2019-10-10 17:28
@橱窗后的真迹,,，,0,19-10-13 00:38
@用户缘来好运,,老厂，国营的都是坚嘢，质量沒得说，冰箱我家的万宝也五年不坏，空调买了民营厂的，真不敢恭违，六年多了坏了六次，最后一次刚过保修不到半过月，维修太贵现在还未修，手机也是三个月不到屏破了，充电口出问题充不了电，选东西还是选国营厂的，质量实在没得说。,0,2019-10-10 23:44
@磊磊_83578,,LG用了10年一点毛病没有。,0,2019-10-10 21:03
@qryt1201,,新飞,1,2019-10-10 18:59
@顽皮的哈密瓜,,我家松下,0,2019-10-10 18:42
@stay木头人,,松下,0,2019-10-10 18:30
@多浪河快乐哥萨克,,小米冰箱?,0,2019-10-10 17:39
