User,Reter,Comment,Votes,Time
@单字1个祎,,有些明星不火也是有原因的,11665,2019-10-10 08:29
@琳琳宝贝136,,迷惑大赏,7517,2019-10-10 08:30
@五道口菜菜子,,观众看他们倒是挺来气,5836,2019-10-10 08:43
@七色丶光彩,,他们是演员？,4852,2019-10-10 08:30
@933Shannnnnnnnnn,,就祝绪丹的不错！,3010,2019-10-10 08:31
@喵熊bible,,好像只有郭俊辰有那种怒的感觉,1646,2019-10-10 08:31
@明媚忧伤的李狗蛋,,对不起 这么多人我只能get到陈瑶的怒...,1344,2019-10-10 08:38
@赚钱养本宝_kk,,张云龙还不错啊,612,2019-10-10 08:32
@乔巴不吃糖,,都不太行...光一个怒目 没有前提没有性格没有对象 什么表情都可以吧......,450,2019-10-10 08:30
@雅璇yaxuan,,陈瑶 陈若轩 朗月婷 这三个还行,360,2019-10-10 08:33
@脑洞创作指南,,期待陈瑶,329,2019-10-10 08:32
@回忆聚合,,那个瞪眼男可能是和baby学的表演,240,2019-10-10 08:31
@Ethereal·祝绪丹安利博,,祝绪丹,159,2019-10-10 08:31
@季节流感,,几张图片就评价演技了？,124,2019-10-10 08:32
@金泰妍味的小丸子,,陈瑶吧,107,2019-10-10 08:32
@这颗软糖不甜,,哈哈哈，邢菲是奶凶奶凶,120,2019-10-10 08:31
@空城的空城的空城,,他们是来搞笑的吗,108,2019-10-10 08:32
@DU-shiman,,邢菲，郭俊辰，朱颜曼滋是那种生气到无奈的怒目,55,2019-10-10 08:32
@MrMiller629,,现在演员这个职业已经完全没有门槛了，谁都能演戏，有没有一点羞耻心？！,67,2019-10-10 08:33
@天才小刘同学,,我觉得郭俊辰真的可以不错,36,2019-10-10 08:42
@砚行書kio,,四字那个女星 像极了我妈妈生气前的表情,37,2019-10-10 08:32
@Vicky_nine,,郭俊辰！！！期待郭俊辰！@郭俊辰_Fiction 评论配图,31,2019-10-10 08:37
@娄啊啊啊啊娄,,张云龙的怒很真实了!,28,2019-10-10 08:47
@RUN不是你润,,祝绪丹挺好的啊 评论配图,25,2019-10-10 09:17
@灼灼璞玉是一天啊,,高至霆蛮好的,20,2019-10-10 09:08
@小洁mmc,,期待张云龙,29,2019-10-10 08:38
@Hagaau今天努力了吗,,沈梦辰有戏龄真假？不如不要计算出道年龄，计算拍了几分钟戏比较真实,35,2019-10-10 08:43
@三岁y-,,港真，张云龙害行,23,2019-10-10 08:39
@是你最最可爱的肥羊啊,,张云龙我觉得可以,26,2019-10-10 08:36
@一帆风顺2048,,投郭俊辰一票,26,2019-10-10 08:29
@戈比潭,,张云龙和邢菲很好啊~眼神就很有戏~没有一些奇奇怪怪的嗔怪感,24,2019-10-10 08:38
@菠萝小朋友w,,陈瑶，郎月婷，陈若轩，张云龙，朱颜曼滋，邢菲可能还行，有种确实是生气了的感觉，其他人都也太表面了吧，谁生气那么狰狞....,15,2019-10-10 09:16
@换了头像ID你还认识我嘛,,对于我来说，就这些人里来说，陈瑶祝绪丹陈若轩还算契合主题，个别几位女孩子那是在和男朋友娇嗔？总体来说的话，都不是很可,13,2019-10-10 08:56
@毛毛虫nana-,,张云龙！！！,15,2019-10-10 09:10
@特咯烷,,其实朱颜曼滋表现得跟我们比较贴近，现在不会像小时候那样生气了就直接表现出来，而是不让自己的生气那么明显，我一生气周围的气氛真的是冷几个度，但我还是该干嘛干嘛。,13,2019-10-10 12:08
@有故事的懵同学_,,张云龙太ok了,17,2019-10-10 08:56
@喜喜xixia_,,就陈瑶,13,2019-10-10 08:45
@酒后汪叽,,感觉祝绪丹OK！但我还是在她身上看到玄女的影子，期待突破吧,14,2019-10-10 08:44
@阿时今天睡醒了吗_,,第一个啥玩意啊。谁怒目嘟嘴,20,2019-10-10 08:38
@橘子皮泡点水喝得了,,祝绪丹动图 评论配图,10,2019-10-10 09:54
@吃货祝z,,祝绪丹可以,10,2019-10-10 08:45
@大号糖包_bobo,,smc？？？,8,2019-10-10 08:33
@我是深雪666,,祝绪丹，张云龙，朱颜曼滋，郭俊辰我觉得还行，那个什么刘哲尔,12,2019-10-10 10:11
@带梨涡的小文物,,我喜欢邢菲 因为我太喜欢小时光了 ,8,2019-10-10 10:10
@沐槿Lennon,,不是，光看图片是看不出的，得看动图吧,10,2019-10-10 08:31
@痴疯和尚,,郭俊辰吧，其他有点搞笑,11,2019-10-10 08:35
@这样的昵称居然都有人重复,,沈梦晨的怒目是来搞笑的吗,13,2019-10-10 09:14
@若C同学,,朱颜曼滋！！！！,9,2019-10-10 08:53
@夜空中最亮的Su,,喜欢朱颜曼滋,8,2019-10-10 11:06
@廉价六便士,,瑶妹儿,7,2019-10-10 09:10
@难言_72314,,朱颜曼滋可以的,6,2019-10-10 12:08
@花落伴官途sl,,朱颜曼滋演的很好呀 大家可以看一下 还是很稳的,6,2019-10-10 11:40
@邹健萍是谁,,郭俊辰可以的,8,2019-10-10 08:43
@ANOTHER_BY,,糊是有原因的，评论都在夸的那几位也没好到哪去，矮子里拔高个,7,2019-10-10 10:45
@Vaeki,,怒有很多种吧 我觉得邢菲就是演出那种小女生：我生气了快来哄哄我那种的感觉,6,2019-10-10 09:07
@让我一下,,郎月婷 张云龙还不错,7,2019-10-10 09:06
@白白想要变白,,图片评论 评论配图,7,2019-10-10 08:44
@王大为减肥工作室,,朱颜曼滋,5,2019-10-10 11:06
@张张Musical,,我觉着陈瑶还行,5,2019-10-10 10:37
@深深呐深深呐,,郭俊辰和邢菲及格 其余打酱油的可以退场了,4,2019-10-10 10:04
@就是爱张云龙,,强烈安利张云龙！！,6,2019-10-10 09:41
@芋泥本泥,,@橘子瑶 ,0,2019-10-10 08:43
@小昂是花,,朱颜曼滋啊！,4,2019-10-10 10:45
@2pm_sisi_Junho,,一个都不可,1,2019-10-10 10:06
