User,Reter,Comment,Votes,Time,Count
@我是杨Yang羊,,素质呢…下一代看着呢,4364,2019-10-10 10:15,2
@大白鹅6,,在里面放点捕兽夹就好了,3413,2019-10-10 10:18,2
@源緋雨,,素质差归素质差，男子大汉也喜欢粉红小草地拍照没什么问题啦。。,2517,2019-10-10 10:16,3
@今日宝藏,,真光荣，还上央视新闻了,2426,2019-10-10 10:28,10
@最诗词,,留下的不止是照片，还有素质。,1197,2019-10-10 10:16,4
@是娟爷啊9098,,站边上拍照不是一样的吗,975,2019-10-10 10:18,2
@甲戌年甲戌月甲午日,,网红网红，现在看到网红就不舒服，干什么都是一窝蜂，真的没意思。,715,2019-10-10 10:19,2
@标准五笔智能QQ搜狗输入法,,去年不就这样,705,2019-10-10 10:15,2
@Sneaker潮范,,有些人一出门就把素质扔了,446,2019-10-10 10:16,19
@ourscq,,只有重金罚款才有效,270,2019-10-10 10:16,6
@朵朵朵朵喵喵,,真的是无语 那么大人了没点道德素质,222,2019-10-10 10:16,2
@逗猫惹狗s,,把他们的大头照高清放大展览,189,2019-10-10 10:15,2
@纯净清新的风,,粉黛乱子草顶生云雾状粉色花絮，花期 9-11 月，成片种植可呈现出粉色云雾海洋的壮观景色，景观可由9月份一直持续至11月中旬，观赏效果极佳。拍照打卡请注意维护！,150,2019-10-10 10:17,4
@四川共青团,,旅游留下素质！,124,2019-10-10 10:23,11
@四川共青团,,让人难以理解！,94,2019-10-10 10:23,11
@克落闊樂冰闊落,,1、准备好照相最好的位置 专门用来让游人照相 2、以后在草里埋上水管子 旁边写警示随时浇水 擅入者后果自负 有人进去就开始喷水 喷一身全湿的那种 越狼狈越好,103,2019-10-10 13:49,2
@十万个为什么研究所,,国民素质有待提高,42,2019-10-10 10:16,2
@做次锦鲤行不行,,去年也这样，今年又开始了,47,2019-10-10 10:16,2
@中下且贫农,,修条细细的路专门供拍照，让照片看起来很自然就是，又不是兽类老是让人拿棍子赶,42,2019-10-10 10:35,3
@_宠着小仙女,,注意素质，你是中国人！！,23,2019-10-10 10:15,2
@4月的安阳,,在草中间铺一条小路就好了呀，连云港伊甸园就是的，既美观又方便，长得可好了,26,2019-10-10 10:43,2
@坐家-五味俱全,,有时候孩子不懂事可以理解，家长需要管制，那些大人跟着瞎弄算啥，没素质,30,2019-10-10 10:15,2
@颜宴,,其实，所有的低素质，都是对违法必究执法必严的狠狠打脸,27,2019-10-10 10:16,6
@柠檬远山,,建议每片草中间都铺一条小路,9,2019-10-10 10:19,2
@柚子小姐要加油,,设计的时候选几个适合拍照的位置留出来给游客专门拍照更好。宜疏不宜堵,4,2019-10-10 13:57,2
@城北决明,,素质呢?孩子还在呢！,3,2019-10-10 10:15,14
@丹宝Danie,,都9012了，怎么还这素质,3,2019-10-10 14:26,2
