User,Reter,Comment,Votes,Time
@夜雪初霁233,,考过研的都知道非全怎么回事？基本上每个学校非全都是压线，周六周日上课，平时上班，全日制天天泡实验室。说白了差别很大，非全的心里没点数吗,1017,2019-10-10 12:49
@By凡儿,,不叫歧视吧。全日制花了完整的三年的时间，非全能够边工作边读研，全日制收分比非全要高。所以没有什么歧视，只能说有所区别吧。个人看法,626,2019-10-10 12:50
@将吻三斤,,作为第一批非全日制，不得不说，我很后悔。付出多少真的没必要说，因为不懂的人永远不会理解。所以，劝告各位，能读全就不要非全。,518,2019-10-10 12:51
@南岸旧梦,,歧视链无处不在,440,2019-10-10 12:47
@淡彩花草绘,,为什么一年制的英国、新加坡、香港水硕可以落户北京上海，非全日制连工作都找我不到，这是学生的问题，还是机构的问题？ 教育部如果不解决学生就业的问题，就不要怪学生来闹@微言教育 @人民日报 @共青团中央 @共青团中央 @环球时报 @环球网 @澎湃新闻 @新华视点 @中国新闻网 @中国新闻周刊 @中国青年报,276,2019-10-10 12:48
@是你呀俊青,,说实在的，只要不是想进如特别好的国企、私企等顶尖单位。一般的、甚至还可以的事业单位、企业等只要是硕士，无论全/非，工资均是一样的，这个是事实。而且，试问这些歧视非全的，无论是全日制的还是甚至都考不上硕士的，有几个真真热爱科研？有几个真真学以致用？有几个的文章实实在在？,170,2019-10-10 12:51
@薯薯lee,,已经在体制内工作多年的我，今年正在努力地考非全，看到这个话题时多少有点打击。我的努力一点也不比考全日制的少，我坚持每天六点起床，背单词，背专业，背马原中特，上班偷偷摸摸地看书，下班回到家还继续各种听课。最后我想说，我们考的是一样的卷子，统一划的线，为什么我们就被歧视了,114,2019-10-10 13:03
@夜宇小媛想喝咖啡,,非全还考虑什么就业歧视啊，就算是因为工作不错舍不得放弃，又舍不得研究生，才考非全。,152,2019-10-10 13:03
@真嗣今日绫波明日香,,实际录取分数线一样吗？本身非全就不是给应届生准备的，既然选择低分上名校这种投机取巧方式，那么所带来潜在风险肯定也要自己承担,91,2019-10-10 12:50
@刘小强同学想做个读书人,,不要对自己没经历过的人生颐指气使，不要对自己不了解的领域大放厥词。 评论配图,105,2019-10-10 13:34
@柚子要次三分甜,,非全日制的一般不就是有工作才去考的嘛？,46,2019-10-10 12:48
@WW小仙女耶,,怎么说呢  还是政策不够完善吧  每件事情都有它存在的价值  非全也是值得提倡的  对于工作族来说可能利益更大（仅代表个人观点）,50,2019-10-10 12:48
@草莓神大大,,并不懂得什么是非全日制，求科普,20,2019-10-10 12:48
@Hbppy张江,,如果是应届生，为什么要报考非全？哪点吸引到你了？如果说自己被调剂的，那为什么不选择调剂到其他学校的全日制，而是依然接受了非全？   不做评价，存粹问个问题,34,2019-10-10 13:01
@是你呀俊青,,若是全日制歧视非全日制，只能说你马原部分白学了 就是个会考试,19,2019-10-10 12:53
@是你呀俊青,,有几个真真把你自己写的文章里的内容实现了？有几个真真进了好单位、好企业？大多不都是差不多的普通人？在这里站在所谓的“制高点”加以评论，真的显得很尬。大多都是普通人，非要装什么呢？考研的人不要看这些了，不如扎扎实实做题去。倒计时，不多了……,27,2019-10-10 12:51
@南岸旧梦,,鲤鱼翻身还得靠自个儿,15,2019-10-10 12:48
