User,Reter,Comment,Votes,Time,Count
@约吗,,1500以下的来这里,3240,2019-08-31 19:00,1
@一个窑子,,我大学时候5000。,464,2019-08-31 18:55,1
@海绵宝宝and派大星3,,1000-1500,3859,2019-08-31 17:29,1
@琬樱酱,,1500正常水平吧,1102,2019-08-31 17:25,1
@别叫我小橘,,我暑假的时候问了一个大二女生，生活费12000,671,2019-08-31 17:40,2
@南坤旧梦,,我想知道高一住校生多少合适呢？,143,2019-08-31 17:25,1
@忧乐园,,看家庭条件吧，给的多花的多，给的少肯定不够花。,432,2019-08-31 17:33,1
@我叫王不羁,,1500吧。平均一天50块 ,244,2019-08-31 17:31,1
@热心市民楠乐多,,1500是正常水平但不是所有大学生常态吧 还有评论区那些觉得超了1500就觉得人败家的真的扯 自己父母经济实力消费水平摆在那里 有钱人一件衣服就可以上万 对人家来说也就相当于你花100块买了件衣服有什么好酸的,275,2019-08-31 18:41,1
@好南好南_,,为什么这么多说1500的，真诚发问，在南京的妹妹真的够吗,170,2019-08-31 18:05,1
@橙袜儿,,你们父母还给生活费，我父母学费就给我出了1/3，别说生活费了，全部都得靠我自己寒暑假出去打工挣钱，今天上午外面说什么可以贷款什么的没利息，我爸就跟我说可以贷款巴拉巴拉的毕业以后还，我当时就怒了你们又不给我学费，再说了我学费已经缴过了，又说这个干嘛，贷了款以后不还是我自己还,154,2019-08-31 17:46,1
@_Purify_,,武汉读书1500够吗?,46,2019-08-31 17:37,2
@UNIQ王鸭脖,,虽然我希望是一千五，但是我只有1000,178,2019-08-31 17:29,1
@Mid丶ILy_,,学艺术，大学四年三十万，很无奈啊,28,2019-08-31 18:09,1
@不是你的2GouZ,,月生活费3万路过,23,2019-08-31 19:44,1
@梦·随风而去,,现在一个鞋就大几百，和朋友吃顿饭不最起码几百，开销比以前的大，所以不能按照以前的想法,21,2019-08-31 18:50,1
@苗苗真真真真的不能再吃了,,每个月只有20,11,2019-08-31 17:54,1
@夜色哪里嘟是美,,,30,2019-08-31 17:30,1
@小白仔全身变,,大一的时候1500一个月 偶尔逛淘宝 但那时候不买化妆品 不买护肤品 不吃水果 很宅不喜欢出去玩 每个月还能存500,21,2019-08-31 18:52,1
@Apherach,,一个月生活费2000 我不吃早饭天天饭费花销30左右 剩下的都被我吃掉出去玩买化妆品balabala的...所以我每个月还得从小金库里拨款给自己花,20,2019-08-31 18:49,1
@鸢鸢啊,,但我只有1000在北京一线城市,27,2019-08-31 17:37,1
@Darren4udad,,留学党 几万起步 不然活不下去,19,2019-08-31 21:26,1
@an的花火,,3000就是一个人的工资了..如果父母就这工资怎么可能给这么多,18,2019-08-31 18:32,1
@哈哈哈哈975,,基本生活1000能搞定，武汉新一线，但杂七杂八小费很费钱，至少要800,15,2019-08-31 18:16,1
@魏无羡的小姐妹,,大三上学期我爸给我总共打了2400元，反正饿不死我就行,11,2019-08-31 21:37,1
@张福玲,,图片评论 评论配图,7,2019-08-31 23:27,1
@电竞少女甜甜,,100自己打工去,4,2019-08-31 17:46,1
@Dace亦,,1200,11,2019-08-31 17:37,1
@左耳SayLOVEme,,我很佩服自己打工赚的，加油未来一定很美好！,10,2019-08-31 19:27,1
@滕憨憨,,不可以自己勤工俭学，打工赚钱吗？？,6,2019-08-31 18:01,1
@深诚似海,,那些说三千的，我估计你是天天刷淘宝吧,13,2019-08-31 18:12,1
@魏鸿昊,,不同的学校有无自交水电网费？伙食费？最基本的分类都没有怎么选？,6,2019-08-31 20:15,1
@蒋·公子,,其实还是取决于自身意识,8,2019-08-31 18:10,1
@更多好玩的搞怪视频,,一个月生活费1500把，因为食堂确实比社会上的外卖或者饭店便宜，然后买衣服和鞋子要报备，在给钱，防止小孩乱花钱吧，因为会有形形色色的诱惑,5,2019-08-31 20:23,1
@岁月静好77124,,妈耶,1,2019-09-01 02:06,1
@白宇的骄傲腿毛,,伦敦的留学生都是两万起步,3,2019-08-31 23:45,1
@evelyn1015,,每个月最起码好几万的我,3,2019-08-31 21:11,1
@迎秋宝,,没有100-500的选项吗?反正我毕业了,7,2019-08-31 18:33,1
@是大峥子呀_,,把我们一千一的放在哪,1,2019-09-01 09:46,1
@赤犬夜叉,,2500没有选项嘛…,7,2019-08-31 18:13,1
@wakkk,,有个富人为了让他孩子，不铺张浪费，一个月只给十万，让他活不下去,2,2019-09-07 18:57,1
@问尔天上月,,我2500勉强够用,4,2019-08-31 23:34,1
@一颗等刘宪华开演唱会的布丁,,2500不配拥有选项吗？,4,2019-08-31 23:27,1
@为你剥虾,,其实不谈恋爱花不了多少钱，每个月1500应该足够。其实蛮害怕女生甜言蜜语哄我恋爱，最后只是为了骗我钱，骗我身子我都可以算了,3,2019-08-31 21:53,1
@OvOzyh,,1500 评论配图,3,2019-08-31 17:42,1
@瑶光zY_,,大三时候五千一个月，上海本地私立大学。如果我不谈恋爱，现在应该能存下很多。现在大四了，玩游戏挣的钱和在赛事执行上班攒的钱，还有外面做生意攒攒什么的，这三个月就要了两千。现在糟心的就是，早知道我宁愿钱全玩游戏也不拿来谈恋爱，唉。,2,2019-09-01 02:09,2
@想做你的取向狙击,,坐标山东，每月吃饭就900+，看到前排我懵了,2,2019-08-31 21:51,1
@做一朵会躲雨的蘑菇,,现在物价这么高,2,2019-08-31 21:14,1
@我是春泽大可爱_LiuCze,,不谈恋爱一千，谈恋爱咱也不知道能花多少,2,2019-08-31 21:10,1
@拈花把酒贪夜色,,我一个月工资两千多呢，供不起大学生,3,2019-08-31 18:31,2
@小梦酱_,,额   我花4000+,1,2019-09-01 08:30,1
@去哪里冬眠,,女孩儿一枚：1000,1,2019-09-01 08:06,1
@不是就酱就酱紫,,上海需要多少 真情发问？,1,2019-08-31 23:10,1
@可爱的高达达达,,想花钱就自己赚，没本事就别花，大学生都是成年人了，什么不能干,4,2019-08-31 22:01,1
@JOJO的母亲大人,,有的人自己刚毕业能挣多少呢？刚去大学就应酬多多花费多多了。,1,2019-08-31 21:35,1
@飘鱼xixi,,都不自己打工的嘛。家人给点自己赚点差不多啊,1,2019-08-31 21:26,1
@夜无眠如君愿,,饭费就1000，买衣服啊。很贵啊,1,2019-08-31 19:29,1
@彤彤红,,我还不到500,1,2019-08-31 19:10,1
@在陆地上寻觅大小怂,,抱歉我拖了后腿,2,2019-08-31 18:13,1
@JCinSydney,,在悉尼……生活费5000房租5000 没有很到需要很节省的底部 但也不能乱花 不然不够 在国内成天潇洒点外卖 在这 多出去吃几次就要想好在家吃几顿泡面,3,2019-08-31 18:00,1
@让我你说点啥好呢,,看家庭情况、学校所在地区的物价和所学专业吧,1,2019-08-31 17:26,1
@张--老师,,500一个月大家都觉得不可思议，搞得我叔叔经常给我打钱，问我怎么活下来的，都是自己挣钱啦，最多的一个月两份家教，还有其他的，一个月挣四五千,0,2019-09-22 16:04,2
@雅萱zzz,,我大学每个月都是1000,0,2019-09-03 09:27,1
@某个友人,,一个月不到1000的路过~,0,2019-09-01 09:07,1
@蜡笔妹纸,,200没多的,0,2019-09-01 01:12,1
@am_iye,,万年1500，换季或开学2000。打钱周期二十天到二十五天不等。,0,2019-09-01 00:23,2
@铭立Tommy,,什么投票区间都不完整,1,2019-08-31 23:22,1
@尽味清歡,,我们学校，我在学校六天但是第六天的晚饭不吃，还有配一瓶五块钱的饮料就要156块钱，买水果50，零嘴50一个星期256，一个月大概就是1024，爸妈一个月给1300，但是，，我需要护肤，可能有时候买个化妆品，买个包，买个鞋什么的就完完全全不能够了，还有每个星期出去玩的钱，一次大概就200,0,2019-08-31 23:10,1
@百丽东达商行,,大学生活好吗？   你们开学一次性交多少钱？   一般在哪个入口交？   老师说高中紧大学松是真的吗？   开学后有多少次集体性活动？,0,2019-08-31 23:06,1
@lililili鱼子泡,,比我一个月工资还高,0,2019-08-31 21:17,1
@出了这么多年你就能改名了,,我一高中生每个月都二三千这样花出去,1,2019-08-31 21:08,1
@Xback-努力丫,,一千块钱的我活到大四了,0,2019-08-31 20:39,1
@农爽玺,,一千二,0,2019-08-31 19:29,1
@sbyy嘤,,宁波读书一千五一个月够吗？,0,2019-08-31 19:22,1
@恒仔萌,,完了 大学的时候每个月都要花5000以上,0,2019-08-31 18:53,1
@青出于蓝胜于lan,,大一到大三了。每个月都是1000。,1,2019-08-31 18:37,1
@小崔说事360,,韩信将兵，多多益善啦,0,2019-08-31 18:32,1
@艾琳Irene_126,,大连1500够吗,0,2019-08-31 18:12,1
@我现在喜欢6,,能自己打工赚的都是厉害人 ,1,2019-09-01 07:06,1
@快喂我一口面条-,,这个物价怕是五百都够了 评论配图,2,2019-08-31 23:09,1
@bb今天努力学习了吗,,小城市1200出去吃饭逛街看电影买水果买化妆品逛淘宝一周一到两次外卖其余吃食堂（可能是我一天只吃两顿饭吧而且出去逛街自己肯定不会买特别贵的衣服，那些都是应该在家里买的,0,2019-08-31 19:18,1
@Ufine优梵满佳-,,以前一个月3000不够花，现在经济独立了，看了下开销，更过分了…一万都不够花了…,1,2019-08-31 19:09,1
@我帕五金要你快乐,,自己挣,1,2019-08-31 19:08,1
@等等等等等L,,毕业一年了，之前在学校一个月1200,0,2019-08-31 19:08,1
@-Yueueue,,你们都认真的吗…真的够吃饭吗…,1,2019-08-31 19:08,1
@心心向影233,,1000不能再多了,1,2019-08-31 19:05,1
@袅袅炊烟晚,,我一个月2200（私立）,0,2019-08-31 17:40,1
@无糖维C,,只吃饭加基本生活用品的800足矣，但一个人一个月什么也不买也太憋了吧......生活用品护肤品化妆品衣服一个月买一点加起来就1500左右了，随心所欲一点也在2000以下，二线城市。父母给多少花多少吧，自己有存款也行，只要不是超额消费都没什么问题。,0,2019-11-01 16:54,2
@西部荒蛮,,一千饿不死五千不够用 主要是家庭条件跟你所处地区吧,0,2019-09-07 16:28,1
@KathyHanPretty,,上海2500够吗,0,2019-09-04 14:00,1
@18岁的罗付雄鹰,,您好 已加您关注 请加我关注 谢谢,0,2019-09-03 08:58,1
@vviiizoo,,我十年前大学一个月就是1500 不够用  最近身边的大学生貌似都是3000,0,2019-09-01 15:47,1
@微博媒体,,Hi，我已将你的微博收录到新鲜事 今日最热投票 ，微博会被推荐给更多用户（什么是新鲜事收录？）。如不希望微博下出现新鲜事标签，请戳 删除标签说明,0,2019-09-01 13:24,3
@小帅机器人少女版,,看家庭条件和学校地域喽,0,2019-09-01 10:25,1
@死于话多L,,十几年前读大一，生活费也是1500左右，十几年后生活费还是1500,0,2019-09-01 10:15,2
@人品撑未来rp,,你家庭承受的起就是合适的 超出承受范围就是不合适呗,0,2019-09-01 09:06,1
@Paxwhitebai,,你爸妈有钱才行,0,2019-09-01 09:04,1
@___不爱吃肉的小蕊姐-,,我300,0,2019-09-01 09:04,1
@一只橙子棒棒糖,,看学校吧，我们学校饭均8-10元及以上，光吃一个月就不会少于七八百块。再加上每个月热水，洗浴，日用品，网费，话费，感冒肠胃炎支气管炎的药，偶尔添一件衣服一双鞋，偶尔出去吃一顿，偶尔买只口红，偶尔买本书，还有一堆乱七八糟的零零碎碎的。真不知道低于1500怎么活2000都费劲,0,2019-09-01 08:52,1
@我也在试着梦见你,,自己打工赚的那个 说实话 大学有空学学东西 多搞搞人际关系 以后挣钱的机会多的是,0,2019-09-01 08:26,1
@卑微追星boy,,2500不配拥有姓名吗,0,2019-09-01 08:10,1
@YUkieminnn,,就没有2500的选项吗,0,2019-09-01 08:08,1
@就是叶澄,,想问在重庆1500真的够吗？反正我不买名牌不买奢侈品一个月1500真的不够。。,0,2019-09-01 08:04,1
@叶梓哀,,1000以下只能保证基本温饱吧,0,2019-09-01 07:52,1
@实打实的吃货,,八年前600,0,2019-09-01 07:45,1
@宋鑫_SongHeum,,,0,2019-09-01 07:32,1
@绑架希范吧,,大学不同消费水平不一样生活费自然有差距,0,2019-09-01 07:27,1
@一个精神抖擞的小迷妹,,我四千,0,2019-09-01 07:25,1
@欹枕不成眠,,如果不到1500感觉自己要饿死,0,2019-09-01 07:02,1
@二7九,,我大学是1500左右,0,2019-09-01 06:51,1
@想送你繁星却怕你早有银河,,这种帖子我都不用点开我就知道是无中生友替别人吹牛b系列,0,2019-09-01 06:35,1
@是你的洋泡泡啊,,在上海 大二 生活费2000 自己打工挣5000 还有网上做做外快整2000,0,2019-09-01 04:34,1
@Qiqi愿意shu星星,,4万,0,2019-09-01 03:55,1
@尢嫒,,为什么这么多说1500的，真诚发问，在杭州的妹妹真的够吗,0,2019-09-01 03:44,1
@昱娴今天出门了吗,,我一个月3000不够……,0,2019-09-01 03:00,1
@今天也要给你讲甜甜,,看家庭条件，看所在城市,0,2019-09-01 02:40,1
@Jinger_Woo,,我大学的时候800,1,2019-09-01 02:37,1
@换个昵称好好做人,,高中的我一个月五百,0,2019-09-01 01:59,1
@小软爱吃羊肉卷,,上海的 三千一个月正正好好够用吧,0,2019-09-01 01:43,1
@一个哇塞的老胡,,重庆1700，不算买衣物,0,2019-09-01 01:29,1
@W雅呀呀呀JIE,,怎么那么多一千五到两千的，我拖社会的后腿了吗,0,2019-09-01 01:08,1
@大G会有的,,500到一千是想饿死孩子嘛,0,2019-09-01 00:59,1
@南袭dr,,2013年的学生一个月爸妈给700，自己暑假工有钱，差不多一个月加父母给的1200，好羡慕一个月1500的同学,0,2019-09-01 00:52,1
@Rz瑞崽儿,,大二2500不够花……,0,2019-09-01 00:51,1
@GuoRoycola_,,我不知道我才开学 我爸直接打了两千,0,2019-09-01 00:13,1
@一只喵可爱,,,0,2019-08-31 23:57,1
@黄梓晗_Viorina,,可惜我没有,0,2019-08-31 23:50,2
@黄梓晗_Viorina,,一万,0,2019-08-31 23:49,2
@我是小奋斗啊L,,一个月我花500块左右,0,2019-08-31 23:44,1
@我是的大碗,,广州 有没有人出来说说 多少够,0,2019-08-31 23:40,1
@小烦的黄恼日记,,请问一下 在厦门生活一个月一千够吗,0,2019-08-31 23:29,1
@YA__Yvonne,,2500,0,2019-08-31 23:21,1
