User,Reter,Comment,Votes,Time,Count
@中国消防,,期待！到时候咱们一起观看～,12410,2019-09-23 07:29,3
@郑爽张恒分手没有,,这周主要任务，等阅兵仪式,9536,2019-09-23 07:29,3
@_机邈小山人_,,昨晚听了好久的礼炮声，我在三环，听五环的同学说他也能听到,4755,2019-09-23 07:31,1
@鹿晗关晓彤多久能分手,,期待阅兵啊,2108,2019-09-23 07:28,6
@玲玲振玉,,倒计时8天，期待大阅兵,1890,2019-09-23 07:30,3
@抽不到呱皇不改名,,环保工作一定要做好鸭,1619,2019-09-23 07:30,1
@502胶水是甜的,,重要通知：马上就要大阅兵了，大家一定得多读点书，多积攒点文化，看到阅兵时多用点“震撼、壮观、威武、雄壮、排山倒海……”等形容词，以免看到壮观场景的时候只会说：”卧槽、牛逼、真尼玛齐……,1420,2019-09-23 08:47,3
@早睡夜猫子_,,这是最后一次彩排，但是是彩排里头一次放烟花，杠啥啊。要是国庆当天烟花效果不好出问题了，你们又得杠。真难伺候,1042,2019-09-23 08:39,1
@夜半听雨醉清风,,祖国过个70岁生日，多理解一下。而且这是最后一次演练了。再就是越是这时候，很多敌对的人很希望我们自乱阵脚。所以我们改多一些团结，别在网上进行无谓的争吵。当然了，这就像我们父母过生日做孩子的争吵让父母在哪过一样，都是爱。但之后网警肯定会督查网络的，所以评论要三思啊。年轻但暂不要气盛。,454,2019-09-23 08:42,1
@陈荿小仙女,,第一 环保烟花 跟咱的不一样 ,361,2019-09-23 09:12,1
@奎葵努纳,,超级期待阅兵,53,2019-09-23 07:31,1
@是胡哥吖,,好震撼人心，期待期待,53,2019-09-23 07:30,1
@大盗海问香,,应该把杠精绑到烟花上一起放了,33,2019-09-23 14:14,1
@伊贤,,期待10.1的国庆阅兵了，世界瞩目,39,2019-09-23 07:29,3
@为战战摘星星DAYTOY,,杠精能别在这儿杠吗？这是我们祖国的荣誉,39,2019-09-23 08:44,1
@顾名思义-1010,,期待啊,18,2019-09-23 07:31,3
@孟爷爷喝奶奶,,我们二三线小城市不允许放烟花,14,2019-09-23 08:50,1
@杨陈祖一,,半夜吵醒一堆人,14,2019-09-23 08:41,1
@勇敢者抗争到底,,请求关注，谢谢！我在上海的住房在我们全家没有签字也没有法院裁决的情况下被暴力强拆了，无家可归流落街头！上海市静安区华兴新城动迁组公然践踏宪法和物权法，在我们没有签字也没有法院裁决情况下，动迁组的暴力殴打劫持拘禁，把我家所有财物洗劫一空把我家房子暴力强拆的行为是不可姑息的！,13,2019-09-23 10:08,19
@驻京办东城小伙伴,,不是说让保密吗哈哈 别人都不敢发,11,2019-09-23 09:21,1
@闻晓旋xz,,为啥我放烟花被罚款了呢？,13,2019-09-23 10:52,1
@一只奋斗的土鳖,,北京市民过年都看不到的烟花，终于可以看到了！,9,2019-09-23 09:02,1
@狗头人酋长阿斯顿丶Bobi,,不是不允许燃放烟花爆竹么？？？？嗯？？？？,9,2019-09-23 12:17,1
@R1SE-任豪的女朋友,,那得期待一周了吧！,6,2019-09-23 08:32,1
@TOBEAJERKONE,,污染啊,6,2019-09-23 13:35,1
@Jsetrurpyid,,我说昨天晚上是什么声音，以为是打雷要下雨了,5,2019-09-23 09:37,1
@自在的等风yummy,,期待,7,2019-09-23 07:28,2
@橘猫两三只,,期待,3,2019-09-23 08:30,1
@马小怪的style,,期待大阅兵,2,2019-09-23 08:18,1
@搞啥茗堂,,还好中国禁止外网，不然中国那么多弱智出去了绝对被洗脑，哎，可悲,6,2019-09-23 11:29,1
@198天倒计时,,无限期待,5,2019-09-23 08:31,1
@Sakura·1005,,倒计时开始，期待大阅兵!!,10,2019-09-23 07:35,1
@左眼看远右眼看近,,这算只许XX放火不需XX点灯么,5,2019-09-23 13:09,1
@姝妹妹a,,人民万岁,3,2019-09-23 12:57,1
@Lyn_扁扁,,国庆哪也别去了，守着电视看直播,3,2019-09-23 11:16,1
@茅台的田Mang妹-only,,人民万岁,5,2019-09-23 09:29,1
@Hey哎呀晓,,坐标东四环 以为地震了 也不敢睡,5,2019-09-23 08:43,1
@娜欣依旧_漪萱,,,2,2019-09-23 10:31,1
@尚小A666,,大唐盛世感觉，见证祖国的强大和繁盛,4,2019-09-23 10:05,1
@-SHIRLEY_X-,,毛主席：人民万岁,4,2019-09-23 09:23,1
@中建一局集团,,期待！一同观看,2,2019-09-23 11:53,1
@只想安静的唱会歌,,环保呢,2,2019-09-23 11:01,1
@庄萌萌粉,,厉害了我的国,3,2019-09-23 08:59,1
@__一缕微光XX,,期待十月一大阅兵！！！,2,2019-09-23 08:58,1
@小刘不得了,,七十周年放个烟花这么多年也就这么一次，键盘侠就别杠了，七十周年值得这么庆祝，祖国万岁嗷,6,2019-09-23 08:57,1
@·一只仙女,,期待的搓搓手,4,2019-09-23 07:28,1
@是芥末黑巧克力呀_,,那么晚原来在放花,3,2019-09-23 09:50,1
@从天而降的雨点,,这一定是环保烟花吧？,3,2019-09-23 09:40,1
@可爱西西吖,,我已经迫不及待想为祖国庆生了,2,2019-09-23 08:43,1
@尤其七月_,,我特么真的好生气，平时一个个的转发微博，满嘴的爱国，现在就放个烟花，还是演练了三次，最后一次才放，也是怕正式那天有什么失误吧（真的有失误估计能让杠精骂死），你们就矫情的不行了，10年才国庆阅兵一次，就一天没睡好你们是能死吗？你们活的咋就那么累呢,6,2019-09-23 09:33,1
@你有没有为了汉堡拼过命,,期待！期待！,1,2019-09-23 12:08,1
@弦淽十三玄,,这盛世，如你所愿,1,2019-09-23 12:07,2
@Fawn-娴,,太帅了吧，祖国万岁,1,2019-09-23 12:06,1
@十二岁时我不知道时间过得这么快,,期待期待啊,1,2019-09-23 12:06,1
@中国民族博览杂志社,,太好康了8！！！,1,2019-09-23 10:11,1
@乖一点好不啦,,太帅了 祖国妈妈生日快乐我永远爱你,1,2019-09-23 10:11,1
@肖战和我是嗲精,,哇！期待期待,1,2019-09-23 10:08,1
@蘹香,,我说昨天夜里是什么声音！太棒啦！,1,2019-09-23 10:07,1
@铭铭de强强屋,,期待,1,2019-09-23 10:06,1
@自学成坑,,哇，30万人参加，这么多的吗,1,2019-09-23 10:06,1
@_康闻同学_,,昨晚上我以为打雷了要下雨 查了天气预报 确实没有雨,2,2019-09-23 10:06,1
@杨杨飒飒的风,,好期待，倒数计时，已不远了,1,2019-09-23 10:06,1
@树树树树树獭,,剧透了啊,2,2019-09-23 10:06,1
@尹O航,,王晓晖在介绍情况时特别强调说，庆祝中华人民共和国成立70周年活动，既要隆重热烈又要务实节俭，严格执行中央八项规定精神，防止形式主义，不搞铺张浪费。,4,2019-09-23 09:56,1
@磊甜甜,,期待阅兵,1,2019-09-23 09:41,1
@S10不见不散,,太帅了,1,2019-09-23 09:38,1
@肖兔子的胡萝卜yy,,啊，我说昨天咋有烟花的声音,1,2019-09-23 09:37,1
@甜度满分减一,,我还以为昨晚打雷了,1,2019-09-23 09:29,1
@晴空兴兴儿,,祝福祖国 期待大阅兵,1,2019-09-23 09:28,1
@肖赞王耶啵我一个都搞不到,,期待～,1,2019-09-23 09:27,1
@是张刚的老大呀,,看了一下评论  这届网友戾气好重  不过  我喜欢  哈哈哈哈,3,2019-09-23 09:24,1
@醉水云,,我在四环，昨晚听到的雷声是烟花么,1,2019-09-23 09:21,1
@齐神仼之,,期待阅兵式,1,2019-09-23 09:08,2
@Kona_小桃七,,期待期待！另外注意环保哈哈哈哈,1,2019-09-23 08:57,1
@潘叔家的晓东,,看不了了,1,2019-09-23 08:52,1
@Maki酱酱酱,,嗯嗯所以昨天睡不着…以为这晴天霹雳打起雷了！？哈哈哈阳台一看原来是放烟花,2,2019-09-23 08:50,1
@梦见你我当年,,期待，激动,1,2019-09-23 08:49,1
@海绵宝宝电梯,,@林鮭魚 昨天,1,2019-09-23 08:48,1
@我的ID叫泡泡龙,,期待,1,2019-09-23 08:38,1
@nia怎么爱你都不嫌多,,酷毙了，我的国,2,2019-09-23 08:37,1
@米昂的微光,,北五环只听见声音 没看见 好想看呀！,3,2019-09-23 08:35,1
@不知名吴女士,,100周年庆我能去参加游行吗.....,3,2019-09-23 08:32,1
@麦草jay,,好想去现场,2,2019-09-23 08:29,1
@刘哎呀yi,,我太喜欢国庆了   我特别喜欢给祖国妈妈庆祝生日   今年七十周年  咱要不再过个阴历的生日吧,3,2019-09-23 08:27,1
@yumi的红丝绒蛋糕,,期待！一起看国家阅兵,1,2019-09-23 08:22,2
@思思young,,期待阅兵仪式,1,2019-09-23 08:20,1
@传说叔叔wgd,,群众游行哈哈哈,2,2019-09-23 08:13,1
@爱娜小妞0506,,期待阅兵,1,2019-09-23 08:04,1
@任秋寒,,哇！太壮观了！,1,2019-09-23 08:02,1
@喷火龙_Hz,,好期待,1,2019-09-23 07:54,2
@你可爱的胡,,期待阅兵,2,2019-09-23 07:29,1
@顔二次方,,期待大阅兵！,2,2019-09-23 07:29,1
@卸岭魁首陈瞎子,,爱祖国,3,2019-09-23 07:28,1
@渣男侦探所,,期待阅兵啊,2,2019-09-23 07:28,4
@御风丶掌门人12898,,春节不允许放烟花，清明不允许放爆竹。国庆必须放烟花，有点东西。,4,2019-09-23 13:18,1
@一个沉迷美色的人,,哇！！！！！！！！！！！！！！！超级期待！！！！！,1,2019-09-23 12:54,1
@王爱萍Ann,,9.30晚上九点的《我和我的祖国》，10.1上午大阅兵直播,2,2019-09-23 10:07,1
@李的芝士少女,,坐等阅兵仪式,1,2019-09-23 10:04,1
@青柑橘柠檬茶,,太漂亮了吧，首都的人民有福了！,1,2019-09-23 09:17,1
@朱玲zl,,期待阅兵,1,2019-09-23 08:46,1
@菜坨cc,,人民在喊祖国万岁，而祖国在喊人民万岁！,1,2019-09-23 11:33,1
@起风了cz,,想去现场,1,2019-09-23 10:08,1
@诗和远方的田野2018,,烟花亮瞎我的眼了,1,2019-09-23 10:08,1
@阿魅i,,太期待了,1,2019-09-23 10:08,1
@内江公安,,期待,1,2019-09-23 10:08,1
@香蕉小姐戴草帽,,期待,1,2019-09-23 10:07,1
@Anda-girl,,祝福热爱的祖国,1,2019-09-23 10:06,1
@女朋友糖尿病害我蛀牙了,,,1,2019-09-23 13:52,1
@鹿栖于林丶,,那么环保烟花哪里才能买的到呢？我春节也想放一下,2,2019-09-23 13:43,1
@陆ZHICHAO,,我们连过年都没得放烟花爆竹，政腐就可以，呵呵，为人民服务！我们中国的传统节日都要落寞了，过年的年味都没了，烟花爆竹声都没了,3,2019-09-23 13:39,1
@Guo-ZhiH,,这不污染空气吗,3,2019-09-23 13:32,1
@阳光暖暖0524,,啥时候放的烟花，我大通州离得太远了是么，咋一点不知道呢,1,2019-09-23 14:29,1
@RandyYHR,,70和人民万岁是真咩,1,2019-09-23 14:14,1
@一定会幸福-100,,这次是晚上阅兵？,1,2019-09-23 14:10,1
@青青的恺儿子,,期待,1,2019-09-23 14:05,1
@Distance000206啊,,这周主要任务:等国庆放假,1,2019-09-23 13:56,1
@yy银小魔,,我在江苏，隐隐约约有听到啦,2,2019-09-23 13:18,1
@超想吃臭豆腐,,为了祖国母亲通宵也值了,1,2019-09-23 13:14,1
@Decp,,有句话怎么说来着，没经历他人的经历，莫劝他人善良。,1,2019-09-23 12:56,1
@Duan晓楠,,我的妈鸡皮疙瘩,1,2019-09-23 12:54,1
@和lay努力努力再努力xxx,,期待,1,2019-09-23 12:51,1
@小新娘子田田de,,放礼炮的时间安排在工作日即周一前夕的凌晨，从半夜十二点咚咚咚放到凌晨一点。“人民”万岁，“人民”也缺觉。//@甜桔张张:真的不否认祖国越来越繁荣昌盛 但是真的能不能考虑下大家第二天要上班的事情 半夜十二点刚睡着就被吵醒了 朋友圈有朋友说五环外都有动静,2,2019-09-23 12:50,3
@汐汐就是汐汐,,这烟花美的呀！昨天开车带着孩子，一路唱着《歌唱祖国》和国歌回家，路两边是飘扬的国旗。最近看着翠绿香樟树间飘扬的红旗，真的是美！绿色是和平宁静繁盛的美，红色是壮丽富饶热情的美！ 生日快乐！祖国！,1,2019-09-23 12:50,1
@偷得半日一生闲,,人民万岁，万岁，万万岁,1,2019-09-23 12:47,1
@小新娘子田田de,,放礼炮的时间安排在工作日即周一前夕的凌晨，从半夜十二点咚咚咚放到凌晨一点。“人民”万岁，“人民”也缺觉。//@_机邈小山人_:昨晚听了好久的礼炮声，我在三环，听五环的同学说他也能听到,1,2019-09-23 12:47,3
@森林味的曲奇199302,,哈哈哈哈哈哈评论//@_机邈小山人_:昨晚听了好久的礼炮声，我在三环，听五环的同学说他也能听到,1,2019-09-23 12:45,1
@全国首届花式作死锦标赛冠军得主,,太平盛世,1,2019-09-23 11:45,1
@时源源啊,,期待,1,2019-09-23 11:41,1
@邱2妹要瘦到90斤-,,天啦 就凭烟花都能闪瞎那些港独的狗眼,1,2019-09-23 11:31,1
@丨文丽丨,,我感觉灯光秀挺好看，烟花很漂亮但不环保,2,2019-09-23 11:26,1
@abcdefb北鼻,,花炮是我们浏阳的吧,1,2019-09-23 11:16,1
@北凉_王子,,我路过山的时候山不说话 我路过海的时候海不说话 我骑着毛驴一步一步滴滴答答 我身上背着的倚天喑哑 人们说我爱着杨过大侠 找不到所以才在峨嵋安家 其实我只是爱山中的烟雾 像十六岁那年绽放的烟花,2,2019-09-23 11:15,1
@文化沙皇,,人民万岁！,1,2019-09-23 11:12,1
@你是一坨吗,,昨天晚上放到凌晨，这就不说污染环境了,0,2019-11-25 19:48,2
@小新娘子田田de,,北京市国庆活动服务保障指挥部提示您：9月22日凌晨零时30分许，天安门广场将进行礼炮真实鸣放演练。请天安门广场周边市民做好防震等工作，并关闭车辆报警器。请市民听到礼炮鸣放后保持正常生活秩序。,0,2019-09-25 13:52,3
@宇你相逢2019,,期待阅兵,0,2019-09-25 09:22,1
@沈Y03,,期待,0,2019-09-25 07:16,1
@爱上天秤座男孩的巨蟹座女孩,,虽然还有几天，但是我已经开始激动了，哈哈,0,2019-09-25 00:55,2
@爱上天秤座男孩的巨蟹座女孩,,超期待！！？,0,2019-09-25 00:55,2
@ESTHER-2010,,期待大阅兵,0,2019-09-24 23:30,1
@昙香皖栀,,我现在什么都不想干，志向为祖国母亲庆生,0,2019-09-24 23:17,1
@云风之拂,,好期待！我在70周年等你,0,2019-09-24 22:09,1
@现兰妹ing,,期待,0,2019-09-24 20:11,1
@浅浅de海洋,,不能到现场观看好遗憾呀，但是还是为我们伟大祖国感到骄傲自豪,0,2019-09-24 18:27,1
@您的小祖宗来啦,,期待!,0,2019-09-24 16:26,1
@是小呆鸟吖,,好期待今年的阅兵,0,2019-09-24 12:50,1
@萌萌哒么么哒888888,,期待,0,2019-09-24 11:54,1
@天才锅盖,,只有我期待的是十年难的一见的群众游行方队，跟各个省的游行方阵吗？,0,2019-09-24 09:05,1
@虫虫313,,期待大阅兵，坐等,0,2019-09-24 07:31,1
@魏萧DAYTOY,,,0,2019-09-24 07:07,1
@黄色小说,,用无人机弄个红旗,1,2019-09-24 06:48,1
@倾城夜灵,,这次的大阅兵一定很好看。期待,0,2019-09-24 06:05,1
@超级喜欢吃番茄的,,等,0,2019-09-24 00:17,1
@真知保张朋,,漂亮,0,2019-09-23 23:31,1
@阳澄湖收费的,,期待期待!!!!本周任务，阅兵仪式!!!,0,2019-09-23 23:30,1
@热巴的大姨迪丽哪吒,,我在四环 可是好想看烟火啊,0,2019-09-30 10:34,2
@莫熙哥_,,问呢没走阅兵式的东西,0,2019-09-27 15:56,1
@阿浪516,,现在可以去北京吗？,0,2019-09-26 23:01,1
@可甜可盐wink源,,#国庆70周年# 疯狂期待,0,2019-09-26 20:21,1
@_我是真的在乎,,可惜现场去不了，只能电视上看,0,2019-09-26 12:34,1
@lixubinv5,,爱你中国,0,2019-09-25 16:16,1
@陌离上仙,,游行群众据说有10万，港废们看看真正十万人方队是啥样吧,0,2019-09-25 15:17,1
@Jean0505,,,0,2019-11-06 18:27,2
@放肆年少19023,,想看100周年,0,2019-10-09 22:31,2
@你是一坨吗,,昨天晚上放到凌晨，这就不说污染环境了,0,2019-11-25 19:48,2
@W小手拉大手W,,,0,2019-11-23 21:41,1
@Jean0505,,,0,2019-11-06 18:27,2
@杂物等会,,,0,2019-10-11 11:41,1
@放肆年少19023,,想看100周年,0,2019-10-09 22:31,2
@天上的鱼52,,"国庆节就要到了，排球女孩@李欣然girl,也想和大家一起祝福祖国。她急需骨髓移植，让我们一起救助白血病女生欣然吧！多一点帮助多一份力量，多一次转发多一点希望。",0,2019-09-30 14:17,1
@热巴的大姨迪丽哪吒,,我在四环 可是好想看烟火啊,0,2019-09-30 10:34,2
@蓝颜深深恋,,祖国强大,0,2019-09-29 18:50,1
