User,Reter,Comment,Votes,Time,Count
@发发不漂亮了,,这个男人，美到头发丝,60,2019-09-02 21:41,5
@碎片馆,,这个男人太美了,21,2019-09-02 21:42,5
@九婴-_,,我的天，和非正式会谈里的帅波好像,18,2019-09-02 22:01,1
@MJPGJDMJ,,颜值绝了,17,2019-09-02 21:45,2
@我是真的超阔爱,,这个男人好帅啊！！,8,2019-09-02 21:53,1
@微博娱乐,,我觉得OK！,0,2019-09-02 23:38,1
@我又秃了,,这么美好的男人，竟然不属于我,5,2019-09-02 21:49,1
@甜茶超可爱,,我的可爱的甜茶呀！！！！！！！ 评论配图,3,2019-09-02 22:54,1
@小邱姐看脸,,毛太卷啦！他笑得好甜！！,2,2019-09-02 21:46,1
@羡羡的柚子,,为什么胡子一点也没有破坏他的甜,1,2019-09-03 08:48,1
@智齿拔不拔y,,呜呜呜 甜茶一笑真的太甜了,1,2019-09-03 08:24,8
@An_xiya,,啊啊啊，这男人怎么这么帅,2,2019-09-02 22:17,1
@MJPGJDMJ,,这个帅炸了,1,2019-09-02 21:45,2
@情兽禽兽,,这头发,1,2019-09-02 21:44,1
@颠覆江山只为你,,甜茶,1,2019-09-02 21:43,2
@谁还不是个年费会员,,这个男人太美了,1,2019-09-02 21:43,7
@人间至乐,,看到头发，我湿了,1,2019-09-02 21:42,7
@甜句,,帅哥,1,2019-09-02 21:42,1
@墙头众多的自来水军,,好帅,1,2019-09-02 21:42,1
@泡面红豆酱,,好帅卧槽卧槽卧卧槽,1,2019-09-02 21:41,1
@周末老师的日常,,真帅。,1,2019-09-02 21:41,1
@高昊然,,啊啊啊啊啊啊啊啊啊啊啊啊这个头发,1,2019-09-02 21:41,6
@喜欢海的阿兰-Alan郑,,有一次走红毯，有个女粉丝用中文喊他“甜茶”，他也回应了！！,1,2019-09-02 22:45,1
@少什么女-Yeah,,哇啊啊啊啊 甜茶啵啵啵,0,2019-09-07 22:40,2
@祁止-,,帅！,0,2019-09-06 22:47,3
@yyy是小仙女阿,,美,0,2019-09-03 18:35,1
@软软的喵喵QAQ,,@Yellow-HQY 好绝一男的！,0,2019-09-03 09:08,1
@拂杪32222,,啊呀呀呀啊呀呀呀甜茶小天使,0,2019-09-03 07:26,1
@散漫漫Angelina,,啊啊啊啊啊啊！,0,2019-09-03 07:07,1
@诗歌王位太阳流浪,,我茶成熟了,0,2019-09-03 06:52,1
@火锅味儿的居家小妹momo,,你还是辣么美,0,2019-09-03 06:34,1
@你你跟谁俩呢,,哇,0,2019-09-02 22:41,1
@谢静EchoXieJing,,,0,2019-09-02 22:32,1
@Tiarandear,,我的小甜甜，真是从头美到jio,0,2019-09-02 22:32,1
@小可爱扑捉一只,,天呀 还有这么精致的男生,0,2019-09-02 22:05,3
@Wenzsss,,Ohh 我的甜茶 简直跟雕像一样完美的轮廓,0,2019-09-02 22:04,1
@抢小朋友的玩具,,哇偶,0,2019-09-02 22:01,2
@快落吴轩逸,,好看,0,2019-09-02 22:00,1
@乐意雾仙HE,,甜茶真的好美啊,0,2019-09-02 21:57,1
@沈月的憨憨月饼,,这茶真有型,0,2019-09-02 21:55,1
@岆岆岆岆,,,0,2019-09-02 21:49,1
@五选一的小奶嘎,,哇,0,2019-09-02 21:49,1
@Dear-泡芙泡芙,,awsl,0,2019-09-02 21:48,1
@好的请过来不好的请走开开,,好甜啊,0,2019-09-02 21:47,1
@花殇之曼珠沙华,,你家甜茶@直直Kolao,0,2019-09-02 21:45,1
@朝意灼,,眼神好动人喔,0,2019-09-02 21:44,1
@大美先生·,,好美,0,2019-09-02 21:44,1
@豆腐渣掺P君,,,0,2019-09-02 21:43,1
@最喜欢你却更喜欢你笑,,哇,0,2019-09-02 21:43,1
