User,Reter,Comment,Votes,Time,Count
@性科普bot,,日本没国旗吗，带旭日旗进去是准备给自己搭灵堂吗,17316,2019-09-04 13:43,4
@七寸落日,,没有政治色彩？难道是侧漏的姨妈巾,9924,2019-09-04 13:46,1
@政洋爱科幻,,所以，纳粹的万字旗铁十字标志都可以带咯？不然纳粹余孽们会觉得不公平！,6771,2019-09-04 13:45,1
@猎天狼,,旭日旗就是倭寇军旗。奥运会比赛哪个国家带军旗出席？,6139,2019-09-04 14:14,1
@哥谭唱跳第一人,,你说你自己信吗？旭日旗代表什么！,3663,2019-09-04 13:44,1
@pancakeBeethoven,,这么类比的话纳粹旗也没有政治色彩,2618,2019-09-04 13:45,1
@水果玩家,,怪不得设计出的奥运奖牌也是旭日风格呢，日本学一次德国人会死？,1270,2019-09-04 13:53,1
@蓑衣风雨独行,,,1106,2019-09-04 14:02,2
@一切都是缘来你在这里,,坚决反对旭日旗，这是公然宣扬日本法西斯，公然美化侵略战争，必须上诉国际奥委会。,923,2019-09-04 14:12,1
@周二的下午,,这件事站韩国！,535,2019-09-04 13:49,1
@不被冠粉允许粉冠的假皇冠粉,,捞一捞八一军旗，也应该被允许带进去提振士气,508,2019-09-04 14:22,1
@华沙午夜,,可以，建议再给倭国运动员一人发一把怀剑，输了切腹。,542,2019-09-04 15:02,1
@六-玄,,当奥运中、韩、朝等国家参赛时，满场飘洋旭日旗，很想知道届时会发生什么？,282,2019-09-04 14:25,1
@飞舞的萝樱,,抵制东京奥运会,132,2019-09-04 13:48,3
@宋城价值投资人,,没必要禁止，它没有政治色彩,81,2019-09-04 13:44,6
@王权富贵女朋友,,没有政治色彩？那就当是你们给日本自己搭建灵堂了,137,2019-09-04 13:57,2
@风裳yy,,这他么不是日本军国主义旗？,108,2019-09-04 14:29,1
@张-玄尘-邯郸,,带就带呗有什么大不了的。他们败了拿着败军之旗自己也羞耻,45,2019-09-04 14:25,6
@锦鲤小哥,,真的没有吗？,50,2019-09-04 13:43,3
@Win02nie,,允许旭日旗即是准备第三次大战？,48,2019-09-04 14:43,1
@大饼卷泡芙,,举个白被单贴和卫生巾去看，还支持女性平权呢,54,2019-09-04 13:55,2
@沫沫紫苑,,建议我们中国同胞带八一旗进去避邪,46,2019-09-04 14:44,2
@奥特曼的老爸,,本来它只是一个旗子，但是是你们日本用屠杀的鲜血帮它染上了政策色彩,45,2019-09-04 14:44,1
@零子姑娘-,,在奥运会这种向往和平的地方，你用带有侵略色彩的国旗？司马昭之心啊,27,2019-09-04 14:48,1
@敏慧火姐姐,,韩国垃圾又搞事,23,2019-09-04 13:49,1
@锐泽锋生,,美国再举报奥运会的时候把两颗原子弹当做吉祥物，纪念消灭人间恶魔,24,2019-09-04 17:01,2
@大米不是米大麦不是麦,,永远不要原谅一个曾经罪行累累的民族,38,2019-09-04 15:18,1
@DBC陪你日出日落,,八一军旗得带过去,24,2019-09-04 14:46,1
@真不知道有人取那么长的名字干嘛,,那图案像不像广岛长崎原子弹爆炸时候的光,35,2019-09-04 15:09,1
@最佳女主角2019,,我觉得日本这个国家在这世上对大家都是种伤害，建议取缔。。,25,2019-09-04 14:45,1
@心之醉20852,,不应该只有韩国孤军奋战反抗旭日旗，中国和其他遭受日本军国主义侵略的国家都应该站出来反对！,13,2019-09-04 17:39,1
@布铃布铃不理你,,估计是给自己搭灵堂用的,13,2019-09-04 13:59,1
@宋家瑛,,那我们是不是也可以带军旗，正面杠啊谁怕谁啊，70多年前被打滚的又不是我们,15,2019-09-04 15:19,1
@泉城周刊,,我听懂了一句韩语“团长会议上”,11,2019-09-04 13:53,1
@托尼老司机,,赵薇穿都穿过，不稀奇,9,2019-09-04 14:26,1
@絮絮弦吟,,建议韩国和中国就带南京大屠杀和慰安妇的图片！,10,2019-09-04 15:22,1
@努力奋斗我一定行,,日本鬼子不反省二战所犯下的滔天大罪，应该多扔几个原子弹到日本，,8,2019-09-04 18:10,1
@中二病缠身患者,,什么旭日旗，别侮辱太阳。我只知道姨妈旗和姨妈侧漏旗。,5,2019-09-04 20:22,1
@指间缭绕的旖旎,,卧槽。这样的话我都想让中国抵制了好吗？让日本自己玩去吧,9,2019-09-04 17:01,1
@爱瑜专属一滴雨,,这届奥运会不看也罢,1,2019-09-04 20:29,2
@LRiouSe,,承认这一点韩国做得不错，我们也应该持同样态度,6,2019-09-04 18:24,1
@媛姿岐,,小日本,2,2019-09-04 15:45,1
@GnaWkK666,,还是韩国人注重这个 这点做的不错,6,2019-09-04 15:07,1
@妖guai哪里逃丶,,就事论事，对于这个问题我觉得韩国人做的真不错,7,2019-09-04 14:23,1
@鑫ccxx,,？？？想干嘛？？？,3,2019-09-04 14:24,1
@掉进月亮岛,,不要脸,6,2019-09-04 14:02,2
@永远的倒霉孩儿,,这该死的难看的帝国主义旗帜,3,2019-09-04 15:28,1
@凡俗丶,,战败还骄傲了  、？,5,2019-09-04 14:22,5
@永永遠遠De第一天MrWang,,为什么抵制的只有韩国？,3,2019-09-04 22:18,1
@自由禧儿,,中国体坛那些领导的在干嘛？这种不抵制吗？旭日旗还要人民告诉你们抵制吗？不作为的领导下课吧！,2,2019-09-04 20:11,2
@德克萨满,,你说没有政治色彩，但我们都明白那是什么意思。,3,2019-09-04 17:26,1
