User,Reter,Comment,Votes,Time,Count
@央视新闻,,#央视主播在美国电视台为中国发声#【刘欣：我不想跟他们辩论，只想让他们更加客观】刘欣表示：“我不想跟他们辩论，只想给他们提供一种全新的角度，去理解跟中美关系有关的一些问题。”视频：玉渊谭天的微博视频 @玉渊谭天,1281,2019-09-04 12:34,1
@天蓝1112,,你叫不醒一群装睡的人,12595,2019-09-04 08:10,1
@前后亿亿万阳光的歌仙子舞精灵,,对啊，这不是正常现象，果然外国人比较爱说嘴,6624,2019-09-04 08:10,1
@无为菽僧,,正常的价值链转移，制造业逐渐向劳动力密集型国家迁移，经济规律使然。制造业即使迁出了中国，也不会回到美国，而是去往劳动力更廉价的地方。到头来，特朗普竹篮子打水一场空，白折腾。,4187,2019-09-04 08:18,1
@因为你喜欢花这个字,,说真的再没有比中国人民更努力生活的人了,4022,2019-09-04 08:12,1
@小五的故事199305,,做人不能太美国,1912,2019-09-04 08:17,2
@帝都都督,,正义只会迟到不会缺席,1164,2019-09-04 08:10,3
@孔超Betin,,贸易战的最终结局都将是两败俱伤！做人不能太美国！,494,2019-09-04 08:12,1
@芝布之,,英文真棒,497,2019-09-04 08:15,1
@Mola_rose,,刘欣的口语太赞了，甚至比西方国家的都要流利,305,2019-09-04 09:23,2
@莫随流,,认真听完了，一句没听懂,260,2019-09-04 09:14,1
@进击滴小水果吖,,给刘欣疯狂打电话,226,2019-09-04 08:52,1
@尼克小药师,,我刚刚发了一条“这不是拿不起行李的主播吗”，然后被央视新闻删除了。像这种粉饰太平和掩耳盗铃的做法，让人咋相信最近国内外新闻的真实性。@央视新闻,58,2019-09-04 11:54,1
@我来znl,,这是机场说旁边的人素质低不主动帮他搬行李的那个刘欣吧,57,2019-09-04 10:43,1
@相宜夜幕,,没记错的话，刘欣抱怨没人给她提包也就是不久前的事情,64,2019-09-04 09:08,1
@北美吐槽社,,你叫不醒一群装睡的人,40,2019-09-04 08:10,1
@Life_really_sucks,,他丈夫土耳其人，他儿子也不是中国人！请诸位周知传阅！,48,2019-09-04 11:42,1
@Mamamia霖霖呀,,回答的很大气，不愧大国嘉宾,33,2019-09-04 09:23,1
@老酒配老友-,,这就是那个机场没人帮她拿箱子！她就骂街的人？,39,2019-09-04 11:50,1
@雪雾de阳光10515,,你不叫别人帮你搬箱子，别人真不会上赶着给你搬箱子，谢谢,28,2019-09-04 11:34,1
@可爱又迷人的反派角色峰峰疯疯疯,,给刘欣的抬头就是充满了偏见的标注，“中国国营电视台主播”，—对观众及其刻意的偏见引导,20,2019-09-04 09:40,1
@不再做nightbird,,为主持人刘欣点赞,17,2019-09-04 09:42,1
@盒子是也,,此时此刻我恨自己英语不及格听不懂了,28,2019-09-04 08:54,4
@梦想实现的明天,,又出去爱国去了啊,32,2019-09-04 09:46,1
@小井XJ,,特朗普一直认为全世界离开美国，地球就不转了。但是他肯定没仔细读过中国历史，他根本不知道中国是怎样从一个一穷二白的国家发展成现在这样的。中国人什么大风大浪没见过，大不了重新从头再来呗！怕他个毛,23,2019-09-04 08:56,1
@qily琪,,,10,2019-09-04 08:10,1
@列宁斯基,,点赞,12,2019-09-04 08:10,4
@Ada大喵等待台湾回归,,贸易战 美国会比中国更伤,7,2019-09-04 08:13,1
@今夜你无眠_菊,,中国话我都不一定说的这么漂亮,6,2019-09-04 09:28,1
@Destinyia,,"流利的英文像母语一样,太棒了",7,2019-09-04 09:24,1
@荷叶伞教育总部,,虽然听不懂，但觉得小姐姐的英文很有感觉啊,9,2019-09-04 09:04,3
@岸风翼Nadia,,换句话说，中国现在人工比那些落后国家贵，我们往高技术领域发展同时自己也会往那些国家投资工厂，尽早应对老龄化社会无工可用也是远见的一种体现。,7,2019-09-04 10:12,1
@大先生WL,,为什么不能全世界联盟，消灭美国这个脑残疯子国家？？？美国一灭，世界太平！,5,2019-09-04 10:30,1
@直立行走的土豆去找老爷了,,自己往产业链上级走，这是出路，是经济发展，但非要踩住后面的人不让别人往上走，凭啥啊？,3,2019-09-04 13:11,1
@Panibt,,这个高中生就懂的东西还要解释？？,4,2019-09-04 10:41,1
@·啵叽甜兔·,,为刘欣点赞，为中国加油,6,2019-09-04 09:24,1
@大球球家的小哪吒,,,6,2019-09-04 08:38,3
@小李菌JUN,,我以为我的左耳聋了,4,2019-09-04 08:57,1
@周公求见,,点赞,5,2019-09-04 08:24,1
@vin年少的你,,,4,2019-09-04 08:22,1
@酒入白梦吟,,好羡慕她的口语啊，英语渣渣太卑微了,3,2019-09-04 12:48,1
@早安丶情感,,拜读美文，欣赏佳作！,5,2019-09-04 08:13,2
@菇时茼蒿,,,5,2019-09-04 09:48,1
@小花花-ISEE,,点赞#央视主播在美国电视台为中国发声# ,1,2019-09-04 10:20,1
@Henry鲤鱼不横13,,做人不能太美国,2,2019-09-04 10:08,1
@我武生物,,给央视主播打call,2,2019-09-04 09:14,1
@神仙新种子,,力挺你。这群美国ZHU听的懂！,3,2019-09-04 08:23,1
@爱娜小妞0506,,做人不能太美国,3,2019-09-04 08:18,2
@0客舍青青0,,干得漂亮,3,2019-09-04 08:11,1
@幸福万州,,也是很会怼了，哈哈哈,3,2019-09-04 08:11,1
@检察官张聪,,//@Mola_rose:刘欣的口语太赞了，甚至比西方国家的都要流利,1,2019-09-04 14:01,1
@阿珀,,这英语实名制羡慕了,2,2019-09-04 13:34,2
@一两句,,杀不死我的将会使我更强大,2,2019-09-04 09:08,1
@打破墨菲定律,,身为中学生不知道该怎么评价，但是这口语听着太舒服了，什么时候也能有这样的水平啊。,3,2019-09-04 08:50,2
@十月的薇薇安,,美国人就是嫉妒中国的强大，看不得别人好啊,1,2019-09-05 22:04,1
@海棉bobo-,,搬箱子跟这事有什么关系吗？一群网络死喷子抖什么机灵，她出去丢人了吗？,3,2019-09-04 13:43,1
@今天战战和我官宣了吗,,女神啊，这个口语真是让我自闭了,1,2019-09-04 13:08,1
@749局扛把子马山,,美国佬故意装傻罢了,1,2019-09-04 09:31,1
@顾焚生啵,,啊啊啊啊啊啊啊啊啊啊这个口语我达不到,1,2019-09-04 09:25,1
@海苔樣,,当你们在网上当键盘侠屁用没有还废话多的时候，人家以一个中国人的身份为祖国发声，对比起来不觉得自己无耻吗？,7,2019-09-04 09:12,1
@最想成为你的我,,给刘欣点赞,2,2019-09-04 09:11,1
@晕在雾里,,早安,1,2019-09-04 08:11,1
@孙奕秋的白开水,,嗯……很想听懂，然而我失败了,2,2019-09-04 12:37,1
@蓉蓉51327,,美国不是原来的老美！而中国是现在全世界，经济腾飞的中国！,1,2019-09-04 11:51,1
@木子爱天蓝色,,这个英语水平真的羡慕了,2,2019-09-04 10:59,1
@Anfield_在杰难逃,,看看下面对刘欣的介绍，state-run tv host，居心叵测,2,2019-09-04 09:38,1
@喜欢善良的有钱哥哥,,高考地理的考点,1,2019-09-04 18:50,1
@宽以待人39,,如愿顺利！！！！！！！！！！,0,2019-09-04 18:34,2
@夯大力喜欢大力夯,,这不是那个嘲讽国人不够“绅士”，不帮她拿行李箱的刘欣嘛!,1,2019-09-04 16:30,1
@樾离华,,巨婴开始工作了？,1,2019-09-04 15:38,1
@bajin88,,瞧瞧老公小孩都外籍，多讽刺，,1,2019-09-04 15:13,1
@-cof_c,,你滋不醒一个装睡张着嘴接尿的人,1,2019-09-04 14:47,1
@ak47185,,这不是那个发微博不给给她提行李那个主播吗?这是想让美国人帮你提箱子吗,1,2019-09-04 14:46,1
@我不是很苦恼,,这是一个好的开端，以前西方舆论没有中国的声音，他们想怎么编就怎么编，现在终于有了我们自己的声音了，还要继续加油，让我们的声音传遍世界,1,2019-09-04 14:06,1
@李功政u,,一句没听懂。真是失败,1,2019-09-04 12:57,1
@性修远,,听不懂鸟语,1,2019-09-04 12:48,1
@不一样的风声aa,,这个叫刘欣的能不说话了吗？看到你就烦,3,2019-09-04 12:09,1
@法号略懂,,回复@夜色温柔肺Ca 的表态:企业走了，就业岗位自然就少了，就有人失业，就会还不起房贷！…,1,2019-09-04 12:05,1
@有风吹起过,,长亭外，古道边，芳草天,1,2019-09-04 12:03,1
@大橙子哈哈哈哈哈,,没有翻译,1,2019-09-04 11:53,1
@端男,,偏见是一座大山，费力去搬它也是徒劳，只要守好自己的底线就好。。其他的交给时间吧,1,2019-09-04 10:52,1
@堆绫小路,,希望美国继续作死，然后中国独自美丽，最后成为全球最好的国家,1,2019-09-04 10:37,1
@多希达多,,没听懂一句，简单听懂几个单词,1,2019-09-04 09:30,1
@52赫兹游泳的鱼,,没有字幕差评,1,2019-09-04 09:26,1
@_朽沐,,给个翻译呗,1,2019-09-04 09:05,2
@Flac19471837,,翻译一下,2,2019-09-04 09:05,1
@莫知莫意,,我左耳聋了？,2,2019-09-04 09:04,1
@海军01784,,说的好！,2,2019-09-04 08:28,1
@财经杰观,,这回直接单刀赴会，点个赞！,1,2019-09-04 15:04,4
@Healthy知繁,,这英语给跪了,1,2019-09-04 14:18,1
@MadmoiselleV,,我很想知道评论里的这么多人都完全听懂了吗？现在国民英语水平这么高了吗？,1,2019-09-04 13:03,1
@牛熊判官,,工厂搬到了劳动力更低廉的国家是能降低成本。但是那些国家治安，运输和劳动积极性完全没法和中国相比。这是最大的隐患，也是难觉察的地方,1,2019-09-04 12:34,1
@枫亭水谢,,让一个外国人替中国发声，这是啥意思？,1,2019-09-04 12:08,1
@迷人的王大怂,,这是那个坐飞机不给她搬行李就发脾气的女人吗,2,2019-09-04 11:46,1
@咱们唠唠呗,,大国风范,1,2019-09-04 10:57,2
@玉儿0111,,,0,2019-09-04 10:08,1
@眼里有银河lynn_,,暗讽米国，因为中国市场越来越大越来越重要，自己米国国内的价值链转移到中国就开始不爽，对我们强征关税,2,2019-09-04 09:10,4
@我是恁聪哥,,不管你在国内人品怎么差，只要对外爱国就点赞,1,2019-09-17 22:27,2
@整形咨询医生Dr唐,,给刘欣点赞,0,2019-09-05 20:29,2
@Zoey妈妈LOVE小萌希奥爱多萌疗,,有些喷子是傻子吗？ 她老公孩子国籍不是中国， 她在美国电视台为中国发声就要遭到谴责？什么理论？,0,2019-09-05 08:23,1
@we-are-all-dust,,来个翻译啊,0,2019-09-04 21:42,1
@中华义勇军一布衣,,刘欣应该用美国人容易接受的脱口秀风格聊，先赢得美国观众，才会让美国观众认真倾听你的观点，否则无论怎么说，美国观众都认为你在为自己的国家辩护。,0,2019-09-04 21:17,1
@走猫步的DJ,,难怪老外rap6,0,2019-09-04 19:06,1
@两条牛仔裤,,他们只是想蹭刘欣的热度来炒红自己,0,2019-09-04 18:22,1
@复制二维码,,我相信他们会后悔的,0,2019-09-04 16:44,1
@Weirdo南瓜,,这个英文水平，这个逻辑我佩服！,0,2019-09-04 16:21,1
@夔曌觞,,其实这也在一定程度上，反映了中国经济的快速发展，劳动力当然不会一直廉价，一些劳动密集型产业链的转移这是必然的。,0,2019-09-04 16:14,1
@听你的lx,,啊我两天没了康康你了，发个评论看看我还是不是铁粉,0,2019-09-04 15:58,1
@範艾咪,,能翻译吗,0,2019-09-04 15:51,1
@曾经充错年费会员的菜椒,,我需要练一下口语和听力,0,2019-09-04 15:43,1
@SHW布丁pudding,,回答的漂亮！,0,2019-09-04 15:38,1
@王思铁,,#央视主播在美国电视台为中国发声#,0,2019-09-04 14:54,2
@沈月尬舞指导老师,,,0,2019-09-04 14:51,1
@阿卡索资讯,,为主播点赞,0,2019-09-04 14:47,3
@demi黛米_欧尼,,刘欣,0,2019-09-04 14:45,1
@流水小乔人家,,【转发分享！#央视主播在美国电视台为中国发声#】,0,2019-09-04 14:42,1
@虔诚的熊,,//@央视新闻:#央视主播在美国电视台为中国发声#【刘欣：我不想跟他们辩论，只想让他们更加客观】刘欣表示：“我不想跟他们辩论，只想给他们提供一种全新的角度，去理解跟中美关系有关的一些问题。”视频：玉渊谭天的微博视频 @玉渊谭天,0,2019-09-04 14:26,1
@长春递爱心,,到位,0,2019-09-04 14:25,1
@李太噼里噗噜在海里,,歪国人我现在越来越嫌弃，还说什么中国人小市民嘴碎，其实歪国人嘴碎天天不嫌着。太民主了觉得好烦，像苍蝇,0,2019-09-04 14:18,1
@粉色小主控,,,0,2019-09-04 14:10,1
@芝麻芝麻大西瓜_,,让一个机场巨婴给国家发声,1,2019-09-04 14:09,1
@缘深缘浅只因战而起,,,0,2019-09-04 13:51,1
@Eric-Hon,,回答的很大气，不愧大国嘉宾,0,2019-09-04 13:50,2
@執念的含蓄,,外国人就是嘴上功夫,0,2019-09-04 13:45,1
@刘小晓_LXH,,转发微博,0,2019-09-04 13:30,1
@赵媛__,,好厉害,0,2019-09-04 13:29,1
@走着瞧825,,同样我们也可以请美国女主播来中央电视台接受访谈来为美国辩护，这样也可以体现我们中国的自信和强大。,2,2019-09-04 13:24,1
@左后卫-,,感谢国际友人,0,2019-09-04 13:21,1
@仙蕙毓秀,,给刘欣疯狂打call ,0,2019-09-04 13:00,1
