User,Reter,Comment,Votes,Time,Count
@早睡早起没脾气呀,,以为大家都会选都喜欢，没想到大家都这么不给面子,565,2019-09-06 10:19,1
@始终向上始终前进,,民国领跑一骑绝尘了，但我喜欢岁岁,161,2019-09-06 10:17,1
@小日今口,,哇喜欢民国的这么多,173,2019-09-06 09:48,1
@爱琢磨的包大条,,韩国人吗？大韩民国万岁？我呸？一些瓜脑！,15,2019-09-06 16:28,1
@哆啦君boss,,民国最可爱了,38,2019-09-06 15:45,1
@终身美丽tae,,最爱民咕咕,9,2019-09-06 13:44,2
@浅笑嫣然Starlight,,民国民国,7,2019-09-06 16:23,1
@短暂理想,,满碎啊,36,2019-09-06 13:30,1
@马马马思雨,,都喜欢 我们可爱的三宝,8,2019-09-06 12:00,1
@许士健xsj,,原来才知道名字是大韩民国万岁,4,2019-09-06 12:51,1
@五花是不能吃的肉,,万岁小可爱啊，自由的灵魂,1,2019-09-07 13:14,2
@AlexBusser,,民国万岁,10,2019-09-07 03:08,1
@晓颖这个姑娘,,沉稳的大韩，活跃的万岁，萌萌哒民国,2,2019-09-06 15:09,1
@charlenelu599,,大韩好乖好懂事,0,2019-11-09 23:45,2
@小猪猪628,,,0,2019-09-07 08:50,2
@终身美丽tae,,民咕咕人气超高的啊,2,2019-09-06 13:43,2
@最爱男神陈伟霆,,都不认识,1,2019-09-06 15:19,1
@林走林走,,@鼓楼小脑腐,0,2019-10-28 22:38,2
@鹿鹿blingbling,,@多余多鱼儿,0,2019-09-13 11:53,2
@MisSMiLKeee,,我永远喜欢民咕咕,0,2019-09-10 00:18,2
@優质馬奈饺,,看节目时一直觉得大家会喜欢万岁多些，没想到民国还是人气王，哈哈哈哈我的小宝贝,0,2019-09-07 21:15,2
@小辣椒的那些事儿,,大家都好啊,0,2019-09-06 16:43,1
@swj天堂,,都喜欢,10,2019-09-06 16:38,1
@gxr的阿峰,,喜欢谁好呢,2,2019-09-06 16:38,1
@清歌旧人浅吟,,,4,2019-09-06 16:37,1
@文仔酱,,哦,18,2019-09-06 16:18,1
@蓝小释,,图呢,8,2019-09-06 16:12,1
@谁都无所谓420,,嗯,5,2019-09-06 16:10,1
@香82949,,啊,3,2019-09-06 16:09,1
@夜时光ye,,大韩 民国 万岁,0,2019-09-06 12:49,1
@蒋文旭亲爹,,大韩民国万岁？？,0,2019-09-06 12:42,5
@我吃柠檬你买吧,,大韩民国万岁？,14,2019-09-06 11:09,1
@FT岛的李宣美,,咕咕,3,2019-09-06 12:05,1
@结婚谢谢,,转发微博,0,2019-09-07 08:22,2
@flashmoon南,,转发微博,0,2019-09-07 07:25,1
@胡椒6313208021,,。,36,2019-09-06 16:09,1
@爱在心中颤抖,,嗯呐,4,2019-09-06 16:09,1
@Berg国际范,,一个都不认识,1,2019-09-06 15:17,1
@u柚子味的诗,,民国表情包,0,2019-09-07 07:48,2
@6lucky鱼鱼,,表情包都是,0,2019-09-06 16:10,1
@猪哥200112,,那种感觉很好,31,2019-09-06 16:09,1
@mei96095,,明国明国,0,2019-09-06 16:09,1
@迷路木子洋洋的阴茎,,全都不喜欢，都是高丽棒子,3,2019-09-06 13:04,2
@charlenelu599,,大韩好乖好懂事,0,2019-11-09 23:45,2
@林走林走,,@鼓楼小脑腐,0,2019-10-28 22:38,2
@鹿鹿blingbling,,@多余多鱼儿,0,2019-09-13 11:53,2
@MisSMiLKeee,,我永远喜欢民咕咕,0,2019-09-10 00:18,2
@優质馬奈饺,,看节目时一直觉得大家会喜欢万岁多些，没想到民国还是人气王，哈哈哈哈我的小宝贝,0,2019-09-07 21:15,2
@五花是不能吃的肉,,万岁小可爱啊，自由的灵魂,1,2019-09-07 13:14,2
@小猪猪628,,,0,2019-09-07 08:50,2
@结婚谢谢,,转发微博,0,2019-09-07 08:22,2
@u柚子味的诗,,民国表情包,0,2019-09-07 07:48,2
