User,Reter,Comment,Votes,Time,Count
@宗彧Bosco,,哥，黄家军真的太幸福了,201,2019-09-30 15:45,5
@大侦探的小跟班,,无缝衔接，黄宗泽承包了我的国庆假期～,164,2019-09-30 15:45,3
@驰儿是只大脸猫,,看完汪sir看北辰！！！！黄家军太幸福了！ 评论配图,121,2019-09-30 15:46,2
@触手不及Y,,你与真相，都是唯一。北辰，我等你好久了。@黄宗泽 评论配图,73,2019-09-30 15:48,3
@YobeeLin,,看了你真的是港独无疑了，从14年占中事件就在港独名单但都一直怀有疑问，现在真的很失望，从这两个月香港事件到国庆你都没发过有关于祖国的微博。。。。如果也是两面人还是gun吧，跪着赚钱真的很难看。。。,88,2019-10-02 01:23,1
@电视剧我知道你的秘密,,超级标准！盼望着盼望着我们的陆法医终于出现了,9,2019-09-30 15:55,1
@Leslie康小姐,,我要哭了,12,2019-09-30 16:47,1
@大侦探的小跟班,,只能说黄宗泽你要不要这么给力！唯一的困扰就是，评论的时候如果太激动，果冻和北辰带错图，泽哥您见谅,12,2019-09-30 15:58,3
@T璐-,,广告小能手陆法医上线！ 评论配图,7,2019-09-30 15:42,1
@宗彧Bosco,,陆北辰惊艳亮相，陆北深呼之欲出～期待黄宗泽，带我解析悬疑与真相，带我沉醉青春与爱情。#黄宗泽我知道你的秘密# 评论配图,11,2019-09-30 16:12,5
@黃肉粽子,,果冻接北辰，哇啊哦！（花痴状）,12,2019-09-30 15:49,1
@Moon·湾湾_,,呵呵 国庆你都不转发一下 很明显你不承认自己是中国人咯？,21,2019-10-02 13:56,1
@宗彧Bosco,,无缝衔接,10,2019-09-30 15:45,5
@你的甜波,,北辰等你好久了,9,2019-09-30 16:10,1
@专心练法术的猫,,汪国栋和陆北辰承包我整个国庆的假期,7,2019-09-30 19:52,2
@专心练法术的猫,,这部剧真的很期待，盼了好久！,6,2019-09-30 17:49,2
@木子兮VVV,,未免也太帅了嗲！,7,2019-09-30 15:44,1
@星晴播报,,哇！哥哥新剧无缝衔接啊，太棒了，超期待呢,5,2019-09-30 17:23,1
@西西啊咦,,@恩很好啊你 ！,0,2019-09-30 17:09,1
@可爱de小猪猪滴,,,0,2019-09-30 17:04,1
@ViVi安小离,,@T--Mora,0,2019-09-30 15:46,1
@狸发财,,立刻去充优酷会员！,2,2019-10-02 18:29,1
