User,Reter,Comment,Votes,Time,Count
@可爱的跳跳虎在路上,,迪丽热巴飘飘欲仙的感觉，真美！,1468,2019-09-07 18:56,1
@可爱如玺,,好美啊,1002,2019-09-07 18:56,4
@追星的小韩同学,,美女  我爱了,749,2019-09-07 18:58,1
@恰似一抹红唇,,太美了吧,662,2019-09-07 18:46,1
@D·MJ,,我爱她！！！,555,2019-09-07 19:06,1
@87无迪是多么寂寞,,走起路来就是我的仙女姐姐,316,2019-09-07 19:09,1
@小龟是个哲学家,,我真的只会嗷嗷嗷嗷叫了,232,2019-09-07 19:09,1
@紫色熏衣草不放弃,,我爱了 评论配图,218,2019-09-07 19:08,1
@可乐小小婷,,气质高雅的女王迪@Dear-迪丽热巴 ,199,2019-09-07 19:09,1
@纸跃淺灰藍,,迪丽热巴未来可期[加油][加油][加油] 评论配图,176,2019-09-07 19:07,1
@平头哥迷妹儿-,,仙气满满,123,2019-09-07 18:56,2
@2026夏的那阵风,,衣服很好看。很仙呐,83,2019-09-07 18:56,1
@三颗大石头188,,项链差评。,22,2019-09-07 18:46,1
@十里无你·,,大爱迪丽热巴,76,2019-09-07 18:55,2
@扛起毛球转身就跑,,好漂亮的姐姐,66,2019-09-07 18:56,3
@CHN幸福有约,,,50,2019-09-07 18:55,4
@爱圆宝的大宝,,很美,45,2019-09-07 18:53,3
@迪可爱的肉桂面包,,她是善良美丽，敢于与恶势力抗争的阿娜尔罕；她是个性浓烈、爱恨分明的高雯；她是平凡朴实、执着追梦的李慧珍；她是灵心慧性、豪侠气派的白凤九；她也是独立自主、不卑不亢的公孙丽；她也是灵动活泼、心怀江湖的烈如歌；她也是三观端正、古灵精怪的凌凌七。期待电视剧《三生三世枕上书》电影《日月》,42,2019-09-07 19:10,1
@宋江夫妇,,仙女下凡辛苦啦,32,2019-09-07 19:38,2
@2020一定上岸啦,,好看的,32,2019-09-07 19:08,1
@雨夜的兔子V5,,气质女神，人间尤物,34,2019-09-07 18:54,1
@存钱罐子子,,仙女打个商量，鼻子分我一点？分完我你还是很高,24,2019-09-07 19:13,1
@小抓饭咪啾,,天呐绝美,28,2019-09-07 19:08,1
@猫不十,,今晚真的好好看，仙气灵动，真美,16,2019-09-07 19:09,1
@孟夏mxx,,感谢分享,17,2019-09-07 18:48,1
@任航-h,,@哲儿啊_ 我爱美女！！！,8,2019-09-07 19:38,1
@尤想避交,,这腿长，只有她能跨这么大步了,14,2019-09-07 19:15,1
@断线风筝Alice,,太仙了吧！,5,2019-09-07 20:00,1
@有匪公子,,衣美人更美,10,2019-09-07 19:09,1
@小杨的8,,动图真的好美，又酷又优雅,9,2019-09-07 19:09,1
@小雯喜欢你ya,,生图比精修好看系列,13,2019-09-07 19:07,1
@千堆雪飘飘,,看视频，落落大方，优雅知性，走路带风，讲话谦虚有礼，是仙女小姐姐@Dear-迪丽热巴,4,2019-09-07 19:16,1
@热巴的冰糖葫芦,,迪丽热巴真的太好看了,10,2019-09-07 19:07,1
@背书包的小仙女sally,,我们实时榜上来的哈 评论配图,9,2019-09-07 19:24,1
@你是要长大的孩子,,走路带风哈哈哈哈是仙气飘飘,6,2019-09-07 19:14,1
@onetwoone踏蚂蚁,,美女,6,2019-09-07 19:11,1
@一米阳光景,,,1,2019-09-07 22:29,1
@回瞬浅笑颠倒众生,,哈哈哈太飒了,1,2019-09-07 20:00,1
@像是百花撞了春风,,气场强大的仙女姐姐,3,2019-09-07 19:34,1
@焦糖烧仙草,,怪怪的,3,2019-09-07 18:54,1
@迪在外,,大美女 评论配图,4,2019-09-07 19:04,1
@小贵子咕叽咕叽,,气场十足,6,2019-09-07 18:57,3
@偶橙,,越来越有气场了,1,2019-09-07 23:52,1
@-SoyPiscis,,热巴穿这条裙子走起来真好看,1,2019-09-07 23:51,1
@一迪露珠,,美哭我,4,2019-09-07 22:45,1
@睡不着CLC醒不来,,手套好多余，毁了这么美的一身,1,2019-09-07 22:15,1
@Dear小抓饭,,美成这样真是了得,2,2019-09-07 20:26,1
@独自美丽的爱丽丝,,这是仙女吧！,2,2019-09-07 20:25,1
@521反黑使命,,博主大大，你也被限流了么，我给你点的赞，没啦，渣浪,1,2019-09-07 20:14,1
@芙蕖先森,,一般人真hold不住这手套，等你剧,2,2019-09-07 19:16,1
@小妮子dx888,,梦幻之美,2,2019-09-07 19:14,1
@sunainong-,,迪丽热巴好看啊啊啊,2,2019-09-07 19:14,1
@酸奶疙瘩angel,,好美啊！真是个漂亮的小姐姐,5,2019-09-07 18:59,1
@YanLeung_shadow,,小仙女熱巴永遠是我心中的女神,0,2019-09-08 23:45,2
@女王一样高傲xmxm,,仙女真的美,0,2019-09-08 23:32,1
@牛奶糖化了-,,别问 问了就是更爱她了,2,2019-09-07 23:44,1
@吃厚厚的鲜奶油,,好瘦啊,0,2019-09-07 23:23,1
@YanLeung_shadow,,美美噠熱巴,0,2019-09-07 23:17,2
@塵埃super020,,,0,2019-09-07 22:22,1
@没有感情的一颗奶糖,,,0,2019-09-07 22:21,2
@没有感情的一颗奶糖,,,0,2019-09-07 22:20,2
@家里有矿呀,,路人觉得她是下一个范冰冰,1,2019-09-07 21:24,1
@不可以再吃甜食,,最后一张真的绝了，这个胳膊，这个肩真的太好看了,3,2019-09-07 20:38,2
@超爱哼哼_,,其实热巴的气场越来越强了,2,2019-09-08 00:15,1
@要你狗命mngt,,优雅知性的大美女！未来可期，继续努力吧！,1,2019-09-07 22:17,1
@瑾年Raba,,绝色妖娆，魅惑人心,1,2019-09-07 20:01,1
@一个冬,,那个腿腿！！！隐隐约约露出来一小下那个腿腿！！！！我哭了,1,2019-09-07 20:01,1
@温婉贤惠的有趣灵魂,,哇，热巴真的是，绝了,1,2019-09-07 19:58,1
@鹰忒迷迪,,很仙,1,2019-09-07 19:07,1
@哒哒的夏日限定记忆,,动态也太好看了吧,1,2019-09-07 19:07,1
@小透明-trsny,,太美啦,1,2019-09-07 19:06,1
@南方快要下雪了,,太好看了,1,2019-09-07 19:03,1
@七月的小酷盖,,真的绝！！美艳绝伦！ 评论配图,1,2019-09-07 19:02,1
@苏辰梓源,,不错,0,2019-09-08 17:43,1
@vannymakeup飞晏,,没礼貌,0,2019-09-08 17:09,1
@之瑜么么迖,,,0,2019-09-08 14:30,1
@樱桃迪迪虾,,美,0,2019-09-08 08:50,1
@M_Marthin,,啧啧啧！大佬气势,0,2019-09-08 08:36,1
@KK灬酸糖,,好漂亮啊~,0,2019-09-08 08:31,1
@郑爽的铁杆粉ID,,好看,0,2019-09-08 07:57,1
@心疆奇产,,好美,0,2019-09-08 07:01,8
@阿玺在上我在下_,,太好看了吧,0,2019-09-08 01:51,1
@Teng翊凌,,呜呜呜，真的超美,0,2019-09-08 00:56,1
@爱国女孩楠楠,,太好看了,0,2019-09-08 00:55,2
@再热就要挂,,,0,2019-09-08 00:45,1
@今天迪丽热巴工作室换人了吗,,啊啊啊啊啊啊啊啊啊,0,2019-09-08 00:33,1
@我的MrLi简单欢喜,,好好看,0,2019-09-08 00:30,1
@欧阳沁OY,,蝴蝶骨快看,1,2019-09-08 00:27,1
@粉色芋头,,呜呜呜呜温柔知性,0,2019-09-07 23:30,1
@白呲溜_,,就这样向我走来,0,2019-09-07 23:19,1
@徐之卿_,,仙女下凡了,0,2019-09-07 23:16,1
@宁宁宁宁宁d,,走路姿势豪情万丈,0,2019-09-07 22:45,1
@采蘑菇的蓝铃小姐姐,,第四第五张 气场太强大了！要命啊啊啊啊啊啊啊,0,2019-09-07 22:40,1
@苏苏苏苏苏迪丽热巴,,美,0,2019-09-07 22:31,1
@野都壹壹,,太美了吧！！,0,2019-09-07 22:30,1
@SaChiKo-酱,,我姐太美了,0,2019-09-07 22:25,3
@璎兔,,千秋无绝色，悦目是佳人；倾国倾城貌，惊为天下人,0,2019-09-07 22:23,1
@不可以再吃甜食,,豪迈万丈哈哈哈哈哈哈哈哈,0,2019-09-07 22:09,2
@dd88的甜甜热,,表白青年演员迪@Dear-迪丽热巴 ,0,2019-09-07 22:08,1
@6乘3很酷,,好美,0,2019-09-07 22:05,1
@Dear_meisi,,迪丽热巴,0,2019-09-07 22:04,1
@喵喵程程,,这气场，天啦,0,2019-09-07 22:01,1
@啾吖啾吖啾咪,,第九张！绝了！好美！,0,2019-09-07 21:59,1
@张十氿_,,这一步也迈太大了吧,0,2019-09-07 21:33,1
@久久21159,,我姐太美腻了,0,2019-09-07 21:33,1
@旻酥啵丝酱,,热巴气质真的好,0,2019-09-07 21:22,1
@东经南纬,,脸有点僵硬,0,2019-09-07 21:22,1
@艾斯的乐乐乐,,她这个脸一下回到2017巅峰时期的感觉 好漂亮啊,0,2019-09-07 21:20,1
@混沌fffb,,仙女啊,0,2019-09-07 21:14,1
@满满桔子味,,姐我真的可以啊啊啊啊啊,0,2019-09-07 21:14,1
@我是zmts,,我姐真的绝！,0,2019-09-07 21:13,1
@剥毛豆的兔子,,好美啊啊啊啊啊啊啊啊啊啊啊啊！！！,0,2019-09-07 21:09,1
@接受水冰月的暴击,,是真的美,0,2019-09-07 21:05,1
@杏仁老酥,,动图我看傻了，这就是仙子吗？,0,2019-09-07 21:05,1
@柚莓啾啾,,姐姐我可！！！！,0,2019-09-07 21:04,1
@俞似羽璃,,动图太美了,0,2019-09-07 21:03,1
@热热还满可爱的,,热巴旁边是娜扎的签名吗,0,2019-09-07 21:02,1
@凤九小殿下花园,,哈哈哈，我们热巴永远都是这么风风火火！,0,2019-09-07 21:01,1
@是一颗水蜜桃er,,你踢的不是裙摆，踢的是我的心,0,2019-09-07 20:56,1
@想把石黑英雄拐回被窝,,我崽身材绝了,0,2019-09-07 20:49,1
@Lydia-Li121,,超美，爱了,0,2019-09-07 20:46,1
@想不出名字的安利菌,,表白仙女老婆,0,2019-09-07 20:44,1
@轻云浅月7788,,这容貌 这身材 这气质 这气场 ,0,2019-09-07 20:42,1
@SaChiKo-酱,,我超喜欢这套穿搭，好仙,0,2019-09-07 20:41,3
@社会主义接班人隔壁老王,,状态回来了，前段时间可能太累了吧,0,2019-09-07 20:41,1
@SaChiKo-酱,,好漂亮,0,2019-09-07 20:40,3
@糖太多了么,,仙女的容貌，汉子的步伐,0,2019-09-07 20:39,1
@过六一的小热巴,,啊！我崽好好看,0,2019-09-07 20:37,1
@-于博航,,,0,2019-09-07 20:34,1
@配角床友,,老婆太可,0,2019-09-07 20:33,1
@蓝鲸小鱼儿是我,,越来越有气质啊,0,2019-09-07 20:32,1
@今天你妈催你结婚了吗,,算了，我女鹅是劈叉式走路,0,2019-09-07 20:32,1
@甜热热的糖果甜心,,啊啊啊啊啊啊啊啊啊好美啊,0,2019-09-07 20:27,1
@哦Goodbye,,,0,2019-09-07 20:26,1
@迪迪呀朵朵,,这个大长腿啊,0,2019-09-07 20:21,2
@热巴16981,,呀呀呀，太美了,0,2019-09-07 20:21,1
@奶迪的小粉条,,#迪丽热巴水钻手套#  或许她的表演还不够成熟，但不可否认的是，她饰演的每一个角色都是有灵魂的，有自己的特点的。她想做个好演员，我也相信她依然没有忘记初心，她依然在努力，加油热巴，你守护你的梦想，我守护你 @Dear-迪丽热巴,0,2019-09-07 20:21,3
@迪迪呀朵朵,,这个气场,0,2019-09-07 20:18,2
@一镜而已,,我的天呐awsl,0,2019-09-07 20:17,1
