User,Reter,Comment,Votes,Time,Count
@守望好莱坞,,有人不懂？好我再来解释下：Delena和Stelena是这部剧的两个cp，Delena=Damon和Elena，Stelena=Stephen和Elena。ship是欧美饭圈用语，这里可以理解为意思约等于cp(两者有些微不同，cp语意更广)。,861,2019-09-10 14:42,2
@守望好莱坞,,现场视频，来自推主wesleylover：守望好莱坞的微博视频,54,2019-09-10 11:26,2
@奈良奈良,,糟糕的文案  不要直译好不好,3158,2019-09-10 11:26,1
@Guten_tag_Ryan,,还好我只喜欢klaroline,1228,2019-09-10 11:35,1
@粉色娇嫩我永远18,,这个剧简直比绯闻女孩还烂,1234,2019-09-10 11:20,1
@方辙旧迷,,ian和他老婆很甜的 微博经常秀恩爱的 萌萌剧中人物就好了 不要扯到现实生活中 尤其是两个人都已经有新生活了,697,2019-09-10 11:22,1
@那我还能怎样呢,,这个剧只有前三季好看，后面是真的烂,742,2019-09-10 11:25,1
@theKKyle,,主要还是因为他俩本人现实生活中也交往过吧,416,2019-09-10 11:44,1
@insomnia_TeamCap,,在我看的有限的几集里，我更喜欢Stephen,327,2019-09-10 11:22,1
@敖丙夫人,,有生之年还能看到这个,338,2019-09-10 11:51,1
@Sunjioo,,反正我喜欢stelena 但搞cp影响真人是真的不好…,120,2019-09-10 11:32,1
@Katerinaaa-S,,我 Datherine,98,2019-09-10 11:21,1
@flyyanziyanzi,,至始至终我都是Stelena粉,101,2019-09-10 13:25,1
@种花家的兔崽儿,,,68,2019-09-10 14:24,1
@iisantrbl,,stelena分开之后就弃了 后面的走向简直魔幻,69,2019-09-10 12:51,1
@赐我一只肥橘猫,,惹，站cp别影响到真人吧,30,2019-09-10 11:29,1
@杨_Lee,,没想到有生之年我还能看到这个剧的热搜,35,2019-09-10 14:21,1
@喵言喵语BUFF,,都十年了啊，突然想再看看前三季，那时候我超喜欢Katherine，还有大K和芭比C,27,2019-09-10 12:50,1
@闪亮亮的小星儿,,内容翻得狗屎一样，热搜标题倒是深得内娱精髓,24,2019-09-10 14:50,1
@Fernweh_lin,,哈哈哈哈哈哈我萌的是大K跟美C   KC党冲啊！！ 评论配图,22,2019-09-10 15:07,1
@ZEYONCE,,这个文案太恐怖了……,23,2019-09-10 11:54,1
@九对耳返,,没那么复杂，就是剧cp和rps的关系而已……如果戏外是Stelena在一起了！被烦的肯定就是Stelena cp 粉了,11,2019-09-10 11:51,1
@查理布朗尼_,,我看到第三季（？）差不多他俩在一起就看不下去了,13,2019-09-10 12:14,1
@今生我有良田千亩,,这剧后半部分是我看到最烂的美剧,10,2019-09-10 11:45,1
@1006law,,所以说磕CP勿扰真人,12,2019-09-10 11:27,2
@赵小慢慢慢慢_,,十年了,3,2019-09-10 14:46,1
@我真的一点都不real,,K&amp;Ccp粉报道,3,2019-09-10 16:39,1
@倒立行走第一名,,前期觉得斯特凡超帅，后面觉得这个优柔寡断的人不太行，呆萌明明更酷！！！知道最后我大k出场，从此 CK大旗不倒！！！！！！,3,2019-09-10 15:49,1
@入江祉姝_,,,3,2019-09-10 14:40,1
@段阿紫紫紫,,哈哈哈哈哈哈哈哈哈哈哈哈哈没想到多年之后我还能吃到TVD的瓜，我吃的是瓜吗，不我吃的是狗血！,3,2019-09-10 11:18,1
@独酌对饮成三人,,完全没搞明白,2,2019-09-10 11:11,1
@Stella是小仙女,,我是SE党，前两季这对太甜了,2,2019-09-10 14:50,1
@约拿的赌约,,时间这么久了还si。。。。。。。,1,2019-09-10 13:48,1
@Axewalker,,只能说还是粉丝没出戏吧,1,2019-09-10 11:24,1
@昕然Top-Nan,,我觉得这两对cp各有各的好吧 达蒙和埃琳娜现实中的确在一起过 后面因为达蒙年纪的原因想结婚了 但是埃琳娜那时候还蛮年轻没想结婚那么远的事情 两人才分手的 和平分手的 我没记错的话应该是这样,2,2019-09-10 15:24,1
@XZakin,,是Stefan,2,2019-09-10 13:23,1
@喜欢春花夏雨秋叶冬雪,,追剧的时候我也在兄弟俩之间摇摆不定，直到后来，跟随内心选了Damon ,1,2019-09-10 15:19,2
@蠢萌蠢萌的ni,,从第一季追到第八季，前面都很好看，到最后一季的时候看的真的很郁闷,1,2019-09-10 14:49,2
@Lovina_,,还是那句话，不管是什么粉丝，不打扰才算是粉丝,4,2019-09-10 14:19,2
@屿森King,,原来不止我看到E变心就弃剧,1,2019-09-10 21:59,1
@只喝白开纯净水,,我喜欢克劳斯,2,2019-09-10 16:05,2
@Simplesimplej,,KC 我的意难平啊[淚],1,2019-09-10 15:07,1
@荒度夏天,,一直想知道为什么克劳斯最后没跟卡罗琳在一起，而是跟小狼重组了家庭,1,2019-09-10 15:06,1
@Gabriellecan,,这个翻译…,1,2019-09-10 12:51,1
@我娃森,,达蒙酷,0,2019-09-10 11:55,1
@难熬的粥一,,西蒙自己是导演好像，已经弃剧很久了 约等于 行尸走肉,0,2019-09-10 22:56,2
@NICzxxyyy,,永远KC 评论配图,0,2019-09-10 18:54,1
@D_meng,,妈呀～都十周年了,0,2019-09-10 17:30,1
@Damon_要好起来呀,,刚开始你迷S，后面发现D挺变态的酷,0,2019-09-10 17:26,4
@小高继续加油鸭,,@火锅里的鸳鸯,0,2019-09-10 15:20,1
@咕噜咕叽巴布噜,,反正后面几季 弃剧了,0,2019-09-10 15:18,1
@JohnnnyStoker_484,,都过了很久了吧 竟然还 也是不容易,0,2019-09-10 15:13,1
@DBI小萌,,其实就是，这个演员萌对家cp,0,2019-09-10 15:10,1
@吞没我在寂静里,,我坚持看到了第三季，然后弃了,0,2019-09-10 14:55,1
@Lexie_doubleL,,磕CP的请圈地自萌,0,2019-09-10 14:01,1
@舒窈Pluto,,害,0,2019-09-10 12:29,1
@·Wallflower·,,第四季开始1.5倍加快进的拉速看，还是觉得看不下去,0,2019-09-10 11:51,1
@Ever-been-to-Baja,,@Littlebread32 体质太好了,0,2019-09-10 11:49,1
@許胭ELENA,,前三级很OK，越往后越看不明白了，结尾一集还是很好的,0,2019-09-10 11:46,1
@粥槡,,好乱,0,2019-09-10 11:13,1
@啊Kaylawww,,不搞rps啥都好说,0,2019-09-10 11:12,1
@林屿森的Mango,,我再喜欢他和妮娜，但他俩已经结束很久了！而且伊恩现在结婚了 有宝宝了 cpf圈地自萌不好么 出来祸害人,2,2019-09-10 14:21,1
@salut_ts,,后来因为关系太乱我弃剧了,3,2019-09-10 11:18,1
@宇宙围城,,我一个看过剧的人都不知道你在说啥,1,2019-09-10 17:23,1
@千丘葵,,曾经爱过又散伙的cp正主发言扎cp粉心…… 评论配图,1,2019-09-10 16:59,1
@一只爱klaus的小猪fans,,悄悄问一嘴：暮光之城的尼基 瑞德是谁（或者有人告诉我剧中人物叫什么吗！）,1,2019-09-10 16:16,1
@豆女本人,,前几季特别好看，从第五季开始就追不下去了。。最喜欢埃琳娜和斯特凡这一对后面和哥哥在一起了就追不下去了。。,1,2019-09-10 15:01,1
@小小蔻儿,,当年追的天昏地暗,1,2019-09-10 14:25,1
@加菲舀了一勺蜜,,？大概是疯了,1,2019-09-10 14:25,1
