User,Reter,Comment,Votes,Time,Count
@恋爱吐槽bot,,最喜欢的就是秋天了,0,2019-09-10 07:55,1
@我s廖伟龙_269,,我觉得你说的对，已经点赞,2,2019-09-10 08:02,3
@shiacccccx,,言叶之庭,2,2019-09-10 08:00,2
@战斗胜佛哈,,,1,2019-09-10 07:59,2
@tulip224,,秋雨绵绵,0,2019-09-10 07:58,1
@我是吸满欧气的锦鲤,,早安,0,2019-09-10 07:54,1
@hmhszh,,但愿遇见,0,2019-09-10 08:48,2
@梓清0424,,言叶之庭,0,2019-09-10 08:47,2
@记里七,,言叶之庭,0,2019-09-10 08:18,2
@神评社长,,,0,2019-09-10 08:02,2
@hmhszh,,但愿遇见,0,2019-09-10 08:48,2
@梓清0424,,言叶之庭,0,2019-09-10 08:47,2
@记里七,,言叶之庭,0,2019-09-10 08:18,2
@抖音热门集,,一年四季还是最喜欢秋天,0,2019-09-10 08:06,1
@我s廖伟龙_269,,我觉得你说的对，已经点赞,2,2019-09-10 08:02,3
@神评社长,,,0,2019-09-10 08:02,2
@shiacccccx,,言叶之庭,2,2019-09-10 08:00,2
@战斗胜佛哈,,,1,2019-09-10 07:59,2
