User,Reter,Comment,Votes,Time,Count
@黄不er,,肯定是。。。看网课啦,3787,2019-08-30 18:08,1
@xxwxxwl,,iPad相机都很少打开过,1988,2019-08-30 17:37,1
@吴世勋kan李宣美,,给爷爷买的，爷爷看不清手机上的字,1153,2019-08-30 18:16,1
@今天的晚安呢,,西...西瓜霜？ 评论配图,961,2019-08-30 19:33,13
@糖源tyf,,或许你们被iPad砸过脸吗,420,2019-08-30 19:40,1
@浪子醉飘摇,,没有我需要的选项！谢谢,367,2019-08-30 17:40,1
@拥友ye,,为什么现在电子产品如此专注于开发摄像头……,311,2019-08-30 17:57,1
@今日宝藏,,浴霸不能,180,2019-08-30 22:08,27
@罗熙姨母一号番茄酱,,IPad看电视,101,2019-08-30 19:39,6
@网友小凡凡,,老子拿个那么重那么精贵的玩意拍什么照片,46,2019-08-30 19:49,1
@姓子小名山石,,有爱奇艺会员吗就买iPad,45,2019-08-30 19:48,1
@草莓味的你不加冰,,感觉好多人都认为买iPad就是玩的。。。但是我想说，iPad看网课，还有一些绘画，做笔记App，效率真的很高啊。,28,2019-08-30 22:48,1
@保护我方野象,,我可刚买了iPadpro,35,2019-08-30 19:39,1
@YY姑娘要一直努力鸭_,,这是浴霸中毒了？,23,2019-08-30 19:40,1
@紫棋紫ma,,我没事拿着大大的平板在街上晃悠吗,19,2019-08-30 19:46,1
@爱上王俊杰,,抄袭华为,15,2019-08-30 20:11,1
@ZZZZZw_雯,,看哔哩哔哩,9,2019-08-30 19:51,1
@么哒利棋,,画画呀,9,2019-08-30 18:44,1
@鹿的玫瑰园林,,你这选项少一个，没钱不买,3,2019-08-31 06:36,1
@大王茜儿,,你让我又想起来了，他丢了，严格来说是被偷了,6,2019-08-30 17:43,1
@笨笨熊-BELLE,,我有爱奇艺会员 就差一个Ipad pro 了,3,2019-08-30 21:43,1
@洛水天依蓝0o0,,四筒,6,2019-08-30 20:19,1
@奶一口酥k,,ipad air3会不会降价阿好想入手一个。,0,2019-09-01 10:37,2
@神在往下看,,iPad没用？我不一样，自从用ipad看剧。。电脑就用来积灰了,6,2019-08-30 23:05,1
@Xian现呐,,你觉得我的兜兜装得下呢么大的手机不？,3,2019-08-30 22:45,1
@托尼家的mark97,,6啊,3,2019-08-30 18:13,1
@1生缘,,说实话，iPad没多少人会带出去拍照的,4,2019-08-31 07:58,1
@XApoptoXin,,还是用华为吧,4,2019-08-31 07:43,1
@烂情的世界你不懂,,买前生产力，买后爱奇艺,4,2019-08-31 11:22,1
@茶清了了,,偷听我们说话就算了 还想看洗澡？,4,2019-08-31 08:24,1
