User,Reter,Comment,Votes,Time,Count
@美人梓,,人家俩夫妻的事网友掺和那么多有必要么,34077,2019-09-11 09:00,2
@今天也想沉迷美色,,哈哈哈哈哈被diss怕了,15112,2019-09-11 09:00,2
@vivian橙橙D,,把朗朗逼得哟,12007,2019-09-11 09:24,2
@美丽的春风萝莉,,网友瞎操心，每家相处方式不一样，管那么多，人家开心就好,6565,2019-09-11 09:00,2
@恰逢山雨来丶,,哪来那么多多管闲事的玩意儿 评论配图,544,2019-09-11 09:03,2
@源味甜品麻辣酱,,中国有十几亿网友，你怎样做都不能让所有人满意，还是做自己吧,435,2019-09-11 09:04,2
@邻居的耳朵一枝花,,说到底因为手受伤不能拿东西,236,2019-09-11 09:02,2
@TJSYKYY,,主要是仨人俩包一箱子，全在老婆一个人那儿,274,2019-09-11 11:47,2
@真的是太南了,,？不是应该的吗。感觉说得好委屈啊。。。（吃瓜群众，不要喷）,250,2019-09-11 09:05,2
@被冉先生宠得无法无天a,,人家有自己的恋爱方式  这都被搞怕了,115,2019-09-11 09:11,2
@宇宙男德,,这样很符合男德精神,108,2019-09-11 09:02,9
@after沉醉之后,,真幸福,53,2019-09-11 11:59,2
@汽水出版社,,有些网友真的瞎操心,47,2019-09-11 09:01,2
@太太难了,,网友呀。。。永远道德制高点。。。人家两口子爱咋样咋样。。。别人评论有毛意义。。。,51,2019-09-11 09:02,2
@胖嘟嘟皮皮虾呼噜噜,,“帮”这个用词就错了好吗！什么叫帮老婆拿行李？行李都是老婆的？老公没有份？现在是 他空手，他老婆大包小包的，这样才被网友骂,60,2019-09-11 11:40,2
@Klaroline_璐,,我是觉得拿行李没啥，但是你老婆拖着行李箱，上面包完后还背了一个，你两手空空 。。。。。。你多少帮拎个包也行啊,43,2019-09-11 12:22,2
@wilber的小太阳,,郎朗自己说和柏林乐团合作40多次从来没上过热搜，不拿行李，吃火锅上热搜了，艺术家的无奈,42,2019-09-11 11:47,2
@85号欧豆豆,,哈哈有点甜,27,2019-09-11 09:02,3
@柿阿子,,啊哈，别的不说，背个正常书包总不至于伤手吧,34,2019-09-11 09:44,2
@啊凡想要世界和平,,微博女拳加油！已经初步胜利了！,52,2019-09-11 09:01,2
@谁还不是个年费会员,,人家夫妻两的事网友咋管这多呢,25,2019-09-11 09:01,14
@欺壹少年郎,,他老婆吼吼看  这大眼睛,35,2019-09-11 09:02,2
@x_Mior,,哪天朗朗手受个伤，大批网友：怎么可以让 著名钢琴家的手用来做粗活，这个媳妇怎么当的 balabala ,30,2019-09-11 11:20,2
@雯雯爱白白,,有些说什么站在道德制高点，管闲事的，瞎操心真让人不舒服，婆婆和朗朗一样行李都没拿，让一个吉娜女性拿全部行李，可见人真的不怎么样，需要分担的就要分担，不是让一个人全做，而且还是女性,33,2019-09-11 11:57,2
@再见吧再见吧再见吧叭叭叭叭叭叭,,本来就应该帮老婆拿的吧？搞得像是网友们逼他拿行李一样？至少大家一起拿吧。自己空空手还好意思说,31,2019-09-11 11:34,2
@修罗陛下,,以后足球明星出门，不许走路，全部轮椅，不要伤到脚了。,35,2019-09-11 09:22,4
@叉洋范特西,,一些人口中的男女平等呢？？,32,2019-09-11 09:29,2
@小蘑菇的烘焙时光,,可是婆婆也两手空空,28,2019-09-11 10:41,2
@R1SE-任豪的女朋友,,以后机场，朗朗老婆准备拿行李，朗朗：我来我来，放开你的手,16,2019-09-11 09:26,6
@春日野一凡,,啥包伤手？ 平时戴双灭霸手套保护起来吧,18,2019-09-11 12:44,3
