User,Reter,Comment,Votes,Time,Count
@金主哥,,欢迎新来的小伙伴，记得关注我啊,2,2019-09-12 11:26,8
@金主哥,,欢迎补充,4,2019-09-12 11:23,8
@馒头noodles,,都没去过，你少了一个选项,40,2019-09-12 11:16,1
@鲁国的花花,,刺激战场，恐龙乐园,7,2019-09-12 11:21,9
@没钱买零食的安琪拉,,欢乐谷的常客啊,7,2019-09-12 11:23,1
@Donmarclean-Nancy,,欢乐谷不配有名字吗,0,2019-09-12 13:14,3
@Alfred_Wannng,,迪士尼和方特,3,2019-09-12 11:22,1
@Ingrid_77,,欢乐谷,7,2019-09-12 11:22,1
@今天棠棠好多零食Y,,长隆和方特,0,2019-09-12 11:32,4
@雪月可可,,玩不起系列,2,2019-09-12 11:30,2
@森川桃_,,长隆海洋王国,1,2019-09-12 11:29,1
@Le1_com,,九龙公园，门票9.9,1,2019-09-12 11:20,1
@废芽芽不是宝,,长隆水上乐园..,0,2019-09-12 11:16,3
@叫我粑粑丶,,方特 常州恐龙园 迪士尼,0,2019-09-12 11:33,4
@昀昀撒浪嘿,,都没去过,0,2019-09-12 11:24,1
@这样就不会发现我了,,都去过  还是长隆好玩,0,2019-09-12 11:24,1
@陸泓宇_,,都去过你少了一个,0,2019-09-12 11:23,1
@she哭了誰會心疼,,你少了一个选项,0,2019-09-12 11:20,1
@張Zhang_ggg,,一个没有去过,2,2019-09-12 11:27,1
@药水哥666,,我去迪士尼就花了60吃了个鸡肉卷，然后玩了一天,0,2019-09-12 12:26,3
@Rein昴,,方特，迪斯尼，以后不去游乐园了，感觉好怕怕,0,2019-09-12 11:36,3
@CGO的喵,,欢乐谷不可以拥有姓名吗？,0,2019-09-12 11:31,3
@飞呀飞呀鸽纸ANG,,我还是愿意去迪士尼，翻包的确不对，但是可以换另一种方式，食物可以带自己做的，用环保的饭盒带，但是有包装袋的不能带进去，因为绝对垃圾满天飞，并且食物没那么贵。我觉得迪士尼挺好的，也不知道这么多人在跟风干嘛,0,2019-09-12 11:31,3
@yuukalove北海道的雪,,迪士尼和方特,0,2019-09-12 11:31,2
@是秋秋呦,,欢乐谷,0,2019-09-12 11:30,1
@紫棋的小滴水,,长影世纪城,0,2019-09-12 11:29,1
@理工大的辉辉,,就不能都去过么,0,2019-09-12 11:28,1
@丶我没故事丶,,欢乐谷呢？？？,0,2019-09-12 11:27,1
@come-find-me,,除了长隆,0,2019-09-12 11:25,1
@宿命仰望,,居然没有欢乐谷,0,2019-09-12 11:25,1
@got九袋面,,去过两个怎么选,0,2019-09-12 11:25,1
@宝宝的耳朵是猫耳朵哦,,长隆啊,0,2019-09-12 11:24,1
@stresslove,,补充三个，以上都没去过，以上都去过，以上部分去过。我选择以上都没去过,0,2019-09-12 11:24,1
@水杯杯杯杯杯杯,,迪士尼，方特，欢乐谷都去过，不得不承认迪士尼的企业文化很厉害……毕竟不是单纯的游乐项目，有文化内涵支撑还是很能打的……如果大家只是想玩游乐项目，过山车跳楼机什么的那去欢乐谷就行了,0,2019-09-12 11:23,1
@东木下的猫,,方特，欢乐谷，恐龙园！,0,2019-09-12 11:22,1
@潇洒小文Amanda,,少了都没去过,0,2019-09-12 11:24,1
@Donmarclean-Nancy,,欢乐谷不配有名字吗,0,2019-09-12 13:14,3
@药水哥666,,我去迪士尼就花了60吃了个鸡肉卷，然后玩了一天,0,2019-09-12 12:26,3
@Rein昴,,方特，迪斯尼，以后不去游乐园了，感觉好怕怕,0,2019-09-12 11:36,3
@叫我粑粑丶,,方特 常州恐龙园 迪士尼,0,2019-09-12 11:33,4
@今天棠棠好多零食Y,,长隆和方特,0,2019-09-12 11:32,4
@CGO的喵,,欢乐谷不可以拥有姓名吗？,0,2019-09-12 11:31,3
@飞呀飞呀鸽纸ANG,,我还是愿意去迪士尼，翻包的确不对，但是可以换另一种方式，食物可以带自己做的，用环保的饭盒带，但是有包装袋的不能带进去，因为绝对垃圾满天飞，并且食物没那么贵。我觉得迪士尼挺好的，也不知道这么多人在跟风干嘛,0,2019-09-12 11:31,3
@Donmarclean-Nancy,,欢乐谷不配有名字吗,0,2019-09-12 13:14,3
@药水哥666,,我去迪士尼就花了60吃了个鸡肉卷，然后玩了一天,0,2019-09-12 12:26,3
@Rein昴,,方特，迪斯尼，以后不去游乐园了，感觉好怕怕,0,2019-09-12 11:36,3
@叫我粑粑丶,,方特 常州恐龙园 迪士尼,0,2019-09-12 11:33,4
@今天棠棠好多零食Y,,长隆和方特,0,2019-09-12 11:32,4
@CGO的喵,,欢乐谷不可以拥有姓名吗？,0,2019-09-12 11:31,3
@飞呀飞呀鸽纸ANG,,我还是愿意去迪士尼，翻包的确不对，但是可以换另一种方式，食物可以带自己做的，用环保的饭盒带，但是有包装袋的不能带进去，因为绝对垃圾满天飞，并且食物没那么贵。我觉得迪士尼挺好的，也不知道这么多人在跟风干嘛,0,2019-09-12 11:31,3
@yuukalove北海道的雪,,迪士尼和方特,0,2019-09-12 11:31,2
@雪月可可,,玩不起系列,2,2019-09-12 11:30,2
