User,Reter,Comment,Votes,Time,Count
@乖萌小圈圈,,绑个小孩儿去看扎拉博士,3,2019-09-12 22:36,5
@橙子跳水自杀了,,好久了，终于赶上宁发博了呢,3,2019-09-12 22:36,2
@带着塔罗牌去旅行,,,0,2019-09-13 00:27,1
@电影雪人奇缘,,扎拉博士喊你一起比“家”的手势啦，参与话题大赛超值福利等你拿！#你和家的距离#有多远呢？快告诉本毛一下,4,2019-09-12 22:39,1
@语沫chen,,好的 10月1日等你,2,2019-09-12 22:55,1
@万小茜的胖敦敦儿wq,,你抬起手我还以为你要比心呢嘿，中秋快乐哟，敦敦儿爱你,2,2019-09-12 22:46,1
@王梓薇家的红烧肉,,我靠，好看啊,0,2019-09-12 22:37,1
@宫梓悦,,大美女，中秋节快乐,1,2019-09-13 12:00,2
@万茜的糖醋排骨,,更！更博了？？！！,1,2019-09-13 07:40,1
@慕轩--,,已回家的我,1,2019-09-13 06:28,1
@伴入江風伴入雲,,石头剪刀布！你才是雪山最靓的崽~加油扎拉博士！ 评论配图,1,2019-09-13 05:05,1
@阿童童童童童童童mu,,国庆要去上海，回来第一时间就去看，嘿嘿,1,2019-09-12 22:45,2
@万茜的红糖馒头,,扎拉拉扎拉拉扎扎拉拉拉~,1,2019-09-12 22:42,1
@温姒央·,,提前祝明天中秋节快乐呀,1,2019-09-12 22:40,2
@敲不得的木鱼trista,,#万茜配音雪人奇缘# 十一约起！,1,2019-09-12 22:40,5
@温姒央·,,啊啊啊啊啊！我好期待！,0,2019-09-12 22:40,2
@SHIMY万茜家的胡萝卜,,首先要有票才能回家,1,2019-09-12 22:39,6
@SHIMY万茜家的胡萝卜,,宣传博主上线,1,2019-09-12 22:38,6
@SHIMY万茜家的胡萝卜,,老板你送大毛回家，送不送我们回家呀,1,2019-09-12 22:38,6
@SHIMY万茜家的胡萝卜,,啊啊啊啊又背着我发博,1,2019-09-12 22:38,6
@Summer不吃巧克力-,,中秋节快乐啊老万,2,2019-09-12 22:37,1
@不被翻牌不回头,,老万，明天中秋快乐,1,2019-09-12 22:35,2
@看见政哥哥又脸红了,,,3,2019-09-12 22:35,1
@应是漓妃伏后,,晚安我的乖乖,1,2019-09-12 22:34,1
@热心市民吕小布,,沙发,1,2019-09-12 22:34,2
@神经炸炸,,爱你，大魔头！,2,2019-09-12 22:38,1
@红衣小将军,,我们要看卷毛儿万,1,2019-09-13 10:34,2
@lemons茜茜爱,,扎拉博士1001不见不散 评论配图,1,2019-09-12 22:40,1
@民咕咕de,,怎么感觉这就是你在西安那天的打扮呢小姐姐,1,2019-09-12 22:39,1
@麻糬狗,,回家回家，送大毛,2,2019-09-12 22:39,1
@偶是谁-二逼少年依琳,,#万茜[超话]#十月一不见不散,0,2019-09-15 23:59,3
@乖萌小圈圈,,老板中秋快乐！！！！,0,2019-09-13 12:37,5
@敲不得的木鱼trista,,老板中秋快乐,0,2019-09-13 12:30,5
@匆匆dw,,中秋节快乐,0,2019-09-13 12:02,2
@宗晨537,,@万茜 ,0,2019-09-13 11:36,1
@暴躁的伏伏,,约上,0,2019-09-13 10:36,1
@茜我心弦的万,,中秋快乐,0,2019-09-13 09:35,1
@梦回鱼塘vs,,中秋节快乐！,0,2019-09-13 09:27,1
@路人甲3193,,美女好,0,2019-09-13 09:18,3
@橘子味河神,,10月1日在电影院一起来看拉扎博士吧,0,2019-09-13 09:04,1
@一个安安,,10.1我爱宁#万茜[超话]#,0,2019-09-13 08:11,1
@SHIMY万茜家的胡萝卜,,想吃蛋黄月饼，想回家，想你，想看电影，成都妖风刮暴雨下，白天打雷闪电，还是想你,0,2019-09-13 08:00,6
@SHIMY万茜家的胡萝卜,,老板月饼节快乐！！！！！！！！,0,2019-09-13 07:59,6
@艾锦文,,十一等你,0,2019-09-13 07:50,1
@吾姓孤名独字屠安,,好的好的,0,2019-09-13 07:29,1
@我一定能调走,,10.1扎拉博士不见不散,0,2019-09-13 07:08,1
@阳光公主yggz,,万老板中秋节快乐,0,2019-09-13 06:39,1
@·認真的老去·,,#万茜[超话]#,0,2019-09-13 06:20,1
@阿童童童童童童童mu,,中秋节快乐,0,2019-09-13 05:41,2
@zijing166,,中秋快乐@万茜 ,0,2019-09-13 05:38,1
@流水71号,,中秋快乐,0,2019-09-13 05:08,1
@晴川的,,期待,0,2019-09-13 04:56,4
@慕雪流云,,回家了,0,2019-09-13 02:28,1
@mimisusu,,轉發微博,0,2019-09-13 02:09,3
@匆匆dw,,#万茜配音雪人奇缘#  1001等你啊,0,2019-09-13 00:13,2
@Spiderdemon周煜宸,,姐姐，你就是我的家，姐姐，中秋快乐 评论配图,0,2019-09-13 00:09,1
@穆嵘梓潇,,等着那一天呢,0,2019-09-13 00:03,1
@橙子酒O_0,,,0,2019-09-13 00:03,1
@F晓倩TEAMO,,#万茜[超话]# wq #万茜配音雪人奇缘# 万～十一我们一起去看《雪人奇缘》吖[小V开心],0,2019-09-12 23:47,4
@万爷的粉丝,,约起来,0,2019-09-12 23:45,1
@佳么儿,,期待,0,2019-09-12 23:38,1
@紫水晶的七月,,#万茜配音雪人奇缘# 扎拉博士， 国庆节我们影院约,0,2019-09-12 23:35,1
@万万家的xiao可爱aaa,,姐，我太难了。能来救我不,0,2019-09-12 23:33,1
@-Lomiwan,,扎拉博士想跟你回家,0,2019-09-12 23:31,1
@胡乱唱歌的爱妃,,晚安哦,0,2019-09-12 23:24,1
@囧呀囧的好囧囧,,真是美,0,2019-09-12 23:19,1
@筱眉_不叫zi眉,,还没抢到国庆回家的票,0,2019-09-12 23:15,1
@想被憨憨翻牌的大宝贝,,博士等你开车带我回家,0,2019-09-12 23:14,1
@dw33333333333,,十一等你,0,2019-09-12 23:14,1
@TS7_____7,,好,0,2019-09-12 23:06,1
