User,Reter,Comment,Votes,Time,Count
@EXO唯十二CXL,,我追十二个,253,2019-09-12 10:14,1
@今天的晚安呢,,我疯狂pick肖战,288,2019-09-12 10:12,12
@妹坨全宇宙后援会,,追得很快乐 我快乐就够了 over,250,2019-09-12 10:13,1
@城上清笳城下杵,,每天搞耶啵和蘸锅搞得我晕头转向的 评论配图,254,2019-09-12 10:17,6
@我有一颗柠檬虾,,追,195,2019-09-12 10:26,1
@槐序初八w,,只要有王一博的生活都是理想生活,148,2019-09-12 10:10,1
@玥丨1005·0105,,这个哥哥谁不爱,91,2019-09-12 10:30,2
@有钱喝热苏打水,,追肖战真的很爽,68,2019-09-12 10:33,1
@冰西瓜和夏天更配哦,,嗯哼 评论配图,54,2019-09-12 10:20,1
@佳佳汪有理想,,王一博呜呜呜我… 评论配图,61,2019-09-12 10:29,1
@你知道你能感觉到,,这个哥哥你不爱吗？？嗯？啊 评论配图,12,2019-09-12 10:33,1
@易烊千玺-qcf,,一心一意易烊千玺,10,2019-09-12 10:48,1
@又酷又奶的啵,,我可以喜欢很多明星，但是我会只专注一个。把所有的爱都给他一个人，只希望他能开心快乐，希望他发展越来越好@UNIQ-王一博 评论配图,18,2019-09-12 10:28,1
@聆听者yu,,华晨宇，追什么星，老夫老妻了,9,2019-09-12 10:21,1
@柒夏-ZL,,这几个人呢 评论配图,7,2019-09-12 10:58,1
@逗逼女立地成佛,,我追防弹少年团,5,2019-09-12 10:21,1
@源小肥的啵啵吖,,TFBOYS,7,2019-09-12 10:43,3
@彦彦姐姐嗨你好,,追华晨宇太快乐了,5,2019-09-12 10:33,2
@_陆宸,,追星快乐，我和吴世勋过的很好,5,2019-09-12 10:10,2
@LOVEBTSNOW,,尽管现在见不到防弹也是我最爱的男人们了！我现在和防弹们过的很好。我老公们都很爱我,2,2019-09-12 10:11,1
@_陆宸,,追啊，咋不追呢,3,2019-09-12 10:10,2
@是个柠檬精呀,,八棵小泡菜,6,2019-09-12 11:02,3
@等你和星光,,我不是追星，我是在谈恋爱@TFBOYS-王源 评论配图,5,2019-09-12 10:18,1
@杨幂味的薯片,,杨幂杨幂杨幂,6,2019-09-12 10:13,1
@凯少爷快来娶我吧,,爱了六年的王俊凯,4,2019-09-12 10:57,1
@源小肥的啵啵吖,,王俊凯@TFBOYS-王俊凯,3,2019-09-12 10:43,3
@张fang瑜,,忙着呢 http://t.cn/AiECgQSk,2,2019-09-12 11:18,1
@崔凌鹤Cindy,,只追华晨宇大魔王！,3,2019-09-12 10:37,1
@美少女樱花战士,,追防弹！！,3,2019-09-12 10:09,1
@李永钦真的烦我,,我追二十一个人呢 追不过来了,1,2019-09-12 11:33,1
@一个人更要对自己好一点,,马嘉祺 http://t.cn/AiECDBhl,3,2019-09-12 11:28,1
@一切当作笑话,,必须追啊！超喜欢的,3,2019-09-12 10:49,1
@AB-Styles,,SING女团!想体验真正的快乐就来入坑吧,1,2019-09-12 10:18,1
@淡雅暮笙,,追星很快乐！ http://t.cn/AiECH9jN,2,2019-09-12 10:11,3
@有只僵尸暗恋你Z,,追梁博，因为他的才华,2,2019-09-12 10:10,1
@昵称naux,,天天磕一博磕的头昏！！！一博魅力！！！！！！,0,2019-09-14 12:05,3
@路飞k的妹妹,,王俊凯王俊凯 评论配图,2,2019-09-12 12:29,1
@今天我抢到票了吗,,TFBOYS搞六年了，舍不得撒开啊！,2,2019-09-12 11:27,1
@是一种初心,,三个男孩子,2,2019-09-12 11:09,1
@明的小牌友,,我的追很佛！哈哈,0,2019-09-12 10:53,1
@晴爱糯米她妈,,大爱幂姐#杨幂0912生日快乐#,0,2019-09-12 10:42,1
@不哭不闹只爱幂,,被扶摇迷住了,0,2019-09-12 10:38,1
@莫斯利寒,,追星又怎么了 为了追星努力提升自己的小姐姐一大把啊～不要吧这个爱好看得那么妖魔化嘛，我追星学会了剪视频写文，我觉得比diss追星女孩的口嗨鬼好很多呀,3,2019-09-12 10:11,1
@谁知晏晏,,追啊 王一博太上头了,1,2019-09-12 11:18,1
@超喜欢酷盖,,王一博是本命！！！,1,2019-09-12 11:00,1
@不知所措954,,肖战,1,2019-09-12 10:46,2
@不知所措954,,图片评论 评论配图,1,2019-09-12 10:46,2
@ZZZZyyw,,我参与了@矢外戈 发起的【你追星吗？】，我投给了“追！！！”这个选项，你也快来表态吧~,1,2019-09-12 10:10,1
@三月住在七号公园的猫,,怎样的？就是每天脑子里都会想几百次的那种，感觉他们已经成了自己生活中的一部分，想到他们就开心，当然也不是不想他们就不开心,0,2019-09-13 11:43,1
@仙女仙女我只喜欢猪小葵,,蔡徐坤 评论配图,1,2019-09-13 07:35,2
@GuoRoycola_,,王源 肖战王一博,0,2019-09-12 18:22,1
@小意达是你的隔壁老王,,相信我，追星能调剂你生活里所有的不开心，然后发现自己其实无往不利到根本不需要男人……能抢票能赚钱能买代言能屈能伸能狂能嘤嘤嘤,0,2019-09-12 13:23,1
@MDA_东方不败,,我参与了@矢外戈 发起的投票【你追星吗？】，我投给了“追！！！”这个选项，你也快来表态吧~,0,2019-09-12 13:16,1
@祭神契約,,我参与了@矢外戈 发起的投票【你追星吗？】，我投给了“追！！！”这个选项，你也快来表态吧~,0,2019-09-12 11:55,1
@那吾克吴姐姐,,肖战,0,2019-09-12 11:32,2
@甜味小七吖,,陈立农,0,2019-09-12 11:25,1
@果子团子橙子V,,如果你喜欢防弹少年团，那我们就是姐妹,0,2019-09-12 11:23,1
@不吃荷兰豆儿,,李鑫一,0,2019-09-12 11:22,1
@独角兽有魔法,,以前不追星，现在追了，好忙,0,2019-09-12 11:20,1
@现在你不要跟我说你当时不爽,,我他么发现我追的不是星，是网红,0,2019-09-12 11:17,1
@一忱星河,,我永远爱肖战,0,2019-09-12 11:16,1
@仲秋十九,,每一天都很快乐 评论配图,0,2019-09-12 11:00,1
@源源的番茄炒鸡蛋,,没想到我都是老阿姨了居然会追星 评论配图,1,2019-09-12 10:59,1
@追逐李家俊的Catherine小仙女,,作为一个南京90后宝宝表示：只追郑嘉颖和彭于晏,0,2019-09-12 10:57,1
@刘大鱼的马甲,,范丞丞太诱人了,0,2019-09-12 10:53,1
@是落苏啊,,追，墙头太多，换的我好累,0,2019-09-12 10:53,1
@青山雅也,,我太喜欢灵超了,0,2019-09-12 10:52,1
@枉慕然,,蔡徐坤蔡徐坤蔡徐坤,0,2019-09-12 10:48,1
@阳阳O3O9,,喜欢蔡徐坤我们就是姐妹 评论配图,1,2019-09-12 10:45,1
@居·清歌,,朱一龙这个男人吧！什么都好，就是太费内存了。,0,2019-09-12 10:44,2
@看到我请提醒我滚去写作业mer,,华晨宇！！ 评论配图,0,2019-09-12 10:38,1
@彦彦姐姐嗨你好,,追星太快乐了,0,2019-09-12 10:33,2
@Winter和你一起看世界,,朱一龙,0,2019-09-12 10:30,1
@一博的雪,,我参与了@矢外戈 发起的【你追星吗？】，我投给了“追！！！”这个选项，你也快来表态吧~#王一博# 一生还长，二十二岁正好风华@UNIQ-王一博,0,2019-09-12 10:30,1
@不艺考的美术生,,我和李现过得很好，不用管我们啦,1,2019-09-12 10:24,1
@盈光冲击啵,,图片评论 评论配图,1,2019-09-12 10:22,1
@橙子陈梓曦,,喜欢的艺人多半都有联系方式了,0,2019-09-12 10:10,1
@-Vampire少女與貓,,追肖战王一博快追瘟了哈哈哈,2,2019-09-12 11:26,2
@TF家族颜值爆表,,追了六年的TFBOYS！！！,1,2019-09-14 14:13,3
@王芳颖_,,图片评论 评论配图,1,2019-09-12 11:26,1
@啵啵的梦姚,,TFBOYS！,1,2019-09-12 11:23,1
@韩韩韩洋洋洋,,杨洋赵丽颖,1,2019-09-12 11:20,2
@王璐琪w力宏2008-,,我追老多了呢 但是阿中哥哥排第一,1,2019-09-12 11:14,1
@夜空中的一颗小流星,,EXO，,1,2019-09-12 11:00,1
@是王银皇子啊,,EXO，，跨国恋爱,1,2019-09-12 10:59,1
@甜甜小可爱是酷盖,,每天看着一博傻笑就是我的亚子,1,2019-09-12 10:59,1
@沐萌blue,,如果你喜欢易烊千玺，R1SE我们就是姐妹,1,2019-09-12 10:39,1
@一条吃猫的鱼7,,我们千玺，一个就行了多了太累,2,2019-09-12 10:21,1
@封闭货车上的肥纸鹤,,易烊千玺,1,2019-09-12 10:18,1
@易烊千玺是脉动,,易烊千玺,1,2019-09-12 10:16,1
@性感lo娘在线等金主帮补尾款,,姚琛姚琛姚琛姚琛,0,2019-09-13 13:54,1
