User,Reter,Comment,Votes,Time,Count
@但斌,,所以，我一直认为谈成的概率在90%！//@恒明工具陈凯:大国的精英阶层（领导者）骨子里是极其理性的，合作共赢是最终结局，当然中间会有波折，这和价值投资一个道理，价格最终会体现企业内在价值，只是过程有波折，唯有耐心等待,13,2019-10-11 22:19,3
@但斌,,//@韭菜独立连:期待中。中美合作才有前途！,6,2019-10-11 22:13,3
@天对地风对雨,,你说的那句话：大盘不会永远在3000点以下,5,2019-10-12 06:53,1
@但斌,,今晚全球股市大涨！期待下周A股长虹！,4,2019-10-12 00:21,3
@宋城价值投资人,,互利共赢谋发展,2,2019-10-11 22:13,2
@_RiskTaker,,我觉得国内周末会出好消息，关于毛衣战的，下周一高开无疑，下周又继续干活。,7,2019-10-11 22:32,1
@羊总之花菜炒蟹,,,1,2019-10-11 22:33,1
@一个猛子入股市58807,,可惜明天不开盘,7,2019-10-11 22:26,2
@丹东最大的边境城市,,但总说话了，准没错，冲鸭！,5,2019-10-11 22:18,1
@任明远,,和则两利。,2,2019-10-11 22:10,1
@角嚼觉,,凑合过呗，还能离咋的。,7,2019-10-11 22:08,1
@何时枭雄,,市场只是预期会达成某些部分协议而已，并不是整个贸易谈判就结束了,2,2019-10-11 22:47,1
@迷你小散兵,,券商可能更靠谱一点,2,2019-10-11 22:41,1
@韭菜独立连,,期待中。中美合作才有前途！,1,2019-10-11 22:08,1
@杜宏duhong,,期待,0,2019-10-12 06:51,1
@郑克强,,立竿见影？//@股市有盼头:金毛签了，两条推直接让华尔街高潮，美股按耐不住压抑已久的冲动已经射了！下周一，大A踏平3000点！,0,2019-10-12 00:34,1
@伦敦大爵爷,,共识的力量，与茅台一样,69,2019-10-11 23:50,1
@chinadgman,,,0,2019-10-11 23:11,5
@股市有盼头,,金毛签了，两条推直接让华尔街高潮，美股按耐不住压抑已久的冲动已经射了！下周一，大A踏平3000点！,0,2019-10-11 23:07,1
@潜伏的绵羊6,,不会永远在3000点以下的，感谢但总！,0,2019-10-12 09:51,1
@满仓平安,,合则两利，斗则两伤。,0,2019-10-12 09:02,1
@无为608,,乐观的但总,0,2019-10-12 07:39,1
@活着的股神,,我就没信过,0,2019-10-12 07:02,1
@皮里斯125,,确实达成协议了,0,2019-10-12 06:57,1
@盐水波罗,,难。很难。大陆和香港的意识形态都这么多矛盾，何况中美,1,2019-10-12 00:33,1
@树鸣看盘,,但总心里有数。,0,2019-10-12 00:17,1
@珠江边上的小蜜蜂,,巴菲特又赚了！当时高位大举买入并增持时候，有多少人嘲讽过？看不懂？你大爷还是你大爷,0,2019-10-12 00:00,1
@liu1953819,,乐见其成,0,2019-10-11 23:45,1
@混沌人生重现,,今天银行股已经大涨了,0,2019-10-11 23:27,1
@LFZAW,,但总也是用的腾讯自选股,0,2019-10-11 23:07,1
@JPXMT沐兔,,最新推特说特朗普准备签了，顺便吐槽了一下国会。,0,2019-10-11 23:00,1
@毕加思索林厂长,,川总翻脸比翻书还快,0,2019-10-11 23:00,1
@得得鱼鱼,,现在对川总的话都不是很有信任感，毕竟他变卦的速度比发推特还快,0,2019-10-11 22:57,1
@查理阳明,,特朗普： 我知道你们相信你们明白了你们认为我所说的，但我不能肯定你们是不是意识到了你们所听到的并非我的意思。,0,2019-10-11 22:51,1
@zhenli2011,,这两年真是动荡，期望国泰民安！期望世界安宁共赢！,0,2019-10-11 22:39,1
@钟情嘟嘟哇,,还以为你的新发基金能有一个好买点呢，这下成本又要涨了吗,0,2019-10-11 22:36,1
@中华安久,,你想多了吧！,0,2019-10-11 22:28,1
@王岩---37地产,,看来是签了,0,2019-10-11 22:26,1
@一个猛子入股市58807,,谢谢但总指明方向，坚定不移做多了,0,2019-10-11 22:25,2
@白稻草人,,没有这么简单,0,2019-10-11 22:23,1
@KP快活林,,老川这个老头坏得很！,0,2019-10-11 22:22,1
@幸运的廿一,,谈成与否，已经不重要，A股涨更多是估值原因，股价太低了，长期来说，洼地洼地,2,2019-10-11 22:21,1
@被子飞,,呵呵,0,2019-10-11 22:21,1
@国泰三队,,好,0,2019-10-11 22:17,1
@鹏润复兴2019,,东方逻辑,0,2019-10-11 22:17,1
@吴文道,,大势听但总的，放量就干！,0,2019-10-11 22:15,1
@会飞的鱼YMY,,期待时间的玫瑰开放,0,2019-10-11 22:13,1
@我家红烧肉,,但愿如此吧,0,2019-10-11 22:10,1
@龙王庙113,,夫妻打架是常事,0,2019-10-11 22:09,1
@三忏,,付出的代价应该不小，这么干脆！,1,2019-10-11 23:03,1
@云遮月19999,,只是个停战协议，硬骨头都谈，关税也没撤回，只是不再新加了。,1,2019-10-11 23:10,1
@海----天,,国家之间谈判，国家利益为重！谈判代表代表利益方的重点不同，想多了……,0,2019-10-12 13:13,2
@明日骄阳58568,,能告诉下这是哪个软件吗,0,2019-10-12 13:10,2
@大王俊宇,,米帝脚被砸烂了,0,2019-10-12 00:53,1
@帝力予我有何哉,,愿赌服输，我空仓...,0,2019-10-11 23:31,1
@不再迁徙88,,我个人还是认为下午谈不成,0,2019-10-11 23:18,1
@淡去的余辉,,资本市场中我们还是太弱了,0,2019-10-11 23:04,1
@雾枪王子,,离达成全面协议还远着呢，真要按美国的要求，垄断行业的好日子就到头了！哈哈,0,2019-10-11 22:38,1
@某老白,,周一茅台又要新高了，呵呵呵,0,2019-10-11 22:27,1
@肚子咕咕叫呢,,然而今天发了四只，这是多么饥渴难耐,0,2019-10-11 22:25,1
@堅燦-Jimcan覀77,,快讯，中美贸易达成共识了，签署完了。,1,2019-10-11 22:20,1
@Naranjaria,,没有这么乐观，也没有这么理智,0,2019-10-11 22:59,1
@草头王121,,胜利者将统一世界，失败者将倒下分裂，一败涂地。,1,2019-10-12 09:02,2
@yxxiaochao520,,中美贸易谈判，没有高兴的理由，都是中国在付出，比如开放金融服务这项副作用很大，再就是400至500亿不是小数目，美国只是付出了敲诈。而且特朗普目前受到很多政治压况且特朗普蓬佩奥等人作为流氓，敲诈勒索成性，翻脸如翻书，根本不可信任。谈判是三两年的事情，长期性的幻想几天就可以处理好？,0,2019-10-12 14:20,3
@莫言莫问莫听莫看,,不管谈没谈成，可能结果都一样，都在下棋啊。,0,2019-10-12 11:29,1
@挂机一万年,,建国也是时候需要出点成果了。谈成的概率非常高了。。。。。。。。。,0,2019-10-12 10:51,1
@江南水乡芜湖市,,这谈判结果，美股大涨没毛病！,0,2019-10-12 09:34,1
@草头王121,,中美争霸，是十年百年的事情，直到一国倒下为止。时间可能比英法百年战争更久。,1,2019-10-12 09:01,2
@苏州-3牛,,还是涨茅台,0,2019-10-12 06:21,1
@moer159,,A股是内伤，看看地雷股频繁问世。,0,2019-10-12 06:16,1
@海边的帆2219754635,,经过这么多轮的较量，特朗普终于明白，想对中国这样的国家进行降维打击是不可能…,0,2019-10-12 00:34,1
@yxxiaochao520,,放弃幻想，三两年的事情的。,1,2019-10-12 00:26,3
@爱吃雪风的地瓜,,要是还是四月那样的不平等条约，那还不如别谈成比较好。,0,2019-10-11 23:27,1
@月圆无形,,中国做出了什么让步？敢不敢公布出来,0,2019-10-11 23:01,1
@huabiao0626,,你大爷还是你大爷,0,2019-10-11 22:50,1
@南京七品香,,最怕的就是皆大欢喜。。。这让已经准备好的国产芯片和软件咋办。。,0,2019-10-11 22:22,1
@原子币未来比特币,,1、赚钱就是帮人，赚钱就是救人。谁赚钱越多，说明他提供的服务就越有价值。  2、如果提问的人不肯为这个问题支付一定量的金钱，那么说明这个问题本身没有价值。  3、我的咨询客户们让我获得了助人的快乐，让我更加了解这个社会。我需要对他们说声感谢。,0,2019-10-13 15:54,3
@kasfer,,但总这个界面真的好像富途证券的呀,0,2019-10-12 15:30,3
@月光海sm,,转发微博,0,2019-10-12 03:52,1
@老頑童---FreeMen,,北京欢迎你,0,2019-10-12 00:11,1
@微博微图,,特朗普的嘴不叫嘴！,0,2019-10-11 22:32,1
@wrrtg07177,,如果只是关于农产品的谈好了没结束15号加税只是符合预期，谈不好那完全是大的黑天鹅,0,2019-10-11 22:31,1
@快乐的乌龟2019,,希望国家稳定繁荣,0,2019-10-11 22:26,1
@原子币未来比特币,,1、赚钱就是帮人，赚钱就是救人。谁赚钱越多，说明他提供的服务就越有价值。  2、如果提问的人不肯为这个问题支付一定量的金钱，那么说明这个问题本身没有价值。  3、我的咨询客户们让我获得了助人的快乐，让我更加了解这个社会。我需要对他们说声感谢。,0,2019-10-13 15:54,3
@林亮之A,,但总、能到3500吗？,0,2019-10-12 22:45,2
@kasfer,,但总这个界面真的好像富途证券的呀,0,2019-10-12 15:30,3
@原子币未来比特币,,1、赚钱就是帮人，赚钱就是救人。谁赚钱越多，说明他提供的服务就越有价值。  2、如果提问的人不肯为这个问题支付一定量的金钱，那么说明这个问题本身没有价值。  3、我的咨询客户们让我获得了助人的快乐，让我更加了解这个社会。我需要对他们说声感谢。,0,2019-10-13 15:54,3
@林亮之A,,但总、能到3500吗？,0,2019-10-12 22:45,2
@kasfer,,但总这个界面真的好像富途证券的呀,0,2019-10-12 15:30,3
@yxxiaochao520,,中美贸易谈判，没有高兴的理由，都是中国在付出，比如开放金融服务这项副作用很大，再就是400至500亿不是小数目，美国只是付出了敲诈。而且特朗普目前受到很多政治压况且特朗普蓬佩奥等人作为流氓，敲诈勒索成性，翻脸如翻书，根本不可信任。谈判是三两年的事情，长期性的幻想几天就可以处理好？,0,2019-10-12 14:20,3
@我是卖报的大赢家,,资金会更加倾向于业绩好的公司,0,2019-10-12 14:02,1
@海----天,,国家之间谈判，国家利益为重！谈判代表代表利益方的重点不同，想多了……,0,2019-10-12 13:13,2
@明日骄阳58568,,能告诉下这是哪个软件吗,0,2019-10-12 13:10,2
