User,Reter,Comment,Votes,Time,Count
@Is_Dora,,好可爱的小纹身,141,2019-09-13 13:33,1
@流光岁月5533,,"Thank you,you always the friend of us,we love you ",38,2019-09-13 13:33,1
@MooreYang,,Happy mooncake festival,23,2019-09-13 13:34,1
@SankRooDonoo,,这本土化翻译有点东西,24,2019-09-13 13:51,1
@是wSh,,这个月饼在小贝手上，感觉都更好看一些……,2,2019-09-13 13:45,1
@V许琪儿,,好有型 型男 ,1,2019-09-13 21:31,1
@Hsiaoyao-,,Haapy Mid-autumn day,2,2019-09-13 13:34,1
@刘薇ingfah,,哇，好暖心哦，虽然知道微博不是你本人在打理,1,2019-09-13 17:45,1
@Dioluxey,,老贝也同乐,1,2019-09-13 13:31,1
@爱摄影的猪肉佬,,老铁 好吃不？,1,2019-09-13 20:03,1
@Lareina葫芦娃,,这翻译,1,2019-09-13 17:11,1
@詹妮弗JQ,,小贝居然有微博，偶然刷到的，立马加了，喜欢这个男人，还有他的贴心小棉袄。,1,2019-09-13 16:12,1
@alessandro花园,,不成器的儿子不断挖坑  然后老子不断填坑 ～,1,2019-09-13 16:04,1
@不二小姐May,,Thank you so much.,1,2019-09-13 13:33,1
@幸福的歌谣99,,happy Mid-autumn Day,1,2019-09-13 13:33,1
@玩吉他的糟老头子,,大力水手的菠菜（怪力乱打）和贝克汉姆的月饼（圆月弯刀）,2,2019-09-13 18:11,1
@化身孤岛的大鲸,,中秋节快乐,2,2019-09-13 16:20,1
@盖里奇不配吃烤鸭,,which flavor？,1,2019-09-13 15:04,1
@我是拾肆,,转发微博,1,2019-09-13 13:36,1
@Yuki是石田家的夕月酱,,,0,2019-09-15 10:29,1
@Palesa看英超,,Delicious!,0,2019-09-14 23:08,1
@爱追剧滴花痴小抽疯,,,0,2019-09-14 01:38,7
@香水Yolanda,,"Happy moon festival,I have eaten mooncakes",0,2019-09-13 23:37,1
@昵昵嗯哼,,爱家的男人,0,2019-09-13 21:45,1
@EDMGN,,小贝老成这样了,0,2019-09-13 19:10,1
@Sissy熹,,男神，节日快乐,0,2019-09-13 18:18,1
@dblee7,,中秋快乐哦！,0,2019-09-13 17:08,1
@傲娇的小白哟,,耶！收到！,0,2019-09-13 17:03,1
@OKress-,,,0,2019-09-13 13:55,1
@Liushufan凡,,此枚月饼好幸福,0,2019-09-13 13:54,1
@冰冰冰冰冰冰冰酱,,Happy mooncake festival,0,2019-09-13 13:42,4
@太阳贤,,中秋快乐,0,2019-09-13 13:33,1
@Tibet0307,,same to you,0,2019-09-13 13:31,1
