User,Reter,Comment,Votes,Time,Count
@9-2-922,,这辣鸡玩意儿可委屈你了 滚吧,30881,2019-09-13 13:43,1
@问何物能令公喜,,没事哥们，再忍忍，过段时间你没球可打了，就不用在受这个气了,21904,2019-09-13 13:44,1
@永爱13号,,滚滚滚！以为我们中国欢迎你啊,12820,2019-09-13 13:44,1
@龔林勝,,没有给他准备狗吃的屎，实在抱歉,11294,2019-09-13 13:45,1
@Alpha_Beta_Delta_Gamma,,人家有意见了，作为东道主，不应该第一时间调查再得出结论么？喷回去你也不占理啊？狗咬狗一嘴毛,631,2019-09-13 14:37,2
@专注吃瓜的路人,,下午为西班牙加油,297,2019-09-13 13:44,1
@書JairoT,,辣鸡司马玩意,287,2019-09-13 13:58,1
@一笑解千愁12-06-04,,嫌困难麻烦别来啊,237,2019-09-13 13:44,1
@考研出国日大洋马,,他说的也没错呀，本来就是交通拥堵呀，北京人，上海人，广东人他们每天花在上班途中的时间用小时计算，至于酒店。。。之前也曝光毛巾擦马桶，擦杯子。。。各种微型针孔摄像头偷拍。。。国人何必那么护短，要心胸开阔，虚心改进自己的不足,228,2019-09-13 15:02,1
@Hey-Hamilton,,,190,2019-09-13 13:50,1
@gay里gay气才够帅,,真是个钢铁直男啊！太直了。。。但他说的的确是心里话，也没乱说。。。,125,2019-09-13 14:54,1
@我就是不爱吃香蕉,,这层里看出来中国人素质到底可以有多差，底线太低了,70,2019-09-13 15:04,1
@将你的音容笑貌永存心间,,不喜欢以后可以不来，中国不欢迎你,10,2019-09-13 15:45,1
@2580桔梗花,,谁都敢得罪啦，我们这么多人喷丝你,12,2019-09-13 14:31,4
@步惊云的理发师233,,美国nba级别球员们大龙虾吃的666还拍视频，证明官方准备的东西都是符合运动员要求的。你要是和霍顿一样死杠精，你就别特么来中国了,10,2019-09-13 16:01,1
@NYN6,,吃JB,8,2019-09-13 14:06,1
@无V不至,,说这些话不怕挨揍吗？,8,2019-09-13 14:10,1
@科技标杆美学,,澳大利亚输了，你可以回去了,5,2019-09-13 18:33,1
@拓堂996,,祝你今天比赛腿断三截。,6,2019-09-13 15:18,1
@我是牛我是牛牛牛,,你们比中国男篮争气，现在你说啥我确实无力反驳,6,2019-09-13 14:55,1
@Mrs_Genie,,？？？果然跟巨星有十万八千里的差别,1,2019-09-13 18:08,1
@O选OO,,那你就别吃了呗！,4,2019-09-13 14:35,1
@夏方平,,赶紧滚回去吧，谁请你来了？,10,2019-09-13 13:54,1
@勇士爱打狗,,滚吧,7,2019-09-13 13:51,1
@丶来日可期999,,让他滚回澳大利亚,4,2019-09-13 14:44,1
@是云朵儿哇,,我c tm nm的 滚出中国吧 你自己多菜你自己没点b数 真把自己当回事了 呕了,3,2019-09-13 15:33,1
@东八区第一A丞,,垃圾,2,2019-09-13 14:39,1
@你笑的甄田,,嘘声就绪,1,2019-09-13 14:23,1
@一笑倾尘,,澳洲鬼佬！,0,2019-09-13 15:20,1
@少年你的眼眸,,没毛病,1,2019-09-13 18:58,1
@是五花牛不是五花肉,,哈哈哈哈啊哈哈，输了吧，嘚瑟,0,2019-09-13 18:31,2
@熏衣草香蒲,,他觉得哪好去哪儿呗，既然觉得这儿不行，那您就早早的走人呗。,2,2019-09-13 17:37,1
@是五花牛不是五花肉,,跟游泳得那个叫什么？我记不住了，一个国家吧你们，好走不送。请圆润的离开。,1,2019-09-13 16:05,2
@Ldong2012,,你们注定要被西班牙淘汰,1,2019-09-13 15:04,1
@Pink_winky,,得，今晚送你回家,1,2019-09-13 19:33,1
@_老男孩a,,不用吐槽了傻子 现在输西班牙 回家吧,1,2019-09-13 18:34,1
@鎏雀,,中国应该把那些风评不好的，还讽刺我国队员的人应禁止入境，禁止入境原因就是个人人品有问题，不让你来中国就好了，那样你就不要说中国哪哪不好了,1,2019-09-13 17:26,2
@阿川絕不妥協,,应该英文标上博古特与狗不得入内,1,2019-09-13 17:16,1
@_你该怎么走下去,,滚吧,1,2019-09-13 16:46,1
@六肆_,,那就快滚咯,0,2019-09-13 16:11,2
@辛禾辛禾,,澳大利亚运动员咋都跟霍顿那个辣鸡一个死德行？,5,2019-09-13 15:32,1
@Lyd1ALU-,,首先问一下你自己配住好酒店吗 ,5,2019-09-13 15:03,1
@Nighttt-,,你赶紧滚吧 咱彼此都忍忍,1,2019-09-13 14:48,1
@妥妥的不差事儿,,赶紧的滚回澳大利亚吃袋鼠去,1,2019-09-13 14:47,1
@莫风莫疯,,楼上那个说玻璃心的也是够了，允许别人吐槽，就不能我们反驳?哪个酒店差?哪里难吃饭到是说出来啊,6,2019-09-13 14:43,2
@我在上面还是你在上面,,那就他妈别来呗？求着你似的。,0,2019-09-13 20:27,4
@旅划算17680356828,,白天要上班，晚上要看比赛，太累啦！朋友们放假了出来东江湖旅游散散心吧！我在这里等你们回来哦！,0,2019-09-13 20:15,2
@-Yannnie,,这个死杂赶紧滚吧,0,2019-09-13 20:01,1
@粉红猪小妹尛尛,,既然这个给你的印象这么差，那就不要再来了,1,2019-09-13 19:37,1
