User,Reter,Comment,Votes,Time,Count
@江苏神秘市民刘女士,,之前还说给老师吃的…老师跟您什么仇什么怨，有这么推挡枪的吗,2264,2019-09-13 10:38,4
@nontipreoccupare,,才10万？？？赚的黑心钱都不止10万了吧，这种不痛不痒的惩罚，难怪屡禁不止……,1232,2019-09-13 10:38,1
@林东宁,,十万？直接查封吧,725,2019-09-13 10:38,1
@MrMaCS,,只有判刑10年以上才能杜绝此类事件，多学一下国外,353,2019-09-13 10:39,1
@用户BB66,,让园长当面吃给大家看看！,356,2019-09-13 10:49,1
@叶艾茂,,查了就说给老师吃的，触目惊心！,134,2019-09-13 10:59,4
@阿吉爹地,,十万？在鼓励园长换个地方继续做黑心事！,43,2019-09-13 10:51,1
@缺觉重症患者,,给老师吃的,32,2019-09-13 10:39,1
@水光er,,真是求求了可别给山东丢脸了，看到这个新闻本山东人内心一抽,24,2019-09-13 11:47,2
@大大大大大大大大大噶桑,,山东。,25,2019-09-13 10:39,2
@意寫心書,,你说这些Ｓ－Ｂ们怎么办，孩子的事是不能动的，动了就是掘国家和民族的根，这么浅的道理怎么就是抵不住那几张人ＭＢ呢,10,2019-09-13 10:45,1
@汤勺的冬天,,小粉红们快来洗白。,4,2019-09-13 12:17,2
@天天聊热搜,,监管力度不够，处罚力度不够，人性堕落不分善恶，相互勾结，才会有种种事件发生,7,2019-09-13 10:41,1
@布可布乐,,一切向钱看，真没点做为人的底线,6,2019-09-13 10:38,1
@工藤优幸小次郎,,山东啊，又是山东,10,2019-09-13 11:51,1
@我是寧寧寧ning,,然后幼儿园继续开？10万 几个月就挣回来了 孩子们继续吃发霉的食物…,3,2019-09-13 12:12,1
@干净么食安,,就是食品安全管理不严，侥幸心理严重，对食品安全不重视。说有多黑心还没看到，这个案例对很多食堂的工作人员是个很好的警示作用。让你侥幸不重视食品安全。,5,2019-09-13 10:59,1
@对小邓心动了,,我靠？？？？泰安的？？？？,4,2019-09-13 11:50,1
@91-老赖,,可以研究下牢饭好吃还是你家的饭好吃,4,2019-09-13 10:38,2
@灵山岛岛主,,见怪不怪    全青岛的垃圾  送到我家旁边的垃圾场。只有3公里,3,2019-09-13 12:38,1
@宁萌不会写诗,,“调查人员对家长反映的问题逐一核查、甄别，通过调取监控录像、询问当事人，未发现上述物品直接用于食品加工经营的证据。”一点疑问：调查机关对是否用于食品加工的核查方式是否过于简单、流于形式？如果厨房未安装食品制作监控摄像头，调取监控录像和询问当事人的核查方式根本无效。,1,2019-09-13 12:07,1
@52刘川枫,,十万？那么多孩子都不止十万了吧,2,2019-09-13 11:40,4
@君啊君-Jun,,哪个幼儿园。直接报名字。。,2,2019-09-13 11:45,1
@是南抒啊,,老师就要吃发霉的了吗？,1,2019-09-13 12:47,1
@cckara8,,先让园长把发霉的吃完再拘留,1,2019-09-13 12:43,1
@王学超超,,给老师吃的，老师怎么了,3,2019-09-13 10:59,1
@任性的摩羯就是我,,把发霉了的食物让相关人员吃了吧 别浪费了,3,2019-09-13 10:43,1
@毗陵倦客,,山东人真好客，给外国留学生配陪读，给自己的孩子吃霉食。,2,2019-09-13 14:25,1
@按时睡觉多苟几年,,行拘？？？？不能算投毒谋杀未遂？,2,2019-09-13 10:43,1
@原来是身边有人心里有人,,刑拘 打错字了,3,2019-09-13 10:38,1
@会飞的小八戒-,,跪求这个幼儿园的园长直播吃这些肉啊变质食材什么的,1,2019-09-13 18:15,1
@好像今年出龙五,,完了，之前山东没怎么被黑过，现在也要被迫加入了，艹,1,2019-09-13 13:02,1
@ScarlettLau5258,,“未发现变质物品直接用于食品加工”？呵呵哒,1,2019-09-13 12:57,1
@Cassandra_NN,,能不能把所有幼儿园彻查，杜绝此类现象的发生！,1,2019-09-13 12:55,1
@逸雪蓝鸢,,卧槽，发霉的是给老师的吃的！！说的好啊，妙啊，简直了！,1,2019-09-13 12:43,1
@北野小哥哥等等我,,我实名举报我们学校山东日照莒县文心高中，我们学校食堂食物中毒,2,2019-09-13 12:35,1
@凤凰山下-我的家,,“未发现变质物品直接用于食品加工”，干嘛拘留相关涉事人员呢? 间接用了?,1,2019-09-13 12:24,2
@佳fightingeveryday,,幼师有点惨啊,1,2019-09-13 12:18,1
@余生可靠,,我舍友暑假去辅导班打工，她说里面给孩子喝的奶粉都过期好几个月了，还有馒头都长毛了还给孩子吃!!气死,1,2019-09-13 12:13,1
@original生,,查封,1,2019-09-13 12:08,2
@涨芝士,,别给泰安人丢脸了,1,2019-09-13 12:00,1
@迷人的菲菲啊,,处罚的太轻了……,1,2019-09-13 11:50,1
@褐眼男子027,,令人发指！这些人连这些垃圾都不如！,1,2019-09-13 11:48,1
@佛系小江江讲酱,,犯罪成本好低哦,1,2019-09-13 11:44,1
@李連勁,,应该加大惩罚力度！,1,2019-09-13 11:43,1
@李正曦Sissi,,如果说给园长吃的可能会好点。。。,1,2019-09-13 11:31,1
@比特币柏霖,,校长枪毙十分钟。,1,2019-09-13 11:18,1
@摩洛哥的小菜,,这十万又要从羊身上薅回来的,1,2019-09-13 11:02,1
@艾特三好友,,哎，这些小孩真是可怜啊。,1,2019-09-13 10:39,1
@青笛扬,,好孩子是国家的未来 残害好孩子就是毁灭国家的未来 对于这种黑心之人该枪毙,1,2019-09-13 12:56,1
@周小林on,,,0,2019-09-13 12:48,3
@你好我叫殷夜丞Ye_Cheng,,不舍得做成菜就等着发霉,0,2019-09-13 12:43,1
@Mini小样儿,,吐了,0,2019-09-13 12:42,1
@周维vivienne,,垃圾幼儿园 赶紧退学吧 我觉得人大可以提出如何改善增强小孩子的早午餐规范了，也建立一些部门监管早午餐合不合格不合格的就要取缔 有专门投诉的不能 也出法律对早午餐有规定 可以借鉴日本或者一些西方国家的做法,0,2019-09-13 12:41,2
@一想天开_白日做梦,,罚款不是目的，目的是罚钱,0,2019-09-13 12:38,1
@一吃一大碗的牛牛,,未发现变质物品直接用于食品加工？,0,2019-09-13 12:22,1
@KK凯风自南,,行拘我觉得叛的太重了，园丁应该从轻处理，直接枪毙就好了,0,2019-09-13 12:19,1
@我改几次名字了,,@lovely任甜甜OvO ？？？,0,2019-09-13 12:16,2
@徐柚柚_CC,,累了，处罚不痛不痒，没什么力度，怕是不能够起到警示作用。,1,2019-09-13 12:16,4
@轩宝吖-,,真给泰山人民丢人,0,2019-09-13 12:15,1
@搭配的日常,,骗鬼呢，是个大人智商正常就会发现不会吃发霉食物。而小孩子好骗，吃生病了就告诉家长小孩子免疫力太弱，又拉肚子。,0,2019-09-13 12:07,11
@进退,,是人吗？有人性吗？心怎么这么黑？,0,2019-09-13 12:00,1
@王小小小胖吖,,前几天哪个国家的的一个小女孩因为第一次来例假被逼到跳楼了，后来好像学校都关闭了哦,0,2019-09-13 11:50,1
@幸運的花樣美男,,给老师吃，人家老师惹谁了，,0,2019-09-13 11:48,2
@PatrickAoteman,,真的，相关负责人应该吊销教育行业执照，不然出了拘留所，该怎么干还是怎么干,0,2019-09-13 11:32,1
@给我一块饼干不加糖,,老师招谁惹谁了,0,2019-09-13 11:15,1
@柏万军-灯光顾问,,唉，犯罪成本太低了！都是权钱交易！,0,2019-09-13 11:09,1
@李凯198204,,,0,2019-09-13 10:49,1
@麦兜兜儿儿儿儿儿,,封,0,2019-09-13 10:40,1
@四同之道,,太坏了，应该有行业禁入黑名单。,2,2019-09-13 11:26,1
@jia大大大大大吃货,,畜牲,1,2019-09-13 12:24,1
@早a筱霏,,讲句公道话，罚这么轻，谁会怕？,1,2019-09-13 12:24,1
@云淡风轻2019y,,老师集体辞职,1,2019-09-13 12:23,1
@八百年前一匹马,,坐标内蒙古赤峰 吃婚宴吃坏100多人次 涉事饭店一直正常营业.相关部门 多天未给结论 互相推诿 ..  求助,0,2019-10-09 13:23,3
@夏日风又来,,又是罚款拘留了事，就算是给老师吃的，是不是得给老师补偿?,0,2019-09-15 22:50,3
@TTT哩哩,,为什么这样的新闻屡次发生，天天香港什么什么，是不是这些新闻才是应该我们国人值得关注的？,0,2019-09-14 12:08,3
@只转正能量121,,这种事情不能只有罚款和行政拘留，不然代价有点低~~,0,2019-09-14 11:05,3
@cczh恪,,应该永远禁止其进入教育行业,0,2019-09-13 22:48,3
@云想衣裳花想容199608,,行拘十天是不是少了点，起码也要入刑吧,0,2019-09-13 22:37,2
@-叶玮-,,转发微博,0,2019-09-13 22:34,1
@非要填个昵称,,泰安人终于坑了自己一把,0,2019-09-13 18:55,1
@为之未晚晓商誉,,发霉食材给老师吃？！,0,2019-09-13 18:29,1
@Dnazii,,垃圾…,0,2019-09-13 18:00,1
@飞行青少年SR,,10万？少了点,0,2019-09-13 17:32,1
@飛漁論壇,,处罚太轻呼吁严惩。,1,2019-09-13 16:18,1
@想看斯坦福的桥,,就是应该这样罚,0,2019-09-13 15:20,1
@tayman的夏天,,有些人心都霉烂了,0,2019-09-13 15:11,6
@晨曦在1971,,网友的力量是无穷大的,0,2019-09-13 14:21,1
@yxmmm168,,幼儿园这些老师怕是傻子吧,0,2019-09-13 13:47,1
@柚柚岁月2018,,必须关门！否则后边变本加厉赚罚款！,0,2019-09-13 13:43,1
@你的帅帅啊,,暗示祖国的花朵实则祖国的韭菜,0,2019-09-13 13:34,1
@全世界一笑而过fly,,，,0,2019-09-13 13:26,1
@夏至之钢,,凭什么罚人家10万，人家没做啥子哦！,0,2019-09-13 13:20,1
@亦许的子悦,,为什么屡屡发生，因为处罚太轻，没啥大后果,0,2019-09-13 13:08,1
@鲁能泰山跟队球迷,,拿铁冲锋在前，终于扳回一分，捞翔们都高兴坏了,0,2019-09-13 13:03,1
@小常旺旺,,应该判刑啊,0,2019-09-13 13:01,1
@Be_healthy_,,这些从业人员是不是以后不会再从业了？,0,2019-09-13 13:01,1
@墨晚晚懒懒,,我大泰安以这方式登上热搜 好丢人,0,2019-09-13 13:00,1
@日月各半,,老师得罪谁了？要吃发霉的食物？,0,2019-09-13 12:59,1
@辣椒哥哥就这么叫我吧,,老师:把我吃坏了，照样找你们赔钱！,0,2019-09-13 12:59,1
@宋小雪Xue,,后来泰安市要求全市所有幼儿园厨房安装监控随时接受监督了,0,2019-09-13 12:59,1
@123跟我冲,,我觉得我们高中学校挺好的，洗菜切菜的地方就在我们就餐区旁边，整个过程都能看到,0,2019-09-13 12:51,2
@YYYYYY蕾呀,,能不能让咱泰安因为点好事上热搜啊,0,2019-09-13 12:51,1
@我是你的柠小檬呀,,中国永远是这样，出现问题罚点钱就能拍平了，底线到底在哪里？,0,2019-09-13 12:50,1
@嗨请叫我女王大人,,10万太少了吧,0,2019-09-13 12:50,2
@嗨请叫我女王大人,,10万,0,2019-09-13 12:50,2
@今天起我要变淑女,,给老师吃的？？,0,2019-09-13 12:49,1
@浩th,,我看见的是拘留10日???打字员打错了吧,0,2019-09-13 12:49,1
@辰焱99,,谁来关心下吃了这些饭的孩子？,0,2019-09-13 12:49,1
@牛牛的牛好牛,,给老师吃的？老师吃死就应该么？,0,2019-09-13 12:48,1
@katieqiqi,,下雨潮湿了，两天就发霉，所以当天买新鲜的吃,0,2019-09-13 12:48,1
@月月_小仙女,,中国的法律制度都是一群垃圾制定的,0,2019-09-13 12:48,1
@文巷爱吃鱼的小词,,相关人员是谁？,0,2019-09-13 12:47,1
@纳兹fairy,,厉害了，这能不知道,0,2019-09-13 12:47,1
@EEn-6-,,这件事情上骂学校骂校长正常的 那些评论里骂国家的是怎么回事？还觉得自己理直气壮 太得寸进尺了吧？,0,2019-09-13 12:46,1
@朝尘流年,,知错就改，善莫大焉，学校就是这么给孩子树榜样的吗？？？,0,2019-09-13 12:46,1
@傲雪梅许向物华,,老是：……,0,2019-09-13 12:46,1
@摩西摩西摩西西,,罚什么款，直接关了以后取消办园资格,0,2019-09-13 12:46,1
@vali的毛绒,,好事不出门，坏事传千里！咱们能不能别给泰安抹黑了！,0,2019-09-13 12:45,1
@神不爱我了,,效率还挺高。我还以为园方又要狡辩几周然后不了了之,0,2019-09-13 12:44,1
@摇曳落日辉7,,对任何人都不应该吧，这是变质的，人不能吃的。,0,2019-09-13 12:44,1
