User,Reter,Comment,Votes,Time,Count
@矛盾的同一性和特征性,,我夏天穿小裙子时候在路上走，后面有两个男生在说什么，我以为在夸我，然后我仔细听，听清了一句：我也想穿小裙子...,17505,2019-09-12 12:43,1
@ijsggdndjdhn,,我有次去上课 准备坐下去之前和帅男孩对视了 我当时不知所措准备抬手打招呼 结果我同学一不小心撞了我胳膊一下 我的手指就戳进鼻孔了,17800,2019-09-12 13:19,1
@野原馅之助,,跟一个男生第一次约会吃饭，为了女神形象特地穿了雪白的连衣裙，结果吃完饭站起来大姨妈漏到裙子上一大块,13102,2019-09-12 13:00,1
@我就随便叫叫你,,让开 让开 你们这都不算啥  教室在一楼 下课后站在窗户边  一个蛮喜欢的男生走过来 冲我笑了一下 表示好感 我也笑了 然后 两股热流喷涌而下 流鼻血了……你们知道男生的表情嘛,8901,2019-09-12 13:45,1
@元气少女l蛋姑娘,,高中时候冬天路面结冰 我下台阶的时候滑倒了 在当时喜欢的男孩子面前（回想起来都要窒息了）,8442,2019-09-12 12:46,1
@我的ID叫西西,,初中还是小学的时候，几个男生围在一起小便(在户外玩)我以为他们在讲悄悄话，就跑过去看，然后,8548,2019-09-12 13:15,1
@--来-日-方-长--,,和相亲对象吃饭算吗，不知道为什么我冒出一句：你知道为什么我不带框架眼镜吗？因为它阻挡了我的美貌，然后就是长达10分钟的静寂，全程尬聊,3936,2019-09-12 14:44,2
@小象太鲨了吧,,抠鼻屎的时候抬头和他四目相对,3758,2019-09-12 13:01,1
@蟑螂恶霸VRX,,我在人家家里拉屎（我实在憋不住了不然我也不想）结果把人家马桶拉堵了 家里还没搋子 没办法只能和他说了 我们俩下楼买了搋子 他还坚持他来通,3665,2019-09-12 17:40,1
@我一定要带吗x4,,我跟初中同学看电影…转头跟他说啥来着，一转头亲人脸上了,2662,2019-09-12 13:18,1
@不好意思已有女友白筱诗,,拍室友屁股被女朋友看到,2263,2019-09-12 13:12,1
@一团软棉花,,高中下课 接水路过隔壁班 平地把自己绊倒！！！跪了下去 下课期间 全场惊愕,1724,2019-09-12 15:14,1
@三岛木木,,在食堂吃饭的时候，他的饭盒在我坐的桌子抽屉里。那男生弯腰拿饭盒，我愣了一下，直接把饭捂住（我以为他要抢饭）。他也愣了一下，抬头看我，我低头。。。我俩尴尬,1687,2019-09-12 14:57,2
@诱瞳pupli,,下课 男生打闹不小心碰到了我 我条件反射就给了他一巴掌 打脸上了,1631,2019-09-12 13:27,1
@吃小熊饼干吧唧吧唧,,我有一次跟姐妹并肩走路，感觉我俩手蹭来蹭去，我就反手牵住她手，转头一看是个男孩子，姐妹在我后面走路。,1642,2019-09-12 15:44,1
@瘦二十斤好吗,,和喜欢的男生吃烤肉，他说喝点啤酒吧，我端起桌上接油的杯子就一口喝了。。。,1570,2019-09-12 16:14,1
@野生烟囱儿,,和刚认识的朋友一起坐地铁，结果突然紧急停车，我一个没站稳，手直接穿过了玻璃隔板和扶杆之间的那个空隙，稳稳摁住这颗脑袋....... 评论配图,2128,2019-09-12 13:31,1
@吃饭会变胖吗,,好久之前的 ，去溜冰场遛冰然后被一个男孩子撞倒了，他和他朋友一起过来扶我，拽了半天没把我拉起来,1458,2019-09-12 13:20,1
@howfunn,,理发 坐着  膝盖不小心撞到理发师的那啥（男） 一开始我没反应过来 是他 顿了一下 我？ 他… 我…,1050,2019-09-12 13:46,1
@吧唧大口七,,就今天。。。。 评论配图,1074,2019-09-12 15:01,1
@新月aux,,高中的时候，和现在的老公一起爬楼梯，因为我穿得跟个球一样，没看到脚下的台阶，就摔倒还滑了两个台阶。当时，气氛好尴尬，我就趴那不动了几秒，然后他就直接把我抱起来来了,1011,2019-09-12 17:12,1
@吻姐,,和刚谈了几天的对象散步，走路的时候大姨妈留到了脚踝,1195,2019-09-12 17:39,1
@一个没有情绪的皮,,那大概就是和异性朋友去吃海底捞被误认为情侣然后送了果盘还祝我们幸福吧,942,2019-09-12 15:37,1
