User,Reter,Comment,Votes,Time,Count
@像一只五十二赫兹的鲸鱼,,了解一下朱正廷帅哥快要出的mini专吧,825,2019-09-13 11:35,1
@MollyLee茉莉,,我就喜欢朱正廷,725,2019-09-13 11:34,1
@kikidu的亲女儿,,朱正廷mini专了解一下 评论配图,654,2019-09-13 11:41,1
@小北的黑猫,,看看帅哥mini专吧,520,2019-09-13 11:34,1
@小豹同学今天睡好觉了吗,,朱正廷好康！,425,2019-09-13 11:33,1
@Sally沙粒儿2862,,正正要出新专了哦 了解一下,119,2019-09-13 11:35,1
@Louise仙囡,,可爱不 评论配图,95,2019-09-13 11:43,2
@珍珠糖LX,,看帅哥了期待mini专,60,2019-09-13 11:46,2
@大觞光,,了解一下朱正廷的mini专吧！,40,2019-09-13 11:45,1
@是朱廷女孩997,,了解一下朱正廷帅哥快要出的mini专吧,34,2019-09-13 11:48,1
@知世雪兔·陪少年走到巅峰,,朱正廷超好看就对啦,26,2019-09-13 12:03,1
@脾气差差的不可心,,期待mini专！！！！,24,2019-09-13 11:45,2
@_一米薏米,,期待【朱正廷】即将发布的个人【mini音乐专】以及每周五22点江苏卫视&amp;优酷同步更新的《我们恋爱吧》 评论配图,17,2019-09-13 12:10,1
@龙战纹,,朱正延，真的好帅，谁有同款男友,16,2019-09-13 11:33,3
@厚蛋蛋蛋包饭,,期待朱正廷的mini专,16,2019-09-13 11:47,2
@珍珠糖LX,,朱正廷好帅,19,2019-09-13 11:48,2
@氤氲Elaine,,朱正廷mini专,16,2019-09-13 11:50,1
@小廷没有软糖,,期待朱正廷的mini 专 评论配图,13,2019-09-13 11:47,1
@请不要叫我宇宙无敌CallMeEvaPlz,,期待朱正廷首张mini专ChapterZ！！！ 评论配图,12,2019-09-13 11:47,1
@理工科小姐姐,,朱正廷我可以,10,2019-09-13 11:47,1
@秋最后一片落叶87434,,期待正正的迷你专,11,2019-09-13 11:45,1
@我叫鱼姑娘,,只有我觉得他们俩很丑吗，快回来，带着坤坤一起去做个头发,2,2019-09-13 11:31,4
@郑爽张恒今天分手没有,,林彦俊还可以，比较酷，但是朱正廷太娘了吧,7,2019-09-13 11:33,1
@山茶吗,,只有我一个人觉得朱正廷毫无实力,2,2019-09-13 12:47,6
@承包小八,,看下帅哥mini专吧,7,2019-09-13 11:46,1
@爱上蓅矢你的筱-THEO,,朱正廷太帅了,7,2019-09-13 11:46,1
