User,Reter,Comment,Votes,Time,Count
@今天的晚安呢,,科比:这些年轻人打的是啥呀，拿我球衣来!,839,2019-09-13 16:50,16
@丨教丨授丨,,唠嗑:看不下去了给我找件球衣我来！,475,2019-09-13 16:53,1
@啊啊啊啊啊啊啊啊200412,,我看的时候还寻思这人这么像科比呢,349,2019-09-13 16:48,1
@云浩gg,,科比：美国队，别以为....？美国队呢？,230,2019-09-13 16:57,1
@依旧超越,,还是那么帅,185,2019-09-13 16:54,1
@顾时惜朝,,西班牙加油，打败坏袋鼠,93,2019-09-13 16:57,1
@扎伊尔韦德-ZaireWade,,唠嗑：看得我索然无味…,53,2019-09-13 17:15,2
@meloverson,,看到啦，好帅呀,19,2019-09-13 16:51,1
@一昧小仙xian,,科比最帅，这应该没问题吧？,32,2019-09-13 16:40,3
@佳seagull,,唠嗑又帅了,9,2019-09-13 17:04,1
@凉粉朵哥,,我科当时估计很是发懵 哈哈 ,8,2019-09-13 17:26,2
@ihatesilverlu,,这个尼哥是谁啊?专门给镜头，会打篮球不???,14,2019-09-13 17:07,1
@素履之往心木,,还是一幅吊吊的样子哈哈哈,4,2019-09-13 17:31,1
@金芭比的妹妹金芭熙,,镜头切到他的时候观众一顿欢呼,11,2019-09-13 17:07,1
@Klaycc,,我天还是他妈的这么帅,5,2019-09-13 17:36,1
@Stephenzhang30tyh,,唠嗑：你知道我想说啥,5,2019-09-13 17:34,2
@烂笔头不如好笔头,,这个胖子懂球?,7,2019-09-13 17:36,1
@e碗米饭,,！！！！？？看直播的我 没看到,5,2019-09-13 16:52,1
@-爱科比的疯子William,,蜗壳好帅！,4,2019-09-13 16:56,1
@-蔡宇晨,,这届世界杯是啥啊！把我的艾弗森韦德加内特叫来！,2,2019-09-13 17:05,1
@LL忆辞,,看到老科在，特意去看了这场比赛。,1,2019-09-13 18:16,1
@i冰资宙,,科比：我去北京接机美国队的，没想到他们留在东莞了,5,2019-09-13 17:04,1
@拂晓日昳,,居然没去看这场，血亏,1,2019-09-13 17:02,1
@师大地狱周,,不热吗,1,2019-09-13 16:56,1
@heureughj,,帅死啦,1,2019-09-13 17:03,1
@_jaexxxx_,,#科比现场观赛# 嗷嗷嗷帅老科,0,2019-09-13 18:29,1
@卖萌的可乐柒翅,,呜呜呜呜想他想他,1,2019-09-13 18:26,2
@她叫椰子壳壳,,猜猜他支持谁呢？,1,2019-09-13 17:40,1
@要醉的清醒77,,澳大利亚是真的脏！ 小动作不断,1,2019-09-13 17:35,2
@Bigoted-涛涛,,@-HuYueBaobei 真叫个帅,1,2019-09-13 17:22,1
