User,Reter,Comment,Votes,Time,Count
@中国摇滚帮,,新裤子：有没有贝斯我们一样的演,66,2019-10-11 22:04,1
@打不死的小强0507,,新裤子这么大的乐队，怎么一半都是兼职呢？,59,2019-10-11 22:09,1
@大山什么都不想,,梦姐吧，南京那次梦姐就没来,3,2019-10-12 08:20,1
@不愿透露姓氏的姚女士,,闪星 吉他solo 贝斯solo 鼓solo 结束演出,9,2019-10-11 22:18,1
@Galagiegie,,,3,2019-10-11 22:39,1
@张帅senior,,为此我正在研发一种 瞬移的机器 给梦姐，快成功了,8,2019-10-12 08:27,1
@世间的避难所,,肯定却裤子啊 闪星没主唱那不成后摇了吗  裤子的歌都演够够的了吧,5,2019-10-12 00:42,1
@Linzinger,,俩都不去,5,2019-10-11 23:24,1
@X不知道Y,,闪星缺主唱那可太骚,9,2019-10-11 22:05,1
@我傷心欲絕,,哈哈哈哈哈哈,1,2019-10-11 22:30,1
@Concesser,,厦门草莓新裤子的宣传图上没有梦姐  估计就去闪星了,5,2019-10-11 22:09,1
@明天也是个小朋友,,这图不是已经说明了一切？,5,2019-10-11 23:38,1
@海島語錄,,@MAOO魔王 兄弟你去替赵梦吗,0,2019-10-12 09:38,1
@被纳威附身的Joker,,不可以缺绿野哦～（因为我买了绿野盲鸟,4,2019-10-11 23:49,1
@废裂锣,,这不给留了半个小时的移动时间嘛,3,2019-10-12 08:20,1
@小破湖啊,,昆明草莓也是，哈丫头不去，应该还是找徐彪,3,2019-10-11 22:39,1
@偉_LZW,,其实现在梦姐真没必要去裤子,2,2019-10-12 01:17,2
@花哥的小跟班,,咪豆的时候赵梦就没来啊,2,2019-10-11 22:18,1
@美好的事可不可以發生在三百身上,,缺不了主唱,2,2019-10-11 22:04,1
@水水水洋,,半小时，打车过去够吗,0,2019-10-11 23:37,1
@J姚婧妍,,感觉草莓看不到梦姐了，上回咪豆梦姐也不在。闪星主唱得在啊，好像其他没有能代替梦姐主唱位的。,1,2019-10-11 23:01,1
@minyellow,,那当然是闪星缺主唱拉,1,2019-10-11 22:06,1
@AWM狙,,当然是缺新裤子啊，闪星缺了主唱还怎么演,0,2019-10-21 10:12,2
@霓虹甜心郭德纲,,哈哈哈当然来绿野,0,2019-10-15 23:50,2
@-果冻帝国,,不去新裤子 摩登官微那个宣传图就没有梦姐,0,2019-10-12 09:34,1
@做个笑话,,绿野,0,2019-10-12 07:50,1
@花园哥不做理想主义青年,,我猜梦洁应该缺席新裤子,0,2019-10-12 07:13,1
@你好夏千绘,,害 难受,0,2019-10-11 23:25,1
@Better少年英,,梦姐会瞬移 ，不耽误事,1,2019-10-12 11:44,1
@leeejf,,after party咋办,1,2019-10-11 22:12,1
@少女与猫waw,,绝对草莓啊,0,2019-10-16 17:55,2
@红山根老李,,估计缺席裤子,0,2019-10-13 17:01,2
@阿x超人,,哈哈哈哈哈哈哈哈太好笑了//@石春天学长:闪星缺赵梦玩后摇？,0,2019-10-13 13:44,2
@姜二狗先生和卑鄙的中年人,,草莓这是什么鬼阵容,0,2019-10-13 06:57,2
@巨齿鲨的世界,,闪星没她了歌如何唱？,0,2019-10-12 13:40,2
@lllll4hua,,直升机？,0,2019-10-12 12:04,1
@sophie922,,主唱不能放伴奏,0,2019-10-12 11:30,1
@萬事不能廢青招待所,,我看看谁敢搞搞贝斯手玩笑,0,2019-10-12 06:49,1
@卡夫卡不旅行,,那肯定缺新裤子啊，新裤子可以没有贝斯，但是闪星不能没主唱啊,0,2019-10-12 01:34,1
