User,Reter,Comment,Votes,Time,Count
@温柔种茧,,刘德华之前就被杨丽娟搞得抑郁了，对于疯狂粉丝他都小心翼翼,8488,2019-09-16 08:03,2
@非著名宅男频道,,女的是主播之类的，炒作自己吧,2438,2019-09-16 08:05,1
@千黛汐Rebecca,,想到那个杨丽娟 因为疯狂迷恋刘德华把自己搞的家破人亡还不死心 真的好可怕 能不能理智追星,1638,2019-09-16 08:11,8
@Asia丶妍妍-,,还要哄着粉丝，明星真不容易 粉丝脑残了吧 人家有老婆了,583,2019-09-16 08:02,1
@Mni1_,,你还差地藏一句对不起哟,284,2019-09-16 09:01,1
@千黛汐Rebecca,,太疯狂了 刘德华都有妻子了还这样,377,2019-09-16 08:02,8
@贫困区杠精,,华仔，情商很高啊,217,2019-09-16 08:01,1
@樱花yu,,是不知道他已经结婚了吗？咋想的啊这粉丝,236,2019-09-16 08:02,1
@扑倒刘德华,,个别人行为，和粉丝群体无关。行为主体一直强调是真粉丝，是不是自己判断…刘先生的回应已经尽量礼貌幽默，跟粉丝之间的互动一向如此，不存在讨好脑残粉一说厚,176,2019-09-16 08:35,1
@烧烧烧烧烧烧肉粽,,华仔情商好高,54,2019-09-16 08:01,3
@过气废话博主,,华仔太暖了，认真听完，礼貌拒绝,38,2019-09-16 08:01,1
@搭配的日常,,刘德华早过了女友粉无脑的年纪了，粉丝年龄层也不会低龄，而且早就结婚有孩子了还有人不知道吗？所以这位目的是什么一目了然。,44,2019-09-16 09:10,24
@小长句bot,,刘德华真正的男神,38,2019-09-16 08:03,1
@你可以回头看我一眼吗,,华仔谁不爱呢,34,2019-09-16 08:01,5
@小李小李岂有此李,,我在现场，其实现场并不是媒体写的那样，大家理智点！人家也没有炒作~求放过！,23,2019-09-16 09:09,1
@小可爱扑捉一只,,情商很好的华仔鸭，爱辽,15,2019-09-16 08:04,8
@1989南乡书童,,天王把我们粉丝当家人啦……,14,2019-09-16 08:04,2
@春日出租,,明星好难,10,2019-09-16 08:03,2
@邊晨美倫美奐全視野,,谁不想和自己的偶像结婚啊？但凡有一粒花生米。。。,10,2019-09-16 09:20,1
@QSAQG,,我一直都觉得刘德华是一个很有教养，很有内涵的男人。和这种男人在一起果然会令人痴迷一辈子吧。无关容貌。,16,2019-09-16 10:00,1
@Agatha的笔,,情商高,7,2019-09-16 08:04,1
@限定沙雕,,刘德华,10,2019-09-16 08:44,1
@onlywangkarry,,人家结婚了还这样…,7,2019-09-16 08:01,1
@况且尘世嚣嚣,,我可以替刘德华,6,2019-09-16 08:01,1
@卡布奇诺_甜,,不老男神华仔 永远的偶像,7,2019-09-16 08:02,3
@爱我所爱-523,,服了！脑子是有多不正常！,2,2019-09-16 08:07,1
@德林斯,,暖心华仔,6,2019-09-16 08:01,1
