User,Reter,Comment,Votes,Time,Count
@Bonjour_LHasa,,吵架一时爽，,97,2019-09-16 16:58,1
@贰腻子,,都是单方面挨骂啊,50,2019-09-16 16:52,1
@辰安DAYTOY,,小时候吵架我妈一打我 我就跑,9,2019-09-16 17:11,4
@-奎家阿玖_,,有啊，太多了,7,2019-09-16 16:59,1
@执筆話情,,小时候都吵过,5,2019-09-16 17:03,6
@娴些,,吵架当时：我不要这个妈了我要换个妈我好难过啊我是最可怜的我想外公了 十分钟后：妈饭你做好了吗我要吃西兰花,14,2019-09-16 17:08,1
@小小小丢,,我妈脾气不好，经常都在吵,1,2019-09-16 17:04,1
@Bittersweettjh,,这热搜也太巧了吧！刚跟我妈吵完,1,2019-09-16 17:44,1
@是只爱老鹿的猴子,,没有“和”，只有她在吵,10,2019-09-16 17:03,1
@Cassiopeia-花花走花路,,无缘无故就骂我,1,2019-09-16 17:50,2
@熙熙熙啊哈哈哈,,吵，结婚后每年不超过两次，但是让我心塞的是现在变成了妈妈先服软来和好,5,2019-09-16 17:19,1
@一只兔崽汁,,不能算吵架吧，意见不和的时候会争论，跳过这个话题就没事了,0,2019-09-16 23:05,3
@倩呀-,,吵完平静后就会后悔，想打自己，为什么刚刚不控制下自己情绪,5,2019-09-16 17:22,1
@为起名字秃头,,吵完之后就类似冷战，感觉世界都安静了,0,2019-09-16 17:46,1
@脸红四岁,,我和妈妈都很容易哭，每次吵架过一会两人一哭就和好了哈哈哈哈,0,2019-09-16 17:40,1
@肖心源wy,,不吵架，但不知道怎么滴就经常冷战，莫名其妙，你看我不顺眼，我看你也不对，就懒得说话了,0,2019-09-16 17:38,1
@鹤归吟·,,经常吵啊，吵完我躲屋里，看谁先忍不住下楼或者上楼,3,2019-09-16 17:18,2
@魏橙晨V,,吵架？冷战就有,3,2019-09-16 17:04,1
@烟雨遥_Lin,,不怎么吵，但是，遇到不可调和的原则性问题，已经慢慢走远了。,2,2019-09-16 17:14,1
@mooni小熊饼干,,意见不统一就会吵啊……比如她觉得我抑郁就是自己不放过自己……,2,2019-09-16 17:09,1
@鹿先生家的杨小姐,,每次吵完之后，就是会特别后悔，觉得自己为什么要和妈妈生气，可是等到下一次吵架来临的时候又忍不住,1,2019-09-16 16:58,1
@萨尔茨堡的盐矿主,,还有没吵过架的父母与子女？,2,2019-09-16 16:57,1
@我是小哇鸭,,每天被大声的训斥的有吗？,0,2019-10-02 21:46,3
@无所谓老去的某某微,,生宝宝之后我妈妈帮忙我来带宝宝，唉，原本从小也没太多在一起生活，所以平时感觉很相爱的一家人，天天生活在一起之后就开始因为带宝宝的鸡毛蒜皮吵吵，但是不影响感情，就是每次吵吵的挺烦躁，不想伤害彼此，但是每次2个都要莫名其妙吵起来，也是服了，唉,0,2019-09-17 00:50,3
@小炸毛的夫君46787,,偶尔~~大多数心情不好压力大自己在一旁和自己生气，然后我麻麻各种哄我买雪糕什么的,0,2019-09-16 18:04,3
@李池河cross,,就是最近两年才吵的 因为单身，天天让相亲心累,0,2019-09-16 17:59,3
@美猪妮-,,好像没被打过！可能从小太乖太独立了～我妹已经够她烦了！我只能尽量不惹她生气就ok了～我也不是那种说啥是啥的乖乖女～偶尔泽反击几次最后还是我硬着头皮主动说话或者隔天就自动好的那种,0,2019-09-16 17:53,3
@伊莎贝拉的宝库,,我觉得不论是吵还是闹，都是活生生的生活，当斯人已去，怕是再也没有吵的机会了,0,2019-09-16 17:50,3
@薛之谦的丝儿,,有时候俩人在争辩一件事  后来对方的语气都不好了  然后就冷战了  冷战真的很不舒服 她早上不叫我起床  吃饭的时候也不叫我  我爸就说为什么不叫我怎么怎么的  我妈就说爱叫自己去叫  可委屈了,0,2019-09-16 17:49,1
@距离一米六两厘米,,不敢回，不然回一句点燃炸弹,0,2019-09-16 17:49,1
@他的江南小水鬼,,反正就是我妈在客厅哭，我在屋里哭,0,2019-09-16 17:48,1
@王月半子x,,没吵过。。。主要是我和爸爸妈妈很少交流，我又是个不爱说话的人,0,2019-09-16 17:48,1
@诗诗小Beauty,,我那不算吵吧！顶多拌一两句嘴 不敢多 怂的一匹,0,2019-09-16 17:46,1
@M-Stefanie,,吵完之后我的OS:她怎么还不来哄我，妈妈我错了你快来哄我。,0,2019-09-16 17:44,1
@cpop奥特曼,,跟我妈屁股后面叫活菩萨好妈妈,0,2019-09-16 17:44,1
@好喜欢小乖呀,,这是一个女生独有的话题，做一个男孩子，我妈从不跟我吵架：“孩儿他爸，上”,0,2019-09-16 17:43,1
@M公主傅,,才吵完 气死我了,0,2019-09-16 17:41,1
@灿若星辰桃花灼灼,,天天吵,0,2019-09-16 17:41,1
@种草小酷,,我妈就是那种 一口气 把骂你的话都说完，然后，，，到我说的时候，她就会说，我一说了，你就不听，给我扯着扯那的，我是为你好 谁还害你啊。。。不要给我废话。。。然后 就表现出 不愿意听我讲话的样子,0,2019-09-16 17:40,1
@半藏吉野,,我经常吵我妈妈，她很少反驳，每次吵架，我都会哭的泪流满面，她再反过来安慰我。在我眼里她就是我的宝贝，我也是她唯一信赖的人，我们相处起来更像朋友。,0,2019-09-16 17:39,1
@林小钱l,,小时候每天一小吵 三天一大吵,0,2019-09-16 17:38,1
@ZJ星星_,,中秋在家刚吵完  屁大点事,0,2019-09-16 17:37,1
