User,Reter,Comment,Votes,Time,Count
@春日出租,,私生饭真的很讨厌啊。。。姐好刚,2732,2019-09-16 19:01,2
@SUN-憧憬,,私生粉不能算粉丝了,1921,2019-09-16 19:01,1
@蜜桃味星冰乐,,私生饭知道偶像有多讨厌他们了吧…,1566,2019-09-16 19:02,2
@神奈川天才樱木花道,,私生饭不是粉丝,936,2019-09-16 19:01,2
@金主哥,,私生饭真的可恶，必须严惩,398,2019-09-16 19:01,1
@流水村瀑儿,,私生粉大多都是为了赚钱的跟拍吧。。。,362,2019-09-16 19:09,7
@夏日牛怪,,请理智追星,260,2019-09-16 19:01,1
@薇拉的小小酥,,震惊，杨丞琳还有私生饭？,230,2019-09-16 19:12,1
@黑粉黑子,,杨丞琳连粉丝都没有的18线，还能有私生吗？,132,2019-09-16 19:16,1
@跑步课本007s,,刚看完《心动的信号》，丞琳真是爱情侦探！,111,2019-09-16 19:01,7
@萌萌要加油吖,,私生饭不是饭，支持杨丞琳,69,2019-09-16 19:06,4
@乐橙侨侨,,姐姐要保护好自己呀[加油] 期待《青春住了谁》全球巡回演唱会,67,2019-09-16 19:21,1
@千黛汐Rebecca,,想到前几天李现发文斥私生侵犯隐私 还有之前肖战被私生搞的没办法 只能逃跑 还被私生夹车门 真的醉了 私生能不能做个人？,36,2019-09-16 19:28,8
@Rainie_婕,,理智追星 关注作品 评论配图,40,2019-09-16 19:16,1
@热短句bot,,追星没必要去干涉明星的私生活 关注作品不是更重要吗,25,2019-09-16 19:06,12
@LI-ZHUAN,,私生不是粉 一起来期待杨丞琳青春住了谁巡演吧 评论配图,27,2019-09-16 19:29,1
@一年修改两次昵称不行吗,,为啥？居然！竟然！还有人粉它？？？？,38,2019-09-16 19:08,1
@小熊饼干呜呜怪,,理智追星,24,2019-09-16 19:32,1
@或许今天你学习了吗,,私生饭看看吧，理性追星！,17,2019-09-16 19:01,1
@草莓甜心小伊伊,,送给私生 评论配图,5,2019-09-16 19:04,2
@一朵小宝宝要靠谱,,你自己说南京大屠杀才死那么点人的时候你有素质吗？我想看看，这里多少舔她的狗是南京的！！！,12,2019-09-16 20:39,1
@不改名珍妮酱,,我反到很喜欢张一山的说话,5,2019-09-16 19:42,1
@Chiliy__,,为什么我觉得这就是成名要接受的代价呢 要不就隐退呗,7,2019-09-16 21:03,1
@·灯尘·,,ss赶紧88叭，求你了,4,2019-09-16 19:04,1
@叽里呱啦啦啦的丹丹,,你不尊重大陆的时候，我同样也不尊重你，请你滚出大陆娱乐圈，不知道发生什么事情的请自行百度,11,2019-09-16 19:54,2
@L艺敏呀,,私生不是饭，多关注我们老杨的作品吧 评论配图,4,2019-09-16 21:26,1
@大豬蹄子寶貝大農,,我懷疑評論的一些人了啊，竟然幫私生講話????連私生飯都可以搞成政治議題？？？是多想找事黑,7,2019-09-16 19:23,1
@心笙情话,,对对对，我尊重你的前提是我们相互尊重和理解,6,2019-09-16 19:01,2
@羊羊羊羊羊腿羊,,跟踪可不是追星,4,2019-09-16 19:20,1
@意中无人只有玫瑰花,,ss该死（第二张的口红颜色真好看！！,3,2019-09-16 19:01,1
@Miss李小多,,坚决抵制私生！,1,2019-09-16 22:38,1
@庆非德已,,所以你们这群~嗯…只允许花钱养我'不许打扰我的生活！,6,2019-09-16 20:55,1
@君莫笑_Flghter,,必须严惩,1,2019-09-16 19:01,2
@还是喜欢你们的一天,,理智追星！抵制私生,1,2019-09-16 19:01,2
@一罐草莓奶糖,,抵制私生，理智追星,1,2019-09-16 19:01,1
@渣男侦探所,,私生饭真的可恶，必须严惩,1,2019-09-16 19:01,10
@LRainieL,,关注作品 ,3,2019-09-16 19:35,1
@吳庚霖的小米粒呀,,支持，私生真的很烦了,1,2019-09-16 19:02,2
@想要就买不合就分,,私生哪里是粉丝，自私自利不顾爱豆安全,1,2019-09-16 22:37,1
@鱼子酱是拿来看的不是拿来吃的,,私生不要加饭！,1,2019-09-16 22:09,1
@收甜分给你,,私生其实比我们平常默默支持偶像的人爱很多  他们只是爱的太多用错了方式  他们其实很爱自己的偶像  希望偶像们能够用合适的语言合适的方式来劝劝他们  如果他们打扰到你们了  他们一定可以适可而止的,2,2019-09-16 20:05,1
@巧尹fighting,,都忘了吗,10,2019-09-16 19:46,1
@张Mint0613,,私生不是粉，是变态,1,2019-09-16 19:38,1
@很酷的撩赫大神,,私生不是粉丝,1,2019-09-16 19:23,1
@十八巷,,我喜欢李荣浩，所以只能挺你,3,2019-09-16 19:12,1
@麻烦加块冰,,私生饭改个名吧,1,2019-09-16 19:03,2
@春日告白情書,,私生饭真的不是粉丝,1,2019-09-16 19:01,1
@落燕无影,,私生不是饭,0,2019-09-17 09:11,5
@予你余生1981,,明星也是人，也有自己的生活，私生饭真的很过分！,0,2019-09-17 07:11,1
@September-呀,,我觉得应该拿出手机拍照发到网上。让他们在欺负我们的爱豆。粉丝保护爱豆能力有限，希望经理人助理保护好爱豆们,0,2019-09-17 00:38,1
@LX锝小迷姐,,私生饭真的很不理智。坚决抵制,0,2019-09-16 23:30,1
@发财少女2019,,如果是张一山碰到私生饭会不会凶到他们不敢呀,0,2019-09-16 23:16,1
@就是喜欢xz和wyb吖,,离她们的作品近一点，离她们的生活远一点，再远一点吧,0,2019-09-16 23:07,1
@梨梨咔,,私生真的很讨厌,0,2019-09-16 22:49,1
@逃离乌托邦1994,,私生饭根本就不叫粉丝，所有粉丝都应当与私生饭划清界限,0,2019-09-16 22:27,3
@韩小毛的小小毛,,求p3口红色号,0,2019-09-16 22:24,1
@Kenixlove,,私生真的很過分,0,2019-09-16 22:19,1
@骑摩托追自行车,,再说一次！！私生必死……,0,2019-09-16 22:14,1
@药不然咱俩在一起吧,,私生不是粉丝了，是魔鬼,0,2019-09-16 22:05,1
@就喜欢康康鸭,,不管是哪家粉丝都要理智追星，明星也是普通人，换个角度想，谁愿意下班了还被人盯着不放,0,2019-09-16 21:56,1
@我的BabgGirl,,私生做个人，发过艺人吧,0,2019-09-16 21:49,1
