User,Reter,Comment,Votes,Time,Count
@上瘾,,没买的点赞我给你们买,8721,2019-09-17 00:51,1
@沙县小吃,,穷困潦倒的我只能看Mv,2370,2019-09-17 00:55,1
@Y貌美如花的小瓢虫,,想买的时候一直买不上 然后去微博看了mv觉得不是很好听就没买,2059,2019-09-17 07:46,1
@心愿叔叔,,林俊杰哭晕在厕所：我陪你喝奶茶，你居然找阿信！！！,1665,2019-09-17 00:51,1
@沙雕专属,,买了，一块给杰伦，一块给阿信，一块给方文山，值了,933,2019-09-17 01:01,1
@洪叶daisy,,,771,2019-09-17 01:57,2
@山茶吗,,只有我一个人认为周杰伦唱歌难听吗,332,2019-09-17 00:58,8
@在消极无望的夜里思念你的是我,,听说不好听,278,2019-09-17 00:58,1
@孤单单的小怪兽,,本来想买，微博听了mv，不咋好听。就没买,193,2019-09-17 08:11,1
@目标长到163cm,,没钱买,67,2019-09-17 00:55,1
@肖宁,,没买，我批发的,100,2019-09-17 00:53,12
@叛逆行为艺术,,图片评论 评论配图,47,2019-09-17 00:51,6
@易水秋寒_STAR,,周杰伦手机支付宝可能话都来不及说完整，只听到支支支支支支支支支,50,2019-09-17 09:28,4
@idol小猪哥家的狗吹,,文山一块，我一块  阿信一块。我一块,42,2019-09-17 07:56,1
@Eumiwha,,我多买了，要听的送你啊,27,2019-09-17 08:15,2
@MikeLeezzz,,我买了100张！ 评论配图,29,2019-09-17 10:13,1
@好想被迪丽热巴强奸啊,,一看到三块钱我预售就买了！！！,35,2019-09-17 00:55,1
@潮流依旧,,伦伦数钱的整晚：我一块 文山一块 阿信一块 嘿嘿嘿,21,2019-09-17 08:44,13
@孙豆干-_,,微博可以听干嘛要买,17,2019-09-17 07:38,1
@Aries_亮13,,杰伦的手机估计从早到晚一直在响“支付宝到账，3元”,18,2019-09-17 07:57,1
@陈印岚,,一块钱给方文山，一块给周杰伦，一块给阿信，三块钱刚好,18,2019-09-17 07:52,14
@我是真的真的真的我Rebecca,,说实话，感觉不出这首歌的特别之处在哪里，但是我听了两遍以后不论在哪都能想到这首歌的旋律，，可能这就是它的特别之处吧！,10,2019-09-17 08:35,1
@飛爆骨,,第一遍，小失望！再听几遍，越来越有感觉！再听，感触来了。。。。。。。,8,2019-09-17 08:50,1
@EmmaChen-_-,,看了mv觉得一般没买,9,2019-09-17 12:01,1
