User,Reter,Comment,Votes,Time,Count
@委婉而不可爱,,这个被罚的先生能说出他的联系方式吗？有点事找他,30,2019-09-16 21:18,1
@青橙子和红橙子,,自己偷东西还有理了？,23,2019-09-16 21:35,1
@一粟Sue,,咋这么不要脸……,13,2019-09-16 21:27,1
@爱之幻乐小鸟,,我们怎么看重要么，法院怎么说怎么算呗，这个事本来就是双方都有过错，但是以暴制暴显然不对，然后他以暴制暴了，难道你一开始犯的错就重置了么，显然不是，所以该怎么定责还是让执法者说了算，哪怕一个关3天一个关7天，嘛，有种在犯罪的道路上五十步笑百步的赶脚,4,2019-09-16 22:18,1
@上下相蒙,,小偷就是小偷，还要加引号注明顾客，上赏其盗下义其奸的社会又回来了,6,2019-09-17 08:14,2
@马猴药酒杏花酱,,可笑的是他毫无悔改之心,8,2019-09-16 21:50,1
@龍少綏逺,,傻瓜，看别人拿那是在钓鱼，重点是罚款,3,2019-09-16 21:34,1
@我想中个大奖呀,,,1,2019-09-16 21:18,1
@无奈很累925,,活该，谁叫你偷东西，你偷还有理了。我个人认为还该多罚点。叫你长点记性，免得你再偷。看别人偷，你就偷，怎么不说别人做好事，你也做。,2,2019-09-16 21:28,1
@小米在成都,,万能协商解决大法为什么失效了？,1,2019-09-16 22:00,1
@晓风警,,我参与了@成都商报 发起的投票【大润发被罚“顾客“回应#盗窃 这事你怎么看？】，我投给了“可笑，管理松竟成小偷借口”这个选项，你也快来表态吧~,0,2019-09-16 21:58,1
@KYIF,,别人偷你也偷？神逻辑？？？,1,2019-09-16 21:42,1
@---代---言---,,小偷啊  你这样说话  键盘侠饶不了你,0,2019-09-16 21:28,1
@4455an,,中国法制到底怎么了？,2,2019-09-16 22:48,3
@Yoo_SaSa,,看到别人拿自己就拿，这是什么道理？偷盗可是犯法的，超市无权私自处罚，但是法律有啊，想要回多罚的，要赔偿，可以，但在此之前也该先为自己的行为负相应的责任。,1,2019-09-16 22:37,1
@sky翱翔97548,,是不是别人偷你东西，退回去就没事了？那估计贼很喜欢你家,1,2019-09-17 10:11,2
@ppp22051261,,我参与了@成都商报 发起的投票【大润发被罚“顾客“回应#盗窃 这事你怎么看？】，我投给了“可笑，管理松竟成小偷借口”这个选项，你也快来表态吧~ 这是什么强盗理论,0,2019-09-17 10:06,2
@妳不但發光還反光,,脸在哪呢？？,0,2019-09-17 09:59,2
@樊南生咿呀咿呀哟,,同志们，这是用私行啊！这样下去只能使法律被践踏啊，你想想倘若一个女性偷东西被抓就可以被胁迫卖淫？,1,2019-09-17 09:59,2
@橘猫爱吃涮毛肚,,那就罚款500拘留15天如何,0,2019-09-17 09:55,2
@阙初雪,,？？？,0,2019-09-16 22:13,1
@青镜蹉跎,,有本事被抓的时候扛住了喊报警啊？,3,2019-09-16 21:31,1
@大快朵颐,,抛开违法不违法，怎么有脸偷了东西告诉别人,1,2019-09-17 09:51,2
@你都看到了什么,,报警说不定还能少罚点,3,2019-09-16 21:41,1
@sky翱翔97548,,是不是别人偷你东西，退回去就没事了？那估计贼很喜欢你家,1,2019-09-17 10:11,2
@ppp22051261,,我参与了@成都商报 发起的投票【大润发被罚“顾客“回应#盗窃 这事你怎么看？】，我投给了“可笑，管理松竟成小偷借口”这个选项，你也快来表态吧~ 这是什么强盗理论,0,2019-09-17 10:06,2
@妳不但發光還反光,,脸在哪呢？？,0,2019-09-17 09:59,2
@樊南生咿呀咿呀哟,,同志们，这是用私行啊！这样下去只能使法律被践踏啊，你想想倘若一个女性偷东西被抓就可以被胁迫卖淫？,1,2019-09-17 09:59,2
@橘猫爱吃涮毛肚,,那就罚款500拘留15天如何,0,2019-09-17 09:55,2
@大快朵颐,,抛开违法不违法，怎么有脸偷了东西告诉别人,1,2019-09-17 09:51,2
@上下相蒙,,小偷就是小偷，还要加引号注明顾客，上赏其盗下义其奸的社会又回来了,6,2019-09-17 08:14,2
@4455an,,中国法制到底怎么了？,2,2019-09-16 22:48,3
