User,Reter,Comment,Votes,Time,Count
@一颗柚子味的呆檬,,很负责任地说，完全不一样,327,2019-09-18 15:12,1
@一点点的小愿望一点点去实现哦,,我有同款中国风,24,2019-09-18 14:55,1
@六月是巴托里夫人饮我血,,第四支是谁 还有第七支 想要色号,9,2019-09-18 15:30,1
@夏老师的红姐,,最近超级想买ysl的小金条21号色,7,2019-09-18 15:56,1
@读书少女小邓老师,,看起来很不一样   涂起来就差不多了,16,2019-09-18 16:22,1
@Maaaaayo哎嘛呀,,请问这个是什么色号？ 好好看！！！ 评论配图,1,2019-09-18 19:03,1
@是Fufu吖,,嗯都不一样,0,2019-09-18 15:55,1
@Haterina,,都不一样啊，认真脸,3,2019-09-18 14:56,1
@久时与,,是啊,2,2019-09-18 14:55,1
@eva2011forever,,1和5是什么牌子色号呢,0,2019-09-18 22:23,1
@Kaseicyan,,想要从下数第二个芭比粉,0,2019-09-18 19:52,2
@Wendy_熏,,3 5求推荐,0,2019-09-18 19:51,1
@长翅膀的豆包仔_哇ya,,,0,2019-09-18 15:27,1
@妃儿鹿鹿dd,,,0,2019-09-18 15:17,1
@轻舟舟-,,五颜六色 评论配图,0,2019-09-18 22:29,1
@老爷们娜塔拉,,认真的说就是不一样,0,2019-09-18 15:40,1
@哇啊哇啊哇哇啊,,倒数第二个是什么色号？,0,2019-09-18 19:10,1
@毛怼怼什么时候盘我这样的人,,不打底上嘴就看不出区别,0,2019-09-18 19:07,1
@陈年奥利奥,,可以连连看,0,2019-09-18 18:51,1
@Ci-Ci-晨,,完全不一样好吗,0,2019-09-18 18:49,1
@易烊千玺的大金砖,,是的,0,2019-09-18 14:53,1
@小狗的花边裙,,是啊！区别大着呢！每一种心情一种颜色！每一套衣服一种颜色，所以口红要多点，没毛病,0,2019-09-18 15:39,1
@Cherish末初,,喜欢最后一个，求告知色号,0,2019-09-18 15:39,1
@萌六66,,真的不一样啊！不过我适合最后一个颜色，求色号哈！！！！,0,2019-09-18 15:42,1
@悲伤和肥胖,,,0,2019-11-11 16:27,3
@rmy非酋,,厉害了,0,2019-10-18 16:47,2
@予你一勺月光,,,0,2019-10-14 22:22,3
@哈喽你好啊蕊,,厉害了,0,2019-10-08 09:10,2
@小蘇師妹,,这个真的是完全不一样,0,2019-09-19 07:23,1
@小小个盒子,,当然不一样啊,0,2019-09-18 18:08,1
@爱黄涛涛呀,,顶,0,2019-09-20 15:02,2
@不上火的鱼雨余哪儿,,谁能告诉我都是啥色号的,0,2019-09-18 22:21,2
@我以为我爱的北哥也爱我,,真的不一样吗。。好几个太像了,0,2019-09-18 21:22,2
@茶源园yy,,每个颜色都是那么的喜欢,0,2019-09-18 15:41,1
@晓儿的春天,,男的觉得是一个色也就算了  居然还有女的觉得是一个色  假女人,0,2019-09-18 15:41,1
@宸宝贝儿226,,这颜色天壤之别，就算是直男也不能说都一样的,0,2019-09-18 15:40,1
@微弱的love光,,每个口红色号我都喜欢,0,2019-09-18 15:40,1
@爱黄涛涛呀,,全部都好喜欢呀啊啊啊,0,2019-09-18 15:40,2
@是娱小鱼呀,,所有色号来一波呀呀呀,0,2019-09-18 15:40,1
@沙雕网友在线刷屏,,颜色当然是不一样，不过都好好看,0,2019-09-18 15:39,1
@Cong丛大妞,,仔细认真的看了好几遍，是不一样的颜色,0,2019-09-18 15:39,1
@不问春宵,,分不清一和五，其他可,1,2019-09-18 22:05,1
@奶味晚霞,,不一样啊,0,2019-09-18 22:19,1
@阿廿二十二,,不一样啊,0,2019-09-18 22:09,1
@Sika_ya,,请问一下，1、3是什么颜色！！特想知道！,0,2019-09-18 21:59,1
@想m行天下的映希,,他们不一样,0,2019-09-18 21:42,1
@薇薇安de小海边,,很负责任的说，完全不一样,0,2019-09-18 21:32,1
@相比偶吧,,从上往下数第三个是什么牌子什么色号，好美！,0,2019-09-18 21:17,1
@暗杀香菜,,想问一下第三只！,0,2019-09-18 20:55,1
@衔尾之蛇96,,这颜色哪儿一样了,0,2019-09-18 20:54,1
@LlLl栗子LlLl,,阿玛尼是哪个？,0,2019-09-18 20:53,1
@姜衣699,,连连看,0,2019-09-18 20:52,1
@王肥肥的雨季,,全部不一样的色,0,2019-09-18 20:42,1
@不再那么热诚,,我买了许多豆沙色,0,2019-09-18 20:39,1
@Danina莫萌哒,,求从上往下数第3个色号，感觉很适合我,0,2019-09-18 20:36,1
@Sing娅芭,,我会想要第四和最后一个,0,2019-09-18 20:12,2
@Sing娅芭,,都不一样。。,0,2019-09-18 20:12,2
@--Wu呀吴,,上面第三支好好看，想知道色号,0,2019-09-18 20:09,1
@不喜糖糖糖糖,,emmm  感觉不一样，又感觉一样。,0,2019-09-18 19:56,1
@狐言晚语,,这个真的完全不一样,0,2019-09-18 19:56,1
@水晶小妇人,,就是不一样啊,0,2019-09-18 19:49,1
@莜媆,,这个有毒，怎么感觉全都是芭比粉,0,2019-09-18 19:49,1
@YeolOmrmr,,第3是什么哇！,0,2019-09-18 19:44,1
@煞晨曦,,第八个颜色,0,2019-09-18 19:43,1
@亲亲老攻,,不上嘴看看吗？搞个试色图吧，都好看,0,2019-09-18 19:32,1
@无聊的S小姐,,喜欢这一手的色系,0,2019-09-18 19:31,1
@城南萌事clear,,不一样啊，每个颜色都有不同的灵魂,0,2019-09-18 19:24,1
@我比流言蜚语更早认识你哇,,在手上千色，到嘴上一个色,0,2019-09-18 19:19,1
@欣奕就要BlingBling,,以后可以搞个口红色号连连看,0,2019-09-18 19:18,1
@你是在科学家,,涂在手臂上可能还能看出差别，上了嘴都是一个颜色,0,2019-09-18 19:15,1
@yiyyyyyao,,不一样是不一样,0,2019-09-18 19:07,1
@娇娇不知愁,,不一样,0,2019-09-18 19:05,1
@我只是个三花猫,,是真的不一样，差别很大,0,2019-09-18 19:02,1
@我我我是吕晨吖,,就是不一样的,0,2019-09-18 17:11,1
@守护我方维宝,,还是看的出差别的，口红也太多了吧,0,2019-09-18 15:43,1
@经天纬地航,,颜色都一样吗不一样吧，我室友说不一样，闺蜜说不一样，就连宿管也说不一样。就要不一样，定制专属美。,0,2019-09-18 15:42,1
@哎呀呀好气,,就是完全不一样的呀,0,2019-09-18 15:40,1
@娜娜就爱吃麻辣烫,,你是画家，想要五彩斑斓的世界,0,2019-09-18 15:40,1
@窝窝头噢,,是啊完完全全每个颜色都不一样 每个颜色都有每个颜色的特点,0,2019-09-18 15:40,1
@多多多乐乐乐,,对于男的来说，这颜色都是一样的，对于女生来说当然都不一样啦，每个色号配什么妆容，配什么衣服，出席什么场合，那都是有讲究的,0,2019-09-18 15:39,1
@Luck美妞,,没错，你不是一个人，这确实是颜色不一样！,0,2019-09-18 15:39,1
@小雨滴-滴滴滴,,确实不一样呀哈哈哈,0,2019-09-18 15:39,1
@悲伤和肥胖,,,0,2019-11-11 16:27,3
@悲伤和肥胖,,,0,2019-11-11 16:27,3
@rmy非酋,,厉害了,0,2019-10-18 16:47,2
@予你一勺月光,,,0,2019-10-14 22:22,3
@哈喽你好啊蕊,,厉害了,0,2019-10-08 09:10,2
