User,Reter,Comment,Votes,Time,Count
@一罐笑颜,,最帅的中国军人,1045,2019-09-18 15:31,4
@伯居易,,最帅的成人礼，长的帅的都是要上交国家的。,928,2019-09-18 15:34,4
@kitty小杯,,人民的子弟兵，祖国的骄傲！,492,2019-09-18 15:32,1
@123321123变,,,322,2019-09-18 15:32,6
@弱水三千只取一梨,,致敬中国军人,182,2019-09-18 15:33,1
@PotatoHarvester,,太帅了！,132,2019-09-18 15:32,1
@我是茶啊,,你守家！我守国！致敬军人！,108,2019-09-18 15:31,2
@海云仔,,男儿有泪不轻弹，只是未到伤心处,69,2019-09-18 15:30,1
@MinecraftAlex,,,9,2019-09-18 15:32,1
@请问H今天瘦了嘛,,看看这些人再想想那个认为大学军训太苦想退学的 军训的苦都吃不了将来社会的苦怎么办,8,2019-09-18 18:57,1
@林家丽梅,,最帅的成年礼，致敬中国军人,4,2019-09-18 18:29,1
@嫂家的明哥,,人民的子弟兵，祖国的骄傲！致敬中国军人。,4,2019-09-18 15:43,1
@沉迷橡皮章的秦歌,,这才是真正的偶像男团！,6,2019-09-18 15:35,1
@小蓝同学best,,中国最帅的人,4,2019-09-18 15:30,1
@直流水枪_,,其实当兵的时候看过父母，心里是无比心酸。,2,2019-09-19 08:36,1
@王得儿得儿的得儿,,最帅成人礼，向他们致敬,1,2019-09-18 19:45,2
@vin年少的你,,致敬,1,2019-09-18 19:15,4
@努力努力再努力deer,,最帅的人——中国军人,1,2019-09-18 18:36,2
@文艺小红娘,,眼泪真的含在眼睛里，他们是真的最帅的中国军人，致敬中国军人,1,2019-09-18 16:58,1
@小小糖姨姨,,坚毅的军人也有一颗柔软的心,3,2019-09-18 15:33,1
@最滁州,,太帅了！,1,2019-09-18 15:36,2
@淮南Emotion,,最帅的成年礼，致敬中国军人,2,2019-09-18 19:28,1
@我今天真好看_,,为他们骄傲，所有人,2,2019-09-18 19:11,3
@sheep小颖子32411,,真棒,1,2019-09-18 19:12,1
@阿呆茶酱,,好心疼我家兵哥哥,1,2019-09-18 18:36,1
@我想我是了,,卧槽，你还我眼泪，年纪大了就受不住这些场面,2,2019-09-18 18:30,1
@黑夜里的小小太阳,,岁月静好不过是有人替我们负重前行！,1,2019-09-18 18:24,1
@谢牛奶8,,干嘛一直惹人泪目,2,2019-09-18 16:01,1
@木大人律师,,这很酷，不是吗？,2,2019-09-18 15:37,1
@_欧okk,,！！！,1,2019-09-18 15:31,1
@Tick-biubiubiu,,致敬中国军人,0,2019-09-24 01:42,3
@如意小如懿,,,0,2019-09-19 14:33,1
@土星大人殿下,,最后几秒差点泪奔！ 突然想起昨晚都梦见国家最帅的男人们了，,0,2019-09-19 13:26,1
@佛心蛊,,转发微博,0,2019-09-19 01:28,1
@这有个奈惠子,,军人好辛苦，向他们致敬,0,2019-09-19 01:16,2
@木子李的李Wo,,人民的子弟兵，祖国的骄傲,0,2019-09-18 22:52,1
@飛知否,,真正的钢铁战士,0,2019-09-18 22:12,1
@Eric-Hon,,最帅的成年礼，致敬中国军人,0,2019-09-18 19:36,5
@娜娜牛姐姐,,最可爱的人就兵哥哥,0,2019-09-18 19:36,1
@苏砚砚,,明天入伍，加油,0,2019-09-18 19:35,1
@JIAO子耳,,骄傲！,0,2019-09-18 19:34,1
@candycanna,,感人,0,2019-09-18 19:33,2
