User,Reter,Comment,Votes,Time,Count
@列宁斯基,,钓鱼岛闹得最凶的时候，我们是强烈谴责，现在钓鱼岛巡航已经是常态化了。中印边境对峙，我们依然是强烈谴责，现在边境公路已经修好了。美国军舰进入南海岛礁十二海里时候，我们还是谴责，16年中国三大舰队和美国双航母战斗群南海对峙，战争一触即发，最后美军撤了。你只看到谴责，却看不到底下的动作！,814,2019-09-19 17:01,7
@列宁斯基,,香港废青闹这么久，对内地的影响力，还没有猪的影响力大！,294,2019-09-19 17:00,7
@黛桃隽兒,,美国为什么老是干涉别国内政！自己国家的美丽风景处理完了吗,150,2019-09-19 17:00,1
@WLP中华神盾170,,一千次抗议不如一如一次实际行动！,116,2019-09-19 17:05,1
@列宁斯基,,你永远滋不醒张嘴接尿的人,111,2019-09-19 17:00,7
@巍澜的居北·茶凉,,这么关注中国，怎地你美国没了？？？？,41,2019-09-19 17:00,1
@天蓝1112,,我看是嫌自己国家的美丽风景线太少了,41,2019-09-19 17:00,5
@木子欣-思,,美国是亡国了吧，天天来叨叨我国内政！,27,2019-09-19 17:01,1
@城墙之燕huang,,美国佬真是不知廉耻,28,2019-09-19 17:00,1
@帝都都督,,,16,2019-09-19 17:05,2
@as金碧辉煌,,说给别人听的，怎么做是做给敌人看的，中国敢发声谴责，就证明中国有实力干死你！大中国万岁！,13,2019-09-20 13:40,1
@灯婊,,那年911的风景也挺美的。。。,17,2019-09-19 17:12,1
@金馥力娇冫-__-,,别急，风物长宜放眼量。你做初一，我做十五。有美国人后悔的一天。,9,2019-09-19 17:08,1
@湖南高速警察,,#外交部敦促美方停止干预香港事务#,1,2019-09-19 17:48,2
@长白山太远愿星河在前,,反正我是记仇了 继续抵制美货,6,2019-09-19 17:23,1
@星座失忆症候群,,有些政客的手伸的实在是太长，橡皮筋做的吗？大家都知道橡皮筋伸太长要么断掉要么蹦回去打到自己！,6,2019-09-19 17:12,1
@严肃SS,,美国现在已经明着跟中国干了，我觉得咱们没必要说太多。说多了美国也不听，没用的,9,2019-09-19 17:01,1
@小五的故事199305,,支持外交部发言人,5,2019-09-19 18:19,6
@毛晨宇_Momo,,钓鱼岛闹得最凶的时候，我们是强烈谴责，现在钓鱼岛巡航已经是常态化了。中印边境对峙，我们依然是强烈谴责，现在边境公路已经修好了。美国军舰进入南海岛礁十二海里时候，我们还是谴责，16年中国三大舰队和美国双航母战斗群南海对峙，战争一触即发，最后美军撤了。你只看到谴责，却看不到底下的动作！,7,2019-09-19 17:39,1
@国王与墨墨公主,,佩洛西，你的鸡爪子也伸的太长了吧,4,2019-09-19 17:02,1
@你说呢不如,,美方请不要再当搅屎棍了,3,2019-09-19 17:23,1
@山海以北w,,不要让黄之峰入境,4,2019-09-19 17:14,1
@阅读手记,,香港事务纯属中国内政，不容任何外部势力干涉,3,2019-09-19 17:06,3
@圆子哎呀呀,,美国自己家的风景线处理完了？？？天天盯着我们干嘛,7,2019-09-19 17:03,1
@senopower,,美国是全世界的搅屎棍,3,2019-09-19 17:03,1
@金陈得,,这就是香港法院一而再再而三的放走黄之锋之类的后果，香港的司法必须要改革！,1,2019-09-19 18:16,1
@阳光淳影-,,//@圈地独白: 团结起来把美国干了，于是世界和平。,2,2019-09-19 17:58,2
@燃惜芳之缘,,外交部常用词就是，谴责，敦促，一贯…,5,2019-09-19 17:06,1
@这位幸运的宝宝,,,1,2019-09-19 22:15,4
@晨睿光电,,强化政府管辖权,2,2019-09-19 21:29,2
@晨睿光电,,收回香港的自治权，驱逐美大使！,2,2019-09-19 21:27,2
@01娜娜,,喜欢耿爽！ 觉得美国好像大势已去的感觉，总是挑拨别人关系来增加自己的地位，他错了，中国不再是以前，还是那句话，你谈判可以好好谈，你打可以奉陪到底！,2,2019-09-19 20:52,1
