User,Reter,Comment,Votes,Time,Count
@在红场的我,,哈哈哈哈哈哈哈哈哈白眼是精髓,169,2019-09-19 17:19,1
@依然年轻May,,最后那个白眼绝了,91,2019-09-19 17:18,1
@阿消全国粉丝后援会,,送给我我喜欢哈哈哈哈,41,2019-09-19 17:16,1
@鸡涌的八块腹肌,,送给我啊 我可以,37,2019-09-19 17:20,1
@貌似乖娃娃,,直男晚期,20,2019-09-19 17:19,1
@兔子爱着熊,,送什么不重要，重要的是我喜欢单眼皮男生,19,2019-09-19 17:18,1
@Miss丶迷离,,,6,2019-09-19 17:17,1
@星颖璃梦,,我也需要这样的男朋友,6,2019-09-19 17:19,1
@小愛糊塗,,“我是为了你安全”,6,2019-09-19 17:17,1
@雨后小青年,,怕是把厨房给点了,4,2019-09-19 17:20,1
@咸鱼姑娘ly,,这也太实用了吧,2,2019-09-19 17:17,1
@_長安有故里in,,我也需要这样的男朋友,3,2019-09-19 17:17,2
@南怀仁,,灭火器,2,2019-09-19 17:16,1
@樱小桃miu,,我也需要这样的男朋友,2,2019-09-19 17:16,1
@LI志英z,,送我啊，我喜欢这样直男男朋友,2,2019-09-19 17:18,1
@孤戾--,,在，为什么不送消防栓,2,2019-09-19 17:18,1
@相七帆,,,2,2019-09-19 17:17,1
@阿消会昌粉丝后援会,,,2,2019-09-19 17:16,1
@畅玩临沂,,炸厨房一把好手，，，,1,2019-09-19 17:17,1
@蓝-这颜色,,,1,2019-09-19 17:17,1
@ljslsljs,,眼神好评,1,2019-09-19 17:16,1
@李钟硕粉团团,,很不错的创意,2,2019-09-19 17:16,1
@潇洒杨最潇洒,,需要这样的人,0,2019-09-19 17:20,1
@今天主任进去了吗,,你没亲手教她怎么用，能不分手嘛,2,2019-09-19 17:18,1
@湫弦海,,哈哈哈哈哈最后的白眼真的非常到位,1,2019-09-19 17:16,1
@刘小然529,,哈哈哈，灭火器,1,2019-09-19 17:16,1
@湖南消防,,好别致的生日礼物,3,2019-09-19 22:29,1
@月半饼饼,,哈哈哈，也是没谁了,5,2019-09-19 17:15,2
@新疆消防,,#收过最钢铁直男的礼物# ,5,2019-09-19 17:32,1
@嘉兴消防,,很用心啊，为什么不喜欢,1,2019-09-19 18:41,1
@金山消防,,#收过最钢铁直男的礼物# 这礼物还不上心嘛,0,2019-09-19 17:35,1
@株洲消防,,#收过最钢铁直男的礼物#消防小哥为了女友很用心了～,0,2019-09-20 08:03,1
@肇庆消防,,#收过最钢铁直男的礼物#男朋友：没什么不对啊？,0,2019-09-19 17:25,1
@周小鑫_ing,,灭火器送我，我喜欢,2,2019-09-20 12:21,1
@小熊一只爱洲洲,,我不要灭火器，我要你,1,2019-09-23 07:58,1
@努力的菁菁,,哈哈哈，真的是，白眼无法忽视,1,2019-09-20 14:07,1
@嘉伦有情吾有意,,白眼我学到了,1,2019-09-20 10:35,4
@二梦是二梦,,哈哈哈可以！,1,2019-09-20 08:00,1
@xue阿歪,,是特别有意义，圆柱形的、红色的 女孩子最喜欢的,1,2019-09-19 19:25,1
@现在笑ing,,给我一个这样的男朋友,1,2019-09-19 18:19,2
@neko的小雨伞,,女朋友：我要的礼物是红色外壳，圆柱形 蓝朋友：好的明白,1,2019-09-19 17:22,2
@冬藏嘻嘻嘻,,我都铁粉了,2,2019-09-19 17:22,1
@男朋友是超级英雄,,哈哈哈哈,1,2019-09-19 17:21,1
@花花的世界花心得你,,@蓝人的人,1,2019-09-19 17:19,1
@OnlyAnnej,,钢铁侠直男,1,2019-09-19 17:37,1
@马尾松HPPS,,抽个水基灭火器吧，阿消,1,2019-09-19 17:18,1
@橡源秋雨,,转发微博,0,2019-12-11 00:01,4
@橡源秋雨,,哈哈哈哈,0,2019-12-11 00:01,4
@Still1Rise,,哦,0,2019-10-30 23:18,2
@诗书继世,,白眼？没看错是吧？,0,2019-10-07 16:04,2
@樱桃要吃肉丸子,,哈哈哈你中毒太深,0,2019-09-25 18:35,2
@我和我的酸奶,,给我吧，我不嫌弃，绝不闹分手,0,2019-09-22 16:27,1
@蜗牛的蓝白装,,送我吧,0,2019-09-22 13:54,1
@梨花树下雪,,单身狗一早看这个好么,0,2019-09-22 08:55,1
@我爱蓝天白云且行且珍惜,,灭火器没压住她的无名之火啊,0,2019-09-22 06:11,1
@诸葛卧婵,,哈哈哈哈哈，可长点儿心吧,0,2019-09-20 22:29,1
@Seoyeook,,哈哈哈哈哈我就猜到了送我吧虽然我还不会用,0,2019-09-20 15:35,1
@Joe星辰廷remain,,这个消防哥哥好帅哦,0,2019-09-20 13:01,1
@种花家的竹鼠,,消防哥哥好帅，我可以！,0,2019-09-20 10:47,1
@有一点可爱的Deniece,,送给我吧 我愿意！,0,2019-09-20 09:12,1
@今天也是想暴富暴美的我,,哈哈哈，为啥消防员送礼就送灭火器之类的,0,2019-09-20 08:59,1
@婧川允,,优秀！送我啊然后我灭了你,0,2019-09-20 08:22,1
@小柳锲子,,我喜欢 ！,0,2019-09-20 08:18,1
@只爱阳光777,,呃……好吧，你赢了,0,2019-09-20 08:06,1
@EVEN王果果,,啥？？emmmm，哈哈哈哈哈,0,2019-09-20 08:01,1
@草莓味的甜呀,,@没错就是大丹 阿消过分！,0,2019-09-20 07:45,1
@沧海一粟GY,,防患于未然，这个可以有！,0,2019-09-20 07:40,1
@李现的无姳指,,哈哈哈！这男盆友还能要嘛？,0,2019-09-20 07:31,1
@香儿jiemei,,硬核男友，哈哈,0,2019-09-20 07:28,1
@最丧心病狂的表白,,这是灭她的火还是灭自已的火,0,2019-09-19 23:32,1
@今天也特别可爱,,我就猜到是灭火器,0,2019-09-19 22:01,1
@聚核长风,,灭火器也是有用的，我自己都给家里面配了,0,2019-09-19 20:10,1
@静陌JIN流年,,翻白眼,0,2019-09-19 19:59,1
@康乃馨的妈妈,,白眼：活该你单身,0,2019-09-19 19:58,4
@康乃馨的妈妈,,送给我呀,0,2019-09-19 19:58,4
@宋日熙,,灭火毯好看,0,2019-09-19 19:57,1
@H_查理,,可以送我嘛,0,2019-09-19 19:02,1
@贝壳上的彩虹,,真钢铁,0,2019-09-19 18:46,2
@47集,,哈哈哈哈,0,2019-09-19 18:29,1
@-阿阿阿阿三,,@我本无恙啊 哈哈哈哈哈,0,2019-09-19 18:24,1
@昵称变一变,,火呢 燃起来了,0,2019-09-19 18:10,1
@风花雪月动人2015,,很有意义,0,2019-09-19 17:55,1
@名字不重要请看图非非,,我想去新疆了,0,2019-09-19 17:51,2
@STT-等迟到的你,,,0,2019-09-19 17:50,1
@就是不吃鱼的小猫M,,这个礼物满分，最后白眼，哈哈哈哈,0,2019-09-19 17:34,1
@百香果红橙西米露,,可以同色的口红,0,2019-09-19 17:31,1
@请叫我阿肖呀,,我也想要一个,0,2019-09-19 17:29,1
@旅行用的铜草帽能救火,,哈哈哈哈哈，灭火器送我吧，我不分手,0,2019-09-19 17:27,1
@柒鲤糊涂,,@念念·宛如不舍流年 ,0,2019-09-19 17:25,1
@sun晓娟子,,,0,2019-09-19 17:25,1
@小郝同志啊,,还真是灭火器,0,2019-09-19 17:23,1
@贵阳微博房产,,Q:送你个的东西，红色，实用的，S：口红？Q:???,0,2019-09-19 17:22,1
@Obsession_Hx,,这不是新疆消防嘛,0,2019-09-19 17:22,1
@是缪缪不是廖廖嘎,,我可以,0,2019-09-19 17:21,1
@柠萌小曲百香果,,哈哈,0,2019-09-19 17:18,1
@小琛哥的candy,,哈哈哈，钢铁一般的男子！,0,2019-09-19 17:15,1
@星光四翼,,,0,2019-09-19 17:15,1
@吖i査无此人,,“蓝朋友”咱可不可以这么直,0,2019-09-30 17:07,2
@现快乐我就快乐,,最后的眼神是精髓,0,2019-09-26 23:51,2
@陈迷路迷路,,阿消可以发一个男朋友给我吗,0,2019-09-22 02:35,1
@汉江对面,,绝……,0,2019-09-21 10:51,1
@薇薇安_199309,,看了一圈为什么没有求bgm的,0,2019-09-21 10:45,1
@木忆1浅夏,,小哥哥很帅，送我我也可,0,2019-09-21 10:35,1
@子非鱼zle,,用心了,0,2019-09-21 09:17,1
@ZYc-Ann,,日常好搞笑,0,2019-09-21 08:28,1
@seaosky,,哈哈哈哈：确实是钢铁直男！,0,2019-09-20 21:49,1
@小喵雨林,,直男癌晚期,0,2019-09-20 21:48,1
