User,Reter,Comment,Votes,Time,Count
@梦里我会乾坤大挪移666吧,,只希望有关部门能严格监管，净化网络环境，不要让孩子们在成年之前被网络侵蚀，毕竟每个孩子对家庭对社会都太重要了,770,2019-09-20 13:21,1
@莫染初心紫蓝,,我感觉蛮有意思的，最后标注不要模仿就行了,931,2019-09-20 13:23,1
@每个孩纸都是压力很大,,只有出更多事，他们才警觉,420,2019-09-20 13:20,1
@3天记一学期单词,,说实话，这样的团队中应该解散，危险系数太高了。 评论配图,524,2019-09-20 13:21,1
@HelloMiao_Miao,,为博眼球，毫无下限，恶俗低俗，歪风邪气，请封杀！ 评论配图,392,2019-09-20 13:23,1
@木林森byebye,,她的视频很有诱导性 安全隐患一直存在…… 视频提示几乎我没注意到过。  女孩意外去世 我觉得主责还是来源父母疏于监管，小野视频责任也有部分，网络平台也有责任。 希望这个事情让大家加强对未成年人安全教育 网络平台监管,441,2019-09-20 13:24,1
@我弟是一只窜天猴,,这个团队的初衷已经变了。迟早会出大事的，那会儿就后悔晚喽。 评论配图,273,2019-09-20 13:22,1
@暮光倾城XUDE,,风向怎么又变了，小野没控评了？,140,2019-09-20 13:23,1
@吃泡泡糖的大哥,,小野的视频我全当好玩，从来没有想过去模仿,258,2019-09-20 13:21,1
@梅子姐姐梅子姐姐,,出事了现在大家都要踩一脚,211,2019-09-20 13:20,1
@成都婧琦互动,,我觉得这种视频纯粹图个乐呵，开点眼界。谁会那么奢侈，拿拆电脑主机烧烤，电熨斗煎牛排。。。而且有些过于危险的的确有提示。 评论配图,160,2019-09-20 13:20,1
@爆圈叔,,虽然不喜欢这类视频，但是觉得让视频背锅有点冤，所以说……好好教育未成年。,172,2019-09-20 13:21,1
@那年圣诞节飘落的小雪,,看个乐呵 当真就错了  魔术都知道是假的这个还当真 跳火圈你咋不试试呢……,160,2019-09-20 13:24,1
@慕小柒童鞋没鞋穿,,我不喜欢，但是她也没错。,55,2019-09-20 13:23,1
@那谁没有如果谁有如果呢,,怎么说呢，她团队要是解散了，算是网络的一个悲哀,46,2019-09-20 13:25,1
@摩羯李亦凡爱你,,创意也是有人喜欢看啊，我们业余时间喜欢看这种有问题吗,38,2019-09-20 13:22,1
@面包树上吃面包吃的吐,,这种误人子弟的网红，不要也罢！,34,2019-09-20 13:22,1
@梅秃的冬天很冷,,刚火的时候关注的 不过很久之前就取关了 感觉她和她的团队忘记了初心,32,2019-09-20 13:19,1
@米米酱_wifi,,赶紧解散,38,2019-09-20 13:21,1
@萌城菇凉Narbaby,,中国社会里的部分就是个畸形社会形态,21,2019-09-20 13:20,1
@梦想与时尚,,无意义骗流量，常被消防??叔叔点名批评,33,2019-09-20 13:21,1
@晴栀菀歌nn,,特别多水军，,21,2019-09-20 14:13,2
