User,Reter,Comment,Votes,Time,Count
@林北叶,,致敬老兵！,2922,2019-09-19 22:53,2
@南枫翊,,致敬老兵 勿忘国耻 吾辈自强,2289,2019-09-19 22:54,6
@浅凉微入秋,,战斗不息，老兵不死,1499,2019-09-19 23:45,2
@最爱吃莴笋,,他们那代人，真正的经历者，才是真的有感触，致敬老兵,1256,2019-09-19 22:55,2
@雨天欢喜,,虽然年暮，但还是当年那般赤诚心啊！,890,2019-09-19 23:02,2
@小幸运v66,,致敬,759,2019-09-19 22:53,4
@亲爱的杜杜爱吃肉,,我姥爷就是抗日战争那时的老兵，以前经常跟我们讲那时候打仗的故事 可小时候心性贪玩，总是听几句就跑走了，现在却求而不得了……,563,2019-09-19 22:59,2
@渡你眉眼与川,,致敬老兵！,416,2019-09-19 22:54,8
@枚酉钱,,祝老爷爷身体健康,212,2019-09-21 12:59,2
@我宝贝Yukee,,致敬老兵,209,2019-09-19 22:53,2
@君莫笑_Flghter,,致敬老兵  我退伍7年了,184,2019-09-19 22:54,6
@追梦Brian,,抗战胜利，我国牺牲了千万烈士。吾辈应当牢记，今日的美好生活，真正是是先辈们用鲜血换来的，年轻朋友们，我们要自强团结，爱国敬业，实现自己的梦想，实现家庭的梦想，助力中华民族复兴中国梦！,200,2019-09-19 23:11,2
@人人如龙直达彼岸,,大刀向鬼子头上砍去,165,2019-09-19 22:55,4
@馬曉慧_V,,我真是看不得这样的 ,132,2019-09-19 23:16,4
@有梦想谁都了不起2000,,看麦家《人生海海》那本书，也描述了战争的残酷性，看的心在滴血，小说除了人名儿是假的，其他都是真的。珍惜现在和平年代，也祝愿祖国繁荣昌盛。,91,2019-09-19 22:58,2
@琉璃无殇也无双,,泪目。。。为我们打下江山，给我们今天幸福生活的老兵们很多都已经很年迈了。。。也许不能再陪伴我们国家多久的，看到他们老去。。。还是很难受。。。,95,2019-09-20 00:02,2
@不愚姑姑,,七十年还有他们在，八十年呢，一百年呢,75,2019-09-20 00:00,2
@GodVUZi的颜粉,,杀,53,2019-09-19 22:53,4
@矜持小女孩儿,,大刀，向鬼子们的头上砍去。,40,2019-09-19 22:55,6
@有故事的东同学,,致敬老兵,37,2019-09-19 22:53,2
@山茶吗,,致敬英雄，国士无双,31,2019-09-19 22:54,12
@李二泽i,,祝长命百岁，致敬,22,2019-09-19 22:55,2
@徐卿之xh,,致敬！！！,25,2019-09-19 22:53,2
@你的鸭鸭不是我,,致敬老兵,19,2019-09-19 22:54,7
@123321123变,,,18,2019-09-19 22:55,14
@瘠薄60222,,铭记历史 致敬老兵,14,2019-09-19 22:53,6
@此夜何极,,看哭了，好感人，和平是由流血牺牲的战争换来的，永远要珍惜和平。,18,2019-09-20 09:56,2
@半疯半傻的,,16秒的小视频看的我泪流满面～希望他们能在当时他们“杀”下的江山幸福生活久一点，再久一点～～,19,2019-09-21 01:40,2
@土木小诸葛,,上过战场，保家卫国的军人都是国家英雄,13,2019-09-19 23:18,4
@啊撸啦噜哈,,真是看哭了，想想他们当时杀敌人的苦难，再想想现在我们年轻人所面对的困难，这样一对比，我们年轻人真没什么值得抑郁、自杀、丧失希望的！,16,2019-09-21 10:59,2
@夏目梦呓鱼,,我永远无法原谅那些曾经伤害过中国的人，因为我永远没资格代替那些死去的战士先辈去原谅！这个国家的和平是先辈他们拿命才换回来的，也是现在的战士拿命在维持。勿忘国耻，也热爱祖国,11,2019-09-27 07:18,2
@吾等皆鼠辈_,,一个杀字，泪奔,5,2019-10-02 08:34,2
@控制不住的女神经,,致敬老一辈英雄,7,2019-09-19 22:54,2
@四月D猫壳_Champ85,,致敬老兵，致敬所有抗日英雄！虽然时代不同，但抵御外侵保家卫国的赤子之心永远不变，我们会记住你们的英雄事迹，传承这种中华民族的不屈不挠的精神,3,2019-09-20 05:03,2
@以晨之名i,,致敬老兵!,4,2019-09-19 23:02,2
@蓝若风笙,,致敬老兵,5,2019-09-19 22:55,2
@北北的ll羊,,致敬老兵！,3,2019-09-20 00:16,2
@橡皮·枫,,致敬老兵！定不负先辈的志愿！,3,2019-09-19 23:01,2
@原来是涓涓呀,,杀 ！杀的鬼子片甲不留 ！致敬老兵 ,2,2019-09-19 22:59,8
@妮歆,,换我们新光明！,3,2019-09-19 22:54,8
@肖像素描定制,,忆往昔峥嵘岁月稠,3,2019-09-19 22:53,5
@肖然战动,,致敬老兵 尘世皆可忘，唯有曾经烙骨难消,1,2019-10-04 12:17,2
@麦草jay,,感动,1,2019-10-02 11:44,4
@SantaQiuuuLa,,我哭了,1,2019-10-02 00:02,2
@爱吃豆角的闹闹,,致敬老一辈,1,2019-09-29 12:45,2
@这盛世如我们所愿,,致敬，爷爷身体健康长寿,2,2019-09-29 11:39,6
@兔子·rabbit,,致敬老兵！,2,2019-09-20 08:59,2
@Pamperya,,致敬老兵,1,2019-09-19 23:13,3
@君莫笑_Flghter,,我丢发现一只仓鼠,1,2019-09-19 23:12,6
@人间理想王一博YiBo,,致敬老兵,1,2019-09-19 23:08,2
@JUMPing_Pokemon,,致敬老兵,1,2019-09-19 23:05,2
@予悸里,,有的人只要主动挽留你一次就够了,1,2019-09-19 23:03,13
@肉包里面全是菜,,致敬老兵！,1,2019-09-19 22:59,2
@一米阳光-华,,致敬老兵！！,1,2019-09-19 22:58,2
@面壁者和执剑人罗辑,,大刀砍鬼子！,2,2019-09-19 22:57,2
@孤傲帝,,致敬老兵,1,2019-09-19 22:57,2
@喜歡獅子坤,,致敬老兵,1,2019-09-19 22:57,2
@qily琪,,致敬老兵！！,1,2019-09-19 22:57,6
@cc的邓先生,,致敬老兵！,1,2019-09-19 22:56,2
@朱奋奋30007,,老兵不死，致敬！,1,2019-09-19 22:56,2
@哩哩19881988,,致敬老兵！祝老兵健康长寿,2,2019-09-19 22:56,4
@Cassius_北极洛,,吾辈自强,1,2019-09-19 22:56,2
@明天更愛李,,致敬老兵,1,2019-09-19 22:56,2
@宋祖鹅Amy,,致敬老兵,2,2019-09-19 22:56,2
@小鲤鱼呢啊,,致敬老兵！,1,2019-09-19 22:54,2
@现女友是我-,,致敬！,1,2019-09-19 22:54,2
@百因必有果你的报应是我,,突刺刺。。。突刺刺。。。,1,2019-09-19 22:54,4
@惊鸿一面玲珑小心心,,铭记历史，致敬老兵,1,2019-09-19 22:54,2
@客观的第一防线,,致敬！！,1,2019-09-19 22:54,2
@七月的小酒馆,,致敬！,1,2019-09-19 22:54,2
@深陷琪中丶为琪沉沦,,致敬老兵，,1,2019-09-19 22:53,2
@是韩佳钰,,致敬老兵,1,2019-09-19 22:53,2
@王者君啊,,,1,2019-09-19 22:53,2
@红莎娱乐,,致敬,1,2019-09-19 22:53,4
@POS机老司机,,我们村有一个老兵打过大别山，打到最后他们团就剩下俩个人，其中有他，小时候听他讲打到那个时候就不知道啥叫害怕，身边全是死人，就知道找还有子弹的qiang继续打,1,2019-09-29 21:50,2
@MJ_POWER,,感谢你们用生命和鲜血换来我们现在的幸福生活,1,2019-09-21 12:24,2
@lang味小仙女,,致敬,1,2019-09-20 00:47,8
@我好瘦想长肉,,您老可以放心了，年轻一辈会接过您的刀，捍卫属于我们的和平!,4,2019-09-19 23:03,2
@开心的可乐啊,,健健康康,1,2019-09-19 22:54,2
@圤阳,,一个杀字我已泪奔！ 一个字流露出了百般无奈，万般坚定！ 无奈的是被侵略，坚定的是抵抗侵略的决心，时光荏苒，痛苦不在，而共和国曾经的苦难亿万同胞铭心刻骨！ 而如今，这盛世如您所愿！ ,3,2019-10-01 13:23,2
@不能多吃糖果会长虫牙,,你们年纪轻轻就在战场为祖国英勇杀敌,2,2019-09-20 09:29,2
@会飞的小可人儿,,老兵的一句杀，犹见军人血性，向共和国英雄致敬。,2,2019-09-20 08:22,2
@蘑菇树上的榴莲,,,2,2019-09-20 08:22,2
@养生滑手阿雪er_,,高考前紧张 给爷爷打电话 爷爷说“爷爷上战场打仗都不怕 爷爷的亲孙女 高考有什么好怕的”   一转眼爷爷去世快六年了 想他,3,2019-09-20 01:53,2
@战9v,,耄耋年，尽搀扶，影蹒跚，意微澜，一声杀响，寒气冲霄； 真的被老人家一声打动，致敬每一位浴血奋战的前辈，海外尘氛犹未息，诸君莫作等闲看，后辈自勉,1,2019-10-10 22:04,2
@迟律师LawyerC,,冒着敌人的炮火，前进，前进，前进进！对于他们来说，不仅仅是一句国歌的歌词。忠勇奋发，义武奋扬，跳梁者，虽强必戮！,1,2019-10-01 22:59,2
@小谢佳佳love,,我真是看不了这种，瞬间泪目，致敬！！,1,2019-10-01 13:32,2
@TaoooW,,杀！！！砍！！！可想而知要有多大的仇恨才能喊出口！历史不容忘记！,1,2019-10-01 12:48,2
@布布bu小宇,,莫名泪目,1,2019-09-20 15:59,2
@xu--小静,,致敬,1,2019-09-20 11:33,2
@小虎大胖纸,,因为有你们，才有我们！感恩，致敬！,1,2019-09-20 08:47,2
@雨微微微啊,,致敬老兵 勿忘国耻 吾辈自强,1,2019-09-20 08:34,2
@蕃薯校尉,,,1,2019-09-20 04:34,2
@啊啦噔神叮,,老骥伏枥 志在千里,1,2019-09-20 01:21,2
@本王是美少女,,谢谢你们。谢谢,1,2019-09-20 00:46,2
@前进吧yz,,爷爷让我穿越回到那些艰苦岁月[加油][加油][加油],1,2019-09-19 23:59,2
@闫良基,,出席阅兵吧,1,2019-09-19 23:51,2
@随心·真好,,致敬,1,2019-09-19 23:38,2
@壹千零一只羊,,致敬,1,2019-09-19 23:33,2
@借来风追逐宇,,放眼当下，为那些没素质的老狗，悲叹。  回望那些峥嵘岁月，向那些质朴的先驱致敬。  敬礼,1,2019-09-19 23:30,2
@90后别闹了,,致敬,1,2019-09-19 23:23,2
@半生守候的海角,,铭记历史，致敬老兵！,1,2019-09-19 23:16,2
@socoolJazz,,致敬！,1,2019-09-19 23:14,2
@Balabala_n,,真的打心眼里敬佩,1,2019-09-19 23:14,2
@好好的妈妈爱好好,,敬礼！,1,2019-09-19 23:09,2
@淡梦浅追,,杀死小日本，希望这垃圾种族灭绝掉,1,2019-09-19 23:07,2
@此人很懒名字都不改,,老当益壮,1,2019-09-19 23:05,2
@刘文美wen,,祝爷爷身体健康,1,2019-09-19 23:05,2
@郑郑郑郑郑郑郑00,,杀！,1,2019-09-19 23:04,2
@湖南消防,,致敬老兵 吾辈当自强[加油][加油][加油],1,2019-09-19 23:04,3
@陈晨晨的小野兽,,致敬老兵！,1,2019-09-19 23:02,2
@LJ钦,,就给日本人看看,1,2019-09-19 23:02,2
@大桃胡,,骑兵连，冲啊！,1,2019-09-19 23:02,2
@zjrdsmdg,,好感动,1,2019-09-19 23:00,2
@粤C明白人,,老兵不死[加油][加油][加油][加油],2,2019-09-19 22:55,2
@会飞的小豫,,脱帽致敬,2,2019-09-19 22:54,2
@Super嘈嘈切切,,谢谢您。向您致敬,1,2019-09-19 22:54,2
@一只路过的尹珅,,我们要做主人去拼死在疆场 担负起天下的兴亡,1,2019-09-19 22:54,2
@心TF,,致敬老兵！,1,2019-09-19 22:53,2
@Rachel小狼,,大学毕业作品坚持要拍老兵 是想即便拍的不好 也想为他们留下一些影像 铭记英雄,1,2019-09-20 00:36,2
@福田叁·,,一定要健健康康,0,2019-10-05 00:44,2
@valuable___ii,,您要身体健康！一定要老爷爷！,0,2019-10-04 13:24,2
@叶落双秋,,致敬,0,2019-10-04 11:26,2
@1唯wei,,依然很霸气,0,2019-10-03 19:26,2
@萧霞儿--ken,,,0,2019-10-03 19:03,2
@叫嘟嘟的南方姑娘,,谢谢你们，我们才有今天的和平,0,2019-10-02 14:46,2
@念于倾心,,吾辈自强[加油][加油],0,2019-10-02 11:10,2
@一两银的,,一个国家一定得有历史 有革命先辈,0,2019-10-02 09:43,2
@罗狮粉科学工程部,,致敬！感谢你们，我们永远不会忘记！,0,2019-10-02 00:57,2
@轮回清江,,杀！！！,0,2019-10-01 20:11,2
@zxy晓月,,致敬,0,2019-10-01 19:58,2
@YY玲丫头,,致敬,0,2019-10-01 19:34,2
@么么不是小屁孩,,致敬这些国之脊梁,0,2019-10-01 19:02,2
@图图储藏箱,,致敬，泪目,0,2019-10-01 18:06,2
@不愿意谈起_舍不得忘记,,老兵不死只会逐渐凋零,0,2019-10-01 17:46,2
@Miss三分甜,,杀 这一个字喊得热泪盈眶,0,2019-10-01 16:11,2
@陈小闹的猫,,致敬老兵,0,2019-10-01 15:57,2
@童笑很芒,,致敬,0,2019-10-01 15:25,2
@清扬qingyangJK,,谢谢你们为我们带来现在的幸福,0,2019-10-01 14:47,2
@若鲜花满楼,,致敬老兵,0,2019-10-01 14:22,2
@MD娜就是颖,,致敬愿安好,0,2019-10-01 14:14,2
@楚兮_石兰说她只爱我DAYTOY,,致敬老兵！,0,2019-10-01 14:08,2
@林92啊,,泪目,0,2019-10-01 14:04,2
@-海见鱼,,致敬老兵。,0,2019-10-01 13:17,2
@LilSeasalt_,,致敬老兵！,0,2019-10-01 13:11,2
@波菜毛子,,泪目，致敬老兵,0,2019-10-01 09:40,2
@瘦子小魏,,致敬！,0,2019-10-01 09:12,2
@这里是小桂的微博,,看哭了，致敬,0,2019-10-01 00:40,2
@番茄小鱼Hoho,,看得泪目,0,2019-09-30 22:16,2
@Mars--終點等壹夏,,致敬,0,2019-09-30 18:26,2
@羡阳天xx,,致敬老兵,0,2019-09-30 11:17,2
