User,Reter,Comment,Votes,Time,Count
@fabulous萍萍,,林俊杰欠我一个男朋友,690,2019-09-21 20:04,2
@一颗小薯条,,妈妈们应该很喜欢小林 专治恐婚 小林快给我分配个男朋友吧 实在不行 你自己也可以,407,2019-09-21 20:04,1
@肖战哥哥生日快乐,,说实话林俊杰唱歌不好听…,28,2019-09-21 20:03,8
@-边总娇妻-,,值得推荐,119,2019-09-21 20:01,1
@十六天,,将故事写成我们 太适合结婚的时候放了,91,2019-09-21 20:04,1
@别做梦了年轻人,,听了想结婚,67,2019-09-21 20:04,1
@你就-可爱呐i,,这歌画面感太强了 我想谈恋爱了,62,2019-09-21 20:06,1
@木下有四点的呀,,路人 觉得挺好听的，有画面感,52,2019-09-21 20:08,1
@蓝言汁饮,,曲子我觉得一般歌词我觉得很好,11,2019-09-21 20:04,1
@美不美快说美腻02727,,挺好听的呀,49,2019-09-21 20:00,1
@远方那颗,,把上面那个蹭热度的刷下去吧，我真是看到都烦,38,2019-09-21 20:07,1
@410爱34,,超级好听，超级浪漫，听了想直接结婚啊,47,2019-09-21 20:05,1
@是Sery的Amy,,林俊杰一直为了音乐而努力着，忠于音乐的人，真的很受人喜欢，歌也越来越用心，但是他的歌很难翻唱，大概这就是他的优秀吧，会一直支持JJ，希望他一直为了华语流行而创作,27,2019-09-21 20:47,1
@锦城上起凝烟阁,,这首真的是心头好了,35,2019-09-21 20:01,1
@奔跑的寻梦缘,,林俊杰新歌&lt;将故事写成我们&gt;真的很适合婚礼现场，曲子听着是超级舒服，词质朴又浪漫，从他的歌里真的听到了一种幸福感！#将故事写成我们[音乐]#,29,2019-09-21 20:10,1
@拾樂拾酒,,你怎么还用我的图啊,25,2019-09-21 20:09,1
@碎碎念_小日常,,好甜好好听,10,2019-09-21 20:05,1
@熟人绕远我不吃蒜,,宁又在发别人的图？？？？？？？？,8,2019-09-21 20:20,1
@噢KiAile,,林俊杰！！！,4,2019-09-21 21:20,1
@陈敬Jing酒不吃吃罚酒,,大家得去看演唱会，第一场我单身去看的，第二场就带女朋友去看了,5,2019-09-21 20:16,2
@BomFengxxx,,好听,7,2019-09-21 20:00,1
@番茄味的菜菜,,刚还看到一个视频用这首歌当BGM呢,4,2019-09-21 20:34,1
@我们六喵,,,8,2019-09-21 20:06,2
@确认眼神i,,#林俊杰在线催婚# 天啊！太甜了！我结婚一定用这个！！！！,7,2019-09-21 20:07,1
@lfjj香香,,超好听 甜甜的 他也希望所有人都能找到自己的幸福,8,2019-09-21 20:06,1
@大壮5452,,支持,3,2019-09-21 20:00,1
@OK友人說,,好听呀！！！！,4,2019-09-21 20:06,1
@苏词汐,,老林啊，我更想和你结婚了,1,2019-09-21 21:53,1
@等待five125,,"JJ太棒啦, 声音好暖",1,2019-09-22 00:13,3
@高超的甜秘密耶,,想艾特林俊杰出来结婚，和我结婚,1,2019-09-21 22:42,1
@SHIWIN,,你好好谈个恋爱去先@林俊杰,1,2019-09-21 22:26,1
@等待five125,,如果我结婚，也一定要这首歌,0,2019-09-22 00:12,3
@等待five125,,真的很适合结婚曲,0,2019-09-22 00:12,3
@温一壶月光下酒SYLB,,听了觉得林俊杰可能想和我结婚了才写这首歌,4,2019-09-21 20:05,1
@爱林的陈馨,,之前和单身的姐妹们说好大家老了就去敬老院跳广场舞,2,2019-09-22 00:15,1
@微醉懒虫张,,哎哟～不错哟～,2,2019-09-21 20:49,1
@xinY·熙熙,,我只想嫁给林小瓜,2,2019-09-21 20:34,1
@h_渣渣李,,一定要听将故事写成我们，真分分钟让你想谈恋爱想结婚,2,2019-09-21 20:06,1
@茼蒿与地瓜葉_,,真的太好听了!,2,2019-09-21 20:05,1
@王加良T-MaC,,新一代婚礼现场神曲诞生了,1,2019-09-22 07:52,1
@杰杰菲,,不可以给妈妈听到的歌,1,2019-09-22 01:08,1
@住在心里的林先生,,我真的是听了想结婚,0,2019-09-21 20:12,1
@板栗栗Urchin,,特别是最后一段的歌词！很心动！,1,2019-09-21 20:07,2
@草莓籽-lyy,,好听啊,1,2019-09-21 20:05,1
@yoyoyo920,,沒男朋友的我這兩天聽這首歌昨晚居然夢見我結婚了,0,2019-09-22 07:37,1
@崇拜327,,希望老林可以幸福,0,2019-09-22 07:28,1
@诺言谁应,,#林俊杰在线催婚#,0,2019-09-22 01:11,1
@没理由的在水里游啊,,我还没听,0,2019-09-22 00:00,1
