User,Reter,Comment,Votes,Time,Count
@不务正业的护肤配方师,,只要對大自然植被沒有生態破壞性的開採，植物來源方向的護膚品才符合可持續發展，最好連包材都是植物來源,1,2019-08-13 12:36,1
@北葵向暖000南栀倾寒,,听说这个很好用，但是价格略贵,3,2019-08-13 11:36,1
@飞天猫鱼,,冰大，你的海报照能不能拍专业点，这是在工作室让助理拿手机随便拍的吧,2,2019-08-13 13:19,1
@绿萍张,,,2,2019-08-13 11:34,2
@___Ricky____,,我看到这条微博，直接去买了。冰大推荐的肯定不会错。弱弱再问下黑头精华大概什么时候可以出呢，等到花开又花谢,1,2019-08-13 13:59,1
@冰寒,,抽奖时间改到8月16日,2,2019-08-15 09:57,1
@绿萍张,,哈哈哈哈哈我们开始吧转发,2,2019-08-13 11:33,2
@致力于自我拯救黑眼圈三十年,,冰大你还记得这个抽奖吗,0,2019-08-19 12:23,3
@AliceItaly,,冰大，我已经买了你签名版的书，坐等快递中~,0,2019-08-15 11:27,1
@SouthernFM,,味道真的一言难尽,1,2019-08-13 14:07,1
@小清新不长君,,但是如果我是油性敏感肌的话可以用吗,1,2019-08-15 14:39,15
@小清新不长君,,为冰大打call#美肤#,1,2019-08-15 14:39,15
@小清新不长君,,冰大好棒啊啊啊啊,1,2019-08-15 14:39,15
@小清新不长君,,我会买来试试的，冰大推的东西还是有保障的呢,1,2019-08-15 14:38,15
@小清新不长君,,希望可以适合我的敏感肌就好了,1,2019-08-15 14:38,15
@小清新不长君,,老师加油啊,1,2019-08-15 14:37,15
@平平的淡然,,已关注,1,2019-08-15 10:09,1
@咸吃萝卜淡操心2,,植物护肤，天然天成，很想试试大自然馈赠的护肤产品！求翻牌,1,2019-08-14 13:59,1
@Andreas-Yy,,希望抽中我，我好久没中过！,1,2019-08-14 13:55,4
@小也的异想世界,,赞,1,2019-08-14 11:09,1
@小清新不长君,,冰大超级棒,1,2019-08-14 10:02,15
@FLHRMS-,,！,1,2019-08-13 23:23,1
@今天薯片半价66,,拉低中奖率,1,2019-08-13 22:29,2
@哔哩吧啦78,,哇哈哈哈哈,1,2019-08-13 22:26,4
@好好5,,转发转发期待试用,1,2019-08-13 18:57,1
@汪五花,,,1,2019-08-13 18:35,1
@柠檬玫瑰星er,,抽我吧,1,2019-08-13 11:48,1
@红橙黄绿蓝靛紫l,,跟着冰大感觉越来越要多学东西了,1,2019-08-13 11:43,1
@myesly,,相信中国品牌越做越好。,1,2019-08-13 11:40,1
@Grace-ra,,全植物护肤，是我一直以来的诉求了,1,2019-08-13 13:05,1
@木果果-0000,,期待....,1,2019-08-13 11:33,1
@Meg是只脑斧,,敏感肌的我急需救助,2,2019-08-13 18:06,1
@慢慢得YU,,,1,2019-08-13 15:30,1
@Cisy_Lo,,,1,2019-08-13 15:30,1
@汰溺嗳李双盼,,好想试试,1,2019-08-13 14:21,1
@prettyyoungthing,,期待,1,2019-08-13 14:05,1
@HeyyLee_,,灵魂有香气的女子,1,2019-08-13 13:59,1
@yoki丫头来了,,我没看过1直接买2可以吗？@冰寒,1,2019-08-13 13:44,1
@荔枝是个什么球球,,想414,1,2019-08-13 13:42,1
@沉慢慢的小世界,,,1,2019-08-13 13:41,1
@wcq02,,希望可以治好痘痘肌,1,2019-08-13 13:15,1
@囡言之瘾,,信任冰寒,1,2019-08-13 12:25,1
@一直想去看那片海,,我喜欢的两个人在一起,1,2019-08-13 12:19,1
@致力于自我拯救黑眼圈三十年,,今年的运气使我只能做分母也依然坚持转发,1,2019-08-13 12:10,3
@壹抹阳,,想试试,0,2019-08-15 22:16,2
@目不识丁小豆丁,,试试luck,0,2019-08-15 20:55,2
@M林中谜鹿M,,试试,0,2019-08-15 19:56,1
@砍柴小王子啊,,好运,0,2019-08-15 16:08,1
@MAGIC-YA,,看到当当满100-50马上两本全收了,0,2019-08-15 13:43,1
@gupink,,,0,2019-08-15 13:40,1
@黄桃卡仕达,,,0,2019-08-15 13:05,1
@丸子xr,,再发一次,0,2019-08-15 13:01,1
@冰旋雪莹,,买了您的书，认真地关注你对于护肤的解析,0,2019-08-15 12:29,1
@H齐天小圣H,,锦鲤,0,2019-08-15 12:04,1
@巳日寡人,,,0,2019-08-15 11:28,1
@chic-初心,,,0,2019-08-15 11:11,1
@心安即是归处66,,让我皮肤越来越好,0,2019-08-15 10:50,1
@今天薯片半价66,,啊啊啊啊啊,0,2019-08-15 10:45,2
@懒得不心安理得的猪,,来吧,0,2019-08-15 10:41,1
@哔哩吧啦78,,啊啊啊啊啊,0,2019-08-15 10:38,4
@Andreas-Yy,,给我抽中吧，么么哒[淚]让我体验中奖,0,2019-08-15 10:37,4
@岑岑奔三啦,,哇哇哇,0,2019-08-15 10:36,1
@孟先生悳,,期待能中,0,2019-08-15 10:20,1
@圈旧华,,敏感肌想试试这个,0,2019-08-15 10:14,1
@__jun__,,什么时候在国内上市？,0,2019-08-15 10:01,1
@一直在路上jiang,,抽我抽我抽我,0,2019-08-15 10:00,1
@小清新不长君,,老师好厉害呀,0,2019-08-15 09:53,15
@小清新不长君,,哈哈哈哈，抽奖,0,2019-08-15 09:53,15
@ShirLi0G,,大大 pick me up @Tim丨哥,0,2019-08-15 08:19,1
@小鱼儿某某某,,哇厉害了,0,2019-08-14 19:25,1
@我戴帽子,,哇？！ 还没见过全植物的化妆品，不过这个看起来还不错？应该也属于医美？,0,2019-08-14 18:22,1
@你不认识我aaaa,,年纪轻轻就要抗皱的我，需要来盒采之汲啊,0,2019-08-14 15:54,1
@Andreas-Yy,,价格太贵了，这个植物！我太穷了！,0,2019-08-14 13:56,4
@桔梗不爱犬夜叉,,,1,2019-08-14 09:09,1
@东奇2019,,易涂灵美容一次十五分钟，满脸邹纹，消失百分之七十。十多天了，一点都没反弹。,0,2019-08-14 08:39,1
@韭菜炒青菜,,从法规上讲，“全”之类的极限用词是违规的，果然包装上没有提及啊……很好奇这些植提没有水以外的溶剂、没有防腐剂吗,0,2019-08-13 19:22,1
@小清新不长君,,哇，老师真的厉害，合作的品牌也越来越厉害了,1,2019-08-13 17:14,15
@赵璐2009,,超级好用，一直在使用,1,2019-08-13 15:22,1
@yy每天都睡不醒,,哇我最爱的采之汲终于得到冰寒老师的宠爱了开心开心 希望越来越多人可以体验到采之汲的高端护理哦,1,2019-08-13 13:14,1
@采之汲,,看冰寒老师揭秘全植物护肤奥义,1,2019-08-13 13:10,1
@安静的优雅87,,期待,1,2019-08-13 11:36,1
@微博问答,,Hi~您好，您发布的文章已被创建同名问题，文章内容被收录为回答。此问题将会吸引更多用户参与讨论，您的文章也会被更多网友看到，带来更高曝光和互动量~戳→→“只有植物，没有其他”的护肤诉求，竟被一家百年老店搞定？,0,2019-08-13 11:20,1
@小清新不长君,,感觉可以拿来试一试呢,1,2019-08-13 17:16,15
@南岸一木,,好棒的国货新品，可惜有点小贵。未来肯定会买的,0,2019-09-22 00:27,2
@指染繁华嗯,,好运,0,2019-08-15 10:08,1
@时尚健康,,一起来揭开#全植物护肤肌密#吧，等你哦,0,2019-08-14 18:30,1
@彭彭的大号迷妹,,,1,2019-08-13 11:31,1
@自家三姑娘,,,1,2019-08-13 20:28,2
@自家三姑娘,,今天當當剛買了李老師的書，和聽肌膚的話2,1,2019-08-13 20:28,2
@安娜熊胖胖,,支持 女票一直在用,1,2019-08-13 19:06,1
@你叫我Tommy吧,,能不能用上靠你了,1,2019-08-13 18:07,1
@霍霍霍霍霍霍呦,,那个基础燕窝补水的真的好用，长痘的我家里屯了6/7盒，真的很不错,1,2019-08-13 13:45,1
@我是真的不2591467700,,期待,1,2019-08-13 12:46,1
@030316-,,摸一下,0,2019-08-15 12:01,1
@青山呀,,用过，有很浓的草药味,0,2019-08-15 11:01,1
@罗筱央,,为啥我用再贵的面膜都感觉无功无过,0,2019-08-15 20:50,2
@justamor-J,,一直不喜欢用面膜，可能是还没遇到适合自己的吧～想试试这款,0,2019-08-15 18:42,1
