User,Reter,Comment,Votes,Time,Count
@渣浪,,这层给单身的朋友发自拍 冲鸭 把握好机会！,128,2019-09-22 13:25,2
@渣浪,,这层留下你的生日 同一天生的可以聊聊天好好珍惜一下,88,2019-09-22 13:26,2
@blueyanu,,这和工作没多大关系，主要是人长得好不好看,5036,2019-09-21 20:29,1
@我是张老板也是张可爱,,相信我：空少/空姐,2739,2019-09-21 20:34,1
@如果和你见面,,反正千万别选会计,1744,2019-09-21 20:25,1
@金泫雅的妹,,幼师每天碰到的异性不是孩子他爹就是孩子他爷爷,1615,2019-09-22 12:34,1
@我生气气去,,不知道，没脱过,1127,2019-09-21 20:25,2
@长久的_记忆,,研究表明双性恋比男性、女性更容易脱单。。。。。。。,816,2019-09-21 20:26,2
@归璨ice,,男医生贼抢手，女医生挺难的叭,831,2019-09-22 13:14,1
@单身狗联谊会1,,主要还是看脸，长得好看在哪里都容易脱单，大把的人追求,516,2019-09-22 13:22,2
@一吨小牛,,男护士,408,2019-09-21 20:26,2
@很能吃的崽,,百合网世纪佳缘珍爱网，为你提供形形色色相亲对象,380,2019-09-21 20:27,3
@宇宙级戏精双鱼男,,做鸭 。,296,2019-09-22 12:24,4
@芋圆波霸三分甜,,明星,276,2019-09-21 21:22,1
@迟胖歇,,虽然老师群体内部难脱单，但是介绍的话绝对是第一容易脱单，老师这个职业很吃香，对孩子未来教育，还有素质等方面真的香饽饽，多少人想要娶老师回家，刚进来教书，就一大堆人介绍男朋友了，肥水不流外人田，介绍的基本上公务员，总体来说，容易脱单多人追,188,2019-09-22 13:46,1
@要当就当有钱的人,,公务员，五险一金的那种。。。。。我妈可喜欢了。。 。,198,2019-09-22 12:49,1
@今晚来办你,,公主,172,2019-09-21 20:25,1
@小李要考上公大鸭,,警校的女孩子最容易脱单了,124,2019-09-22 13:26,1
@给我一匹梦的马-,,反正做护士不容易,106,2019-09-21 20:39,1
@石头剪刀bu喜欢我啊,,护士小姐姐容易脱单，但是女生真的别当医生，特别是外科医生,94,2019-09-22 12:38,1
@情话告白,,岁月静好，懂得感恩，与你相随。,31,2019-09-21 20:25,3
@ufdfijhcdy,,老师？,48,2019-09-21 20:39,1
@今日宝藏,,霸道总裁：“女人，你成功引起了我的注意”,27,2019-09-22 14:32,15
@紫珺若霞,,医生,27,2019-09-21 20:26,1
@为画画掉发的阿户,,我只知道最容易脱发的职业是美术生，设计师,28,2019-09-22 13:57,1
@FenWanng,,做外贸的 怕是脱不了了,41,2019-09-22 09:32,1
@园园想吃肉,,鸡 鸭,26,2019-09-21 20:25,1
@不想工作只想每天收租,,难脱单的不是工作 是人,33,2019-09-22 13:42,2
@_IsCHENyuuu,,谁把我带走吧 评论配图,24,2019-09-21 22:14,1
@飘雨飘零,,千万别干工地,17,2019-09-21 21:04,1
@时辰棠七xer,,我还在等国家分配,25,2019-09-22 12:11,1
@小张爱喝咖啡,,做台小姐,19,2019-09-21 20:34,1
@schizophrenia_ii,,容不容易跟工作无瓜,26,2019-09-21 20:35,1
@Its_Eddie,,老板,3,2019-09-21 20:40,1
@文慧周,,酒吧工作哈哈哈哈,2,2019-09-21 20:28,1
@小迷糊的废话流,,姐妹们，你们一定要搞清楚呀！单身的明星，不是不容易脱单，人家是不想脱单,4,2019-09-22 14:10,1
@李亚宁,,瘦下来脱单几率更大,4,2019-09-22 13:49,1
@你看不到的天空crying,,我一工科女毕业去电厂依旧母胎solo,4,2019-09-22 13:46,1
@韦子伦,,没有脱不脱的工作，只有能脱不脱的颜值,3,2019-09-22 15:42,1
@小张小张不要慌张_,,保险公司的永远别想了 不管你在公司是做啥的 你都是卖保险的,4,2019-09-22 14:39,1
@波子汽水我想喝,,建筑公司的女人没一个单身的,3,2019-09-22 14:21,1
@mm余生mm,,不知道最容易脱单的工作，只切身体会最容易脱发的工作,4,2019-09-22 13:31,1
@元宝双双chun,,演员,5,2019-09-22 13:26,1
@逍遥王走走,,说说吧  我看看,2,2019-09-21 20:45,3
@老王的小苗吖,,教师，虽然我身边没有异性，可是身边总会有人介绍对象,1,2019-09-22 21:25,1
@不熬夜的屁桃乖乖,,不知道什么工作容易脱单  只知道什么工作容易脱发,1,2019-09-22 21:21,1
@羊驼御用,,believe me: HR,1,2019-09-22 15:43,1
