User,Reter,Comment,Votes,Time,Count
@韩羿星,,我觉得两个都不合适，！！说实话！！！,2274,2019-09-23 13:29,1
@被窝里的探险家呀,,快看看李婷婷吧 评论配图,64,2019-09-23 13:38,1
@问题少女攻,,干脆让迪丽热巴来演。,19,2019-09-23 13:35,1
@大大大大的泡泡泡糖,,如果非要从这两个里选，我只能选万鹏了,90,2019-09-23 13:37,1
@综艺剧新鲜,,#沈月 中国版请回答1988# 我觉得万鹏还挺不错的耶！,64,2019-09-23 13:01,1
@爱拾柒y,,我觉得万鹏可,54,2019-09-23 13:45,1
@修改昵称02号,,万鹏   可以,53,2019-09-23 13:33,2
@学人精滚远一点好吗,,李婷婷！！！,49,2019-09-23 13:35,1
@温拟,,晕！！！万鹏可以啊！！！！,39,2019-09-23 13:52,1
@刹那芳小华,,万鹏很可以，有那个灵劲，可塑性还高,25,2019-09-23 14:23,2
@刘北山欠小许一次,,万鹏真的可！！！！！冲鸭,37,2019-09-23 13:49,1
@刘公子0625,,形象上，万鹏的确更好,42,2019-09-23 14:08,3
@Kiwifruit甜,,啊啊啊我的万鹏小姐姐终于被发现啦！！！我觉得她真的超级适合德善啊,35,2019-09-23 13:44,1
@七月苍耳er,,别cue了，万鹏小姐姐不火！这个角色谁演谁讨骂,20,2019-09-23 14:02,1
@我是符怂怂,,万鹏可以的！！！,23,2019-09-23 13:41,2
@iq笑花,,万鹏很好很适合,22,2019-09-23 13:41,2
@在等人,,挺不错，感,0,2019-09-23 15:50,1
@承恩余生无双,,万鹏冲鸭！！！！！,15,2019-09-23 13:58,1
@倾城之殇Evildoer,,万鹏虽然不是表演科班出身，但是北舞出身的她却很有灵气，演技十分自然，颜值和气质都很好,13,2019-09-23 14:10,6
@BaCardi·B,,柴小七可以的,10,2019-09-23 14:02,1
@姐姐椰子,,万鹏合适，演技不错，又精灵可爱,6,2019-09-23 15:36,1
@He敏敏敏r,,万鹏可以,8,2019-09-23 13:49,1
@现在就爱你的Star,,求求宁放过我万鹏小仙女吧,6,2019-09-23 13:38,2
@今天的晚安呢,,谁演都不合适 这部剧根本就不该翻牌 拍了我也不看,8,2019-09-23 13:36,14
@绾烟南,,杨大奔！！！,3,2019-09-23 14:55,1
@Aline_代代,,万鹏可以,4,2019-09-23 14:46,1
@刹那芳小华,,吴倩怎么样儿呢？,0,2019-09-23 14:26,2
@-大金和大银,,万鹏！！真的超级合适 第一眼看人不彪悍枉少年的时候就觉得好像，还有里面的场景年代。哇！真的！,3,2019-09-23 14:22,1
@阿呸礽r,,万鹏的小丸子我真的是太喜欢了！！！太喜欢了！！！她的演技太自然了！！！,3,2019-09-23 14:13,1
@mituuu,,万鹏我可以,6,2019-09-23 13:53,5
@李旺旺的小仙女,,我觉得万鹏很合适这个角色，大大咧咧的,7,2019-09-23 13:51,1
@SunjHhhs,,万鹏吧,6,2019-09-23 13:51,2
@耳垂的温柔吖,,感觉万鹏在人不彪悍往少年里演的很好,2,2019-09-23 17:19,1
@只想和妳静度时光,,杨大奔可以！！！！！！！！！！！,2,2019-09-23 17:15,1
@vivi的seyi,,我的德善就是惠利，谁都不可,2,2019-09-23 16:35,3
@胡歌好帅,,人不彪悍枉少年可以！,2,2019-09-23 16:13,1
@蛋炒绿番茄,,这张活动图真的觉得好适合 评论配图,2,2019-09-23 15:26,1
@快乐的米亨,,万鹏是大奔吗，可喜庆了,4,2019-09-23 14:03,1
@琳赛等等W,,万鹏是杨夕吗？,5,2019-09-23 13:43,1
@黄小雨v,,不要脸  踩着沈月捧别人,1,2019-09-23 17:22,1
@吃不完榨菜,,万鹏可以的,1,2019-09-23 17:15,1
@小可乐和柠檬,,持保留意见 吃瓜,0,2019-09-23 17:13,3
@芦果璐鹿ku,,毫无疑问 漂亮姐姐可以的,1,2019-09-23 16:39,1
@婉婉婉妹-,,我投李婷婷！！！,1,2019-09-23 16:26,1
@向阳小野花_,,我希望不要翻拍,1,2019-09-23 16:16,1
@奶茶芬,,非常巧合 两个人我都不喜欢,1,2019-09-23 16:10,1
@兔子蹦跶,,李婷婷啊,1,2019-09-23 16:07,1
@ZXS不能没有口红,,我更喜欢李婷婷,2,2019-09-23 14:53,1
@飘雨之子,,我觉得非我莫属,1,2019-09-23 14:41,1
@LQW-en,,万鹏可以！喜欢万鹏,1,2019-09-23 15:39,1
@多情必自毙iin,,万稍微好一点,1,2019-09-23 13:59,1
@王同学wzb,,李婷婷，万鹏都可以，别再找沈月可，求求,0,2019-10-10 14:36,2
@Dani娱乐,,不踩不捧，单纯就是看万鹏剧觉得她演技可以，可塑性也强。1988我没看过，但是一个演技自然形象也可的演员，无论演什么剧都会有自己的诠释。,0,2019-09-30 16:50,2
@下次见面给抱吗,,现在才发现评论里有的人真是脑回路清奇,0,2019-09-30 13:16,1
@今晚贩卖月光-,,谁都不可！！！,0,2019-09-23 22:28,1
@苏呢了,,不好意思，翻拍不合适,0,2019-09-23 19:13,1
@鱼和九,,？？？,0,2019-09-23 17:34,1
@你的二锅头-,,张子枫可以吗,0,2019-09-23 17:04,1
@剁椒葵葵,,超级喜欢万鹏 演人不彪悍枉少年就很喜欢！,0,2019-09-23 16:56,1
@-joyD-,,推荐万鹏小姐姐@万鹏er ,0,2019-09-23 16:55,1
@看到祝你开心了吗-,,千万别！谁都不行！别捧了这个捧那个！内心根本无法接受好吗！,0,2019-09-23 16:55,1
@就离开吧,,万鹏是演柴小七的,0,2019-09-23 16:53,1
@鹿饮橘茶,,当时看的人不彪悍的时候就觉得她很像德善,0,2019-09-23 16:45,1
@小胖小小胖是个大胖子,,都去看看人不彪悍枉少年吧 真的很好看,0,2019-09-23 16:43,1
@噗噗超爱喝奶茶,,她很适合诶！而且演技很好！ 我参与了@娱乐影视沸点 发起的投票【你觉得谁更适合出演德善呢？】，我投给了“万鹏”这个选项，你也快来表态吧~,0,2019-09-23 16:42,1
@橘子它打我,,这么一看李婷婷很适合啊虽然我不认识她,0,2019-09-23 16:40,2
@闪La腰的青春,,不是同一个人吗？,0,2019-09-23 16:39,2
@是活烦啊,,如果只有这两个选项的话，我选择万鹏,0,2019-09-23 16:39,1
@加油鑫儿,,万鹏出演感觉可以塑造出那个感觉,0,2019-09-23 16:37,1
@CLSJN-佳,,都不行,0,2019-09-23 16:28,1
@华小胖的web,,如果非得她俩比的话，那还是万鹏吧,0,2019-09-23 16:27,1
@ziziaa,,万鹏可,0,2019-09-23 16:25,1
@Vitamin华华,,我鹏儿努力也优秀,0,2019-09-23 16:22,2
@老谷出品_,,两个都不合适！李婷婷合适！,0,2019-09-23 16:20,1
@你的薛仔,,万鹏真的可啊啊啊啊啊啊啊啊啊啊啊啊啊啊！,0,2019-09-23 16:20,1
@十六姐HM,,万鹏是第一选择！,0,2019-09-23 16:18,1
@合西senorita,,为什么要翻拍？？,0,2019-09-23 16:17,1
@Super5T,,万鹏吧，当时就看人不彪悍枉少年，感觉她真的很像德善，演的也好～～要是她演，我还蛮期待的,0,2019-09-23 16:16,1
@双流乔妹,,杨大奔 必须的 唉 想彪哥了,0,2019-09-23 16:15,1
@吴亦凡你个傻子,,大奔，冲鸭,0,2019-09-23 16:15,1
@-樱桃麟a,,李婷婷！！！！,0,2019-09-23 15:56,1
@染了脏话-,,我适合,0,2019-09-23 15:12,1
@來囍的姊姊,,我投马思纯,0,2019-09-23 15:11,1
@若眷眷往昔时日,,支持杨夕，支持小七，支持万鹏,0,2019-09-23 15:10,2
@游小鱼de鱼,,柴小七,0,2019-09-23 15:07,1
@Rumelo,,我参与了@娱乐影视沸点 发起的投票【你觉得谁更适合出演德善呢？】，我投给了“万鹏”这个选项，你也快来表态吧~,0,2019-09-23 15:04,1
@追梦人1031,,都不合适好吗！！！,0,2019-09-23 15:00,3
@loweyc,,万鹏很符合的,0,2019-09-23 14:55,1
@shinewung打老虎,,沈月演技太尬了，这个角色一定要选个有演技的！,0,2019-09-23 14:51,1
@琼木是August的小猫咪,,@M-LongRed  如果是万鹏就好了 很合适诶,0,2019-09-23 14:51,1
@莜咸过客,,上个热搜都还是李婷婷和沈月谁合适这么快有变成万鹏啦,0,2019-09-23 14:50,1
@狗乔今天没有早睡,,别翻拍了吧……,0,2019-09-23 14:48,1
@KIM秀秀秀秀贤,,万鹏真的好好看！！！！！啊啊啊啊啊啊,0,2019-09-23 14:44,1
@gentlesn,,不希望翻拍,0,2019-09-23 14:42,1
@u_小奶油,,又开始了嘛大家,0,2019-09-23 14:42,1
@晴天下的樱桃小鱼,,讲真，人不彪悍枉少年里面她真的好看，而且98本身也是和彪悍的故事背景有点像啊,0,2019-09-23 14:41,1
@南街红豆冰,,不认识万鹏，但沈月真的不可,0,2019-09-23 14:39,1
@赴舢,,我真是太喜欢万鹏了 万鹏我可以！！！,0,2019-09-23 14:38,1
@KouUTey,,万鹏可以！我觉得超级适合,0,2019-09-23 14:38,2
@齐雪球,,我选张子枫妹妹,0,2019-09-23 14:38,1
@你真酷o,,子枫妹妹,0,2019-09-23 14:38,1
@李小懒Lyt,,最好不要翻,0,2019-09-23 14:36,2
@李小懒Lyt,,都不合适,0,2019-09-23 14:35,2
@半熟小南瓜,,我觉得不翻拍比较合适,0,2019-09-23 14:34,1
@山药饼干紫薯泡芙,,万鹏可以！！！！杨大奔真的演的很好啊！！！！,1,2019-09-23 14:34,1
@你别偷我的甜,,能不能不要做对比 人选估计早就定了 现在搞那么多有意义吗 只会引战,0,2019-09-23 14:34,1
@南音玥,,这数据，沈月好惨,0,2019-09-23 14:33,1
@一罐七七,,我觉得别翻牌最好（疲惫）,0,2019-09-23 14:33,1
@陳_Loki大神,,不认识万鹏，但去看了微博，太成熟了。所以两个都不适合。,0,2019-09-23 14:30,1
@你笑起来怪吸引我的,,根据发型选演员吗？省下假发成本吗？,0,2019-09-23 14:26,1
@h岁月静好123,,小七很适合德善这个角色，长的好看演技也不错！,0,2019-09-23 14:26,3
@遇安_老师,,选谁无所谓，炒作招人烦。,0,2019-09-23 14:25,1
@EvitaHaeYi,,这是因为长得有点像惠利所以找的她们吗？要求不高，演技真实可靠就行，别演出来之后像傻白甜就好,0,2019-09-23 14:24,1
@胖大妮呀,,万鹏！！！(大声呐喊),0,2019-09-23 14:20,1
@耻端居,,滚啊……球球了，放过她们吧,0,2019-09-23 14:20,2
@宇多甜不瓜,,万鹏不是男的吗,0,2019-09-23 14:19,1
@小仙女要减肥zlx,,不管是谁都不支持翻拍请回答1988,0,2019-09-23 14:18,1
@郭不而,,我的印象中，德善是个有点大条的高个美女，性格外貌才是特点，发型不是，但是大家选的为啥都是可爱挂的？,0,2019-09-23 14:17,1
@不知道取啥名字就酱吧,,有毒吧，整天搞些有滴没的，默默等官宣不好吗,0,2019-09-23 14:15,1
@那一眼的时光,,我咋觉得是拉沈月出来溜呢，清一水的谁谁谁适合的，沈月不适合的,0,2019-09-23 14:02,1
@冉宝宝swag_,,说都不合适！,0,2019-09-23 14:01,1
@壹峰小屋LYF,,都挺喜欢的，都选吧,0,2019-09-23 14:01,2
@李家小屁孩鸭,,李婷婷！,0,2019-09-23 13:58,1
@SuperLittle-白,,都不适合,0,2019-09-23 13:56,1
@SunjHhhs,,李婷婷就是更像一些长得,0,2019-09-23 13:52,2
@爱到忘掉,,看名字还以为万鹏是个男的,0,2019-09-23 13:46,1
@随时随地发现新鲜事鸭,,周冬雨和马思纯演姐妹不行吗,0,2019-09-23 13:45,1
@蜜桃今天长肉了吗,,万鹏已经演过一次这样的角色了   可能不会再演吧…,0,2019-09-23 13:43,1
@咖哇咿的蛙牛,,哪个也不喜欢不要翻牌了留点经典吧,0,2019-09-23 13:43,1
@ins模特,,我觉得两个都不合适，！！说实话！！！,0,2019-09-23 13:42,4
@iq笑花,,我参与了@娱乐影视沸点 发起的投票【你觉得谁更适合出演德善呢？】，我投给了“万鹏”这个选项，你也快来表态吧~,0,2019-09-23 13:41,2
@shxckm,,李婷婷！！！！   冲啊啊啊啊,1,2019-09-23 17:11,1
@房东的胖虎,,柴小姐,1,2019-09-23 16:57,1
@不翻牌就凶你,,邢菲也还不错,1,2019-09-23 16:46,1
@吹海风的鱼r,,杨大奔冲鸭！！！,1,2019-09-23 16:45,1
@安尽安愁,,谁都不可以。只认原版。,1,2019-09-23 16:42,1
@爱亦菲你不可,,万鹏演技流畅自然，多多关注下这位新生代小花呦,1,2019-09-23 16:35,1
@热带雨林的心灵守护驿站,,都不可,1,2019-09-23 16:34,1
@熙悦deer,,投个锤子 不想被翻拍！ 如果非要投一个 我投我自己,1,2019-09-23 16:29,1
@CNT优品,,我以为万鹏是个男的,1,2019-09-23 15:49,1
@真不知道起个啥名好啊,,说实话，万鹏单说形象上更像德善，沈月可以演德善的姐姐,1,2019-09-23 15:47,1
@L是该牵去山上看看了L,,脸就不知道把左边那位甩到哪去了更不用说演技,1,2019-09-23 15:42,1
@锦鲤保初会过,,这个营销做的。。,1,2019-09-23 15:39,1
@我不是你要找的辣个人,,就事论事，如果一定要翻拍，我支持杨大奔柴小七！@万鹏er,1,2019-09-23 15:39,2
@感情就是这样啊,,只要不是沈月就行,1,2019-09-23 15:31,1
@只是一个梦啦,,万鹏的外星女生柴小七也超级好看，演技真的很棒,1,2019-09-23 15:27,1
@cckkkoko,,支持万鹏,1,2019-09-23 15:15,1
@小晴晴晴,,别翻牌经典 算我求你 公司给自己艺人找个好点的剧本都找不到么,1,2019-09-23 15:09,1
@小玉er-97,,大奔可以的。,1,2019-09-23 15:03,1
@对你念而不见,,讲真 就别翻拍,1,2019-09-23 14:58,1
