User,Reter,Comment,Votes,Time,Count
@-可愛尐痲吉-,,居然还有投票说有的，你们是香妃吗,263,2019-09-23 15:26,1
@小卷毛zzzzzz,,反正比男生香,148,2019-09-23 15:15,1
@头上顶个宇宙,,化妆品腌入味了,150,2019-09-23 15:28,1
@嗷呜哒呜哒,,有的女生是真的有，真的体香，不是香水味那种,104,2019-09-23 15:33,1
@番茄君loveM7,,化妆品和一些洗澡用品的味道吧，体味过分了，人体分泌的味道有好闻的么。,63,2019-09-23 15:35,1
@一条咸鱼8877,,有个鬼的体香。都是化妆品或者香水的作用,53,2019-09-23 16:49,1
@梦里寻思度,,一两天不洗澡的女孩为什么比一两天不洗澡的男生香?都不运动的状态下,20,2019-09-23 15:25,1
@Typicalnight爆爆,,男生也有体香吗？中学时候喜欢一个男生，他身上就有一种香味，也不是香水味道，就感觉是阳光的味道，哈哈哈。。。。,12,2019-09-23 18:35,1
@多幸运1128,,那些投有的，怕是有毒吧，你平时沐浴露，洗发水，身体乳怕是说起耍的啊,21,2019-09-23 17:22,1
@时间之终,,我妹妹就有，从不用化妆品的也只用肥皂的一个假小子，她自己闻不到。。。,3,2019-09-24 07:46,1
@名字很Low就这样,,服了说没有的 你自己没有不代表别人没有 你能化妆品腌入味也是厉害了 香水都没有敢说永久留香的 难不成你涂个粉底就有香味了 每个人身上的味道都不一样 我穿过的衣服 自己一闻就知道  牛逼,18,2019-09-23 20:29,1
@Sunafukin,,真的没有，只有可能是洗发精，沐浴露，没洗干净的洗衣液，香水，身体乳的味道。,15,2019-09-23 17:24,1
@爱喝可乐的咸柠七,,出汗的时候你还觉得香吗,0,2019-09-23 17:36,1
@花花公子帅章鱼wl,,精彩，目前有和没有各1.7万,6,2019-09-23 15:53,1
@404-405,,寻思啥呢？小说看多了吧，以为自己香妃咋地,6,2019-09-23 23:30,1
@忆里画笑,,其实真的没有   真的是各种沐浴露  面霜什么的腌透了  还有久久不散的香水味,7,2019-09-23 17:34,1
@乱炖的逗子,,@Chester丶Sum 你也有的,0,2019-09-24 23:21,1
@汉·唐·明,,不清楚，没谈过女朋友，长到二十多岁同桌也基本上没女的…感觉从小就是被一群基佬围着长大的,9,2019-09-23 16:13,2
@共你moumou,,说有的怕是都是群母胎单身狗吧,2,2019-09-25 00:15,1
@一个爱唱歌的小兔子,,我觉得可能是洗发水或者洗衣液或者润体乳的香味，因为每天不是洗头发洗澡就是洗衣服,5,2019-09-23 18:41,1
@蒲从月,,我就觉得我男朋友身上有股肉香,1,2019-09-24 14:59,1
@橘南rui,,真的有，高中隔壁宿舍有一个女生身上就是有那种婴儿的奶味儿淡淡的，不管什么时候都有,1,2019-09-24 07:54,1
