User,Reter,Comment,Votes,Time,Count
@致我们,,难，坚持，坚持好难,9,2019-09-25 12:59,3
@倪洪寅喜欢蓝色,,且丧且孤独吧,14,2019-09-25 12:55,1
@可乐Coco丶,,每天说自己太难了生活真的会变难的，不妨每天给自己加加油，打打气，做些简单的改变，和乐观的人交朋友，听自己开心的事。,3,2019-09-25 13:39,3
@愿念似风,,有些话说出来显得不大度 可我确实不开心,7,2019-09-25 13:22,2
@辰安DAYTOY,,努力奋斗中 完成自己的目标,0,2019-09-25 19:59,3
@确实假粉,,写作业，交作业，交完上课接到新作业,0,2019-09-25 13:24,3
@蒋雅秀Ven,,祝大家都能过上自己想要的生活,1,2019-09-25 20:34,3
@NANANANANA8,,想要努力改变却没有方向,1,2019-09-25 13:06,1
@LLL-Ehl,,努力改变,1,2019-09-25 12:49,1
@makinnnnnng,,不开心，很丧，想哭,0,2019-09-25 21:31,3
@Veromca与笛,,别人羡慕，可自己有多难没人知道，说了别人也不信，没有任何选择的权利，只能被动接受，改变不了无能无力,0,2019-09-25 13:27,3
@biubiu吡u,,上班被甲方支使，下班家里养男人，周末还要被娃支配，没有一天是我自己。活在了无限循环中。我参与了@牵念 发起的投票【你现在真实的生活状态是怎样的呢？】，我投给了“我太难了”这个选项，你也快来表态吧~,0,2019-09-25 13:26,2
@BQajxns-,,想死却又不敢,2,2019-09-25 13:02,1
@沐沐沐六六啊mua,,最最满意的永远是明天,1,2019-09-25 12:49,1
@makinnnnnng,,不开心，很丧，想哭,0,2019-09-25 21:31,3
@蒋雅秀Ven,,祝大家都能过上自己想要的生活,1,2019-09-25 20:34,3
@辰安DAYTOY,,努力奋斗中 完成自己的目标,0,2019-09-25 19:59,3
@可乐Coco丶,,每天说自己太难了生活真的会变难的，不妨每天给自己加加油，打打气，做些简单的改变，和乐观的人交朋友，听自己开心的事。,3,2019-09-25 13:39,3
@Veromca与笛,,别人羡慕，可自己有多难没人知道，说了别人也不信，没有任何选择的权利，只能被动接受，改变不了无能无力,0,2019-09-25 13:27,3
@灵微草,,满足，生活要求不高，但想买属于自己的小房子，所以趁年轻，努力一下,0,2019-09-25 13:26,2
@makinnnnnng,,不开心，很丧，想哭,0,2019-09-25 21:31,3
@蒋雅秀Ven,,祝大家都能过上自己想要的生活,1,2019-09-25 20:34,3
@辰安DAYTOY,,努力奋斗中 完成自己的目标,0,2019-09-25 19:59,3
@可乐Coco丶,,每天说自己太难了生活真的会变难的，不妨每天给自己加加油，打打气，做些简单的改变，和乐观的人交朋友，听自己开心的事。,3,2019-09-25 13:39,3
@Veromca与笛,,别人羡慕，可自己有多难没人知道，说了别人也不信，没有任何选择的权利，只能被动接受，改变不了无能无力,0,2019-09-25 13:27,3
@灵微草,,满足，生活要求不高，但想买属于自己的小房子，所以趁年轻，努力一下,0,2019-09-25 13:26,2
@biubiu吡u,,上班被甲方支使，下班家里养男人，周末还要被娃支配，没有一天是我自己。活在了无限循环中。我参与了@牵念 发起的投票【你现在真实的生活状态是怎样的呢？】，我投给了“我太难了”这个选项，你也快来表态吧~,0,2019-09-25 13:26,2
@确实假粉,,写作业，交作业，交完上课接到新作业,0,2019-09-25 13:24,3
