User,Reter,Comment,Votes,Time,Count
@记者有话说,,欢迎关注，随时更新香港动态！,171,2019-09-23 20:50,1
@CL没有微博,,恕我直言，您真的就是彻头彻尾的粉红生意人 恕我直言您真的比废青好不到哪去 有脑子吗心不痛吗 呕,269,2019-09-23 20:49,1
@吃油泼面爱就蒜,,想知道各种关于香港的图片里面的五大诉求是什么，这么多关于香港的报道，愣是没看到介绍这五大诉求的内容，有人给普及一下吗？不管合理不合理，就是想知道他们的诉求是什么（我不觉得纯粹是想搞独立）,65,2019-09-23 23:37,1
@斗战胜佛武,,清除政府部门外籍人员,101,2019-09-23 14:17,1
@故人北岛,,我觉得和平收复台湾可能的，不过有生之年或许看不到。中国发展迅速，岛内局势紧张，这些都是明眼人能看得到的，台湾民众不是傻子，日子过得好坏还是能分清的。反倒是港台地区的普通民众，对于大陆认识不够深切才是真的。中国领导人集体，大风大浪都见过，自然比咱们普通人更知道该怎么做，对吧。,32,2019-09-23 21:05,3
@3Superman-,,原来的假的五大诉求是什么啊,5,2019-09-25 16:51,1
@故人北岛,,我觉得那些说一国一制的认真的很蠢。首先，如果美国发动贸易战，中国的贸易，可以把香港作为一个中转，实现低关税，再从香港到达美国，这个对中国来说很关键。澳门不能在贸易上承担香港的角色。如果一国一制，美国高兴，香港这个世界级自由贸易港将发生重大的地位变化，香港不再拥有自己的低关税制定。,44,2019-09-23 20:54,3
@2019shuisi,,我说句实话啊，看了好多，而且今天刚刚看了一条微博，他是和相当很多朋友聊了以后，香港支持独立的人超过我们的想象，可能已经超过半数。所以他们只是反对暴力，但是不反对抗争。他们要求一人一票来选港独大陆同意一人一票的普选，但是备选人必须爱国。,11,2019-09-24 04:55,1
@洋葱头炒洋芋头,,23条必须立法！,30,2019-09-23 14:16,1
@哈哈哈江城,,别动不动14亿，谁跟你14亿了……,41,2019-09-24 02:02,1
@Sofia_Ji_Spain,,不要算上我，我让你代表我了？,30,2019-09-24 04:02,1
@李若苗啊_,,你别代表我    我不听你的    只听zf的   你说啥关我屁事别代表我   滚,13,2019-09-24 08:25,1
@花花Deity,,看了大家的评论。很多人都有独立认知，而不是用着一腔热血的爱国情绪来看待这个问题。我们要在指出他人错误的同时找出自己的问题，又有自己的独立看法不能被官媒和营销号左右思想。,16,2019-09-24 22:25,1
@依法治港,,为23条 是什么？,0,2019-09-23 15:17,1
@夜寒轩kl,,支持！加油！,7,2019-09-23 14:23,2
@垃圾微博能改id,,别乱代表我们，滚,21,2019-09-23 21:45,1
@英国差评君,,华为，我先买了！,0,2019-09-24 04:39,1
@钟鼓琉离,,你脸真大还能代表这么多人的良知hhhhhhh 舆论战需要这样的东西造势是没问题啦，但是做好被友军骂的准备，我先骂为敬。 tmd凭什么代表我,12,2019-09-24 07:22,1
