User,Reter,Comment,Votes,Time,Count
@抖森喵,,有汉服啊！你们都不看的吗？,3758,2019-09-26 19:56,1
@惟楚有材,,苗族那种穿金戴银一看就很贵,1803,2019-09-26 19:54,1
@荆棘遇笑,,蒙古族在这里！爱祖国,1752,2019-09-26 19:56,1
@媚ZMzmAC,,我是土家族,1483,2019-09-26 19:56,1
@-Kkkiyomilee820,,壮族人民前来报道,1016,2019-09-26 19:56,1
@海上雄鹰kkk,,56个民族56朵花，56个民族是一家！,782,2019-09-26 19:53,3
@大奎甜葵,,汉族的？,699,2019-09-26 19:53,1
@Ayu锦鲤,,汉族终于有自己的衣服啦！这点为人民日报点赞！以前穿的都是些什么鬼…,761,2019-09-26 20:11,1
@矜持小女孩儿,,大汉民族给我冲呀。。。,475,2019-09-26 20:48,3
@SorenKierke,,评论太敏感了吧，神经病？,120,2019-09-26 23:19,1
@行思梦,,汉服。,127,2019-09-27 09:02,3
@陈清扬是那个陈清扬,,彝族在这里,130,2019-09-26 21:29,1
@高一涵_,,满族满族！满族在这里！！,133,2019-09-26 22:08,1
@静小泉QAQ,,我选汉服,142,2019-09-26 19:52,1
@gulzat_fairy,,哈萨克族来啦,135,2019-09-26 21:13,1
@陈家小燕儿,,看到你们叽里呱啦的，真该庆幸不是西方国家的那一套，不然五十六个民族打起来，画美不看,77,2019-09-26 20:06,1
@湖中医王聪明,,满族报个到，祝祖国繁荣昌盛（别骂我。。。）,80,2019-09-26 21:20,1
@麦威浪浪,,回族！,116,2019-09-26 21:58,1
@LoveMrPark,,回族,108,2019-09-26 22:19,1
@声讽,,本回族女孩冲鸭！！！,105,2019-09-26 22:12,1
@H-miriam,,怎么没有汉族的衣服呢,42,2019-09-26 19:55,1
@李子不甜啊cc,,回族！回族！,64,2019-09-26 21:16,1
@___刺___,,汉,50,2019-09-26 19:53,1
@黑夜望天明,,不断强调民族差异，民族主义不断飙升 你们当局者不知道玩啥,42,2019-09-26 21:58,1
@当Kaulitz91,,哈尼族,35,2019-09-26 21:29,1
@Leetaadh,,白族在这里！我爱祖国！,46,2019-09-26 23:30,1
@TabSang-,,藏族哒,39,2019-09-26 22:24,1
@背带兔叽,,汉族在这里,39,2019-09-26 20:18,1
@四线流氓,,彝族人民前来报道,34,2019-09-26 21:17,1
@王美丽她叔,,汉服,37,2019-09-26 20:06,1
@浮云散201808,,有汉服,24,2019-09-26 21:16,1
@王晓雪雪snow,,汉服是被承认是我们汉族的名族服装了嘛,19,2019-09-26 22:46,1
@乄丶夏花灬,,敢不敢推行汉服，让我们在重大节日里也可以穿上属于我们自己的服饰。,17,2019-09-27 06:02,1
@吃几个糖,,汉族作为第一大民族，在官方上从来没有过自己的名字，这次给个位置是很过分的要求吗,14,2019-09-27 09:05,1
@卿与旧寒,,汉服有姓名了www,15,2019-09-26 23:38,4
@好len多钱,,回族女孩！！,20,2019-09-26 23:09,1
@电影川藏线,,汉族呢？,13,2019-09-26 19:55,1
@曹阿瞒不错,,我看到汉服了,17,2019-09-26 22:54,1
