User,Reter,Comment,Votes,Time,Count
@今天杨幂睡到我了嘛,,原来菠萝蜜的核是可以吃的,388,2019-09-26 11:22,1
@常欢乐儿,,想请教二十，怎样切菠萝蜜不粘手，不粘刀,266,2019-09-26 12:13,1
@梦回盛唐打麻将,,二十心情好好啊,83,2019-09-26 12:44,1
@吃了糖的小怪兽,,裙子裙子裙子，好好看，虽然我们这边天气不允许我穿了，可我能买了明年穿呀，二十能给个链接吗,95,2019-09-26 11:21,1
@还是sure啊,,我的妈耶二十你徒手掰榴莲吗？？！（服气得瑟瑟发抖） 评论配图,82,2019-09-26 11:22,1
@君兮玥儿啊,,啊，真是乱搭小天才,76,2019-09-26 13:55,1
@盖盖不睡懒觉,,哼那个红衣男子是谁,23,2019-09-26 13:55,1
@何潇洒今天开心吗,,既然二十做出来了 那我就吃,19,2019-09-26 11:11,1
@ZXLzxlzxlzzz,,飞哥貌似又胖了，哈哈,7,2019-09-28 14:18,1
@想当易烊千玺的圈外女友,,啥家庭啊  菠萝蜜买一整个  我羡慕了,133,2019-09-26 11:20,1
@嘭嘭嘭hey彭,,猪肚肯定咬不动呀,76,2019-09-26 11:13,1
@Wo吃wo吃-Lily,,我月子里吃了五次榴莲煲鸡,45,2019-09-26 11:05,1
@香菇儿酱,,好喜欢这种感觉，如果可以  只想这样永远一个人过精致的生活,61,2019-09-26 11:05,1
@我是美食的铁粉,,其实除了榴莲煲鸡之外，还有一个很出名的水果菜是我喜欢的，当当当当……就是……菠萝咕咾肉。,58,2019-09-26 11:51,1
@热爱宇宙和清晨,,,21,2019-09-26 11:18,1
@言她她,,土豪,17,2019-09-26 11:29,1
@新柔-,,无法下口的菜,27,2019-09-26 17:56,2
@新柔-,,南方人表示难吃  黑暗料理,21,2019-09-26 17:57,2
@蜡笔小宇鸭,,怎么老买热搜,17,2019-09-26 13:25,1
@赵冥伊,,#无法想象的水果炒菜# ,7,2019-09-26 11:11,1
@兔子先生yaa,,榴莲鸡汤看上去真的好鬼畜啊,12,2019-09-27 00:10,2
@左大傻呀,,傻傻凤梨茶,6,2019-09-26 13:10,1
@你滚滚_,,我以为这个会变成拔丝哈哈。这集都是我没见过的菜，每次看视频都是一种享受,9,2019-09-26 12:40,1
@喻鱼儿啊,,天呐，能买整个榴莲的人，羡慕,6,2019-09-26 12:15,1
@一枝rows,,颜值很可以！！！,6,2019-09-26 11:09,1
@with_4444x_,,我超喜欢榴莲炖鸡的，从来没觉得这种搭配违和,3,2019-09-27 09:13,1
@李佳妮妮妮妮,,颜值满分,3,2019-09-26 11:08,1
@少年的三千四百天,,对我来讲菠萝蜜比榴莲臭，菠萝蜜太臭了,4,2019-09-26 16:13,1
@于朦胧的小阔爱,,大半夜看着你吃榴莲的我太可怜了,4,2019-09-26 23:51,1
@然然后_H,,总出现在马上要去食堂吃饭的时候 ,3,2019-09-26 11:20,1
@长安巷尾的养花人,,不能吃榴莲的我，唉,2,2019-09-26 11:11,1
@烦死辣什么名字都不可用,,是非常想吃了,1,2019-09-26 11:07,1
@备哥哥0,,妈呀！这个菠萝蜜！看着就开心,3,2019-09-26 11:03,1
@雨後晚安,,猪肉太贵了,1,2019-09-26 17:19,1
@蛋卷_rool,,我喜欢闻榴莲的味道但是不怎么喜欢吃，为什么,2,2019-09-26 13:19,1
@喜欢美戳的Belieber,,这么大一菠萝蜜,1,2019-09-26 13:06,1
@小凝的记忆,,整个菠萝蜜，东北人伤不起,1,2019-09-26 11:53,1
@蹲一个白,,@郭哔哩 想吃！哥 我回来你可以安排一下榴莲吗,1,2019-09-26 11:39,1
@沫沫沫沫沫妮儿,,菠萝蜜核放太晚了，没挂上糖霜,3,2019-09-26 21:16,1
@香叶609,,黑暗料理吗,3,2019-09-27 05:48,1
@慌学,,妈耶，想吃！,1,2019-09-26 11:58,1
@後来锝窝,,这个猪肚肯定咬不动,2,2019-09-26 11:45,1
@行之Em,,你男朋友居然是个胖子，火大,1,2019-10-20 11:23,1
@地平线起点魔法袋99,,求砂锅地址,1,2019-10-18 22:59,1
@方子是个酷盖呢,,而是你太美了,1,2019-10-14 10:45,1
@宁小淇淇,,谁取到你幸福哦,1,2019-10-06 12:54,1
@有萍自远方来,,看到整个菠萝蜜和榴莲，表示，真有钱,1,2019-10-04 14:52,1
@姚思凡儿,,你在干什么，什么都觉得，二十是最厉害的！,1,2019-09-26 13:29,1
@_sayhai,,这么大的菠萝蜜我太羡慕了,1,2019-09-26 13:20,1
@宅女的洞天福地,,我的天呀，每道菜的色调都好诱人,1,2019-09-26 11:45,1
@热心市民王优秀本人,,来了来了,2,2019-09-26 11:38,1
@夜空中最亮的那颗星miss,,色香味俱全，爱了爱了,1,2019-09-26 11:34,1
@桃桃酱吖,,耶第四,1,2019-09-26 11:03,1
@Uojiahui,,,1,2019-09-26 11:03,1
@是我啊我我我我,,看着好吃的！！！,1,2019-09-26 11:02,1
@奥黛丽奶球,,来了,2,2019-09-26 11:02,1
