User,Reter,Comment,Votes,Time,Count
@迪迪和你拼啦,,好看吗,402,2019-09-28 12:55,1
@杨幂魏大勋官宣没有,,我喜欢这只狗，能送我吗,723,2019-09-28 12:53,14
@琴师清绾,,狗狗真的超级可爱啊！！！！这部电影确实很不错,400,2019-09-28 12:55,3
@_CRUSHX,,这个是不是有一部日剧,278,2019-09-28 12:57,1
@最美的最棒的,,还没有看过这部电影呢，好看吗,67,2019-09-28 12:55,2
@山茶吗,,只有我一个人觉得这部剧难看吗,55,2019-09-28 14:15,6
@今日宝藏,,除了配音尴尬 别的都很好,99,2019-09-28 14:51,31
@文艺小飞象,,因为家里从小就养狗的缘故，看这个电影从头哭到尾，哭抽的那种，散场后很尴尬,94,2019-09-28 14:27,1
@鑫鑫兴兴咩咩咩,,#会火娱乐快报# 【#小Q票房破亿# 】恭喜恭喜呀，其中有我的一份力哦,53,2019-09-28 12:55,2
@清澜画忆,,#小Q票房破亿#这种类型的电影我好喜欢 导盲犬真的很喜欢了 评论配图,20,2019-09-28 12:55,4
@星辰里有你_,,#小Q票房破亿# 恭喜恭喜呀，希望多拍一些这个类型的剧，狗狗是我们的好朋友,31,2019-09-28 12:55,2
@九磅五便,,恭喜票房破亿，好的电影会被所有人看见的尤其是这么温暖的电影,30,2019-09-28 12:57,1
@童话般的菇凉,,恭喜电影小Q票房破亿,16,2019-09-28 13:46,1
@小谷子要努力,,觉得不好看，剧情老套很尴尬，可是周围不少人看哭了，我以为我看了假电影,11,2019-09-28 22:45,1
@妖姬金,,@周小乖请开心 想看,2,2019-09-28 14:40,1
@爱你译添,,小Q这电影真心的好看，看了我都感动了，票房大卖，值得二刷 评论配图,8,2019-09-28 12:58,2
@今天的我超甜哦,,#小Q票房破亿# 虽然我还没有看过，但是狗狗真的是人类最忠实的朋友，导盲犬真的很值得人敬佩,6,2019-09-28 12:55,2
@弦子,,想起导盲犬小Q的故事。好暖好虐，都要好好的。支持！,7,2019-09-28 13:28,1
@嘿_我胖到你了,,果不其然！真的太棒了！看得我哭得稀里哗啦地,9,2019-09-28 13:02,2
@被神宠爱Y,,小狗狗真的好可爱啊，导盲犬真的很好了，真的是一部很有意思的电影 评论配图,6,2019-09-28 13:00,2
@熙颜儿24,,#小Q票房破亿# 这个真的很好看，祝贺小Q票房过亿 评论配图,7,2019-09-28 12:56,3
@蠢猪佩奇o,,题材很好的一部电影。值得大家去看，再加上这么多的实力演员。必须支持#会火娱乐快报# 评论配图,4,2019-09-28 12:55,1
@我是花心白1551,,当开始哭了，就再也停不下来了。彩蛋放完了才勉强止住眼泪，走出影院的时候眼睛都是肿的,6,2019-09-28 12:58,1
@阿干v,,为了我家的拉布拉多准备去看这部电影,2,2019-09-28 20:50,1
@福特语,,袁姗姗这么凉了吗,0,2019-09-28 14:35,1
@Ivy正在减肥,,这是翻拍片呀，原版我看过，催泪。,4,2019-09-28 13:08,1
@韩旭bu含蓄,,呵呵，日本的导盲犬小Q才是原版，推荐大家看看，小日本的这个电影还真挺好，不理解为啥要抄袭,6,2019-09-28 14:55,1
@鯟天不芐雪,,剧情虽然老套但不妨碍我后半段哭成狗,1,2019-09-28 17:05,1
@CoCo祁小兮,,@高萌萌喽 破亿了,1,2019-09-28 14:43,1
@missqitong,,#小q票房破亿# 哎呀，好棒呀，希望有更多的人走进影院观看我们小可爱啊,1,2019-09-28 14:38,1
@妡予,,一人一犬的羁绊，满满的温暖与感动，支持华哥,4,2019-09-28 14:17,1
@点金胜手Estelle,,,1,2019-09-28 13:15,1
