User,Reter,Comment,Votes,Time,Count
@鲁冰花903,,喜欢,1,2019-10-11 18:08,1
@来自谢拉格的杜王町居民,,婉儿现在伤害削啦没什么好ban的，不如ban辅助,1,2019-10-16 09:26,3
@鯉魚青草莓,,我们潮剧代表作&lt;杜王斩子&gt;,4,2019-10-11 18:30,1
@kiku鞠骑祎,,求求你们了，别ban婉儿了，我就靠他上分了，用别的真的上不去了,1,2019-10-11 19:26,1
@舔一口小小酥,,有点好看,0,2019-10-11 23:21,3
@代号桥务,,知道啦,0,2019-10-11 21:02,3
@无解哟zx,,姐姐可以练,0,2019-10-11 20:12,1
@realiann,,是粤剧还是越剧,0,2019-10-11 18:30,1
@灬断丶意灬,,为了护住我的双亲，我将化身为亲妈收割者，我先收割你妈,0,2019-10-11 18:29,1
@易拉罐里的兔子,,完了，我想充钱了,0,2019-10-11 18:05,1
@杨小姐带我走江湖,,我就知道是梁祝！！？那个蝴蝶不会骗人！！！,0,2019-10-11 16:29,1
@欢乐美绪,,锤子都锤烂了还青蛇,1,2019-10-11 20:17,1
@Lmeni共,,nb婉儿永远在对面，我tmd也不知道为啥,1,2019-10-11 16:25,1
@小杯Fear政,,有丶像元歌的傀儡,0,2019-10-11 16:59,1
@生如夏花3274734285,,五周年预约河北梆子皮肤,0,2019-10-11 20:12,1
@熊郜茁,,什么时候跟潮剧来结合一个皮肤,0,2019-10-11 19:47,1
@逄耿泵,,诸葛哥哥最帅了,0,2019-10-11 19:44,2
@晓恶笑扇,,Ban,0,2019-10-11 19:24,1
@駭災噫,,真的是，现在已经不怎么玩了，但是不舍的卸载，偶尔上去看看,0,2019-10-11 19:22,1
@三亚时光旅景-玲霞,,关我屁事 我又学不会,0,2019-10-11 19:19,1
@惠企网_722,,又不会玩 出了也没诱惑力啊,0,2019-10-11 19:14,1
@爱让人慌神你令我沉沦,,不是早就实锤了吗,0,2019-10-11 19:12,1
@Terry-赵,,嘿嘿嘿,0,2019-10-11 19:10,1
@医生不好做,,手残党对这个游戏，纯靠热爱坚持,0,2019-10-11 18:40,1
@宝mosquito颜清,,我说梁祝实锤，是婉儿谁不知道啊,0,2019-10-11 18:34,1
@用户oomu35ftm3,,作为广东人我也好想出,0,2019-10-11 18:20,1
@执许于染,,一直在我的ban位，没出来过哈哈哈,0,2019-10-11 18:17,1
@李笑笑的地盘,,希望语音不要像甄姬那样咿呀咿呀的,0,2019-10-11 18:16,1
@野小马儿jack,,优秀,0,2019-10-11 18:15,1
@either的幸福_710,,真的是，现在已经不怎么玩了，但是不舍的卸载，偶尔上去看看,0,2019-10-11 18:05,1
@一口小小酥ovo,,@舔一口小小酥 ,0,2019-10-11 18:04,1
@qu个名字好难嗄,,nb婉儿永远在对面，我tmd也不知道为啥,0,2019-10-11 17:41,1
@莎莎ys_292,,所以上天时会化蝶吗,1,2019-10-11 17:39,1
@乌昝古帕,,还有一位是谁,0,2019-10-11 17:01,1
@cai_850324,,好的嘻嘻,0,2019-10-11 16:45,1
@却弓弓堪,,呜呜，我的婉儿不会飞,0,2019-10-11 16:35,1
@宿命角落的尘埃,,嘻嘻是滴,0,2019-10-11 16:30,1
@宝宝2202014,,姐妹口吐芬芳,0,2019-10-11 16:26,1
@米小花的大警察,,关我屁事 我又学不会,0,2019-10-11 16:23,1
@逄耿泵,,那就放心了,0,2019-10-11 16:22,2
@long_jk时儒,,为了护住我的双亲，我将化身为亲妈收割者，我先收割你妈,0,2019-10-11 16:14,1
@包治百病的板蓝根本尊,,昨天看到有人说青蛇,0,2019-10-11 16:01,1
@朤朤朤520,,禁用,0,2019-10-11 15:57,1
@来自谢拉格的杜王町居民,,婉儿现在伤害削啦没什么好ban的，不如ban辅助,1,2019-10-16 09:26,3
@舔一口小小酥,,有点好看,0,2019-10-11 23:21,3
@代号桥务,,知道啦,0,2019-10-11 21:02,3
@来自谢拉格的杜王町居民,,婉儿现在伤害削啦没什么好ban的，不如ban辅助,1,2019-10-16 09:26,3
@舔一口小小酥,,有点好看,0,2019-10-11 23:21,3
@代号桥务,,知道啦,0,2019-10-11 21:02,3
