User,Reter,Comment,Votes,Time,Count
@记者有话说,,大家怎么看此事？,1888,2019-09-28 16:23,3
@宁姐姐萌萌,,中国人不要天真，西方人真的很种族主义，他们的政治正确只对黑人，而且黑人也跟着白人一起歧视黄种人，国内的那些幻想白人社会的美好的请醒醒？睁眼看看，不要瞎美化，想清楚再开口,8202,2019-09-28 09:07,1
@经典绝对,,脸书本来就反华。被开除一个员工。很正常。国外种族主义本来就盛行，少见多怪。闹一闹多赔些钱，保障孤儿寡母的生活，才是硬道理,2936,2019-09-28 09:01,1
@Mx寒,,為什麼要去臉書工作？它對中國有什麼好的,942,2019-09-28 09:00,1
@shiki0001,,删帖封号不就是这帮歪屁股干的吗？,756,2019-09-28 09:03,1
@qu422,,他也是为了赚钱养家，我倒不至于上升到什么脸书反华，他不过就是默默社畜中的一个，对于这种事没什么好说,611,2019-09-28 09:05,1
@那一天你说你要走,,他跳楼是因为什么？,162,2019-09-28 09:00,1
@Bella小瓜,,我算是明白了 真是一盘散沙 分明是同胞被不公平对待了 还有人说风凉话 。这些人祝福你们一辈子都没有出国深造的机会 子孙后代永远都闭门造车,209,2019-09-28 22:59,1
@雪菲兰梦,,想起国家对外国人的优待，在想起国人在外企差别对待，可悲啊,257,2019-09-28 09:10,2
@cutiecco,,“虽然陈勤已经在美国工作8年，但他仍没有拿到绿卡，只有工作签证” 请问有人知道为什么不可以换绿卡吗,110,2019-09-28 09:26,1
@知行合一行动是开始,,一个在美国工作的美国人跳楼了  你们激动什么...,100,2019-09-28 14:48,1
@杨超越妹妹最可爱,,活该 美国人就美国人扯什么华裔 出了事了想起来蹭中国人热度？摔死十回都算他活该,78,2019-09-28 10:01,2
@汤勺的冬天,,这现场的华裔女也是演技一流啊。,67,2019-09-28 09:32,1
@我要换个有意思的ID,,原来的新闻报道是因为绩效考核不合格要辞退，她接受不了就跳楼了，这个营销号只说了跳楼，没说原因。我也在外企工作，现在也是面临绩效太差过不了考核，可能年底也要被辞了吧，不过我不会跳楼自杀，此处不留爷，自有留爷处！,108,2019-09-28 15:05,1
@再也不要做一个弱者,,评论真的挺恶臭的,92,2019-09-28 15:38,1
@夫见夫见矢巨矢巨,,辞退就跳楼，集会要赔偿？视频说为家属争取更好的物质生活，难道不应该是为还活着的中国工人争取更平等的对待吗？,77,2019-09-28 09:24,1
@-冯伟杰-,,讲道理，这个是为了尊重生命而声讨，你为啥又把删账号的事拉进去？一码归一码，唯恐天下不乱？,80,2019-09-28 10:56,1
@GB去盘pipi啊,,评论区有些人也太恶臭了,63,2019-09-28 14:58,1
@假淡定哥,,国人对待任何事情，总是先冷嘲热讽下，以此炫耀自己的多了不起，然后在立场下，生命也不值一提，戾气到底有多重？我希望人与人不会有地域歧视，不会有肤色对立，国与国不会有嘲笑对比，对立只是政客们搞出的东西，我们何时能摆脱被牵着走的觉悟？,68,2019-09-28 19:20,1
@么得感情先森,,评论的素质我也是服了，能不能就事论事，自己同胞死了，居然在声讨他为什么在脸书工作？照你这么讲，美国对中国有威胁，那所有在美国工作的人都是错的吗？,74,2019-09-28 15:06,1
@海豚女孩在这里,,,66,2019-09-28 09:13,1
