User,Reter,Comment,Votes,Time,Count
@吃不胖的甜心超人,,70年国庆就这样了！100年国庆呢？我的天，我都不敢想！！！！,10799,2019-09-29 12:38,7
@浅浅笑笑0808,,太秀了，我愣了一下,6874,2019-09-29 12:35,1
@性科普bot,,这盛世如你所愿，有幸生在今日之中国,3973,2019-09-29 12:35,6
@枸橼酸,,文明圣火，千古未绝者，唯我中华,2494,2019-09-29 12:38,5
@敷尔佳吖-,,这个也太秀了吧,1198,2019-09-29 12:36,7
@桃樱小夭,,很酷  ,714,2019-09-29 14:13,1
@忆铮笙1944,,羡慕首都人民,653,2019-09-29 14:26,1
@晓燕子君,,我去！！！！我要去看书组织词汇！,512,2019-09-29 14:31,2
@娱小猫的喵,,我和祖国共成长，祝福我强大的祖国更加繁荣昌盛,299,2019-09-29 13:13,2
@帝都都督,,晚上塔顶餐厅还营业吗,149,2019-09-29 12:40,3
@九兮BX_Devotion,,玉渊潭公园里扎个帐篷看一宿吧,15,2019-09-29 13:03,1
@时代楷模发布厅,,这个灯光秀，太秀了！为祖国腾飞点赞！,12,2019-09-29 14:03,1
@最诗词,,祖辈流传桑梓地， 锦绣山川处处花,3,2019-09-29 14:59,3
@zaharz,,震撼！！,4,2019-09-29 13:26,6
@天现宝宝616,,666,5,2019-09-29 13:21,1
@-西瓜大又甜,,祝祖国繁荣昌盛,1,2019-09-29 13:56,1
@风之旅蛙,,火箭被外星飞碟吸走了,3,2019-09-29 12:55,1
@85号椰子糖小饼干,,我和祖国共成长,2,2019-09-29 12:35,2
@liangyufei飛,,我以我是中国人为荣，我以我生在现在之中国而感到荣幸！,2,2019-09-29 13:36,1
@向上的光_moonlight,,我想去看,2,2019-09-29 12:55,2
@燕児衔泥,,好酷,1,2019-09-29 18:49,1
@逃夭阿,,,1,2019-09-29 18:37,1
@我是小瓶瓶子,,这个灯光秀太震撼了,1,2019-09-29 18:35,3
@四玺丸子的小小熊,,#我和我的祖国#  太震撼了，骄傲了,1,2019-09-29 17:09,1
@花海一片兮,,这么牛逼的,1,2019-09-29 17:07,2
@卡玺丸,,@小裁缝的菠萝 想看你的直播,1,2019-09-29 16:55,1
@海也幽蘭·峰格,,祝愿祖国繁荣昌盛,1,2019-09-29 16:55,1
@芸烬Sean,,到100周年还得了,1,2019-09-29 16:15,1
@岚丶Y,,太好看了!,2,2019-09-29 16:15,1
@是甜甜呀__,,哇！！！！！！！！！！！！！！！！,1,2019-09-29 15:44,3
@星娱乐八卦,,为何如此优秀！哈哈哈！赞！,1,2019-09-29 15:19,1
@忘羡一曲远曲终人不散1005,,太酷了,1,2019-09-29 15:13,1
@翠花花啵hz,,优秀,1,2019-09-29 15:10,1
@是追现少女啊,,好想去打卡！太酷了！,1,2019-09-29 15:07,2
@xxxiG_Wincl,,我滴祖国妈妈呀，这也太可以了吧,2,2019-09-29 15:06,1
@念念相忘吧,,我还以为真的是火箭,2,2019-09-29 14:46,1
@世界好大Da大得好可怕,,北京欢迎你,1,2019-09-29 14:41,1
@准备就绪要做个发光体,,#中央电视塔变成火箭了#    祝福强大的祖国更加繁荣昌盛,1,2019-09-29 14:39,1
@云遥,,关注一下，隔壁马斯克在造真火箭,1,2019-09-29 14:35,1
@张家筱妞兒,,震撼到我了！祝中国繁荣昌盛！,1,2019-09-29 14:28,2
@权-Anny,,,1,2019-09-29 14:19,1
@齐神仼之,,哇，酷,1,2019-09-29 14:02,7
@晛時里的瞳話,,太优秀了！！,1,2019-09-29 12:50,1
@jsntongtong,,这灯光秀好棒，为祖国的强大点赞，祝祖国母亲生日快乐,1,2019-09-29 12:50,1
@叁月_bjt,,优秀！,1,2019-09-29 12:48,1
@三缄大卫,,热血沸腾！,1,2019-09-29 12:35,2
@景行行止DAYTOY,,哇噢，我和祖国共成长,1,2019-09-29 12:35,1
@星星ALLJ,,中国繁荣昌盛,2,2019-09-29 12:35,2
@败家小娘子ing,,科技时代，不是吹的,3,2019-09-29 13:17,1
@我见过这个哥哥,,不知道为什么，看到就感动的要哭,3,2019-09-29 12:54,2
@大大穆姑娘,,突然感动了，果然年纪大了，容易哭,1,2019-09-29 17:57,2
@新生turbo,,真棒！我爱我的祖国！我一定会好好努力！做一位合格的青年,2,2019-09-29 17:21,1
@千玺哥哥and宸,,厉害了,1,2019-09-29 15:30,1
@柴子-,,这个有点太厉害了啊！,1,2019-09-30 12:19,1
@北蒙岛的雨季__,,厉害我的国,1,2019-09-30 08:06,1
@少侠姓吴不喝酒,,这个好看,1,2019-09-29 17:44,1
@Soybean_lee,,这个灯光太牛逼了,1,2019-09-29 17:34,1
@武大郎的亲爹,,厉害了，我的国！,1,2019-09-29 17:26,1
@茹儿儿儿,,我爱你中国,1,2019-09-29 17:18,1
@吃菠萝的小萝卜_,,哇，这灯光秀太赞了！祝祖国繁荣昌盛,1,2019-09-29 17:18,1
@绿里的奇迹,,中国，秀秀秀啊，这是秀给全世界看啊，30年后，中国的医疗事业也将会有我的一块砖！！和大中国一起加油！！,1,2019-09-29 17:07,2
@Nice鑫仔,,#中央电视塔变成火箭了#   霸气,1,2019-09-29 16:56,1
@梅溪湖的雁子77,,哈哈哈哈真的太秀了!祝祖国生日快乐,1,2019-09-29 16:13,1
@同學薛伟,,长5加油鸭,1,2019-09-29 16:08,1
@real孙大圣,,纳尼，电视塔飞了,1,2019-09-29 16:02,1
@鱼得水猴占山,,又让我骄傲的不得了,1,2019-09-29 16:02,6
@松露巧克力oo,,这两天咋和过年一样呢,1,2019-09-29 15:59,1
@MD小葵,,太酷了吧！,1,2019-09-29 15:56,1
