User,Reter,Comment,Votes,Time,Count
@lannou,,这个章鱼是要去买菜？,871,2019-09-28 23:08,1
@iemily0405,,没骨头的好喜欢别人的壳,662,2019-09-28 22:28,1
@邓等等_x,,@噗嗤嗤噗哈哈啊哈 哈哈哈哈哈,0,2019-09-29 15:47,1
@你比从前可爱多了,,@Ether_vi @香辣脆脆鸡 想养  在哪能弄到手,0,2019-09-29 13:13,1
@晚睡的人智商高,,咋感觉海底的沙子是干的，它们互喷的时候,4,2019-09-29 13:29,1
@银镶边儿,,@我简直二鲍了,1,2019-09-29 12:56,1
@我是王石头sTone,,@我就是八爪  原来爪姐这么可爱,3,2019-09-28 23:15,1
@RR-橘子,,@S方也S 你看看这个像不像我们互相喷口水的样子,0,2019-09-29 17:22,1
@清酒turbo,,@这里是一个帅气的杜小二 哈哈哈哈哈哈哈哈,0,2019-09-29 16:00,1
@我想静静seven,,@猫少女的随记,0,2019-09-29 14:57,1
@A田田圈,,@甜茜茜_ ,0,2019-09-29 14:24,1
@F1onaLee,,@STANstanSTANstanSTANstan,0,2019-09-29 11:43,1
@朱砂落白,,@杨迷糊就是本王 @天竺葵与稻草人,0,2019-09-29 07:01,1
@想吃东海鲤鱼,,@矿泉水味凉白开 @六粒维生素,1,2019-09-28 23:49,1
@周退之,,@果子哥哥 安排一下配音,1,2019-09-29 19:34,1
@我只是想叫莫冷而已,,在海底耍棒子的那个是什么鬼。。。,1,2019-09-29 15:12,1
@戈决状舛,,@香蕉你个不呐呐啊喵,1,2019-09-29 13:01,1
@奇怪的人404,,@B69轰炸机 4:47秒小天使,1,2019-09-29 10:09,1
@清一Sunny,,实不相瞒 我想吃章鱼的须,0,2019-11-10 00:01,3
@随心所欲-快意人生,,哈哈哈哈哈,0,2019-09-29 23:26,1
@我这颗小珍珠快被抓去做奶茶了,,@虚荣少年WS 哈哈哈哈哈哈 我的妈呀哈哈哈哈哈哈 鱼互吐那个还记得吗哈哈哈,0,2019-09-29 16:10,2
@我们旳歌,,@阿房是闪电啊 哈哈哈,0,2019-09-29 15:35,1
@励志的文艺小彬,,哈哈哈哈哈好可爱,0,2019-09-29 14:23,1
@两米八壮汉V5,,@seonjin_0915 好好玩,0,2019-09-29 13:35,1
@Tingting-pig的微博,,我以为海底有沙子雕的啥东西,0,2019-09-29 13:08,1
@奎奎爱舞台,,八爪鱼怕是喝了不少假酒,3,2019-09-29 12:58,2
@茶色琥珀眼,,转发微博,0,2019-09-29 12:54,1
@我是MissZZ,,推荐动画片海底小纵队，这些小沙雕里面都有,0,2019-09-29 12:05,1
@_浮檀,,,3,2019-09-29 11:53,1
@梅花三剪,,@弗兰克的小凉快,0,2019-09-29 08:51,1
@景玉丞,,太有趣了！！喜欢上了章鱼,0,2019-09-29 08:47,1
@冰嬉艺术家SSSJJJCCC,,@Annaperfection,0,2019-09-29 08:12,1
@魉情,,,0,2019-09-29 07:21,1
@EvelynCloverlove,,哈哈哈哈，好可爱！,0,2019-09-29 00:23,1
@我不我拒绝-,,@-Ux3-,0,2019-09-29 00:08,1
@白水若木_,,哈哈哈哈,0,2019-09-28 22:44,1
@腿长1米8小仙女,,只有我看的头皮发麻么，软体动物什么的还是接受不了,1,2019-09-29 15:22,2
@m我可以亲你吗,,小黑鱼是在劝架吗，哈哈哈哈,1,2019-09-29 13:11,1
@Limay-拾柒,,他们的打架方式就是互相吐沙子？？！！ 评论配图,1,2019-09-29 12:49,1
@萌王的万万岁,,我竟然从头看到尾～吐沙子那个太逗了,0,2019-09-30 13:39,1
@一只小银鲤,,我能看一天....//@腐格格: ,0,2019-09-30 11:49,1
@毛茸茸的一只球·,,@小茨冈不搬十字架 鹅鹅鹅鹅鹅鹅鹅鹅鹅,0,2019-09-30 02:00,1
@努力且坚强的活着,,马,0,2019-09-29 22:46,1
@佑子不是柚子呦,,第一个就是传说中的拖家带口吧,0,2019-09-29 21:54,2
@睡个午觉了,,@暴躁少少女,0,2019-09-29 21:12,2
@睡个午觉了,,@Aires阿路容容,0,2019-09-29 21:12,2
@一一要吃东西,,哈哈哈哈哈,0,2019-09-29 20:58,1
@-是晴子啊-,,海底生物思维也这么沙雕,0,2019-09-29 20:14,1
@_熊猫快跑,,@_麋鹿快追,0,2019-09-29 20:10,1
@小熊軟琳,,好好笑啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-29 19:58,1
@想要有钱neon,,哈哈哈2分40那只小黑鱼是不是傻,0,2019-09-29 19:54,1
@一无是处是经宁,,都叫啥名字,0,2019-09-29 19:51,1
@小虞Emily,,我看人家吐来吐去可以看一天,0,2019-09-29 19:49,1
@山楂丸子燃燃燃,,@n_55IW_I_,0,2019-09-29 19:49,1
@默默苒迩,,章鱼这么可爱，你们为什么还要吃章鱼,0,2019-09-29 19:44,1
@不开心的理由有一万种,,的确很傻,0,2019-09-29 19:37,2
@霏霏哒哒哒_,,@一粒儿粉圆儿_,0,2019-09-29 19:34,1
@一只喜欢baby的皮卡丘,,好可爱，哈哈哈哈哈哈,0,2019-09-29 19:34,1
@Fruity_fawn,,@吃葡萄不吐咸鱼皮儿,0,2019-09-29 19:21,1
@Joy_自在,,喝多少啊，醉成这样,1,2019-09-29 19:14,1
@来啦余果,,海底世界中的奇葩,0,2019-09-29 19:03,1
@XXXX_Crane,,@spectabiliss,0,2019-09-29 18:55,1
@鼻子屁股哈哈哈,,最后那个太牛逼了,0,2019-09-29 18:34,1
@大年初一唐探3,,#海底沙雕生物# 这也太沙雕了吧,0,2019-09-29 18:19,1
@氟西汀神,,章鱼哥在干嘛,0,2019-09-29 17:52,2
@叽哩咕噜案例分析大师,,,0,2019-09-29 17:35,2
@我可没时间陪你胡闹,,像你学游泳趴游泳圈上的样子,0,2019-09-29 17:07,1
@我粉的CP也太甜了叭,,哈哈哈哈哈哈哈,0,2019-09-29 16:21,1
@_xxxibgdrgn888,,@乘加一chenjiayu,0,2019-09-29 15:47,1
@芝士抹茶巧克力都不如猕猴桃,,@Mi-Leon 哈哈哈哈哈哈,0,2019-09-29 15:45,1
@今天也要元气满满喔,,小jiojio还抖,0,2019-09-29 15:16,1
@都给我把嘴闭上,,第一个，罩杯选大了！,0,2019-09-29 14:59,1
@Jelly_mii95,,那个鲍鱼拿胡萝卜在干嘛？？？,0,2019-09-29 14:42,1
@彭铁狗,,@果子哥哥 哥哥想让你配音这个,0,2019-09-29 14:39,1
@Variable-X,,搞懂了章鱼为什么喜欢贝壳,0,2019-09-29 14:38,1
@刘铁柱本柱,,好吓人呀,1,2019-09-29 14:14,1
@冬月坠海记录·,,邻居打架我笑到自杀哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-29 14:10,1
@一分薯条,,太逗了哈哈哈哈哈哈哈哈,0,2019-09-29 14:04,1
@珺珺0129,,海里的小学生也打架了？,0,2019-09-29 13:52,1
@我不告诉你我微博名,,那个白色的像指挥官,0,2019-09-29 13:46,1
@少年维克姓胡也幸福,,@Its_Iris蛋仔哥的小仙女,0,2019-09-29 13:44,1
@BNURHFH,,@一只羊lu,0,2019-09-29 13:17,1
@沐-烊,,好可爱啊！！,0,2019-09-29 13:17,1
@刹那芳华1214,,笑死我了,0,2019-09-29 13:15,1
@大宝又没早睡呀__,,@_XH_HX_,0,2019-09-29 13:14,1
@MYW发现一枚纸丈,,@丸丸MT @星野綾奈,1,2019-09-29 13:09,1
@G-lonely,,@瑶摇Yao,0,2019-09-29 13:06,1
@你的ae86d,,@蜜汁蒸蒸ww,0,2019-09-29 13:04,1
@子乔他小姨妈,,kkaa,0,2019-09-29 13:02,1
@Mr_Panther7,,,0,2019-09-29 13:02,1
@我爱水煮蛋-,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2019-09-29 12:58,1
@山大王每天来巡山,,……,0,2019-09-29 12:58,1
@我好读,,@布孤袅,0,2019-09-29 12:57,1
@Oct糖豆,,@__UN__ 哈哈哈哈哈哈哈第一个章鱼挎俩筐是要去买菜吗,0,2019-09-29 12:56,1
@菠菜-K,,,0,2019-09-29 12:56,1
@小菟囍菟小囍,,,0,2019-09-29 12:55,1
@霓虹熄了·,,@这叫半生瓜_,0,2019-09-29 12:50,1
@陶桃淘大兔,,@Bruce的箱子,0,2019-09-29 12:50,1
@張子高-,,@付伟峰- 哈哈哈,0,2019-09-29 12:50,1
@诗诗Lyons,,@天看云舒云卷,0,2019-09-29 12:50,1
@火星人tjr,,像在做康复治疗的感觉,0,2019-09-29 12:49,1
@来一杯芝芝桃桃吧,,@PINKYG7 快看哈哈哈哈哈哈,0,2019-09-29 12:46,1
@加加美酱,,,0,2019-09-29 12:45,1
@Kitty不是软萌淑,,第二个打架的像不像咱俩,0,2019-09-29 12:33,1
@改名提醒自己戒耽美,,我看到了九头蛇的吉祥物,0,2019-09-29 12:26,2
@改名提醒自己戒耽美,,所以说，看到海里的贝壳，它可能不是贝壳喔,0,2019-09-29 12:24,2
@空手套麻袋,,@朴素朴素的麻袋,0,2019-09-29 12:08,1
@新羽言修,,噗挑水么,0,2019-09-29 12:02,1
@怎么猫叫都不来,,特别想让果子哥哥配这个@果子哥哥 @果子哥哥 @果子哥哥,0,2019-09-29 10:34,1
@一颗熊猫头,,我还挺担心它踩到自己jio的,0,2019-09-29 10:16,1
@繁庭停之,,@Ascens,0,2019-09-29 09:44,1
@月牙儿I,,@不爱喝水的小马同学,0,2019-09-29 09:40,1
@开普敦黑珍珠,,@SUNinL_,0,2019-09-29 08:37,2
@开普敦黑珍珠,,@yangtuotuo_,0,2019-09-29 08:34,2
@暮雪绯湮sif,,海天使好康,0,2019-09-29 08:34,1
@奔跑的杨haha,,海天使～,1,2019-09-29 08:23,1
@白龙月半子,,@-Freedom菌-,0,2019-09-29 07:47,1
@满月月月月_莞莞居揪在何心洲,,@博物杂志 那个互喷的鱼是……？,0,2019-09-29 06:56,1
@iRoxee_,,,0,2019-09-29 03:23,1
@慕荷小哥哥,,@RW_ChaoS,0,2019-09-29 02:41,1
@YOBITCHES,,哈哈哈哈,0,2019-09-29 02:10,2
@Pakco面面,,@粉红的mango,0,2019-09-29 01:59,1
@刷图少女,,Hi，我已将你的微博收录到新鲜事 全世界有趣的动物 ，微博会被推荐给更多用户（什么是新鲜事收录？）。如不希望微博下出现新鲜事标签，请戳 删除标签说明,0,2019-09-28 23:57,1
@娶只深深过大年,,它踩到自己脚会疼吗,0,2019-09-28 23:43,1
@好妞好娃哈哈哈哈,,@宿水山行DDL  ？？？,0,2019-09-28 23:41,1
@R_Aria,,@谢皓Cooper,0,2019-09-28 23:19,1
@雾柳三三,,@emon液7Cui ,0,2019-09-28 23:12,1
@赏味期羨,,@狡狐十八窟 你的视频合辑,0,2019-09-28 23:11,1
