User,Reter,Comment,Votes,Time,Count
@小诙侠,,我的选宝贝，你真的好让仪圆们骄傲，我们今天起飞了，你带飞了我们，《柔骨魅兔》真的太好听，我已经循环了无数遍，吴宣仪我爱你,2496,2019-09-30 11:11,1
@也许属鱼吴宣仪,,哈哈哈哈哈哈哈好的姐,1906,2019-09-30 11:11,1
@呆瓜_w,,我搞到vocal了 太好听了吧？？？？柔骨魅兔 每次都好惊喜,1631,2019-09-30 11:12,1
@敛骨吹魂,,我听了啊啊啊啊啊太好听了姐姐！！！！！,1372,2019-09-30 11:11,1
@我今天最好看,,好听,1144,2019-09-30 11:12,1
@小选的YDan,,宝贝唱的好好听！！,1026,2019-09-30 11:12,1
@RXHW_531,,宝贝好好听！爱你,848,2019-09-30 11:12,1
@黄芥味三明治,,姐姐起床啦！！,787,2019-09-30 11:12,1
@吴宣仪XUANYI控评组,,听了听了  好听,717,2019-09-30 11:12,1
@贩卖小老虎,,好听呀好看,585,2019-09-30 11:12,1
@茶吴此俗·,,啊啊啊啊啊宝贝唱很好听！！！,491,2019-09-30 11:12,1
@Yakult·Kiss,,宝贝！超好听,400,2019-09-30 11:12,1
@可乐要加冰冰冰111,,爱你,301,2019-09-30 11:12,1
@小选的庄儿,,听～～,271,2019-09-30 11:12,1
@民间姑凉,,好听,227,2019-09-30 11:12,1
@JGUSU,,太好听了！！！,204,2019-09-30 11:12,1
@白小菠,,超级好听啊宝贝！！！！,151,2019-09-30 11:12,1
@一两银子_,,听起来！你就说小舞！！,129,2019-09-30 11:12,1
@南流水_,,宝贝你太美啦！！歌也好听！,126,2019-09-30 11:12,1
@zuo啥子zuo,,我已经循环一个上午了,106,2019-09-30 11:12,1
@小选小选快快跑,,太好听了宣仪,88,2019-09-30 11:12,1
@木尘-,,特别好听 好喜欢啊,78,2019-09-30 11:12,1
@小选的溜溜球,,听了！超好听！！,63,2019-09-30 11:12,1
@五选一的小奶嘎,,宝贝太好听啦,57,2019-09-30 11:12,1
@是小庄吖,,听啦,46,2019-09-30 11:13,1
@531空降联盟,,听起来[給你小心心][給你小心心],43,2019-09-30 11:12,1
@轻歌曼舞Hh,,超好听，我脑海中还自动配上了你跳古风舞的片段，太美了宝贝,33,2019-09-30 11:13,1
@一个帅人而已,,超好听！,29,2019-09-30 11:12,1
@-O泡小馒头,,宝贝唱歌太好听了,25,2019-09-30 11:13,1
@快落小汉堡,,小选唱什么都好听#吴宣仪献唱斗罗十年#,29,2019-09-30 22:09,1
@CAI531,,宝贝唱的超级好听,18,2019-09-30 11:13,1
@今天没炸毛呢,,超级好听你真棒！！！！,6,2019-09-30 11:13,1
@二呆_槑,,真的好好听,7,2019-09-30 11:12,1
@斗罗十年手游,,我们听你唱，小舞的故事,10,2019-09-30 11:14,1
@可爱若2号,,已经循环听上了！,8,2019-09-30 11:12,1
@海口卖盐芒果的,,斗罗十年一瞬间，忆小舞，犹初见，粉衣蝎辫，言谈笑晏晏。《柔骨魅兔》今再现，古风电乐，亦为初体验，且随@火箭少女101_吴宣仪，入斗罗，亲试炼。,2,2019-09-30 11:12,1
@林钟零八,,啊啊啊啊啊啊啊啊啊啊啊姐姐我爱你,2,2019-09-30 11:12,1
@山川XI,,很好听呐！宝贝古风的歌曲也能完美驾驭,1,2019-09-30 11:12,1
@SugarLatte,,《柔骨魅兔》好好听,3,2019-09-30 11:13,1
@小清新迷糊颖,,唱得好好听,4,2019-09-30 11:36,1
@小庄就是我吖,,喜欢,2,2019-09-30 11:32,1
@_是小庄吖_,,好好听啊[愛你],2,2019-09-30 11:20,1
@onlyfor-xuan,,好喜欢[太開心],2,2019-09-30 11:19,1
@_是小庄吖,,喜欢[愛你],2,2019-09-30 11:17,1
@小庄在哪吖,,听起来,2,2019-09-30 11:16,1
@小庄在这吖,,听啊,2,2019-09-30 11:14,1
@陈壹799,,好好听,2,2019-09-30 11:12,1
