User,Reter,Comment,Votes,Time,Count
@Zc不想起名字,,建国七十载，天堑变通途。贺祖国七十华诞，同歌手张杰唱响《天耀中华》，共庆国庆佳节。 评论配图,1511,2019-09-30 22:16,1
@他的歌迷朋友,,日月星辰变幻，照着神州大地，从曾经饥寒交迫到如今繁荣昌盛，七十年时代变迁，七十年超越自我，七十年焕然一新，感谢歌手张杰与徐千雅，在这七十周年盛典，带来一曲《天耀中华》，祝福祖国更加富强,1198,2019-09-30 22:16,1
@没你陈,,@张杰 天耀中华！,54,2019-09-30 22:17,1
@Esther笑笑,,脚下的土地是最温暖的港湾，远处的山河是最壮丽的风景。七十载风雨同舟，七十载共铸繁华。歌手张杰与徐千雅献歌《天耀中华》，愿祥云之下，天耀中华，愿我国昌盛不息，荣耀传天下!,16,2019-09-30 22:20,1
@老张说_要我多喝温开水,,不谈过去，无畏将来。祖国七十周年华诞之际，歌手张杰与徐千雅献唱《天耀中华》。就如歌中所言，愿祖国平安昌盛生生不息，你是我始终如一的骄傲。 评论配图,13,2019-09-30 22:18,1
@糯米团子吃饭饭,,谁还记得姚贝娜也在春晚唱过这首歌,37,2019-09-30 22:34,1
@巧克力酱紫薯南瓜饼,,祝福共和国70华诞！！与共和国一起成长、奋斗！期待中国歌手张杰的演出,5,2019-09-30 22:19,1
@bamboo儿杰星,,脚下的土地是最温暖的港湾，远处的山河是最壮丽的风景。七十载风雨同舟，七十载共铸繁华。歌手张杰与徐千雅献歌《天耀中华》，愿祥云之下，天耀中华，愿我国昌盛不息，荣耀传天下!,4,2019-09-30 22:19,1
@扑进小杰怀里,,感怀七十年峥嵘岁月，展望新时代繁荣昌盛。天耀我大中华，壮哉我大华夏！今日张杰携手徐千雅献唱《天耀中华》，以歌声向祖国致敬，用情怀书写未来新篇章！,5,2019-09-30 22:18,1
@榴莲炸鸡,,张杰好帅啊啊啊！,3,2019-09-30 22:16,1
@兔斯基陪你长大,,风雨七十载，我们砥砺前行，而今山河壮阔、国泰民安，苍山如海、风光无限。祖国七十华诞之际，为祖国献礼，请听张杰与徐千雅用强音歌颂华夏，共同演唱《天耀中华》。 评论配图,3,2019-09-30 22:21,1
@蓝煮冰,,泱泱大国巍巍华夏，五千年灿烂文明延续至今；滚滚长江群山逶迤，壮美河山就在我们脚下。张杰与徐千雅《天耀中华》，以歌声忆往昔峥嵘岁月，用青春与梦想与祖国一起荣光。 评论配图,3,2019-09-30 22:20,1
@一颗碩子,,,1,2019-10-02 09:36,1
@王二艺a,,我也来接力：祝祖国越来越强,1,2019-09-30 23:48,3
@王二艺a,,这盛世，如您所愿！飞机再也不用飞两遍了,1,2019-09-30 23:48,3
@王二艺a,,愿祖国越来越好,1,2019-09-30 23:48,3
@闫慈系吹吹神_,,天耀中华天耀中华风雨压不垮，苦难中开花,1,2019-09-30 23:01,1
@森Sencer,,记得当时是姚贝娜唱的,5,2019-10-01 04:01,1
@我吃不起榨菜哦喂,,想起姚贝娜,7,2019-10-01 08:11,1
@嘘嘘Tiffany,,祝福祖国繁荣昌盛 姚贝娜唱的也超好听啊,6,2019-10-01 00:22,1
@Agnes和她的小矮基momo,,真心不如姚贝娜唱的好,6,2019-10-01 00:21,1
@不可回头的那些日子,,还记得姚贝娜姐姐唱的天耀中华,7,2019-10-01 07:52,1
@要做叻叻女Yuki,,贝娜,6,2019-10-01 07:32,1
@心慧happy,,还是姚贝娜,6,2019-10-01 07:16,1
@小L没有钱,,优秀,1,2019-10-01 01:17,1
@高马尾齐刘海剪刀手,,白驹过隙东海扬尘，与七十年前比祖国发生了翻天覆地的变化，从追赶到引领，是无数中华儿女在为之奋斗，这是对祖国最深沉的祝福。,2,2019-09-30 22:19,1
@月影随2013,,祝福祖国繁荣昌盛,1,2019-09-30 22:18,1
@星空下的小叛逆,,没错了，我们家哥哥是上交国家了，超级棒，,0,2019-10-01 08:25,1
@-卑微小清-,,爱了,0,2019-09-30 22:59,1
@我只是只毛菇小象呀_,,愿祖国继续繁荣富强[加油],0,2019-09-30 22:58,1
@璇璇璇筠,,#奋斗吧中华儿女# 我的小骄傲呀[中國贊],0,2019-09-30 22:57,1
@Juons_,,祝祖国昌盛！,0,2019-09-30 22:54,1
@xy忘忧草,,#张杰徐千雅 天耀中华#,0,2019-09-30 22:54,1
@xiewnan,,祝祖国繁荣昌盛,0,2019-09-30 22:54,1
@爱到最美是陪伴张三岁,,#国庆文艺晚会# 天耀中华,0,2019-09-30 22:54,1
@多吉的小公举,,和歌手张杰一起祝祖国生日快乐,0,2019-09-30 22:47,1
@不啊可能是AJ赖煜哲,,,0,2019-09-30 22:46,3
@星星小傲娇丶,,我没看上，不过骄傲,0,2019-09-30 22:41,1
@杰个娜个我都爱520,,#张杰参加国庆70周年文艺晚会# 厉害我滴哥,0,2019-09-30 22:40,1
@我爱豆最近有点傻,,张杰太有排面了，呜呜呜，今晚也是为张杰流泪的晚上,0,2019-09-30 22:37,1
@张小杰的小歌迷,,建国七十载，天堑变通途。贺祖国七十华诞，同歌手张杰唱响《天耀中华》，共庆国庆佳节。,0,2019-09-30 22:35,2
@我吃火锅你吃瓜,,稳,0,2019-09-30 22:32,1
@张小杰的小歌迷,,我词穷了，祝祖国生日快乐，天耀中华,0,2019-09-30 22:32,2
@我杰的我,,天耀中华,0,2019-09-30 22:32,1
@盐系佛系腿细,,#国庆文艺晚会# 日出东方，盛世繁华,0,2019-09-30 22:28,1
@不啊可能是AJ赖煜哲,,,0,2019-09-30 22:26,3
@蓝色星海De九辫儿,,同歌手@张杰 祝祖国70周年，生日快乐！,0,2019-09-30 22:26,1
@暗夜星光-,,中华文明，血脉相传。中华儿女，天下一家。风起云涌时，我们凝聚一心，繁荣昌盛后，我们不骄不躁。巍巍华夏，屹立世界，亿万人民，共享盛世。我最亲爱的祖国，愿您荣耀四方，愿您永远天耀中华。请听张杰与徐千雅共同演唱《天耀中华》,0,2019-09-30 22:25,1
@qyx0727,,和杰哥一起祝福祖国生日快乐！,0,2019-09-30 22:23,1
@星空恋冬夏,,#国庆文艺晚会# 天耀中华,0,2019-09-30 22:23,1
@番茄加糖的酸甜,,天耀中华！祝福祖国！,0,2019-09-30 22:23,1
@鸠摩罗什啊,,杰哥牛批,0,2019-09-30 22:22,2
@幸福的茜子forever,,,0,2019-09-30 22:22,1
@鸠摩罗什啊,,杰哥牛批,0,2019-09-30 22:22,2
@小甜nee奶糖,,用歌声祝伟大的祖国生日快乐,0,2019-09-30 22:21,1
@Ya诗与我,,天耀中华！祝我们的祖国繁荣昌盛！张杰哥哥好棒呀,0,2019-09-30 22:20,1
@又是爱你的一天呀,,今晚听张杰与徐千雅联袂献唱《天耀中华》，“风雨压不垮，苦难中开花”，在悠扬的歌声中感受祖国走过的七十年。七十年的风雨兼程与华彩篇章仍然历历在目，用歌声表达对祖国的热爱，用爱唱响祖国未来,0,2019-09-30 22:20,1
@鸽子珍果粒,,骄傲！,0,2019-09-30 22:20,1
@攀攀toughgirl,,脚下的土地是最温暖的港湾，远处的山河是最壮丽的风景。七十载风雨同舟，七十载共铸繁华。歌手张杰与徐千雅献歌《天耀中华》，愿祥云之下，天耀中华，愿我国昌盛不息，荣耀传天下!,0,2019-09-30 22:20,1
@只吃糖不吃苦的小孩,,70华诞，天耀中华。脚下的热土，头顶的蓝天，飞扬的五星红旗，感恩并祝福这一切。带着年轻炽热的心随着@张杰 嘹亮有力的嗓音去倾听这盛世背后上下五千年的厚重历史。,0,2019-09-30 22:20,1
@_小田甜阿,,祝愿祖国繁荣昌盛,0,2019-09-30 22:19,1
@vunes酱,,历经风霜，乘风破浪，涅槃重生。七十年，泱泱华夏，正在崛起。歌手张杰将以歌为礼，庆祝中国七十岁，生日快乐！,0,2019-09-30 22:19,1
@3A87的LOVE_莉莉,,#国庆文艺晚会# 祝愿我们的祖国繁荣昌盛国泰民安,0,2019-09-30 22:19,1
@井号2,,天耀中华，愿你生生不息繁荣昌盛！,0,2019-09-30 22:19,1
@不啊可能是AJ赖煜哲,,天耀中华,0,2019-09-30 22:19,3
@一一别人一一,,有谁还记得姚贝娜吗,4,2019-10-01 03:19,1
@崇涟,,想起了姚贝儿春晚唱的版本，天耀中华，国泰民安。,4,2019-10-01 02:49,1
@绿担红苏的黄衫女子,,是姚贝娜唱的那首吗？,4,2019-10-01 02:00,1
@米泡泡,,这个歌想起姚贝娜了,3,2019-09-30 23:06,1
@性感查女,,好听！,2,2019-09-30 22:56,1
@Luke的阳光小角,,我记得很多年前的春晚  她也唱过这首歌......,4,2019-09-30 22:56,1
@聆他_,,脚下的土地是最温暖的港湾，远处的山河是最壮丽的风景。七十载风雨同舟，七十载共铸繁华。歌手张杰与徐千雅献歌《天耀中华》，愿祥云之下，天耀中华，愿我国昌盛不息，荣耀传天下!,2,2019-09-30 22:19,1
@李一亿飘十亿,,祖国生日快乐 我好想念姚贝娜,2,2019-10-01 07:50,1
@天池怪兽033111,,有人想起姚贝娜吗,3,2019-10-01 06:08,1
@快乐瀑布,,想到了姚贝娜也唱过天耀中华,2,2019-10-01 05:14,1
@不服输的倔强wjx,,这首歌让我想起了远在天堂的贝娜,3,2019-10-01 02:28,1
@广寒宫的的仙女,,想贝娜姐姐了,3,2019-10-01 02:11,1
@jingjingrain520,,徐千雅是原唱，但这首歌还是姚贝娜唱的最好，其他人都没有那种大气的感觉。,3,2019-10-01 01:37,2
@Y-voluptuous,,想娜姐,3,2019-10-01 01:10,1
@樱桃流木贝子,,太棒了吧！张杰一开口我都感觉要哭了！,1,2019-10-01 00:57,1
@桃子西瓜橘子西柚_,,#张杰徐千雅 天耀中华# 我们曾并肩走过风雨苦难，我们将携手走向光芒万丈。高楼平地起，此后风雨不再。一曲高歌，祝祖国母亲生日快乐，繁荣富强，山河永在，生生不息，天耀中华！,1,2019-09-30 23:10,1
@我是sweet笑颜呀,,#国庆文艺晚会# 不谈过去，无畏将来。祖国七十周年华诞之际，歌手张杰与徐千雅献唱《天耀中华》。就如歌中所言，愿祖国平安昌盛生生不息，你是我始终如一的骄傲。,1,2019-09-30 23:10,1
@围裙姐姐Yi,,#张杰徐千雅 天耀中华# 70华诞，天耀中华。脚下的热土，头顶的蓝天，飞扬的五星红旗，感恩并祝福这一切。带着年轻炽热的心随着张杰嘹亮有力的嗓音去倾听这盛世背后上下五千年的厚重历史。迎接,1,2019-09-30 22:59,1
@是波子汽水味儿w,,今夜歌手@张杰 与徐千雅以《天耀中华》献礼祖国，共庆共和国七十华诞，愿与亿万中国人民一同续写辉煌新篇章！奋斗吧！中华儿女！ 评论配图,1,2019-09-30 22:59,1
@喜欢芒果的__zixin,,盛迎祖国七十华诞，我们载歌载舞，一曲《天耀中华》，唱出了中华儿女对祖国母亲的不尽感激与深挚热爱，诉出了对祖国发展繁荣昌盛伟大历程的敬佩，张杰清澈高亢的唱腔与徐千雅空灵悠远的嗓音，将中华儿女与祖国同进退祝愿祖国平安昌盛的情怀演绎的淋漓尽致,1,2019-09-30 22:59,1
@张星婕今生最爱唯有张杰JASON,,你有海岸线绵延万里，亦有雄伟山川高耸云霄。你用宽阔胸膛怀抱各族子女，也以善意广纳四海来宾。今夜歌手张杰与徐千雅以《天耀中华》献礼祖国，共庆共和国七十华诞，愿与亿万中国人民一同续写辉煌新篇章！,1,2019-09-30 22:22,1
@火火爱吃炸鸡·腿,,脚下的土地是最温暖的港湾，远处的山河是最壮丽的风景。七十载风雨同舟，七十载共铸繁华。歌手张杰与徐千雅献歌《天耀中华》，愿祥云之下，天耀中华，愿我国昌盛不息，荣耀传天下!,1,2019-09-30 22:22,1
@Vincy_仰望星空Ya,,日月星辰变幻，照着神州大地，从曾经饥寒交迫到如今繁荣昌盛，七十年时代变迁，七十年超越自我，七十年焕然一新，感谢歌手张杰与徐千雅，在这七十周年盛典，带来一曲《天耀中华》，祝福祖国更加富强,1,2019-09-30 22:22,1
@不避杰的避雷针,,天耀中华 祝福祖国生日快乐 繁荣昌盛！,1,2019-09-30 22:20,1
@你今天又有病了吗,,盛迎祖国七十华诞，我们载歌载舞，一曲《天耀中华》，唱出了中华儿女对祖国母亲的不尽感激与深挚热爱，诉出了对祖国发展繁荣昌盛伟大历程的敬佩，张杰清澈高亢的唱腔与徐千雅空灵悠远的嗓音，将中华儿女与祖国同进退祝愿祖国平安昌盛的情怀演绎的淋漓尽致。,1,2019-09-30 22:20,1
@心若静水逸静,,数十载奋发图强，东方巨龙傲苍穹，数十载励精图治，中华民族挺脊梁，忆往昔峥嵘岁月岁月，看今朝幸福安康，此乃《天耀中华》，在这举国同庆的日子里，祝愿祖国生日快乐，繁荣昌盛。,1,2019-09-30 22:19,1
@花呀花呀嘛花,,祝愿祖国繁荣昌盛,0,2019-11-11 19:49,2
@1982茉莉花呀,,张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰,0,2019-11-01 07:50,2
@花呀花呀嘛花,,祝愿祖国繁荣昌盛,0,2019-11-11 19:49,2
@1982茉莉花呀,,张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰,0,2019-11-01 07:50,2
