User,Reter,Comment,Votes,Time,Count
@包包是只橘猫,,幸亏没有搞砸，感谢卡瓦格博的控评包对我的信任。当天活动现场看到他们虽身有残障但每个人的脸上都是热情灿烂的笑容时，就觉得活动值得！也因意义特殊，新闻从原定的1分钟变成了2分半，就…一切都很美好,364,2019-10-10 23:34,2
@手持著作法的OPPA,,很棒！！！宝宝们上电视啦！！,310,2019-10-10 23:09,2
@奶味芋圆loooong,,#朱一龙我和我的祖国# 超级棒,13,2019-10-10 23:08,2
@橘意合女士,,真好啊，朱一龙爱你的人是真的很爱你呀@朱一龙,8,2019-10-10 23:12,2
@冬眠想吃小橘子,,#朱一龙我和我的祖国# 太棒了！！！,7,2019-10-10 23:16,2
@-橘SOBER,,准备好了吗,3,2019-10-11 09:37,2
@喵比古,,#朱一龙我和我的祖国# ,5,2019-10-10 23:08,2
@巍巍的擀面杖,,好棒！！！鱼油浓烟,1,2019-10-10 23:21,2
@夜星痕小窝,,#朱一龙我和我的祖国# 朱一龙和小笼包都好棒,3,2019-10-10 23:21,5
@麟汪汪,,好棒！！！,3,2019-10-10 23:14,2
@达西西0226,,朱一龙的小笼包都是很棒的,3,2019-10-10 23:26,2
@恰恰和她的里亚,,#朱一龙我和我的祖国# 做有意义的事情，你们都是向上的光,2,2019-10-10 23:25,2
@心上朱砂,,辛苦啦！大家好棒！,3,2019-10-10 23:08,2
@weey2011,,#朱一龙向上的光# 小笼包与朱一龙向上的光,3,2019-10-10 23:16,2
@姐泥龟儿,,厉害,2,2019-10-10 23:07,2
@星蔷之翼,,#朱一龙我和我的祖国# 广州当地包电视看起来看起来,3,2019-10-11 00:40,2
@小橘酱甜甜的,,#朱一龙我和我的祖国# ,2,2019-10-11 00:17,2
@暗夜精灵iris,,#朱一龙我和我的祖国# 非常有意义的活动，大家太棒了,2,2019-10-11 00:04,3
@普洱南南,,太棒了！小笼包正能量,2,2019-10-10 23:39,2
@欣欣向荣ZYL,,有意义的活动,1,2019-10-11 13:06,2
@火锅只能吃清汤的鲸落,,#朱一龙我和我的祖国# 哇，好棒，朱一龙的粉丝太棒辽,1,2019-10-11 12:30,2
@想把朱一龙揣兜里,,超级棒，包包们,1,2019-10-11 11:10,2
@小雪快到麻麻怀里来,,#电影我和我的祖国#  ｜#朱一龙我和我的祖国# kk好棒啊！大家都好棒！！！,2,2019-10-11 10:14,2
@小咩要努力变强,,包包们棒棒哒！,1,2019-10-10 23:39,4
@橘籽姐姐yoyo,,#朱一龙我和我的祖国# 好棒啊！！,1,2019-10-10 23:38,2
@双乐嘟嘟,,#朱一龙我和我的祖国# 朱一龙好棒！小笼包好棒！@朱一龙,1,2019-10-10 23:32,2
@-尘飏-,,#朱一龙我和我的祖国# 这个活动超级棒！！！朱一龙粉丝正能量,1,2019-10-10 23:28,2
@綪园,,#朱一龙我和我的祖国# 我和我的祖国，一刻也不能分割！朱一龙的公益力量@朱一龙,1,2019-10-10 23:28,4
@小橘仙爱喝冰阔落,,#朱一龙我和我的祖国# 天呐！！大家好棒啊！！！笼屉正能量满满的！！！,1,2019-10-10 23:26,2
@朱茶茶好好生活,,#朱一龙我和我的祖国# 朱一龙真棒！粉丝优秀@朱一龙,1,2019-10-10 23:26,2
@_两宽_,,#朱一龙我和我的祖国# 好棒呀！朱一龙大帅哥未来可期！@朱一龙,1,2019-10-10 23:26,2
@Suk_cri_砚,,#朱一龙我和我的祖国# 哎哟包包们真棒,1,2019-10-10 23:26,2
@小橘迷路了,,在电视上看到了，包包们超级棒啊,1,2019-10-10 23:25,2
@东东天真不无邪,,#朱一龙我和我的祖国# 包包们上电视了，大家都好棒,1,2019-10-10 23:22,2
@柠檬微酸有点甜,,#朱一龙我和我的祖国# 这个必须转发太赞了大家,1,2019-10-10 23:22,2
@冰海蓝菲a,,#朱一龙我和我的祖国# 朱一龙粉丝真棒,1,2019-10-10 23:22,2
@乖乖居,,#朱一龙我和我的祖国# 原来是公益包场，好棒！,1,2019-10-10 23:22,2
@綪园,,#朱一龙我和我的祖国# 朱一龙粉丝好棒！@朱一龙,1,2019-10-10 23:21,4
@泰勒瑞亚,,包包们都好棒！#朱一龙我和我的祖国#,1,2019-10-10 23:21,2
@井然的明信片,,#朱一龙我和我的祖国# 朱一龙的小笼包太棒啦,1,2019-10-10 23:19,2
@寒雪红梅56,,好棒呀、大声歌唱对祖国的爱！来自朱一龙敬业睿智帅气演技好有爱心的小尾巴～@朱一龙 @朱一龙 @朱一龙,1,2019-10-10 23:18,2
@火锅必点牛肉鹅肠毛肚,,#朱一龙我和我的祖国# 朱一龙的粉丝真的和偶像一样优秀！@朱一龙,1,2019-10-10 23:17,2
@倾城一笑百日香,,#朱一龙我和我的祖国# 真棒,1,2019-10-11 08:56,2
@Ryohei_K,,好像是荔园新天地那里,0,2019-10-10 23:34,2
@BoBo1aaaaa在唱歌,,,1,2019-10-11 14:21,2
@地狱天使的女儿微博,,聚沙成塔益路前行和朱一龙一起做公益，朱一龙好帅朱一龙不离不弃未来可期,1,2019-10-11 10:36,3
@霜月紫泉love拢龙0416,,,1,2019-10-11 08:55,2
@喵呜泡泡橘,,#朱一龙我和我的祖国# 真棒,1,2019-10-11 08:49,2
@行敏于言,,棒,1,2019-10-11 08:24,2
@轩牛牛妈妈,,#朱一龙我和我的祖国# ,1,2019-10-11 08:21,2
@幻fantastic,,,1,2019-10-10 23:59,2
@希望每天开心的猫,,#朱一龙我和我的祖国# 大家都棒棒哒～,1,2019-10-10 23:15,2
@PeikyQ祝朱一龙0416生日快乐,,太棒了大家！！！！,0,2019-10-26 12:10,6
@一个橙子啵啵甜橘,,#朱一龙我和我的祖国# [加油],0,2019-10-14 10:22,6
@梦游仙LOng,,#朱一龙我和我的祖国# 太棒啦！,0,2019-10-13 22:42,6
@初出茅庐的小六,,太棒了，这样的活动好有意义啊！#朱一龙我和我的祖国#,0,2019-10-13 08:39,4
@废柴一样的某某某妖,,大家都太棒了！！！优秀本秀！！！,0,2019-10-13 00:41,2
@秀暄一龙,,#朱一龙我和我的祖国# 好棒,0,2019-10-12 21:44,2
@bingbing晨,,#朱一龙我和我的祖国# 做有意义的事情，小笼包超棒@朱一龙,0,2019-10-12 10:49,3
@盘丝洞的小神仙,,太棒了，广州的包包辛苦了，为你们感到高兴,0,2019-10-11 20:06,2
@-Tangerine916-,,#朱一龙我和我的祖国# ,0,2019-10-11 17:42,4
@居小叶,,,0,2019-10-11 17:18,2
@东橙啊,,#朱一龙我和我的祖国# 参与其中吾之幸,0,2019-10-11 14:45,2
@流年有橘,,朱一龙粉丝真的棒！@朱一龙,0,2019-10-11 14:42,2
@啾Ju啾Ju,,,0,2019-10-11 14:28,2
@小居居的元元,,#朱一龙我和我的祖国# 好感动啊！你们太棒了！也辛苦了,0,2019-10-11 14:11,2
@欧任橘,,#朱一龙我和我的祖国# 特别棒,0,2019-10-11 13:43,2
@潜水追海龟,,#我和我的祖国# 我爱我的祖国,0,2019-10-11 12:55,2
@朱朱-Alina,,包包们好棒,0,2019-10-11 12:48,2
@朱朱是我的糖,,#朱一龙我和我的祖国# ,0,2019-10-11 12:37,2
@asanmeily,,#朱一龙我和我的祖国# 意义非凡！,0,2019-10-11 12:33,2
@zyl云之故乡,,#朱一龙我和我的祖国# 包包们太棒了，点赞,0,2019-10-11 12:29,3
@水墨青醉花清,,宝宝们加油！点赞！,0,2019-10-11 12:22,2
@一颗童心怎么了,,好棒呀,0,2019-10-11 12:15,3
@花开花谢201314,,太棒了！小笼包们优秀！,0,2019-10-11 12:06,2
@那年夏天的小笼包2008,,#朱一龙我和我的祖国# 这个活动特别棒！,0,2019-10-11 11:42,2
@居小橙祝朱一龙0416生日快乐,,#朱一龙我和我的祖国# ,0,2019-10-11 11:20,2
@C-GHOST_T,,#朱一龙我和我的祖国# 朱一龙的小笼包真棒！有意义又正能量！,0,2019-10-11 11:01,2
@一鸣惊人的火锅,,#朱一龙我和我的祖国# ,0,2019-10-11 10:51,2
@一枚小龙包yo,,#朱一龙我和我的祖国# 我居然漏掉了这条！好厉害,0,2019-10-11 10:44,3
@千琉云,,#朱一龙我和我的祖国#,0,2019-10-11 10:41,2
@Q浅语Q,,#朱一龙我和我的祖国# 好棒，包包好优秀！,0,2019-10-11 10:41,2
@其实我是个小号呢,,,0,2019-10-11 10:38,2
@拢龙的指甲盖儿,,厉害,0,2019-10-11 09:58,6
@拢龙的指甲盖儿,,好棒,0,2019-10-11 09:58,6
@拢龙的指甲盖儿,,优秀,0,2019-10-11 09:57,6
@一丸小甜粥,,好棒,0,2019-10-11 09:19,2
@不吃祝朱一龙0416生日快乐,,好棒,0,2019-10-11 09:18,2
@宝贝的卷发超想rua,,#朱一龙我和我的祖国# ,0,2019-10-11 09:16,2
@小橘子的tuboshu,,,0,2019-10-11 08:54,2
@YiLong姐姐粉,,#朱一龙我和我的祖国#,0,2019-10-11 08:49,2
@居居的小轩轩,,#朱一龙我和我的祖国# 大家都好棒啊,0,2019-10-11 08:46,3
@惟愿君安zyloooong,,#朱一龙我和我的祖国# 好棒啊！,0,2019-10-11 08:34,2
@清歌似雪,,太棒了,0,2019-10-11 08:33,2
@八组鹅组大爆炸,,#朱一龙我和我的祖国# 好棒,0,2019-10-11 08:27,2
@一瑜Summer,,,0,2019-10-11 08:25,2
@居居的小朋友zZ,,大家真好！,0,2019-10-11 08:18,2
@朱氏小橘喵,,#朱一龙我和我的祖国# ,0,2019-10-11 08:14,2
@U朵拉A梦,,太棒啦,0,2019-10-11 08:13,2
@你看蓝天在微笑,,#朱一龙亲爱的自己[超话]#公益包场真的很棒！,0,2019-10-11 08:12,2
@阿夏爱拢龙呀,,#朱一龙我和我的祖国# 太棒啦,0,2019-10-11 07:45,2
@---snow--,,#朱一龙我和我的祖国# 太棒啦,0,2019-10-11 07:41,2
@理想世界201708,,哇！太棒了,0,2019-10-11 07:37,2
@不爱吃卤肉饭,,,0,2019-10-11 07:28,2
@朱朱是我女婿,,好有意义啊,0,2019-10-11 07:27,2
@Atobe笼,,#朱一龙我和我的祖国# 大家都好棒,0,2019-10-11 07:12,2
@小玲子Jeanne,,#朱一龙我和我的祖国# 真是太棒了,0,2019-10-11 07:10,2
@朱一龙山东后援会,,棒！,0,2019-10-11 07:06,2
@有你的那年冬天,,#朱一龙我和我的祖国# ,0,2019-10-11 06:59,3
@婆婆huu,,#朱一龙我和我的祖国# 哇塞！大家真的好棒！！,0,2019-10-11 06:47,2
@忆舞姒倾湫,,优秀,0,2019-10-11 04:31,2
@江南烟雨5105,,笼屉太优秀了,0,2019-10-11 04:22,3
@甜橘蜜语,,#朱一龙我和我的祖国#  我真的好佩服我们家的小笼包们,0,2019-10-11 03:59,2
@居老师的小懒虫,,好棒啊！！！~~~朱一龙活粉数据小尾巴@朱一龙,0,2019-10-11 02:54,2
@桔汁juice,,真的很棒很有意义！,0,2019-10-11 02:24,2
@好好生活不秃头,,包包们好棒,0,2019-10-11 01:56,2
@咘呤咘呤忽闪忽闪,,#朱一龙我和我的祖国#笼屉充满了正能量！大家都好棒,0,2019-10-11 01:36,2
@捡星星w,,好棒,0,2019-10-11 00:51,2
@偶遇橘子软糖,,#朱一龙我和我的祖国# 好棒呀！！！,0,2019-10-11 00:49,2
@水泉边的押撒,,,0,2019-10-11 00:48,2
@千木沁,,#朱一龙我和我的祖国# 好棒啊,1,2019-10-11 00:47,7
@胡杨zyl的半夏,,朱一龙的粉丝优秀@朱一龙,0,2019-10-11 00:46,2
@小Ann橘,,#朱一龙我和我的祖国# 前天看到有包录屏，原来是卡瓦格博队员发起的,1,2019-10-11 00:46,2
@一壶小吊梨汤,,超棒,0,2019-10-11 00:43,2
@柒染at10,,#朱一龙我和我的祖国# 超级棒,1,2019-10-11 00:42,2
@择你而居,,棒,1,2019-10-11 00:41,3
@Moku-Vv,,#朱一龙我和我的祖国# 包包们太优秀了！正能量！朱一龙未来的每一场电影我都会在！@朱一龙,1,2019-10-11 00:38,2
@半岛铁盒没没没了,,#朱一龙我和我的祖国# 很棒很棒,0,2019-10-11 00:38,2
@朱小怪来吃你啦,,#朱一龙我和我的祖国# 包包辛苦了，你们都是最棒的！,0,2019-10-11 00:37,3
@Lwjzf,,#朱一龙我和我的祖国# 很有爱心的包场活动，棒棒哒！@朱一龙,0,2019-10-11 00:32,2
@风向标blue,,太棒了,0,2019-10-11 00:30,2
@魔头要隐身,,#朱一龙我和我的祖国# 超棒棒棒哒包们  一起做正能量的人  就像朱一龙一样@朱一龙,0,2019-10-11 00:30,2
@颗粒饱满大大米饭,,#朱一龙我和我的祖国# 朱一龙粉丝超棒！@朱一龙,0,2019-10-11 00:29,2
@哦哈呦呦呦呦呦,,好棒！朱一龙有这样的粉丝真好,0,2019-10-11 00:27,3
@居家136g小丸纸,,#朱一龙我和我的祖国# 哇！太棒了！！！,0,2019-10-11 00:21,3
@我真的叫火锅,,你们好厉害！！组织的好好！！太不容易了,0,2019-10-11 00:19,2
@青青亦卿卿,,#朱一龙我和我的祖国#,0,2019-10-11 00:17,2
@洛潇aftermath,,#朱一龙我和我的祖国# 啊，虽然都没我什么事，但是我感觉有荣与焉是怎么回事,0,2019-10-11 00:07,2
@卿墨泠,,#朱一龙我和我的祖国# 真棒！！！,0,2019-10-11 00:06,2
@落落劣劣,,#朱一龙我和我的祖国# 太棒了！！！,0,2019-10-11 00:03,3
@626号吸居怪,,真好,0,2019-10-11 00:03,2
@小陈同志1106,,比心k队和小信箱,0,2019-10-11 00:02,2
