User,Reter,Comment,Votes,Time,Count
@风伤依旧312,,会不会有我,0,2019-10-09 11:08,1
@Arrogant江小虎,,想二刷攀登着@葫芦-韩,1,2019-10-09 10:36,1
@种花家de小兔叽,,中国机长,1,2019-10-09 11:06,1
@Nie丶耳朵,,感动感动还是感动,0,2019-10-09 11:48,1
@小甜甜0357,,没看呢,0,2019-10-09 11:39,1
@琚家晓晓,,#电影我和我的祖国# 我和我的祖国真的好看,0,2019-10-09 11:09,1
@宽窄世界,,没时间看电影,0,2019-10-09 12:33,1
@富察家的锦鲤,,我都还没看呢，康康我吧,0,2019-10-09 10:12,1
@eason的晨晨,,二刷中国机长走起,0,2019-10-09 13:01,1
@喜果铺子,,一直中不了电影票,0,2019-10-09 12:42,1
@爱的发琴声,,致敬,0,2019-10-10 11:01,1
@爱沈阳114,,期待好运,0,2019-10-09 21:42,1
@六角m,,转发微博,0,2019-10-09 20:35,1
@万磁王的宇宙神迷妹,,转发微博,0,2019-10-09 10:50,1
@魔都陆小姐姐,,转发微博,0,2019-10-09 10:30,1
@吉林土特产代购sir,,还没看过,0,2019-10-14 11:26,3
@嘛乐歌碧,,我爱我的祖国啊,0,2019-10-12 16:56,3
@西盘粮,,会不会翻我的牌,0,2019-10-12 02:09,3
@辣眼睛的单身汪,,来张票，去看了，然后回来交作业,0,2019-10-10 15:41,3
@喝卡布奇诺的刺猬,,中国机长  没有饭最后时刻 依旧不放弃  ,0,2019-10-10 15:17,3
@如煙雲川,,想看祖国,0,2019-10-10 14:55,3
@将热情耗尽,,我爱祖国！,0,2019-10-10 14:49,2
@小八在守候,,周末去看,0,2019-10-10 14:41,2
@别词94,,我爱祖国,0,2019-10-10 14:40,2
@幸福的一家008,,回味经典,0,2019-10-10 14:34,2
@南南中中北北东东,,感动,0,2019-10-10 14:32,1
@梅梅2019要好运,,想看,0,2019-10-10 14:30,1
@要当学霸滴白瘦瘦,,我和我的祖国  一秒都不能差 那会真的哭成泪人,0,2019-10-10 14:06,2
@爱吃糖的锦鲤宝宝,,再去看一次,0,2019-10-10 13:04,1
@余文婷Amy,,我和我的祖国,0,2019-10-10 12:17,1
@trlovesl,,二刷,0,2019-10-10 12:07,1
@要当学霸滴白瘦瘦,,我和我的祖国  一秒都不能差 那会真的哭成泪人,0,2019-10-10 11:10,2
@在路上1087,,祖国万岁,0,2019-10-10 11:06,1
@海贝的海贝,,我和我的祖国，超感动！,0,2019-10-10 07:38,1
@影子-香水,,转发微博,0,2019-10-10 05:17,1
@酸奶不如纯净水甜,,转发微博,0,2019-10-10 04:48,1
@嘿嘿-洋气,,转发微博,0,2019-10-10 04:35,1
@如果你有个时光屋就好了,,转发微博,0,2019-10-10 04:15,1
@好久没有这样,,转发微博,0,2019-10-10 03:22,1
@jiangtong123,,转发微博,0,2019-10-10 03:06,1
@朵朵怒放的玫瑰花瓣绽放自己,,转发微博,0,2019-10-10 02:18,1
@迷失的路人宝宝,,三部都看了，最喜欢《我和我的祖国》,0,2019-10-09 22:37,1
@卧虎山一號,,爱国影片都好看,0,2019-10-09 21:35,1
@baby天使猪,,中国机长 真心赞,0,2019-10-09 20:44,1
@差一个零就去表白,,#中国机长# 中国机长还没看，等中奖了看完电影再来影评,0,2019-10-09 20:14,1
@游山玩水划小船,,爱国情怀,0,2019-10-09 20:13,1
@lsuerte,,祖国万岁,0,2019-10-09 19:51,1
@汽水岛啊,,肯定有我的,0,2019-10-09 18:37,1
@猫儿爱吃鱼摆摆,,中国机长刷起来,0,2019-10-09 18:15,1
@Chai木木,,你是我的小确幸,0,2019-10-09 17:25,1
@有云在天上飘101,,,0,2019-10-09 17:17,1
@只因喜欢faye,,想请朋友再看,0,2019-10-09 17:05,1
@张聪会48676,,攀登者,0,2019-10-09 16:56,1
@爱msxi,,祖国万岁,0,2019-10-09 16:36,1
@空军上尉诗人,,我爱你,0,2019-10-09 16:33,1
@孙政5376,,我爱你,0,2019-10-09 16:23,1
@锦鲤aiseke,,想去看，现在就差中国机长没看了,0,2019-10-09 15:09,1
@青竹林ray,,每个单元的小故事都有让人感动的点，每一代人都在尽自己努力为每个时代付出自己的力量，感动中自豪地骄傲着，我的祖国！青竹林超级喜欢这部电影！泪点满满，感动和激动交织！,0,2019-10-09 15:05,1
@楚叛儿v5,,中国机长，很感人,0,2019-10-09 14:24,1
@圈圈独角兽,,转发微博,0,2019-10-09 13:17,1
@梧桐_我心依然,,就是蛮感动。,0,2019-10-09 13:04,1
@小婕婕真可爱呀呀呀呀呀,,必须是吴京，很喜欢，电影很好看,0,2019-10-09 13:02,1
@WOWOWO我是欧气满满小仙女-Lucky,,震撼,0,2019-10-09 13:02,1
@钟钟钟子期Orz,,中国机&quot;长太震撼了！,0,2019-10-09 13:01,1
@新哥不简单,,想看祖国,0,2019-10-09 12:55,1
@简直胖若两人啊,,中国机长给力！,0,2019-10-09 12:19,1
@jin19910120,,转发微博,0,2019-10-09 11:57,1
@盼_bao,,转发微博,0,2019-10-09 11:24,1
@eagle-wwx000111,,欢欣鼓舞,0,2019-10-09 11:04,1
@葫芦-韩,,想看攀登者,0,2019-10-09 11:03,1
@小仙女很麻辣,,攀登者@葫芦-韩,0,2019-10-09 11:02,2
@小仙女很麻辣,,#中华美食群英榜#德州，菏泽，济南，聊城@葫芦-韩,0,2019-10-09 11:01,2
@eagle-wwx1,,伟大,0,2019-10-09 10:58,1
@冲击148287,,精彩,0,2019-10-09 10:51,1
@Mindy穷困潦倒,,转发微博,0,2019-10-09 10:49,1
@磊石成山82028,,十分感动,0,2019-10-09 10:46,1
@贤来无所事,,转发微博,0,2019-10-09 10:41,1
@老号201,,感动,0,2019-10-09 10:37,1
@追梦人安琪拉,,看了攀登者，演员演技全部都在线，奈何好好的一个题材被编剧拖后腿写成了爱情片,0,2019-10-09 10:34,1
@幸福满满的龙羊猴猪,,中国机长，看了之后太震撼了，还想看,0,2019-10-09 10:33,1
@Soldier-T,,还没看过,0,2019-10-09 10:22,1
@诺必娜,,@影子-香水 @好久没有这样,1,2019-10-10 05:03,1
@大馒头在跳动,,攀登者@好友2个,0,2019-10-09 10:59,1
@韓-侽亼-H,,攀登者@大馒头在跳动,0,2019-10-09 10:59,1
@二哥不太二,,攀登者@韓-侽亼-H,0,2019-10-09 10:57,1
@店小二互联科技,,攀登者@二哥不太二,0,2019-10-09 10:53,1
@吉林土特产代购sir,,还没看过,0,2019-10-14 11:26,3
@嘛乐歌碧,,我爱我的祖国啊,0,2019-10-12 16:56,3
@西盘粮,,会不会翻我的牌,0,2019-10-12 02:09,3
@辣眼睛的单身汪,,来张票，去看了，然后回来交作业,0,2019-10-10 15:41,3
@喝卡布奇诺的刺猬,,中国机长  没有饭最后时刻 依旧不放弃  ,0,2019-10-10 15:17,3
@如煙雲川,,想看祖国,0,2019-10-10 14:55,3
@吉林土特产代购sir,,还没看过,0,2019-10-14 11:26,3
@嘛乐歌碧,,我爱我的祖国啊,0,2019-10-12 16:56,3
@西盘粮,,会不会翻我的牌,0,2019-10-12 02:09,3
@辣眼睛的单身汪,,来张票，去看了，然后回来交作业,0,2019-10-10 15:41,3
@喝卡布奇诺的刺猬,,中国机长  没有饭最后时刻 依旧不放弃  ,0,2019-10-10 15:17,3
@如煙雲川,,想看祖国,0,2019-10-10 14:55,3
@将热情耗尽,,我爱祖国！,0,2019-10-10 14:49,2
@小八在守候,,周末去看,0,2019-10-10 14:41,2
@别词94,,我爱祖国,0,2019-10-10 14:40,2
@幸福的一家008,,回味经典,0,2019-10-10 14:34,2
